aded,reporting,FARAH_N_LOUIS___A Unified 45,MONIQUE_CHANDLER-WATERMAN___A Vital Voice,JOVIA_A_RADIX___Justice for All,XAMAYLA_ROSE___Rose For Progress,L_RICKIE_TULLOCH___Peoples Movement,ADINA_SASH___Community First,ANTHONY_ALEXIS___Unite to Uplift,VICTOR_JORDAN___Last Chance,WRITE-IN,total,ADINA_SASH_(),VICTOR_JORDAN_(),MONIQUE_CHANDLER-WATERMAN_(),JOVIA_A_RADIX_(),FARAH_N_LOUIS_(),ANTHONY_ALEXIS_(),XAMAYLA_ROSE_(),L_RICKIE_TULLOCH_(),p_FARAH_N_LOUIS___A Unified 45,p_MONIQUE_CHANDLER-WATERMAN___A Vital Voice,p_JOVIA_A_RADIX___Justice for All,p_XAMAYLA_ROSE___Rose For Progress,p_L_RICKIE_TULLOCH___Peoples Movement,p_ADINA_SASH___Community First,p_ANTHONY_ALEXIS___Unite to Uplift,p_VICTOR_JORDAN___Last Chance,p_WRITE-IN,p_ADINA_SASH_(),p_VICTOR_JORDAN_(),p_MONIQUE_CHANDLER-WATERMAN_(),p_JOVIA_A_RADIX_(),p_FARAH_N_LOUIS_(),p_ANTHONY_ALEXIS_(),p_XAMAYLA_ROSE_(),p_L_RICKIE_TULLOCH_(),winner,winner_p
41011,99.00,19,2,3,1,1,3,0,0,0,29,3,0,2,3,19,0,1,1,0.6551724137931034,0.06896551724137931,0.10344827586206896,0.034482758620689655,0.034482758620689655,0.10344827586206896,0.0,0.0,0.0,0.10344827586206896,0.0,0.06896551724137931,0.10344827586206896,0.6551724137931034,0.0,0.034482758620689655,0.034482758620689655,FARAH_N_LOUIS_(),0.6551724137931034
41012,99.00,47,6,0,2,1,3,0,0,0,59,3,0,6,0,47,0,2,1,0.7966101694915254,0.1016949152542373,0.0,0.03389830508474576,0.01694915254237288,0.05084745762711865,0.0,0.0,0.0,0.05084745762711865,0.0,0.1016949152542373,0.0,0.7966101694915254,0.0,0.03389830508474576,0.01694915254237288,FARAH_N_LOUIS_(),0.7966101694915254
41013,99.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tie,0
41015,99.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tie,0
41016,99.00,47,3,1,0,3,5,0,0,0,59,5,0,3,1,47,0,0,3,0.7966101694915254,0.05084745762711865,0.01694915254237288,0.0,0.05084745762711865,0.0847457627118644,0.0,0.0,0.0,0.0847457627118644,0.0,0.05084745762711865,0.01694915254237288,0.7966101694915254,0.0,0.0,0.05084745762711865,FARAH_N_LOUIS_(),0.7966101694915254
41019,99.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tie,0
41020,99.00,44,21,4,1,4,10,0,2,0,86,10,2,21,4,44,0,1,4,0.5116279069767442,0.2441860465116279,0.046511627906976744,0.011627906976744186,0.046511627906976744,0.11627906976744186,0.0,0.023255813953488372,0.0,0.11627906976744186,0.023255813953488372,0.2441860465116279,0.046511627906976744,0.5116279069767442,0.0,0.011627906976744186,0.046511627906976744,FARAH_N_LOUIS_(),0.5116279069767442
41021,99.00,64,16,8,6,7,17,1,0,0,119,17,0,16,8,64,1,6,7,0.5378151260504201,0.13445378151260504,0.06722689075630252,0.05042016806722689,0.058823529411764705,0.14285714285714285,0.008403361344537815,0.0,0.0,0.14285714285714285,0.0,0.13445378151260504,0.06722689075630252,0.5378151260504201,0.008403361344537815,0.05042016806722689,0.058823529411764705,FARAH_N_LOUIS_(),0.5378151260504201
41023,99.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tie,0
41024,99.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tie,0
