ed,reporting,combined_with,Daniel J. O'Donnell (Equality For All),Helal A. Sheikh (Friends of Helal),Michael A. Blake (For The People),Scattered,Jumaane D. Williams (It's Time Let's Go),Benjamin L. Yee (Community Strong),Eric A. Ulrich (Common Sense),Ydanis Rodriguez (Unite Immigrants),Ron Kim (No Amazon),Dawn L. Smalls (No More Delays),Rafael L. Espinal Jr. (Livable City),A. Manny Alicandro (Better Leaders),David Eisenbach (Stop REBNY),Jared Rich (Jared Rich for NYC),Latrice M. Walker (Power Forward),Anthony Tony Herbert (Residents First),Nomiki D. Konst (Pay Folks More),Melissa Mark-Viverito (Fix the MTA),total,Ron Kim__(No Amazon),Anthony Tony Herbert__(Residents First),Melissa Mark-Viverito__(Fix the MTA),Ydanis Rodriguez__(Unite Immigrants),Latrice M. Walker__(Power Forward),Dawn L. Smalls__(No More Delays),Michael A. Blake__(For The People),Helal A. Sheikh__(Friends of Helal),Benjamin L. Yee__(Community Strong),Rafael L. Espinal Jr.__(Livable City),Daniel J. O'Donnell__(Equality For All),Jumaane D. Williams__(It's Time Let's Go),David Eisenbach__(Stop REBNY),A. Manny Alicandro__(Better Leaders),Nomiki D. Konst__(Pay Folks More),Jared Rich__(Jared Rich for NYC),Eric A. Ulrich__(Common Sense),p_Daniel J. O'Donnell (Equality For All),p_Helal A. Sheikh (Friends of Helal),p_Michael A. Blake (For The People),p_Scattered,p_Jumaane D. Williams (It's Time Let's Go),p_Benjamin L. Yee (Community Strong),p_Eric A. Ulrich (Common Sense),p_Ydanis Rodriguez (Unite Immigrants),p_Ron Kim (No Amazon),p_Dawn L. Smalls (No More Delays),p_Rafael L. Espinal Jr. (Livable City),p_A. Manny Alicandro (Better Leaders),p_David Eisenbach (Stop REBNY),p_Jared Rich (Jared Rich for NYC),p_Latrice M. Walker (Power Forward),p_Anthony Tony Herbert (Residents First),p_Nomiki D. Konst (Pay Folks More),p_Melissa Mark-Viverito (Fix the MTA),p_Ron Kim__(No Amazon),p_Anthony Tony Herbert__(Residents First),p_Melissa Mark-Viverito__(Fix the MTA),p_Ydanis Rodriguez__(Unite Immigrants),p_Latrice M. Walker__(Power Forward),p_Dawn L. Smalls__(No More Delays),p_Michael A. Blake__(For The People),p_Helal A. Sheikh__(Friends of Helal),p_Benjamin L. Yee__(Community Strong),p_Rafael L. Espinal Jr.__(Livable City),p_Daniel J. O'Donnell__(Equality For All),p_Jumaane D. Williams__(It's Time Let's Go),p_David Eisenbach__(Stop REBNY),p_A. Manny Alicandro__(Better Leaders),p_Nomiki D. Konst__(Pay Folks More),p_Jared Rich__(Jared Rich for NYC),p_Eric A. Ulrich__(Common Sense),winner,winner_p
33001,100,33001,4,1,7,0,8,4,80,3,5,4,2,2,2,0,2,0,1,7,132,5,0,7,3,2,4,7,1,4,2,4,8,2,2,1,0,80,0.030303030303030304,0.007575757575757576,0.05303030303030303,0.0,0.06060606060606061,0.030303030303030304,0.6060606060606061,0.022727272727272728,0.03787878787878788,0.030303030303030304,0.015151515151515152,0.015151515151515152,0.015151515151515152,0.0,0.015151515151515152,0.0,0.007575757575757576,0.05303030303030303,0.03787878787878788,0.0,0.05303030303030303,0.022727272727272728,0.015151515151515152,0.030303030303030304,0.05303030303030303,0.007575757575757576,0.030303030303030304,0.015151515151515152,0.030303030303030304,0.06060606060606061,0.015151515151515152,0.015151515151515152,0.007575757575757576,0.0,0.6060606060606061,Eric A. Ulrich__(Common Sense),0.6060606060606061
33002,100,33002,5,6,2,1,7,2,42,0,1,4,1,1,0,0,0,2,1,6,81,1,2,6,0,0,4,2,6,2,1,5,7,0,1,1,0,42,0.06172839506172839,0.07407407407407407,0.024691358024691357,0.012345679012345678,0.08641975308641975,0.024691358024691357,0.5185185185185185,0.0,0.012345679012345678,0.04938271604938271,0.012345679012345678,0.012345679012345678,0.0,0.0,0.0,0.024691358024691357,0.012345679012345678,0.07407407407407407,0.012345679012345678,0.024691358024691357,0.07407407407407407,0.0,0.0,0.04938271604938271,0.024691358024691357,0.07407407407407407,0.024691358024691357,0.012345679012345678,0.06172839506172839,0.08641975308641975,0.0,0.012345679012345678,0.012345679012345678,0.0,0.5185185185185185,Eric A. Ulrich__(Common Sense),0.5185185185185185
33003,100,33003,1,6,14,0,10,3,39,4,5,5,5,1,3,0,0,0,2,10,108,5,0,10,4,0,5,14,6,3,5,1,10,3,1,2,0,39,0.009259259259259259,0.05555555555555555,0.12962962962962962,0.0,0.09259259259259259,0.027777777777777776,0.3611111111111111,0.037037037037037035,0.046296296296296294,0.046296296296296294,0.046296296296296294,0.009259259259259259,0.027777777777777776,0.0,0.0,0.0,0.018518518518518517,0.09259259259259259,0.046296296296296294,0.0,0.09259259259259259,0.037037037037037035,0.0,0.046296296296296294,0.12962962962962962,0.05555555555555555,0.027777777777777776,0.046296296296296294,0.009259259259259259,0.09259259259259259,0.027777777777777776,0.009259259259259259,0.018518518518518517,0.0,0.3611111111111111,Eric A. Ulrich__(Common Sense),0.3611111111111111
33004,100,33003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tie,0
33005,100,33005,7,0,4,0,4,3,19,0,4,3,3,5,0,0,0,4,3,5,64,4,4,5,0,0,3,4,0,3,3,7,4,0,5,3,0,19,0.109375,0.0,0.0625,0.0,0.0625,0.046875,0.296875,0.0,0.0625,0.046875,0.046875,0.078125,0.0,0.0,0.0,0.0625,0.046875,0.078125,0.0625,0.0625,0.078125,0.0,0.0,0.046875,0.0625,0.0,0.046875,0.046875,0.109375,0.0625,0.0,0.078125,0.046875,0.0,0.296875,Eric A. Ulrich__(Common Sense),0.296875
33006,100,33006,1,1,6,0,7,1,46,0,0,6,0,4,1,0,0,0,3,5,81,0,0,5,0,0,6,6,1,1,0,1,7,1,4,3,0,46,0.012345679012345678,0.012345679012345678,0.07407407407407407,0.0,0.08641975308641975,0.012345679012345678,0.5679012345679012,0.0,0.0,0.07407407407407407,0.0,0.04938271604938271,0.012345679012345678,0.0,0.0,0.0,0.037037037037037035,0.06172839506172839,0.0,0.0,0.06172839506172839,0.0,0.0,0.07407407407407407,0.07407407407407407,0.012345679012345678,0.012345679012345678,0.0,0.012345679012345678,0.08641975308641975,0.012345679012345678,0.04938271604938271,0.037037037037037035,0.0,0.5679012345679012,Eric A. Ulrich__(Common Sense),0.5679012345679012
33007,100,33001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tie,0
33008,100,33008,2,0,3,0,7,1,22,2,5,2,2,1,0,0,0,1,1,3,52,5,1,3,2,0,2,3,0,1,2,2,7,0,1,1,0,22,0.038461538461538464,0.0,0.057692307692307696,0.0,0.1346153846153846,0.019230769230769232,0.4230769230769231,0.038461538461538464,0.09615384615384616,0.038461538461538464,0.038461538461538464,0.019230769230769232,0.0,0.0,0.0,0.019230769230769232,0.019230769230769232,0.057692307692307696,0.09615384615384616,0.019230769230769232,0.057692307692307696,0.038461538461538464,0.0,0.038461538461538464,0.057692307692307696,0.0,0.019230769230769232,0.038461538461538464,0.038461538461538464,0.1346153846153846,0.0,0.019230769230769232,0.019230769230769232,0.0,0.4230769230769231,Eric A. Ulrich__(Common Sense),0.4230769230769231
33009,100,33009,0,0,7,0,2,2,43,0,2,4,0,0,0,0,0,0,1,5,66,2,0,5,0,0,4,7,0,2,0,0,2,0,0,1,0,43,0.0,0.0,0.10606060606060606,0.0,0.030303030303030304,0.030303030303030304,0.6515151515151515,0.0,0.030303030303030304,0.06060606060606061,0.0,0.0,0.0,0.0,0.0,0.0,0.015151515151515152,0.07575757575757576,0.030303030303030304,0.0,0.07575757575757576,0.0,0.0,0.06060606060606061,0.10606060606060606,0.0,0.030303030303030304,0.0,0.0,0.030303030303030304,0.0,0.0,0.015151515151515152,0.0,0.6515151515151515,Eric A. Ulrich__(Common Sense),0.6515151515151515
33010,100,33010,1,4,10,0,16,3,38,2,4,6,2,2,0,0,1,1,5,11,106,4,1,11,2,1,6,10,4,3,2,1,16,0,2,5,0,38,0.009433962264150943,0.03773584905660377,0.09433962264150944,0.0,0.1509433962264151,0.02830188679245283,0.3584905660377358,0.018867924528301886,0.03773584905660377,0.05660377358490566,0.018867924528301886,0.018867924528301886,0.0,0.0,0.009433962264150943,0.009433962264150943,0.04716981132075472,0.10377358490566038,0.03773584905660377,0.009433962264150943,0.10377358490566038,0.018867924528301886,0.009433962264150943,0.05660377358490566,0.09433962264150944,0.03773584905660377,0.02830188679245283,0.018867924528301886,0.009433962264150943,0.1509433962264151,0.0,0.018867924528301886,0.04716981132075472,0.0,0.3584905660377358,Eric A. Ulrich__(Common Sense),0.3584905660377358
33011,100,33011,2,0,2,0,4,0,18,2,1,2,0,4,0,1,0,3,1,12,52,1,3,12,2,0,2,2,0,0,0,2,4,0,4,1,1,18,0.038461538461538464,0.0,0.038461538461538464,0.0,0.07692307692307693,0.0,0.34615384615384615,0.038461538461538464,0.019230769230769232,0.038461538461538464,0.0,0.07692307692307693,0.0,0.019230769230769232,0.0,0.057692307692307696,0.019230769230769232,0.23076923076923078,0.019230769230769232,0.057692307692307696,0.23076923076923078,0.038461538461538464,0.0,0.038461538461538464,0.038461538461538464,0.0,0.0,0.0,0.038461538461538464,0.07692307692307693,0.0,0.07692307692307693,0.019230769230769232,0.019230769230769232,0.34615384615384615,Eric A. Ulrich__(Common Sense),0.34615384615384615
33012,100,33010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tie,0
33013,100,33013,0,1,7,0,4,0,13,4,3,1,0,4,0,0,0,1,1,2,41,3,1,2,4,0,1,7,1,0,0,0,4,0,4,1,0,13,0.0,0.024390243902439025,0.17073170731707318,0.0,0.0975609756097561,0.0,0.3170731707317073,0.0975609756097561,0.07317073170731707,0.024390243902439025,0.0,0.0975609756097561,0.0,0.0,0.0,0.024390243902439025,0.024390243902439025,0.04878048780487805,0.07317073170731707,0.024390243902439025,0.04878048780487805,0.0975609756097561,0.0,0.024390243902439025,0.17073170731707318,0.024390243902439025,0.0,0.0,0.0,0.0975609756097561,0.0,0.0975609756097561,0.024390243902439025,0.0,0.3170731707317073,Eric A. Ulrich__(Common Sense),0.3170731707317073
33014,100,33014,0,2,3,0,7,1,7,4,4,1,2,0,0,0,0,0,5,11,47,4,0,11,4,0,1,3,2,1,2,0,7,0,0,5,0,7,0.0,0.0425531914893617,0.06382978723404255,0.0,0.14893617021276595,0.02127659574468085,0.14893617021276595,0.0851063829787234,0.0851063829787234,0.02127659574468085,0.0425531914893617,0.0,0.0,0.0,0.0,0.0,0.10638297872340426,0.23404255319148937,0.0851063829787234,0.0,0.23404255319148937,0.0851063829787234,0.0,0.02127659574468085,0.06382978723404255,0.0425531914893617,0.02127659574468085,0.0425531914893617,0.0,0.14893617021276595,0.0,0.0,0.10638297872340426,0.0,0.14893617021276595,Melissa Mark-Viverito__(Fix the MTA),0.23404255319148937
33015,100,33015,0,4,7,0,8,1,19,1,0,3,1,1,0,0,0,1,1,3,50,0,1,3,1,0,3,7,4,1,1,0,8,0,1,1,0,19,0.0,0.08,0.14,0.0,0.16,0.02,0.38,0.02,0.0,0.06,0.02,0.02,0.0,0.0,0.0,0.02,0.02,0.06,0.0,0.02,0.06,0.02,0.0,0.06,0.14,0.08,0.02,0.02,0.0,0.16,0.0,0.02,0.02,0.0,0.38,Eric A. Ulrich__(Common Sense),0.38
33016,100,33017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tie,0
33017,100,33017,3,1,10,0,15,1,20,4,0,2,0,4,1,0,0,1,2,9,73,0,1,9,4,0,2,10,1,1,0,3,15,1,4,2,0,20,0.0410958904109589,0.0136986301369863,0.136986301369863,0.0,0.2054794520547945,0.0136986301369863,0.273972602739726,0.0547945205479452,0.0,0.0273972602739726,0.0,0.0547945205479452,0.0136986301369863,0.0,0.0,0.0136986301369863,0.0273972602739726,0.1232876712328767,0.0,0.0136986301369863,0.1232876712328767,0.0547945205479452,0.0,0.0273972602739726,0.136986301369863,0.0136986301369863,0.0136986301369863,0.0,0.0410958904109589,0.2054794520547945,0.0136986301369863,0.0547945205479452,0.0273972602739726,0.0,0.273972602739726,Eric A. Ulrich__(Common Sense),0.273972602739726
33018,100,33018,2,1,3,0,9,3,12,3,0,2,1,2,0,0,0,4,0,4,46,0,4,4,3,0,2,3,1,3,1,2,9,0,2,0,0,12,0.043478260869565216,0.021739130434782608,0.06521739130434782,0.0,0.1956521739130435,0.06521739130434782,0.2608695652173913,0.06521739130434782,0.0,0.043478260869565216,0.021739130434782608,0.043478260869565216,0.0,0.0,0.0,0.08695652173913043,0.0,0.08695652173913043,0.0,0.08695652173913043,0.08695652173913043,0.06521739130434782,0.0,0.043478260869565216,0.06521739130434782,0.021739130434782608,0.06521739130434782,0.021739130434782608,0.043478260869565216,0.1956521739130435,0.0,0.043478260869565216,0.0,0.0,0.2608695652173913,Eric A. Ulrich__(Common Sense),0.2608695652173913
33019,100,33019,0,0,4,0,17,0,11,3,4,1,1,1,0,0,0,0,1,11,54,4,0,11,3,0,1,4,0,0,1,0,17,0,1,1,0,11,0.0,0.0,0.07407407407407407,0.0,0.3148148148148148,0.0,0.2037037037037037,0.05555555555555555,0.07407407407407407,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.0,0.0,0.0,0.0,0.018518518518518517,0.2037037037037037,0.07407407407407407,0.0,0.2037037037037037,0.05555555555555555,0.0,0.018518518518518517,0.07407407407407407,0.0,0.0,0.018518518518518517,0.0,0.3148148148148148,0.0,0.018518518518518517,0.018518518518518517,0.0,0.2037037037037037,Jumaane D. Williams__(It's Time Let's Go),0.3148148148148148
33020,100,33020,0,16,5,0,9,0,8,7,0,1,1,0,0,0,0,1,1,3,52,0,1,3,7,0,1,5,16,0,1,0,9,0,0,1,0,8,0.0,0.3076923076923077,0.09615384615384616,0.0,0.17307692307692307,0.0,0.15384615384615385,0.1346153846153846,0.0,0.019230769230769232,0.019230769230769232,0.0,0.0,0.0,0.0,0.019230769230769232,0.019230769230769232,0.057692307692307696,0.0,0.019230769230769232,0.057692307692307696,0.1346153846153846,0.0,0.019230769230769232,0.09615384615384616,0.3076923076923077,0.0,0.019230769230769232,0.0,0.17307692307692307,0.0,0.0,0.019230769230769232,0.0,0.15384615384615385,Helal A. Sheikh__(Friends of Helal),0.3076923076923077
33021,100,33021,1,5,9,0,17,0,5,2,5,9,2,0,0,1,0,0,1,10,67,5,0,10,2,0,9,9,5,0,2,1,17,0,0,1,1,5,0.014925373134328358,0.07462686567164178,0.13432835820895522,0.0,0.2537313432835821,0.0,0.07462686567164178,0.029850746268656716,0.07462686567164178,0.13432835820895522,0.029850746268656716,0.0,0.0,0.014925373134328358,0.0,0.0,0.014925373134328358,0.14925373134328357,0.07462686567164178,0.0,0.14925373134328357,0.029850746268656716,0.0,0.13432835820895522,0.13432835820895522,0.07462686567164178,0.0,0.029850746268656716,0.014925373134328358,0.2537313432835821,0.0,0.0,0.014925373134328358,0.014925373134328358,0.07462686567164178,Jumaane D. Williams__(It's Time Let's Go),0.2537313432835821
33022,100,33022,0,1,9,0,21,1,8,1,0,0,0,0,0,0,0,0,0,7,48,0,0,7,1,0,0,9,1,1,0,0,21,0,0,0,0,8,0.0,0.020833333333333332,0.1875,0.0,0.4375,0.020833333333333332,0.16666666666666666,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14583333333333334,0.0,0.0,0.14583333333333334,0.020833333333333332,0.0,0.0,0.1875,0.020833333333333332,0.020833333333333332,0.0,0.0,0.4375,0.0,0.0,0.0,0.0,0.16666666666666666,Jumaane D. Williams__(It's Time Let's Go),0.4375
33023,100,33023,0,0,9,0,19,0,7,2,0,2,0,0,0,0,1,1,2,6,49,0,1,6,2,1,2,9,0,0,0,0,19,0,0,2,0,7,0.0,0.0,0.1836734693877551,0.0,0.3877551020408163,0.0,0.14285714285714285,0.04081632653061224,0.0,0.04081632653061224,0.0,0.0,0.0,0.0,0.02040816326530612,0.02040816326530612,0.04081632653061224,0.12244897959183673,0.0,0.02040816326530612,0.12244897959183673,0.04081632653061224,0.02040816326530612,0.04081632653061224,0.1836734693877551,0.0,0.0,0.0,0.0,0.3877551020408163,0.0,0.0,0.04081632653061224,0.0,0.14285714285714285,Jumaane D. Williams__(It's Time Let's Go),0.3877551020408163
33024,100,33024,1,6,12,0,37,1,13,2,1,4,2,1,0,1,0,0,2,10,93,1,0,10,2,0,4,12,6,1,2,1,37,0,1,2,1,13,0.010752688172043012,0.06451612903225806,0.12903225806451613,0.0,0.3978494623655914,0.010752688172043012,0.13978494623655913,0.021505376344086023,0.010752688172043012,0.043010752688172046,0.021505376344086023,0.010752688172043012,0.0,0.010752688172043012,0.0,0.0,0.021505376344086023,0.10752688172043011,0.010752688172043012,0.0,0.10752688172043011,0.021505376344086023,0.0,0.043010752688172046,0.12903225806451613,0.06451612903225806,0.010752688172043012,0.021505376344086023,0.010752688172043012,0.3978494623655914,0.0,0.010752688172043012,0.021505376344086023,0.010752688172043012,0.13978494623655913,Jumaane D. Williams__(It's Time Let's Go),0.3978494623655914
