ED,Reported As,Reporting,Michael E. Mcmahon (Democratic),Michael E. Mcmahon (Independence),Write-In,Total Votes,Michael E. Mcmahon RECAP,Write-In RECAP,p_Michael E. Mcmahon (Democratic),p_Michael E. Mcmahon (Independence),p_Write-In,p_Michael E. Mcmahon RECAP,p_Write-In RECAP,winner,winner_p
61001,61001,99.00,219,9,2,230,228,2,0.9521739130434783,0.0391304347826087,0.008695652173913044,0.991304347826087,0.008695652173913044,Michael E. Mcmahon RECAP,0.991304347826087
61002,61002,99.00,234,11,1,246,245,1,0.9512195121951219,0.044715447154471545,0.0040650406504065045,0.9959349593495935,0.0040650406504065045,Michael E. Mcmahon RECAP,0.9959349593495935
61003,61003,99.00,252,11,3,266,263,3,0.9473684210526315,0.041353383458646614,0.011278195488721804,0.9887218045112782,0.011278195488721804,Michael E. Mcmahon RECAP,0.9887218045112782
61004,61004,99.00,256,20,3,279,276,3,0.9175627240143369,0.07168458781362007,0.010752688172043012,0.989247311827957,0.010752688172043012,Michael E. Mcmahon RECAP,0.989247311827957
61005,61005,99.00,9,0,0,9,9,0,1.0,0.0,0.0,1.0,0.0,Michael E. Mcmahon RECAP,1.0
61006,61006,99.00,127,17,3,147,144,3,0.8639455782312925,0.11564625850340136,0.02040816326530612,0.9795918367346939,0.02040816326530612,Michael E. Mcmahon RECAP,0.9795918367346939
61007,61007,99.00,142,4,1,147,146,1,0.9659863945578231,0.027210884353741496,0.006802721088435374,0.9931972789115646,0.006802721088435374,Michael E. Mcmahon RECAP,0.9931972789115646
61008,61008,99.00,186,6,5,197,192,5,0.9441624365482234,0.030456852791878174,0.025380710659898477,0.9746192893401016,0.025380710659898477,Michael E. Mcmahon RECAP,0.9746192893401016
61009,61009,99.00,403,35,5,443,438,5,0.909706546275395,0.07900677200902935,0.011286681715575621,0.9887133182844243,0.011286681715575621,Michael E. Mcmahon RECAP,0.9887133182844243
61010,61010,99.00,175,14,3,192,189,3,0.9114583333333334,0.07291666666666667,0.015625,0.984375,0.015625,Michael E. Mcmahon RECAP,0.984375
61011,61011,99.00,13,0,1,14,13,1,0.9285714285714286,0.0,0.07142857142857142,0.9285714285714286,0.07142857142857142,Michael E. Mcmahon RECAP,0.9285714285714286
61012,61012,99.00,319,34,3,356,353,3,0.8960674157303371,0.09550561797752809,0.008426966292134831,0.9915730337078652,0.008426966292134831,Michael E. Mcmahon RECAP,0.9915730337078652
61013,61013,99.00,171,17,0,188,188,0,0.9095744680851063,0.09042553191489362,0.0,1.0,0.0,Michael E. Mcmahon RECAP,1.0
61014,61014,99.00,177,24,2,203,201,2,0.8719211822660099,0.11822660098522167,0.009852216748768473,0.9901477832512315,0.009852216748768473,Michael E. Mcmahon RECAP,0.9901477832512315
61015,61015,99.00,128,26,3,157,154,3,0.8152866242038217,0.16560509554140126,0.01910828025477707,0.9808917197452229,0.01910828025477707,Michael E. Mcmahon RECAP,0.9808917197452229
61016,61016,99.00,138,2,2,142,140,2,0.971830985915493,0.014084507042253521,0.014084507042253521,0.9859154929577465,0.014084507042253521,Michael E. Mcmahon RECAP,0.9859154929577465
61017,61017,75.00,124,9,1,134,133,1,0.9253731343283582,0.06716417910447761,0.007462686567164179,0.9925373134328358,0.007462686567164179,Michael E. Mcmahon RECAP,0.9925373134328358
61018,61018,99.00,276,60,6,342,336,6,0.8070175438596491,0.17543859649122806,0.017543859649122806,0.9824561403508771,0.017543859649122806,Michael E. Mcmahon RECAP,0.9824561403508771
61019,61019,75.00,175,19,3,197,194,3,0.8883248730964467,0.09644670050761421,0.015228426395939087,0.9847715736040609,0.015228426395939087,Michael E. Mcmahon RECAP,0.9847715736040609
61020,61020,75.00,141,24,3,168,165,3,0.8392857142857143,0.14285714285714285,0.017857142857142856,0.9821428571428571,0.017857142857142856,Michael E. Mcmahon RECAP,0.9821428571428571
61021,61021,99.00,162,5,0,167,167,0,0.9700598802395209,0.029940119760479042,0.0,1.0,0.0,Michael E. Mcmahon RECAP,1.0
61022,61022,99.00,158,10,1,169,168,1,0.9349112426035503,0.05917159763313609,0.005917159763313609,0.9940828402366864,0.005917159763313609,Michael E. Mcmahon RECAP,0.9940828402366864
61023,61023,99.00,122,11,0,133,133,0,0.9172932330827067,0.08270676691729323,0.0,1.0,0.0,Michael E. Mcmahon RECAP,1.0
61024,61024,99.00,133,22,1,156,155,1,0.8525641025641025,0.14102564102564102,0.00641025641025641,0.9935897435897436,0.00641025641025641,Michael E. Mcmahon RECAP,0.9935897435897436
61025,61025,99.00,142,14,2,158,156,2,0.8987341772151899,0.08860759493670886,0.012658227848101266,0.9873417721518988,0.012658227848101266,Michael E. Mcmahon RECAP,0.9873417721518988
61026,61026,50.00,133,11,1,145,144,1,0.9172413793103448,0.07586206896551724,0.006896551724137931,0.993103448275862,0.006896551724137931,Michael E. Mcmahon RECAP,0.993103448275862
