ED,Reported As,Reporting,Yes,No,Total Votes,p_Yes,p_No,winner,winner_p
65001,65001,99.00,138,30,168,0.8214285714285714,0.17857142857142858,Yes,0.8214285714285714
65002,65002,99.00,131,26,157,0.8343949044585988,0.16560509554140126,Yes,0.8343949044585988
65003,65003,75.00,176,54,230,0.7652173913043478,0.23478260869565218,Yes,0.7652173913043478
65004,65004,99.00,75,22,97,0.7731958762886598,0.2268041237113402,Yes,0.7731958762886598
65005,65005,75.00,0,0,0,0,0,n/a,0
65006,65006,99.00,237,134,371,0.6388140161725068,0.3611859838274933,Yes,0.6388140161725068
65007,65007,99.00,5,0,5,1.0,0.0,Yes,1.0
65008,65008,99.00,163,86,249,0.6546184738955824,0.3453815261044177,Yes,0.6546184738955824
65009,65009,99.00,120,40,160,0.75,0.25,Yes,0.75
65010,65010,99.00,142,20,162,0.8765432098765432,0.12345679012345678,Yes,0.8765432098765432
65011,65011,99.00,3,0,3,1.0,0.0,Yes,1.0
65012,65012,99.00,85,43,128,0.6640625,0.3359375,Yes,0.6640625
65013,65013,99.00,7,0,7,1.0,0.0,Yes,1.0
65014,65014,99.00,241,81,322,0.7484472049689441,0.2515527950310559,Yes,0.7484472049689441
65015,65015,99.00,202,58,260,0.7769230769230769,0.2230769230769231,Yes,0.7769230769230769
65016,65016,99.00,129,50,179,0.7206703910614525,0.27932960893854747,Yes,0.7206703910614525
65017,65017,99.00,8,2,10,0.8,0.2,Yes,0.8
65018,65018,99.00,107,30,137,0.781021897810219,0.21897810218978103,Yes,0.781021897810219
65019,65019,99.00,79,30,109,0.7247706422018348,0.27522935779816515,Yes,0.7247706422018348
65020,65020,99.00,2,2,4,0.5,0.5,Tie,0.5
65021,65021,99.00,113,44,157,0.7197452229299363,0.2802547770700637,Yes,0.7197452229299363
65022,65022,99.00,131,49,180,0.7277777777777777,0.2722222222222222,Yes,0.7277777777777777
65023,65023,99.00,108,41,149,0.7248322147651006,0.2751677852348993,Yes,0.7248322147651006
65024,65024,99.00,82,22,104,0.7884615384615384,0.21153846153846154,Yes,0.7884615384615384
65025,65025,99.00,2,3,5,0.4,0.6,No,0.6
65026,65026,99.00,4,1,5,0.8,0.2,Yes,0.8
65027,65027,99.00,130,68,198,0.6565656565656566,0.3434343434343434,Yes,0.6565656565656566
65028,65028,99.00,8,1,9,0.8888888888888888,0.1111111111111111,Yes,0.8888888888888888
65029,65029,99.00,7,2,9,0.7777777777777778,0.2222222222222222,Yes,0.7777777777777778
65030,65030,99.00,149,147,296,0.5033783783783784,0.4966216216216216,Yes,0.5033783783783784
65031,65031,99.00,4,0,4,1.0,0.0,Yes,1.0
65032,65032,99.00,83,21,104,0.7980769230769231,0.20192307692307693,Yes,0.7980769230769231
65033,65033,99.00,94,21,115,0.8173913043478261,0.1826086956521739,Yes,0.8173913043478261
65034,65034,99.00,7,2,9,0.7777777777777778,0.2222222222222222,Yes,0.7777777777777778
65035,65035,99.00,44,22,66,0.6666666666666666,0.3333333333333333,Yes,0.6666666666666666
65036,65036,99.00,112,37,149,0.7516778523489933,0.2483221476510067,Yes,0.7516778523489933
65037,65037,99.00,41,12,53,0.7735849056603774,0.22641509433962265,Yes,0.7735849056603774
65038,65038,99.00,9,2,11,0.8181818181818182,0.18181818181818182,Yes,0.8181818181818182
65039,65039,99.00,149,43,192,0.7760416666666666,0.22395833333333334,Yes,0.7760416666666666
65040,65040,33.33,114,28,142,0.8028169014084507,0.19718309859154928,Yes,0.8028169014084507
65041,65041,33.33,27,2,29,0.9310344827586207,0.06896551724137931,Yes,0.9310344827586207
65042,65042,99.00,19,4,23,0.8260869565217391,0.17391304347826086,Yes,0.8260869565217391
65043,65043,33.33,118,25,143,0.8251748251748252,0.17482517482517482,Yes,0.8251748251748252
65044,65044,0.00,21,3,24,0.875,0.125,Yes,0.875
65045,65045,99.00,183,66,249,0.7349397590361446,0.26506024096385544,Yes,0.7349397590361446
65046,65046,99.00,153,66,219,0.6986301369863014,0.3013698630136986,Yes,0.6986301369863014
65047,65047,99.00,141,55,196,0.7193877551020408,0.28061224489795916,Yes,0.7193877551020408
65048,65048,0.00,16,2,18,0.8888888888888888,0.1111111111111111,Yes,0.8888888888888888
65049,65049,99.00,214,75,289,0.740484429065744,0.25951557093425603,Yes,0.740484429065744
65050,65050,99.00,6,2,8,0.75,0.25,Yes,0.75
65051,65051,0.00,11,1,12,0.9166666666666666,0.08333333333333333,Yes,0.9166666666666666
65052,65052,99.00,146,50,196,0.7448979591836735,0.25510204081632654,Yes,0.7448979591836735
65053,65053,50.00,76,20,96,0.7916666666666666,0.20833333333333334,Yes,0.7916666666666666
65054,65054,99.00,133,53,186,0.7150537634408602,0.2849462365591398,Yes,0.7150537634408602
65055,65055,50.00,4,4,8,0.5,0.5,Tie,0.5
65056,65056,99.00,73,21,94,0.776595744680851,0.22340425531914893,Yes,0.776595744680851
65057,65057,50.00,126,49,175,0.72,0.28,Yes,0.72
65058,65058,99.00,195,29,224,0.8705357142857143,0.12946428571428573,Yes,0.8705357142857143
65059,65059,99.00,174,39,213,0.8169014084507042,0.18309859154929578,Yes,0.8169014084507042
65060,65060,99.00,1,1,2,0.5,0.5,Tie,0.5
65061,65061,99.00,168,35,203,0.8275862068965517,0.1724137931034483,Yes,0.8275862068965517
65062,65062,99.00,4,1,5,0.8,0.2,Yes,0.8
65063,65063,99.00,136,36,172,0.7906976744186046,0.20930232558139536,Yes,0.7906976744186046
65064,65064,99.00,121,36,157,0.7707006369426752,0.22929936305732485,Yes,0.7707006369426752
65065,65065,99.00,5,3,8,0.625,0.375,Yes,0.625
65066,65066,99.00,1,1,2,0.5,0.5,Tie,0.5
65067,65067,99.00,3,0,3,1.0,0.0,Yes,1.0
