ED,Reported As,Reporting,Yes,No,Total Votes,p_Yes,p_No,winner,winner_p
65001,65001,99.00,137,29,166,0.8253012048192772,0.1746987951807229,Yes,0.8253012048192772
65002,65002,99.00,125,33,158,0.7911392405063291,0.2088607594936709,Yes,0.7911392405063291
65003,65003,75.00,184,45,229,0.8034934497816594,0.1965065502183406,Yes,0.8034934497816594
65004,65004,99.00,80,18,98,0.8163265306122449,0.1836734693877551,Yes,0.8163265306122449
65005,65005,75.00,0,0,0,0,0,n/a,0
65006,65006,99.00,236,130,366,0.644808743169399,0.3551912568306011,Yes,0.644808743169399
65007,65007,99.00,4,1,5,0.8,0.2,Yes,0.8
65008,65008,99.00,159,87,246,0.6463414634146342,0.35365853658536583,Yes,0.6463414634146342
65009,65009,99.00,129,32,161,0.8012422360248447,0.19875776397515527,Yes,0.8012422360248447
65010,65010,99.00,138,22,160,0.8625,0.1375,Yes,0.8625
65011,65011,99.00,3,0,3,1.0,0.0,Yes,1.0
65012,65012,99.00,80,49,129,0.6201550387596899,0.3798449612403101,Yes,0.6201550387596899
65013,65013,99.00,5,1,6,0.8333333333333334,0.16666666666666666,Yes,0.8333333333333334
65014,65014,99.00,222,100,322,0.6894409937888198,0.3105590062111801,Yes,0.6894409937888198
65015,65015,99.00,185,73,258,0.7170542635658915,0.28294573643410853,Yes,0.7170542635658915
65016,65016,99.00,126,51,177,0.711864406779661,0.288135593220339,Yes,0.711864406779661
65017,65017,99.00,8,2,10,0.8,0.2,Yes,0.8
65018,65018,99.00,106,25,131,0.8091603053435115,0.19083969465648856,Yes,0.8091603053435115
65019,65019,99.00,87,21,108,0.8055555555555556,0.19444444444444445,Yes,0.8055555555555556
65020,65020,99.00,3,1,4,0.75,0.25,Yes,0.75
65021,65021,99.00,127,28,155,0.8193548387096774,0.18064516129032257,Yes,0.8193548387096774
65022,65022,99.00,130,46,176,0.7386363636363636,0.26136363636363635,Yes,0.7386363636363636
65023,65023,99.00,126,22,148,0.8513513513513513,0.14864864864864866,Yes,0.8513513513513513
65024,65024,99.00,88,16,104,0.8461538461538461,0.15384615384615385,Yes,0.8461538461538461
65025,65025,99.00,1,4,5,0.2,0.8,No,0.8
65026,65026,99.00,5,0,5,1.0,0.0,Yes,1.0
65027,65027,99.00,144,53,197,0.7309644670050761,0.26903553299492383,Yes,0.7309644670050761
65028,65028,99.00,8,1,9,0.8888888888888888,0.1111111111111111,Yes,0.8888888888888888
65029,65029,99.00,6,3,9,0.6666666666666666,0.3333333333333333,Yes,0.6666666666666666
65030,65030,99.00,232,62,294,0.7891156462585034,0.2108843537414966,Yes,0.7891156462585034
65031,65031,99.00,4,1,5,0.8,0.2,Yes,0.8
65032,65032,99.00,82,21,103,0.7961165048543689,0.20388349514563106,Yes,0.7961165048543689
65033,65033,99.00,95,20,115,0.8260869565217391,0.17391304347826086,Yes,0.8260869565217391
65034,65034,99.00,8,1,9,0.8888888888888888,0.1111111111111111,Yes,0.8888888888888888
65035,65035,99.00,47,19,66,0.7121212121212122,0.2878787878787879,Yes,0.7121212121212122
65036,65036,99.00,104,38,142,0.7323943661971831,0.2676056338028169,Yes,0.7323943661971831
65037,65037,99.00,41,10,51,0.803921568627451,0.19607843137254902,Yes,0.803921568627451
65038,65038,99.00,8,3,11,0.7272727272727273,0.2727272727272727,Yes,0.7272727272727273
