ED,Reported As,Reporting,Yes,No,Total Votes,p_Yes,p_No,winner,winner_p
65001,65001,99.00,128,36,164,0.7804878048780488,0.21951219512195122,Yes,0.7804878048780488
65002,65002,99.00,124,30,154,0.8051948051948052,0.19480519480519481,Yes,0.8051948051948052
65003,65003,75.00,185,38,223,0.8295964125560538,0.17040358744394618,Yes,0.8295964125560538
65004,65004,99.00,81,17,98,0.826530612244898,0.17346938775510204,Yes,0.826530612244898
65005,65005,75.00,0,0,0,0,0,n/a,0
65006,65006,99.00,273,87,360,0.7583333333333333,0.24166666666666667,Yes,0.7583333333333333
65007,65007,99.00,5,0,5,1.0,0.0,Yes,1.0
65008,65008,99.00,192,51,243,0.7901234567901234,0.20987654320987653,Yes,0.7901234567901234
65009,65009,99.00,131,30,161,0.8136645962732919,0.18633540372670807,Yes,0.8136645962732919
65010,65010,99.00,140,21,161,0.8695652173913043,0.13043478260869565,Yes,0.8695652173913043
65011,65011,99.00,3,0,3,1.0,0.0,Yes,1.0
65012,65012,99.00,101,26,127,0.7952755905511811,0.2047244094488189,Yes,0.7952755905511811
65013,65013,99.00,5,1,6,0.8333333333333334,0.16666666666666666,Yes,0.8333333333333334
65014,65014,99.00,260,62,322,0.8074534161490683,0.19254658385093168,Yes,0.8074534161490683
65015,65015,99.00,211,48,259,0.8146718146718147,0.18532818532818532,Yes,0.8146718146718147
65016,65016,99.00,141,37,178,0.7921348314606742,0.20786516853932585,Yes,0.7921348314606742
65017,65017,99.00,10,0,10,1.0,0.0,Yes,1.0
65018,65018,99.00,95,35,130,0.7307692307692307,0.2692307692307692,Yes,0.7307692307692307
65019,65019,99.00,82,25,107,0.7663551401869159,0.2336448598130841,Yes,0.7663551401869159
65020,65020,99.00,4,0,4,1.0,0.0,Yes,1.0
65021,65021,99.00,130,23,153,0.8496732026143791,0.1503267973856209,Yes,0.8496732026143791
65022,65022,99.00,142,36,178,0.797752808988764,0.20224719101123595,Yes,0.797752808988764
65023,65023,99.00,130,19,149,0.87248322147651,0.12751677852348994,Yes,0.87248322147651
65024,65024,99.00,89,16,105,0.8476190476190476,0.1523809523809524,Yes,0.8476190476190476
65025,65025,99.00,3,2,5,0.6,0.4,Yes,0.6
65026,65026,99.00,5,0,5,1.0,0.0,Yes,1.0
65027,65027,99.00,148,45,193,0.7668393782383419,0.23316062176165803,Yes,0.7668393782383419
65028,65028,99.00,8,1,9,0.8888888888888888,0.1111111111111111,Yes,0.8888888888888888
65029,65029,99.00,8,1,9,0.8888888888888888,0.1111111111111111,Yes,0.8888888888888888
65030,65030,99.00,251,41,292,0.8595890410958904,0.1404109589041096,Yes,0.8595890410958904
65031,65031,99.00,5,0,5,1.0,0.0,Yes,1.0
65032,65032,99.00,85,15,100,0.85,0.15,Yes,0.85
65033,65033,99.00,90,18,108,0.8333333333333334,0.16666666666666666,Yes,0.8333333333333334
65034,65034,99.00,7,2,9,0.7777777777777778,0.2222222222222222,Yes,0.7777777777777778
65035,65035,99.00,49,17,66,0.7424242424242424,0.25757575757575757,Yes,0.7424242424242424
65036,65036,99.00,108,30,138,0.782608695652174,0.21739130434782608,Yes,0.782608695652174
