ED,Reported As,Reporting,Yes,No,Total Votes,p_Yes,p_No,winner,winner_p
65001,65001,99.00,129,38,167,0.7724550898203593,0.2275449101796407,Yes,0.7724550898203593
65002,65002,99.00,110,41,151,0.7284768211920529,0.271523178807947,Yes,0.7284768211920529
65003,65003,75.00,174,53,227,0.7665198237885462,0.23348017621145375,Yes,0.7665198237885462
65004,65004,99.00,63,34,97,0.6494845360824743,0.35051546391752575,Yes,0.6494845360824743
65005,65005,75.00,0,0,0,0,0,n/a,0
65006,65006,99.00,233,128,361,0.6454293628808865,0.3545706371191136,Yes,0.6454293628808865
65007,65007,99.00,4,1,5,0.8,0.2,Yes,0.8
65008,65008,99.00,167,75,242,0.6900826446280992,0.30991735537190085,Yes,0.6900826446280992
65009,65009,99.00,124,35,159,0.779874213836478,0.22012578616352202,Yes,0.779874213836478
65010,65010,99.00,124,37,161,0.7701863354037267,0.22981366459627328,Yes,0.7701863354037267
65011,65011,99.00,3,0,3,1.0,0.0,Yes,1.0
65012,65012,99.00,85,42,127,0.6692913385826772,0.33070866141732286,Yes,0.6692913385826772
65013,65013,99.00,5,0,5,1.0,0.0,Yes,1.0
65014,65014,99.00,210,108,318,0.660377358490566,0.33962264150943394,Yes,0.660377358490566
65015,65015,99.00,188,66,254,0.7401574803149606,0.25984251968503935,Yes,0.7401574803149606
65016,65016,99.00,126,51,177,0.711864406779661,0.288135593220339,Yes,0.711864406779661
65017,65017,99.00,7,3,10,0.7,0.3,Yes,0.7
65018,65018,99.00,95,36,131,0.7251908396946565,0.2748091603053435,Yes,0.7251908396946565
65019,65019,99.00,80,26,106,0.7547169811320755,0.24528301886792453,Yes,0.7547169811320755
65020,65020,99.00,1,3,4,0.25,0.75,No,0.75
65021,65021,99.00,119,33,152,0.7828947368421053,0.21710526315789475,Yes,0.7828947368421053
65022,65022,99.00,124,53,177,0.7005649717514124,0.2994350282485876,Yes,0.7005649717514124
65023,65023,99.00,104,43,147,0.7074829931972789,0.2925170068027211,Yes,0.7074829931972789
65024,65024,99.00,79,25,104,0.7596153846153846,0.2403846153846154,Yes,0.7596153846153846
65025,65025,99.00,2,3,5,0.4,0.6,No,0.6
65026,65026,99.00,5,0,5,1.0,0.0,Yes,1.0
65027,65027,99.00,127,64,191,0.6649214659685864,0.33507853403141363,Yes,0.6649214659685864
65028,65028,99.00,7,2,9,0.7777777777777778,0.2222222222222222,Yes,0.7777777777777778
65029,65029,99.00,5,4,9,0.5555555555555556,0.4444444444444444,Yes,0.5555555555555556
65030,65030,99.00,227,64,291,0.7800687285223368,0.21993127147766323,Yes,0.7800687285223368
65031,65031,99.00,2,3,5,0.4,0.6,No,0.6
65032,65032,99.00,82,19,101,0.8118811881188119,0.18811881188118812,Yes,0.8118811881188119
65033,65033,99.00,75,26,101,0.7425742574257426,0.25742574257425743,Yes,0.7425742574257426
65034,65034,99.00,6,3,9,0.6666666666666666,0.3333333333333333,Yes,0.6666666666666666
65035,65035,99.00,46,19,65,0.7076923076923077,0.2923076923076923,Yes,0.7076923076923077
65036,65036,99.00,103,35,138,0.7463768115942029,0.2536231884057971,Yes,0.7463768115942029
65037,65037,99.00,40,11,51,0.7843137254901961,0.21568627450980393,Yes,0.7843137254901961
65038,65038,99.00,7,3,10,0.7,0.3,Yes,0.7
65039,65039,99.00,141,47,188,0.75,0.25,Yes,0.75
65040,65040,33.33,104,35,139,0.7482014388489209,0.2517985611510791,Yes,0.7482014388489209
65041,65041,33.33,24,3,27,0.8888888888888888,0.1111111111111111,Yes,0.8888888888888888
65042,65042,99.00,20,1,21,0.9523809523809523,0.047619047619047616,Yes,0.9523809523809523
65043,65043,33.33,97,35,132,0.7348484848484849,0.26515151515151514,Yes,0.7348484848484849
65044,65044,0.00,21,4,25,0.84,0.16,Yes,0.84
65045,65045,99.00,172,74,246,0.6991869918699187,0.3008130081300813,Yes,0.6991869918699187
65046,65046,99.00,149,63,212,0.7028301886792453,0.2971698113207547,Yes,0.7028301886792453
65047,65047,99.00,132,59,191,0.6910994764397905,0.3089005235602094,Yes,0.6910994764397905
65048,65048,0.00,14,4,18,0.7777777777777778,0.2222222222222222,Yes,0.7777777777777778
65049,65049,99.00,217,59,276,0.7862318840579711,0.213768115942029,Yes,0.7862318840579711
65050,65050,99.00,7,1,8,0.875,0.125,Yes,0.875
65051,65051,0.00,8,4,12,0.6666666666666666,0.3333333333333333,Yes,0.6666666666666666
65052,65052,99.00,142,50,192,0.7395833333333334,0.2604166666666667,Yes,0.7395833333333334
65053,65053,50.00,72,21,93,0.7741935483870968,0.22580645161290322,Yes,0.7741935483870968
65054,65054,99.00,126,57,183,0.6885245901639344,0.3114754098360656,Yes,0.6885245901639344
65055,65055,50.00,7,1,8,0.875,0.125,Yes,0.875
65056,65056,99.00,71,22,93,0.7634408602150538,0.23655913978494625,Yes,0.7634408602150538
65057,65057,50.00,124,45,169,0.7337278106508875,0.26627218934911245,Yes,0.7337278106508875
65058,65058,99.00,183,36,219,0.8356164383561644,0.1643835616438356,Yes,0.8356164383561644
65059,65059,99.00,165,43,208,0.7932692307692307,0.20673076923076922,Yes,0.7932692307692307
65060,65060,99.00,2,0,2,1.0,0.0,Yes,1.0
65061,65061,99.00,153,42,195,0.7846153846153846,0.2153846153846154,Yes,0.7846153846153846
65062,65062,99.00,4,0,4,1.0,0.0,Yes,1.0
65063,65063,99.00,132,40,172,0.7674418604651163,0.23255813953488372,Yes,0.7674418604651163
65064,65064,99.00,110,43,153,0.7189542483660131,0.28104575163398693,Yes,0.7189542483660131
65065,65065,99.00,6,2,8,0.75,0.25,Yes,0.75
65066,65066,99.00,2,0,2,1.0,0.0,Yes,1.0
65067,65067,99.00,3,0,3,1.0,0.0,Yes,1.0
65068,65068,99.00,256,45,301,0.8504983388704319,0.14950166112956811,Yes,0.8504983388704319
65069,65069,99.00,12,0,12,1.0,0.0,Yes,1.0
65070,65070,99.00,0,0,0,0,0,n/a,0
65071,65071,99.00,155,34,189,0.8201058201058201,0.17989417989417988,Yes,0.8201058201058201
65072,65072,99.00,144,46,190,0.7578947368421053,0.24210526315789474,Yes,0.7578947368421053
65073,65073,66.67,78,20,98,0.7959183673469388,0.20408163265306123,Yes,0.7959183673469388
65074,65074,99.00,4,1,5,0.8,0.2,Yes,0.8
65075,65075,66.67,4,0,4,1.0,0.0,Yes,1.0
65076,65076,66.67,69,15,84,0.8214285714285714,0.17857142857142858,Yes,0.8214285714285714
65077,65077,99.00,155,43,198,0.7828282828282829,0.21717171717171718,Yes,0.7828282828282829
65078,65078,99.00,171,32,203,0.8423645320197044,0.15763546798029557,Yes,0.8423645320197044
65079,65079,99.00,287,68,355,0.8084507042253521,0.19154929577464788,Yes,0.8084507042253521
65080,65080,99.00,145,44,189,0.7671957671957672,0.2328042328042328,Yes,0.7671957671957672
65081,65081,99.00,112,31,143,0.7832167832167832,0.21678321678321677,Yes,0.7832167832167832
65082,65082,99.00,0,0,0,0,0,n/a,0
65083,65083,33.33,4,4,8,0.5,0.5,Tie,0.5
65084,65084,99.00,0,0,0,0,0,n/a,0
65085,65085,75.00,150,63,213,0.704225352112676,0.29577464788732394,Yes,0.704225352112676
65086,65086,75.00,3,1,4,0.75,0.25,Yes,0.75
65087,65087,99.00,95,25,120,0.7916666666666666,0.20833333333333334,Yes,0.7916666666666666
65088,65088,99.00,117,38,155,0.7548387096774194,0.24516129032258063,Yes,0.7548387096774194
65089,65089,99.00,1,2,3,0.3333333333333333,0.6666666666666666,No,0.6666666666666666
65090,65090,99.00,9,0,9,1.0,0.0,Yes,1.0
65091,65091,99.00,132,43,175,0.7542857142857143,0.24571428571428572,Yes,0.7542857142857143
65092,65092,99.00,2,0,2,1.0,0.0,Yes,1.0
65093,65093,99.00,4,0,4,1.0,0.0,Yes,1.0
65094,65094,99.00,0,0,0,0,0,n/a,0
