ED,Reported As,Reporting,Yes,No,Total Votes,p_Yes,p_No,winner,winner_p
65001,65001,99.00,123,40,163,0.754601226993865,0.24539877300613497,Yes,0.754601226993865
65002,65002,99.00,106,45,151,0.7019867549668874,0.2980132450331126,Yes,0.7019867549668874
65003,65003,75.00,171,50,221,0.7737556561085973,0.22624434389140272,Yes,0.7737556561085973
65004,65004,99.00,65,32,97,0.6701030927835051,0.32989690721649484,Yes,0.6701030927835051
65005,65005,75.00,0,0,0,0,0,n/a,0
65006,65006,99.00,276,89,365,0.7561643835616438,0.24383561643835616,Yes,0.7561643835616438
65007,65007,99.00,5,0,5,1.0,0.0,Yes,1.0
65008,65008,99.00,184,60,244,0.7540983606557377,0.2459016393442623,Yes,0.7540983606557377
65009,65009,99.00,112,48,160,0.7,0.3,Yes,0.7
65010,65010,99.00,107,52,159,0.6729559748427673,0.3270440251572327,Yes,0.6729559748427673
65011,65011,99.00,1,2,3,0.3333333333333333,0.6666666666666666,No,0.6666666666666666
65012,65012,99.00,87,39,126,0.6904761904761905,0.30952380952380953,Yes,0.6904761904761905
65013,65013,99.00,3,3,6,0.5,0.5,Tie,0.5
65014,65014,99.00,222,90,312,0.7115384615384616,0.28846153846153844,Yes,0.7115384615384616
65015,65015,99.00,185,71,256,0.72265625,0.27734375,Yes,0.72265625
65016,65016,99.00,116,56,172,0.6744186046511628,0.32558139534883723,Yes,0.6744186046511628
65017,65017,99.00,8,2,10,0.8,0.2,Yes,0.8
65018,65018,99.00,102,28,130,0.7846153846153846,0.2153846153846154,Yes,0.7846153846153846
65019,65019,99.00,87,18,105,0.8285714285714286,0.17142857142857143,Yes,0.8285714285714286
65020,65020,99.00,4,0,4,1.0,0.0,Yes,1.0
65021,65021,99.00,136,17,153,0.8888888888888888,0.1111111111111111,Yes,0.8888888888888888
65022,65022,99.00,139,41,180,0.7722222222222223,0.22777777777777777,Yes,0.7722222222222223
65023,65023,99.00,131,14,145,0.903448275862069,0.09655172413793103,Yes,0.903448275862069
65024,65024,99.00,86,17,103,0.8349514563106796,0.1650485436893204,Yes,0.8349514563106796
65025,65025,99.00,4,1,5,0.8,0.2,Yes,0.8
65026,65026,99.00,5,0,5,1.0,0.0,Yes,1.0
65027,65027,99.00,156,31,187,0.8342245989304813,0.1657754010695187,Yes,0.8342245989304813
65028,65028,99.00,8,1,9,0.8888888888888888,0.1111111111111111,Yes,0.8888888888888888
65029,65029,99.00,7,2,9,0.7777777777777778,0.2222222222222222,Yes,0.7777777777777778
65030,65030,99.00,241,46,287,0.8397212543554007,0.1602787456445993,Yes,0.8397212543554007
65031,65031,99.00,5,0,5,1.0,0.0,Yes,1.0
65032,65032,99.00,90,13,103,0.8737864077669902,0.1262135922330097,Yes,0.8737864077669902
65033,65033,99.00,85,16,101,0.8415841584158416,0.15841584158415842,Yes,0.8415841584158416
65034,65034,99.00,8,1,9,0.8888888888888888,0.1111111111111111,Yes,0.8888888888888888
