ED,Reported As,Reporting,Jumaane D. Williams (Democratic),Joseph C. Borelli (Republican),Joseph C. Borelli (Conservative),Devin Balkind (Libertarian),Write-In,Total Votes,Jumaane D. Williams RECAP,Joseph C. Borelli RECAP,Devin Balkind RECAP,Write-In RECAP,p_Jumaane D. Williams (Democratic),p_Joseph C. Borelli (Republican),p_Joseph C. Borelli (Conservative),p_Devin Balkind (Libertarian),p_Write-In,p_Jumaane D. Williams RECAP,p_Joseph C. Borelli RECAP,p_Devin Balkind RECAP,p_Write-In RECAP,winner,winner_p
65001,65001,99.00,131,22,3,12,1,169,131,25,12,1,0.7751479289940828,0.1301775147928994,0.01775147928994083,0.07100591715976332,0.005917159763313609,0.7751479289940828,0.14792899408284024,0.07100591715976332,0.005917159763313609,Jumaane D. Williams RECAP,0.7751479289940828
65002,65002,99.00,129,23,5,13,0,170,129,28,13,0,0.7588235294117647,0.13529411764705881,0.029411764705882353,0.07647058823529412,0.0,0.7588235294117647,0.16470588235294117,0.07647058823529412,0.0,Jumaane D. Williams RECAP,0.7588235294117647
65003,65003,75.00,194,34,9,19,0,256,194,43,19,0,0.7578125,0.1328125,0.03515625,0.07421875,0.0,0.7578125,0.16796875,0.07421875,0.0,Jumaane D. Williams RECAP,0.7578125
65004,65004,99.00,81,8,4,3,1,97,81,12,3,1,0.8350515463917526,0.08247422680412371,0.041237113402061855,0.030927835051546393,0.010309278350515464,0.8350515463917526,0.12371134020618557,0.030927835051546393,0.010309278350515464,Jumaane D. Williams RECAP,0.8350515463917526
65005,65005,75.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
65006,65006,99.00,258,115,15,8,0,396,258,130,8,0,0.6515151515151515,0.2904040404040404,0.03787878787878788,0.020202020202020204,0.0,0.6515151515151515,0.3282828282828283,0.020202020202020204,0.0,Jumaane D. Williams RECAP,0.6515151515151515
65007,65007,99.00,1,3,1,0,0,5,1,4,0,0,0.2,0.6,0.2,0.0,0.0,0.2,0.8,0.0,0.0,Joseph C. Borelli RECAP,0.8
65008,65008,99.00,169,74,9,4,0,256,169,83,4,0,0.66015625,0.2890625,0.03515625,0.015625,0.0,0.66015625,0.32421875,0.015625,0.0,Jumaane D. Williams RECAP,0.66015625
65009,65009,99.00,131,24,3,13,0,171,131,27,13,0,0.7660818713450293,0.14035087719298245,0.017543859649122806,0.07602339181286549,0.0,0.7660818713450293,0.15789473684210525,0.07602339181286549,0.0,Jumaane D. Williams RECAP,0.7660818713450293
65010,65010,99.00,147,13,1,10,0,171,147,14,10,0,0.8596491228070176,0.07602339181286549,0.005847953216374269,0.05847953216374269,0.0,0.8596491228070176,0.08187134502923976,0.05847953216374269,0.0,Jumaane D. Williams RECAP,0.8596491228070176
65011,65011,99.00,3,0,0,0,0,3,3,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Jumaane D. Williams RECAP,1.0
65012,65012,99.00,88,27,3,10,0,128,88,30,10,0,0.6875,0.2109375,0.0234375,0.078125,0.0,0.6875,0.234375,0.078125,0.0,Jumaane D. Williams RECAP,0.6875
65013,65013,99.00,7,0,0,1,0,8,7,0,1,0,0.875,0.0,0.0,0.125,0.0,0.875,0.0,0.125,0.0,Jumaane D. Williams RECAP,0.875
65014,65014,99.00,229,68,12,21,4,334,229,80,21,4,0.6856287425149701,0.20359281437125748,0.03592814371257485,0.06287425149700598,0.011976047904191617,0.6856287425149701,0.23952095808383234,0.06287425149700598,0.011976047904191617,Jumaane D. Williams RECAP,0.6856287425149701
65015,65015,99.00,187,56,6,15,0,264,187,62,15,0,0.7083333333333334,0.21212121212121213,0.022727272727272728,0.056818181818181816,0.0,0.7083333333333334,0.23484848484848486,0.056818181818181816,0.0,Jumaane D. Williams RECAP,0.7083333333333334
65016,65016,99.00,132,38,6,7,1,184,132,44,7,1,0.717391304347826,0.20652173913043478,0.03260869565217391,0.03804347826086957,0.005434782608695652,0.717391304347826,0.2391304347826087,0.03804347826086957,0.005434782608695652,Jumaane D. Williams RECAP,0.717391304347826
65017,65017,99.00,11,1,0,0,0,12,11,1,0,0,0.9166666666666666,0.08333333333333333,0.0,0.0,0.0,0.9166666666666666,0.08333333333333333,0.0,0.0,Jumaane D. Williams RECAP,0.9166666666666666
65018,65018,99.00,136,16,4,6,0,162,136,20,6,0,0.8395061728395061,0.09876543209876543,0.024691358024691357,0.037037037037037035,0.0,0.8395061728395061,0.12345679012345678,0.037037037037037035,0.0,Jumaane D. Williams RECAP,0.8395061728395061
65019,65019,99.00,118,34,2,1,1,156,118,36,1,1,0.7564102564102564,0.21794871794871795,0.01282051282051282,0.00641025641025641,0.00641025641025641,0.7564102564102564,0.23076923076923078,0.00641025641025641,0.00641025641025641,Jumaane D. Williams RECAP,0.7564102564102564
65020,65020,99.00,1,3,0,0,0,4,1,3,0,0,0.25,0.75,0.0,0.0,0.0,0.25,0.75,0.0,0.0,Joseph C. Borelli RECAP,0.75
65021,65021,99.00,144,33,4,4,1,186,144,37,4,1,0.7741935483870968,0.1774193548387097,0.021505376344086023,0.021505376344086023,0.005376344086021506,0.7741935483870968,0.1989247311827957,0.021505376344086023,0.005376344086021506,Jumaane D. Williams RECAP,0.7741935483870968
65022,65022,99.00,131,47,4,10,0,192,131,51,10,0,0.6822916666666666,0.24479166666666666,0.020833333333333332,0.052083333333333336,0.0,0.6822916666666666,0.265625,0.052083333333333336,0.0,Jumaane D. Williams RECAP,0.6822916666666666
65023,65023,99.00,153,20,1,3,0,177,153,21,3,0,0.864406779661017,0.11299435028248588,0.005649717514124294,0.01694915254237288,0.0,0.864406779661017,0.11864406779661017,0.01694915254237288,0.0,Jumaane D. Williams RECAP,0.864406779661017
65024,65024,99.00,108,12,4,3,0,127,108,16,3,0,0.8503937007874016,0.09448818897637795,0.031496062992125984,0.023622047244094488,0.0,0.8503937007874016,0.12598425196850394,0.023622047244094488,0.0,Jumaane D. Williams RECAP,0.8503937007874016
65025,65025,99.00,1,4,0,0,0,5,1,4,0,0,0.2,0.8,0.0,0.0,0.0,0.2,0.8,0.0,0.0,Joseph C. Borelli RECAP,0.8
65026,65026,99.00,5,0,0,0,0,5,5,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Jumaane D. Williams RECAP,1.0
65027,65027,99.00,157,56,9,9,0,231,157,65,9,0,0.6796536796536796,0.24242424242424243,0.03896103896103896,0.03896103896103896,0.0,0.6796536796536796,0.2813852813852814,0.03896103896103896,0.0,Jumaane D. Williams RECAP,0.6796536796536796
65028,65028,99.00,8,0,0,1,0,9,8,0,1,0,0.8888888888888888,0.0,0.0,0.1111111111111111,0.0,0.8888888888888888,0.0,0.1111111111111111,0.0,Jumaane D. Williams RECAP,0.8888888888888888
65029,65029,99.00,9,0,1,0,0,10,9,1,0,0,0.9,0.0,0.1,0.0,0.0,0.9,0.1,0.0,0.0,Jumaane D. Williams RECAP,0.9
65030,65030,99.00,297,49,9,10,0,365,297,58,10,0,0.8136986301369863,0.13424657534246576,0.024657534246575342,0.0273972602739726,0.0,0.8136986301369863,0.1589041095890411,0.0273972602739726,0.0,Jumaane D. Williams RECAP,0.8136986301369863
65031,65031,99.00,4,0,0,0,1,5,4,0,0,1,0.8,0.0,0.0,0.0,0.2,0.8,0.0,0.0,0.2,Jumaane D. Williams RECAP,0.8
65032,65032,99.00,99,22,1,6,0,128,99,23,6,0,0.7734375,0.171875,0.0078125,0.046875,0.0,0.7734375,0.1796875,0.046875,0.0,Jumaane D. Williams RECAP,0.7734375
65033,65033,99.00,120,14,2,3,1,140,120,16,3,1,0.8571428571428571,0.1,0.014285714285714285,0.02142857142857143,0.007142857142857143,0.8571428571428571,0.11428571428571428,0.02142857142857143,0.007142857142857143,Jumaane D. Williams RECAP,0.8571428571428571
65034,65034,99.00,12,1,0,0,0,13,12,1,0,0,0.9230769230769231,0.07692307692307693,0.0,0.0,0.0,0.9230769230769231,0.07692307692307693,0.0,0.0,Jumaane D. Williams RECAP,0.9230769230769231
65035,65035,99.00,70,16,3,1,0,90,70,19,1,0,0.7777777777777778,0.17777777777777778,0.03333333333333333,0.011111111111111112,0.0,0.7777777777777778,0.2111111111111111,0.011111111111111112,0.0,Jumaane D. Williams RECAP,0.7777777777777778
65036,65036,99.00,166,24,7,3,0,200,166,31,3,0,0.83,0.12,0.035,0.015,0.0,0.83,0.155,0.015,0.0,Jumaane D. Williams RECAP,0.83
65037,65037,99.00,75,8,0,4,0,87,75,8,4,0,0.8620689655172413,0.09195402298850575,0.0,0.04597701149425287,0.0,0.8620689655172413,0.09195402298850575,0.04597701149425287,0.0,Jumaane D. Williams RECAP,0.8620689655172413
65038,65038,99.00,9,1,0,0,0,10,9,1,0,0,0.9,0.1,0.0,0.0,0.0,0.9,0.1,0.0,0.0,Jumaane D. Williams RECAP,0.9
65039,65039,99.00,160,36,8,10,1,215,160,44,10,1,0.7441860465116279,0.16744186046511628,0.037209302325581395,0.046511627906976744,0.004651162790697674,0.7441860465116279,0.20465116279069767,0.046511627906976744,0.004651162790697674,Jumaane D. Williams RECAP,0.7441860465116279
65040,65040,33.33,150,18,5,10,1,184,150,23,10,1,0.8152173913043478,0.09782608695652174,0.02717391304347826,0.05434782608695652,0.005434782608695652,0.8152173913043478,0.125,0.05434782608695652,0.005434782608695652,Jumaane D. Williams RECAP,0.8152173913043478
65041,65041,33.33,30,1,1,2,0,34,30,2,2,0,0.8823529411764706,0.029411764705882353,0.029411764705882353,0.058823529411764705,0.0,0.8823529411764706,0.058823529411764705,0.058823529411764705,0.0,Jumaane D. Williams RECAP,0.8823529411764706
65042,65042,99.00,21,3,0,1,0,25,21,3,1,0,0.84,0.12,0.0,0.04,0.0,0.84,0.12,0.04,0.0,Jumaane D. Williams RECAP,0.84
65043,65043,33.33,153,15,4,4,0,176,153,19,4,0,0.8693181818181818,0.08522727272727272,0.022727272727272728,0.022727272727272728,0.0,0.8693181818181818,0.10795454545454546,0.022727272727272728,0.0,Jumaane D. Williams RECAP,0.8693181818181818
65044,65044,0.00,20,4,0,1,0,25,20,4,1,0,0.8,0.16,0.0,0.04,0.0,0.8,0.16,0.04,0.0,Jumaane D. Williams RECAP,0.8
65045,65045,99.00,217,46,10,10,0,283,217,56,10,0,0.7667844522968198,0.1625441696113074,0.0353356890459364,0.0353356890459364,0.0,0.7667844522968198,0.1978798586572438,0.0353356890459364,0.0,Jumaane D. Williams RECAP,0.7667844522968198
