ED,Reported As,Reporting,Margarita Lopez Torres (Democratic),Write-In,Total Votes,Margarita Lopez Torres RECAP,Write-In RECAP,p_Margarita Lopez Torres (Democratic),p_Write-In,p_Margarita Lopez Torres RECAP,p_Write-In RECAP,winner,winner_p
41001,41001,99.00,5,0,5,5,0,1.0,0.0,1.0,0.0,Margarita Lopez Torres RECAP,1.0
41002,41002,99.00,149,2,151,149,2,0.9867549668874173,0.013245033112582781,0.9867549668874173,0.013245033112582781,Margarita Lopez Torres RECAP,0.9867549668874173
41003,41003,99.00,164,6,170,164,6,0.9647058823529412,0.03529411764705882,0.9647058823529412,0.03529411764705882,Margarita Lopez Torres RECAP,0.9647058823529412
41004,41004,99.00,5,0,5,5,0,1.0,0.0,1.0,0.0,Margarita Lopez Torres RECAP,1.0
41005,41005,36.36,103,3,106,103,3,0.9716981132075472,0.02830188679245283,0.9716981132075472,0.02830188679245283,Margarita Lopez Torres RECAP,0.9716981132075472
41006,41006,99.00,81,2,83,81,2,0.9759036144578314,0.024096385542168676,0.9759036144578314,0.024096385542168676,Margarita Lopez Torres RECAP,0.9759036144578314
41007,41007,99.00,101,4,105,101,4,0.9619047619047619,0.0380952380952381,0.9619047619047619,0.0380952380952381,Margarita Lopez Torres RECAP,0.9619047619047619
41008,41008,99.00,71,0,71,71,0,1.0,0.0,1.0,0.0,Margarita Lopez Torres RECAP,1.0
41009,41009,99.00,59,4,63,59,4,0.9365079365079365,0.06349206349206349,0.9365079365079365,0.06349206349206349,Margarita Lopez Torres RECAP,0.9365079365079365
41010,41010,99.00,2,0,2,2,0,1.0,0.0,1.0,0.0,Margarita Lopez Torres RECAP,1.0
41011,41011,99.00,30,2,32,30,2,0.9375,0.0625,0.9375,0.0625,Margarita Lopez Torres RECAP,0.9375
41012,41012,36.36,61,3,64,61,3,0.953125,0.046875,0.953125,0.046875,Margarita Lopez Torres RECAP,0.953125
41013,41013,36.36,1,0,1,1,0,1.0,0.0,1.0,0.0,Margarita Lopez Torres RECAP,1.0
41014,41014,99.00,0,0,0,0,0,0,0,0,0,n/a,0
41015,41015,36.36,10,0,10,10,0,1.0,0.0,1.0,0.0,Margarita Lopez Torres RECAP,1.0
41016,41016,99.00,68,1,69,68,1,0.9855072463768116,0.014492753623188406,0.9855072463768116,0.014492753623188406,Margarita Lopez Torres RECAP,0.9855072463768116
41017,41017,99.00,141,12,153,141,12,0.9215686274509803,0.0784313725490196,0.9215686274509803,0.0784313725490196,Margarita Lopez Torres RECAP,0.9215686274509803
41018,41018,99.00,86,3,89,86,3,0.9662921348314607,0.033707865168539325,0.9662921348314607,0.033707865168539325,Margarita Lopez Torres RECAP,0.9662921348314607
41019,41019,99.00,0,0,0,0,0,0,0,0,0,n/a,0
41020,41020,99.00,93,7,100,93,7,0.93,0.07,0.93,0.07,Margarita Lopez Torres RECAP,0.93
41021,41021,99.00,158,2,160,158,2,0.9875,0.0125,0.9875,0.0125,Margarita Lopez Torres RECAP,0.9875
41022,41022,99.00,24,0,24,24,0,1.0,0.0,1.0,0.0,Margarita Lopez Torres RECAP,1.0
41023,41023,99.00,1,0,1,1,0,1.0,0.0,1.0,0.0,Margarita Lopez Torres RECAP,1.0
41024,41024,66.67,2,0,2,2,0,1.0,0.0,1.0,0.0,Margarita Lopez Torres RECAP,1.0
41025,41025,66.67,24,2,26,24,2,0.9230769230769231,0.07692307692307693,0.9230769230769231,0.07692307692307693,Margarita Lopez Torres RECAP,0.9230769230769231
41026,41026,99.00,0,0,0,0,0,0,0,0,0,n/a,0
41027,41027,99.00,4,0,4,4,0,1.0,0.0,1.0,0.0,Margarita Lopez Torres RECAP,1.0
41028,41028,99.00,163,1,164,163,1,0.9939024390243902,0.006097560975609756,0.9939024390243902,0.006097560975609756,Margarita Lopez Torres RECAP,0.9939024390243902
41029,41029,66.67,0,0,0,0,0,0,0,0,0,n/a,0
41030,41030,99.00,183,1,184,183,1,0.9945652173913043,0.005434782608695652,0.9945652173913043,0.005434782608695652,Margarita Lopez Torres RECAP,0.9945652173913043
41031,41031,99.00,199,0,199,199,0,1.0,0.0,1.0,0.0,Margarita Lopez Torres RECAP,1.0
