ED,Reported As,Reporting,Sam Sloan,Scattered,Jose E. Serrano,Total Votes,p_Sam Sloan,p_Scattered,p_Jose E. Serrano,winner,winner_p
77001,77001,100,1,1,7,9,0.1111111111111111,0.1111111111111111,0.7777777777777778,Jose E. Serrano,0.7777777777777778
77002,77002,100,1,1,15,17,0.058823529411764705,0.058823529411764705,0.8823529411764706,Jose E. Serrano,0.8823529411764706
77003,77003,100,7,2,75,84,0.08333333333333333,0.023809523809523808,0.8928571428571429,Jose E. Serrano,0.8928571428571429
77004,77004,100,0,1,13,14,0.0,0.07142857142857142,0.9285714285714286,Jose E. Serrano,0.9285714285714286
77005,77005,100,5,0,51,56,0.08928571428571429,0.0,0.9107142857142857,Jose E. Serrano,0.9107142857142857
77006,77006,100,4,7,39,50,0.08,0.14,0.78,Jose E. Serrano,0.78
77007,77007,100,4,12,74,90,0.044444444444444446,0.13333333333333333,0.8222222222222222,Jose E. Serrano,0.8222222222222222
77008,77008,100,4,6,45,55,0.07272727272727272,0.10909090909090909,0.8181818181818182,Jose E. Serrano,0.8181818181818182
77009,77009,100,7,4,40,51,0.13725490196078433,0.0784313725490196,0.7843137254901961,Jose E. Serrano,0.7843137254901961
77010,77010,100,9,6,107,122,0.07377049180327869,0.04918032786885246,0.8770491803278688,Jose E. Serrano,0.8770491803278688
77011,77011,100,9,3,37,49,0.1836734693877551,0.061224489795918366,0.7551020408163265,Jose E. Serrano,0.7551020408163265
77012,77012,100,1,0,41,42,0.023809523809523808,0.0,0.9761904761904762,Jose E. Serrano,0.9761904761904762
77013,77013,100,3,0,23,26,0.11538461538461539,0.0,0.8846153846153846,Jose E. Serrano,0.8846153846153846
77014,77014,100,2,3,64,69,0.028985507246376812,0.043478260869565216,0.927536231884058,Jose E. Serrano,0.927536231884058
77015,77015,100,2,2,43,47,0.0425531914893617,0.0425531914893617,0.9148936170212766,Jose E. Serrano,0.9148936170212766
77016,77016,100,4,1,56,61,0.06557377049180328,0.01639344262295082,0.9180327868852459,Jose E. Serrano,0.9180327868852459
77017,77017,100,2,1,13,16,0.125,0.0625,0.8125,Jose E. Serrano,0.8125
77018,77018,100,2,5,26,33,0.06060606060606061,0.15151515151515152,0.7878787878787878,Jose E. Serrano,0.7878787878787878
77019,77019,100,1,1,33,35,0.02857142857142857,0.02857142857142857,0.9428571428571428,Jose E. Serrano,0.9428571428571428
77020,77020,100,6,1,27,34,0.17647058823529413,0.029411764705882353,0.7941176470588235,Jose E. Serrano,0.7941176470588235
77021,77021,100,4,22,38,64,0.0625,0.34375,0.59375,Jose E. Serrano,0.59375
77022,77022,100,2,19,38,59,0.03389830508474576,0.3220338983050847,0.6440677966101694,Jose E. Serrano,0.6440677966101694
77033,77033,100,0,0,5,5,0.0,0.0,1.0,Jose E. Serrano,1.0
77032,77033,100,0,0,0,0,0,0,0,n/a,0
77034,77034,100,4,6,38,48,0.08333333333333333,0.125,0.7916666666666666,Jose E. Serrano,0.7916666666666666
77035,77035,100,1,6,40,47,0.02127659574468085,0.1276595744680851,0.851063829787234,Jose E. Serrano,0.851063829787234
77036,77036,100,6,0,24,30,0.2,0.0,0.8,Jose E. Serrano,0.8
77037,77037,100,1,3,41,45,0.022222222222222223,0.06666666666666667,0.9111111111111111,Jose E. Serrano,0.9111111111111111
77038,77038,100,1,3,17,21,0.047619047619047616,0.14285714285714285,0.8095238095238095,Jose E. Serrano,0.8095238095238095
77039,77039,100,2,2,38,42,0.047619047619047616,0.047619047619047616,0.9047619047619048,Jose E. Serrano,0.9047619047619048
77040,77040,100,0,1,20,21,0.0,0.047619047619047616,0.9523809523809523,Jose E. Serrano,0.9523809523809523
77041,77041,100,1,1,43,45,0.022222222222222223,0.022222222222222223,0.9555555555555556,Jose E. Serrano,0.9555555555555556
77042,77042,100,2,1,12,15,0.13333333333333333,0.06666666666666667,0.8,Jose E. Serrano,0.8
77043,77043,100,4,0,33,37,0.10810810810810811,0.0,0.8918918918918919,Jose E. Serrano,0.8918918918918919
77044,77044,100,7,0,30,37,0.1891891891891892,0.0,0.8108108108108109,Jose E. Serrano,0.8108108108108109
77045,77045,100,3,1,49,53,0.05660377358490566,0.018867924528301886,0.9245283018867925,Jose E. Serrano,0.9245283018867925
77046,77046,100,5,2,42,49,0.10204081632653061,0.04081632653061224,0.8571428571428571,Jose E. Serrano,0.8571428571428571
77047,77047,100,2,0,41,43,0.046511627906976744,0.0,0.9534883720930233,Jose E. Serrano,0.9534883720930233
77048,77048,100,4,1,34,39,0.10256410256410256,0.02564102564102564,0.8717948717948718,Jose E. Serrano,0.8717948717948718
77049,77049,100,2,0,22,24,0.08333333333333333,0.0,0.9166666666666666,Jose E. Serrano,0.9166666666666666
77050,77050,100,3,2,45,50,0.06,0.04,0.9,Jose E. Serrano,0.9
77051,77051,100,4,1,38,43,0.09302325581395349,0.023255813953488372,0.8837209302325582,Jose E. Serrano,0.8837209302325582
77052,77052,100,3,0,12,15,0.2,0.0,0.8,Jose E. Serrano,0.8
77053,77053,100,2,1,36,39,0.05128205128205128,0.02564102564102564,0.9230769230769231,Jose E. Serrano,0.9230769230769231
77054,77054,100,0,6,39,45,0.0,0.13333333333333333,0.8666666666666667,Jose E. Serrano,0.8666666666666667
77055,77055,100,3,3,22,28,0.10714285714285714,0.10714285714285714,0.7857142857142857,Jose E. Serrano,0.7857142857142857
77056,77056,100,13,0,46,59,0.22033898305084745,0.0,0.7796610169491526,Jose E. Serrano,0.7796610169491526
77057,77057,100,3,3,32,38,0.07894736842105263,0.07894736842105263,0.8421052631578947,Jose E. Serrano,0.8421052631578947
77058,77058,100,10,0,48,58,0.1724137931034483,0.0,0.8275862068965517,Jose E. Serrano,0.8275862068965517
77059,77059,100,2,1,32,35,0.05714285714285714,0.02857142857142857,0.9142857142857143,Jose E. Serrano,0.9142857142857143
77060,77060,100,7,3,81,91,0.07692307692307693,0.03296703296703297,0.8901098901098901,Jose E. Serrano,0.8901098901098901
77061,77061,100,2,0,10,12,0.16666666666666666,0.0,0.8333333333333334,Jose E. Serrano,0.8333333333333334
77062,77062,100,2,0,26,28,0.07142857142857142,0.0,0.9285714285714286,Jose E. Serrano,0.9285714285714286
77063,77063,100,1,1,42,44,0.022727272727272728,0.022727272727272728,0.9545454545454546,Jose E. Serrano,0.9545454545454546
77064,77064,100,2,0,7,9,0.2222222222222222,0.0,0.7777777777777778,Jose E. Serrano,0.7777777777777778
77065,77065,100,8,4,30,42,0.19047619047619047,0.09523809523809523,0.7142857142857143,Jose E. Serrano,0.7142857142857143
84017,84017,100,1,1,23,25,0.04,0.04,0.92,Jose E. Serrano,0.92
77066,84017,100,0,0,0,0,0,0,0,n/a,0
77067,77067,100,0,0,34,34,0.0,0.0,1.0,Jose E. Serrano,1.0
77068,77068,100,2,1,14,17,0.11764705882352941,0.058823529411764705,0.8235294117647058,Jose E. Serrano,0.8235294117647058
77069,77069,100,0,0,0,0,0,0,0,n/a,0
77070,77040,100,0,0,0,0,0,0,0,n/a,0
78001,78001,100,0,3,17,20,0.0,0.15,0.85,Jose E. Serrano,0.85
78002,78002,100,3,2,32,37,0.08108108108108109,0.05405405405405406,0.8648648648648649,Jose E. Serrano,0.8648648648648649
78003,78003,100,1,1,13,15,0.06666666666666667,0.06666666666666667,0.8666666666666667,Jose E. Serrano,0.8666666666666667
78004,78004,100,2,1,33,36,0.05555555555555555,0.027777777777777776,0.9166666666666666,Jose E. Serrano,0.9166666666666666
78005,78005,100,0,2,31,33,0.0,0.06060606060606061,0.9393939393939394,Jose E. Serrano,0.9393939393939394
78006,78006,100,7,1,41,49,0.14285714285714285,0.02040816326530612,0.8367346938775511,Jose E. Serrano,0.8367346938775511
78007,78007,100,0,0,5,5,0.0,0.0,1.0,Jose E. Serrano,1.0
78008,78008,100,1,1,13,15,0.06666666666666667,0.06666666666666667,0.8666666666666667,Jose E. Serrano,0.8666666666666667
