ED,Reported As,Reporting,Michael A. Walrond Jr.,Adriano Espaillat,Charles B. Rangel,Scattered,Yolanda Garcia,Total Votes,p_Michael A. Walrond Jr.,p_Adriano Espaillat,p_Charles B. Rangel,p_Scattered,p_Yolanda Garcia,winner,winner_p
68016,68016,100,4,12,39,0,0,55,0.07272727272727272,0.21818181818181817,0.7090909090909091,0.0,0.0,Charles B. Rangel,0.7090909090909091
68017,68017,100,4,6,54,0,2,66,0.06060606060606061,0.09090909090909091,0.8181818181818182,0.0,0.030303030303030304,Charles B. Rangel,0.8181818181818182
68018,68018,100,10,18,60,0,0,88,0.11363636363636363,0.20454545454545456,0.6818181818181818,0.0,0.0,Charles B. Rangel,0.6818181818181818
68019,68019,100,6,23,41,0,0,70,0.08571428571428572,0.32857142857142857,0.5857142857142857,0.0,0.0,Charles B. Rangel,0.5857142857142857
68020,68020,100,2,8,7,0,0,17,0.11764705882352941,0.47058823529411764,0.4117647058823529,0.0,0.0,Adriano Espaillat,0.47058823529411764
68021,68021,100,1,20,43,0,0,64,0.015625,0.3125,0.671875,0.0,0.0,Charles B. Rangel,0.671875
68022,68022,100,4,23,23,0,2,52,0.07692307692307693,0.4423076923076923,0.4423076923076923,0.0,0.038461538461538464,Tie,0.4423076923076923
68023,68023,100,6,36,48,1,2,93,0.06451612903225806,0.3870967741935484,0.5161290322580645,0.010752688172043012,0.021505376344086023,Charles B. Rangel,0.5161290322580645
68024,68024,100,3,14,27,0,0,44,0.06818181818181818,0.3181818181818182,0.6136363636363636,0.0,0.0,Charles B. Rangel,0.6136363636363636
68025,68025,100,4,17,37,0,0,58,0.06896551724137931,0.29310344827586204,0.6379310344827587,0.0,0.0,Charles B. Rangel,0.6379310344827587
68026,68026,100,4,24,51,1,0,80,0.05,0.3,0.6375,0.0125,0.0,Charles B. Rangel,0.6375
68027,68027,100,5,36,29,0,1,71,0.07042253521126761,0.5070422535211268,0.4084507042253521,0.0,0.014084507042253521,Adriano Espaillat,0.5070422535211268
68028,68028,100,6,21,29,0,4,60,0.1,0.35,0.48333333333333334,0.0,0.06666666666666667,Charles B. Rangel,0.48333333333333334
68029,68029,100,1,13,17,0,0,31,0.03225806451612903,0.41935483870967744,0.5483870967741935,0.0,0.0,Charles B. Rangel,0.5483870967741935
68030,68030,100,7,9,32,0,1,49,0.14285714285714285,0.1836734693877551,0.6530612244897959,0.0,0.02040816326530612,Charles B. Rangel,0.6530612244897959
68031,68031,100,13,14,113,1,1,142,0.09154929577464789,0.09859154929577464,0.795774647887324,0.007042253521126761,0.007042253521126761,Charles B. Rangel,0.795774647887324
