ED,Reported As,Reporting,Nydia M. Velazquez,Scattered,Jeffrey M. Kurzon,Total Votes,p_Nydia M. Velazquez,p_Scattered,p_Jeffrey M. Kurzon,winner,winner_p
65018,65018,100,15,0,0,15,1.0,0.0,0.0,Nydia M. Velazquez,1.0
65019,65019,100,32,0,7,39,0.8205128205128205,0.0,0.1794871794871795,Nydia M. Velazquez,0.8205128205128205
65020,65020,100,33,1,3,37,0.8918918918918919,0.02702702702702703,0.08108108108108109,Nydia M. Velazquez,0.8918918918918919
65021,65021,100,18,3,4,25,0.72,0.12,0.16,Nydia M. Velazquez,0.72
65022,65022,100,21,0,4,25,0.84,0.0,0.16,Nydia M. Velazquez,0.84
65023,65023,100,15,0,2,17,0.8823529411764706,0.0,0.11764705882352941,Nydia M. Velazquez,0.8823529411764706
65024,65024,100,19,0,0,19,1.0,0.0,0.0,Nydia M. Velazquez,1.0
65025,65025,100,13,0,6,19,0.6842105263157895,0.0,0.3157894736842105,Nydia M. Velazquez,0.6842105263157895
65026,65026,100,9,0,2,11,0.8181818181818182,0.0,0.18181818181818182,Nydia M. Velazquez,0.8181818181818182
65027,65027,100,27,0,4,31,0.8709677419354839,0.0,0.12903225806451613,Nydia M. Velazquez,0.8709677419354839
65028,65028,100,5,0,0,5,1.0,0.0,0.0,Nydia M. Velazquez,1.0
65029,65029,100,4,0,0,4,1.0,0.0,0.0,Nydia M. Velazquez,1.0
65030,65030,100,38,0,9,47,0.8085106382978723,0.0,0.19148936170212766,Nydia M. Velazquez,0.8085106382978723
65031,65031,100,85,1,9,95,0.8947368421052632,0.010526315789473684,0.09473684210526316,Nydia M. Velazquez,0.8947368421052632
65032,65032,100,9,0,4,13,0.6923076923076923,0.0,0.3076923076923077,Nydia M. Velazquez,0.6923076923076923
65033,65033,100,39,0,2,41,0.9512195121951219,0.0,0.04878048780487805,Nydia M. Velazquez,0.9512195121951219
65034,65034,100,29,0,2,31,0.9354838709677419,0.0,0.06451612903225806,Nydia M. Velazquez,0.9354838709677419
65035,65035,100,27,0,5,32,0.84375,0.0,0.15625,Nydia M. Velazquez,0.84375
65036,65036,100,36,3,3,42,0.8571428571428571,0.07142857142857142,0.07142857142857142,Nydia M. Velazquez,0.8571428571428571
65037,65037,100,26,0,8,34,0.7647058823529411,0.0,0.23529411764705882,Nydia M. Velazquez,0.7647058823529411
65038,65038,100,22,0,7,29,0.7586206896551724,0.0,0.2413793103448276,Nydia M. Velazquez,0.7586206896551724
65039,65039,100,15,0,6,21,0.7142857142857143,0.0,0.2857142857142857,Nydia M. Velazquez,0.7142857142857143
65040,65040,100,18,0,4,22,0.8181818181818182,0.0,0.18181818181818182,Nydia M. Velazquez,0.8181818181818182
65041,65041,100,9,1,3,13,0.6923076923076923,0.07692307692307693,0.23076923076923078,Nydia M. Velazquez,0.6923076923076923
65042,65042,100,29,1,7,37,0.7837837837837838,0.02702702702702703,0.1891891891891892,Nydia M. Velazquez,0.7837837837837838
