ED,Reported As,Reporting,Scattered,Joseph R. Marthone,Gregory W. Meeks,Total Votes,p_Scattered,p_Joseph R. Marthone,p_Gregory W. Meeks,winner,winner_p
23001,23001,100,0,11,20,31,0.0,0.3548387096774194,0.6451612903225806,Gregory W. Meeks,0.6451612903225806
23002,23002,100,0,6,22,28,0.0,0.21428571428571427,0.7857142857142857,Gregory W. Meeks,0.7857142857142857
23003,23003,100,1,13,14,28,0.03571428571428571,0.4642857142857143,0.5,Gregory W. Meeks,0.5
23004,23004,100,0,1,1,2,0.0,0.5,0.5,Tie,0.5
23005,23005,100,0,8,11,19,0.0,0.42105263157894735,0.5789473684210527,Gregory W. Meeks,0.5789473684210527
23006,23006,100,1,12,9,22,0.045454545454545456,0.5454545454545454,0.4090909090909091,Joseph R. Marthone,0.5454545454545454
23007,23007,100,0,6,16,22,0.0,0.2727272727272727,0.7272727272727273,Gregory W. Meeks,0.7272727272727273
23008,23008,100,0,10,17,27,0.0,0.37037037037037035,0.6296296296296297,Gregory W. Meeks,0.6296296296296297
23009,23009,100,1,14,22,37,0.02702702702702703,0.3783783783783784,0.5945945945945946,Gregory W. Meeks,0.5945945945945946
23010,23010,100,1,8,14,23,0.043478260869565216,0.34782608695652173,0.6086956521739131,Gregory W. Meeks,0.6086956521739131
23011,23011,100,1,14,22,37,0.02702702702702703,0.3783783783783784,0.5945945945945946,Gregory W. Meeks,0.5945945945945946
23012,23012,100,0,24,27,51,0.0,0.47058823529411764,0.5294117647058824,Gregory W. Meeks,0.5294117647058824
23013,23013,100,0,15,14,29,0.0,0.5172413793103449,0.4827586206896552,Joseph R. Marthone,0.5172413793103449
23014,23014,100,0,22,22,44,0.0,0.5,0.5,Tie,0.5
23015,23015,100,0,14,17,31,0.0,0.45161290322580644,0.5483870967741935,Gregory W. Meeks,0.5483870967741935
23016,23016,100,1,14,52,67,0.014925373134328358,0.208955223880597,0.7761194029850746,Gregory W. Meeks,0.7761194029850746
23017,23017,100,1,15,30,46,0.021739130434782608,0.32608695652173914,0.6521739130434783,Gregory W. Meeks,0.6521739130434783
23018,23018,100,0,6,15,21,0.0,0.2857142857142857,0.7142857142857143,Gregory W. Meeks,0.7142857142857143
23019,23019,100,1,22,31,54,0.018518518518518517,0.4074074074074074,0.5740740740740741,Gregory W. Meeks,0.5740740740740741
31030,31030,100,0,0,0,0,0,0,0,n/a,0
23020,31030,100,0,0,0,0,0,0,0,n/a,0
23021,23021,100,0,1,5,6,0.0,0.16666666666666666,0.8333333333333334,Gregory W. Meeks,0.8333333333333334
23022,23022,100,0,1,8,9,0.0,0.1111111111111111,0.8888888888888888,Gregory W. Meeks,0.8888888888888888
23023,23023,100,0,12,27,39,0.0,0.3076923076923077,0.6923076923076923,Gregory W. Meeks,0.6923076923076923
23024,23024,100,0,5,36,41,0.0,0.12195121951219512,0.8780487804878049,Gregory W. Meeks,0.8780487804878049
23025,23025,100,0,8,35,43,0.0,0.18604651162790697,0.813953488372093,Gregory W. Meeks,0.813953488372093
23026,23026,100,0,26,62,88,0.0,0.29545454545454547,0.7045454545454546,Gregory W. Meeks,0.7045454545454546
23027,23027,100,0,2,19,21,0.0,0.09523809523809523,0.9047619047619048,Gregory W. Meeks,0.9047619047619048
23028,23028,100,0,19,29,48,0.0,0.3958333333333333,0.6041666666666666,Gregory W. Meeks,0.6041666666666666
23029,23029,100,3,14,35,52,0.057692307692307696,0.2692307692307692,0.6730769230769231,Gregory W. Meeks,0.6730769230769231
23030,23030,100,1,24,47,72,0.013888888888888888,0.3333333333333333,0.6527777777777778,Gregory W. Meeks,0.6527777777777778
23031,23031,100,1,18,46,65,0.015384615384615385,0.27692307692307694,0.7076923076923077,Gregory W. Meeks,0.7076923076923077
23032,23032,100,1,1,25,27,0.037037037037037035,0.037037037037037035,0.9259259259259259,Gregory W. Meeks,0.9259259259259259
23033,23033,100,1,4,12,17,0.058823529411764705,0.23529411764705882,0.7058823529411765,Gregory W. Meeks,0.7058823529411765
23034,23034,100,0,2,19,21,0.0,0.09523809523809523,0.9047619047619048,Gregory W. Meeks,0.9047619047619048
23035,23035,100,0,5,26,31,0.0,0.16129032258064516,0.8387096774193549,Gregory W. Meeks,0.8387096774193549
23036,23036,100,1,6,17,24,0.041666666666666664,0.25,0.7083333333333334,Gregory W. Meeks,0.7083333333333334
23037,23037,100,1,7,26,34,0.029411764705882353,0.20588235294117646,0.7647058823529411,Gregory W. Meeks,0.7647058823529411
23038,23022,100,0,0,0,0,0,0,0,n/a,0
23039,23039,100,0,5,23,28,0.0,0.17857142857142858,0.8214285714285714,Gregory W. Meeks,0.8214285714285714
23040,23040,100,0,16,9,25,0.0,0.64,0.36,Joseph R. Marthone,0.64
23041,23041,100,0,4,4,8,0.0,0.5,0.5,Tie,0.5
23042,23042,100,1,20,44,65,0.015384615384615385,0.3076923076923077,0.676923076923077,Gregory W. Meeks,0.676923076923077
23070,23070,100,0,3,3,6,0.0,0.5,0.5,Tie,0.5
23071,23022,100,0,0,0,0,0,0,0,n/a,0
23072,23040,100,0,0,0,0,0,0,0,n/a,0
23073,23040,100,0,0,0,0,0,0,0,n/a,0
23074,23040,100,0,0,0,0,0,0,0,n/a,0
23076,23040,100,0,0,0,0,0,0,0,n/a,0
23077,23040,100,0,0,0,0,0,0,0,n/a,0
23078,23040,100,0,0,0,0,0,0,0,n/a,0
23079,23040,100,0,0,0,0,0,0,0,n/a,0
23080,23040,100,0,0,0,0,0,0,0,n/a,0
23081,23040,100,0,0,0,0,0,0,0,n/a,0
23082,23040,100,0,0,0,0,0,0,0,n/a,0
23083,23022,100,0,0,0,0,0,0,0,n/a,0
24026,24026,100,0,5,6,11,0.0,0.45454545454545453,0.5454545454545454,Gregory W. Meeks,0.5454545454545454
24027,24027,100,0,12,34,46,0.0,0.2608695652173913,0.7391304347826086,Gregory W. Meeks,0.7391304347826086
24028,24028,100,0,7,11,18,0.0,0.3888888888888889,0.6111111111111112,Gregory W. Meeks,0.6111111111111112
24029,24029,100,2,21,60,83,0.024096385542168676,0.25301204819277107,0.7228915662650602,Gregory W. Meeks,0.7228915662650602
24030,24030,100,0,6,50,56,0.0,0.10714285714285714,0.8928571428571429,Gregory W. Meeks,0.8928571428571429
24031,24031,100,0,1,21,22,0.0,0.045454545454545456,0.9545454545454546,Gregory W. Meeks,0.9545454545454546
24032,24032,100,0,5,11,16,0.0,0.3125,0.6875,Gregory W. Meeks,0.6875
24033,24033,100,0,9,11,20,0.0,0.45,0.55,Gregory W. Meeks,0.55
24034,24034,100,0,6,11,17,0.0,0.35294117647058826,0.6470588235294118,Gregory W. Meeks,0.6470588235294118
24035,24035,100,0,12,17,29,0.0,0.41379310344827586,0.5862068965517241,Gregory W. Meeks,0.5862068965517241
24036,24036,100,1,2,8,11,0.09090909090909091,0.18181818181818182,0.7272727272727273,Gregory W. Meeks,0.7272727272727273
24037,24037,100,0,5,12,17,0.0,0.29411764705882354,0.7058823529411765,Gregory W. Meeks,0.7058823529411765
24038,24031,100,0,0,0,0,0,0,0,n/a,0
24039,24039,100,0,1,3,4,0.0,0.25,0.75,Gregory W. Meeks,0.75
24040,24040,100,1,9,24,34,0.029411764705882353,0.2647058823529412,0.7058823529411765,Gregory W. Meeks,0.7058823529411765
24057,24057,100,0,1,3,4,0.0,0.25,0.75,Gregory W. Meeks,0.75
24058,24058,100,0,1,3,4,0.0,0.25,0.75,Gregory W. Meeks,0.75
24059,24059,100,0,1,5,6,0.0,0.16666666666666666,0.8333333333333334,Gregory W. Meeks,0.8333333333333334
24060,24060,100,1,2,0,3,0.3333333333333333,0.6666666666666666,0.0,Joseph R. Marthone,0.6666666666666666
24063,24063,100,0,2,9,11,0.0,0.18181818181818182,0.8181818181818182,Gregory W. Meeks,0.8181818181818182
24064,24064,100,0,0,7,7,0.0,0.0,1.0,Gregory W. Meeks,1.0
24065,24065,100,2,13,14,29,0.06896551724137931,0.4482758620689655,0.4827586206896552,Gregory W. Meeks,0.4827586206896552
24066,24066,100,1,9,8,18,0.05555555555555555,0.5,0.4444444444444444,Joseph R. Marthone,0.5
24068,24068,100,0,4,3,7,0.0,0.5714285714285714,0.42857142857142855,Joseph R. Marthone,0.5714285714285714
24069,24069,100,1,7,4,12,0.08333333333333333,0.5833333333333334,0.3333333333333333,Joseph R. Marthone,0.5833333333333334
24070,24070,100,0,4,5,9,0.0,0.4444444444444444,0.5555555555555556,Gregory W. Meeks,0.5555555555555556
24071,24071,100,0,3,3,6,0.0,0.5,0.5,Tie,0.5
24072,24072,100,0,1,12,13,0.0,0.07692307692307693,0.9230769230769231,Gregory W. Meeks,0.9230769230769231
24073,24073,100,1,8,8,17,0.058823529411764705,0.47058823529411764,0.47058823529411764,Tie,0.47058823529411764
24074,24074,100,0,3,5,8,0.0,0.375,0.625,Gregory W. Meeks,0.625
24075,24075,100,1,3,4,8,0.125,0.375,0.5,Gregory W. Meeks,0.5
24076,24076,100,0,1,9,10,0.0,0.1,0.9,Gregory W. Meeks,0.9
24077,24077,100,0,10,7,17,0.0,0.5882352941176471,0.4117647058823529,Joseph R. Marthone,0.5882352941176471
24079,24079,100,0,6,1,7,0.0,0.8571428571428571,0.14285714285714285,Joseph R. Marthone,0.8571428571428571
24081,24060,100,0,0,0,0,0,0,0,n/a,0
24082,24064,100,0,0,0,0,0,0,0,n/a,0
27002,27002,100,0,4,5,9,0.0,0.4444444444444444,0.5555555555555556,Gregory W. Meeks,0.5555555555555556
28004,28004,100,0,4,1,5,0.0,0.8,0.2,Joseph R. Marthone,0.8
27069,28004,100,0,0,0,0,0,0,0,n/a,0
28002,28002,100,0,0,5,5,0.0,0.0,1.0,Gregory W. Meeks,1.0
28003,28003,100,0,10,10,20,0.0,0.5,0.5,Tie,0.5
28005,28005,100,0,4,1,5,0.0,0.8,0.2,Joseph R. Marthone,0.8
29001,29001,100,0,5,7,12,0.0,0.4166666666666667,0.5833333333333334,Gregory W. Meeks,0.5833333333333334
29002,29002,100,0,6,22,28,0.0,0.21428571428571427,0.7857142857142857,Gregory W. Meeks,0.7857142857142857
29003,29003,100,0,3,15,18,0.0,0.16666666666666666,0.8333333333333334,Gregory W. Meeks,0.8333333333333334
29004,29004,100,0,10,22,32,0.0,0.3125,0.6875,Gregory W. Meeks,0.6875
29005,29005,100,1,0,10,11,0.09090909090909091,0.0,0.9090909090909091,Gregory W. Meeks,0.9090909090909091
29006,29006,100,0,9,20,29,0.0,0.3103448275862069,0.6896551724137931,Gregory W. Meeks,0.6896551724137931
29007,29005,100,0,0,0,0,0,0,0,n/a,0
29008,29008,100,0,13,35,48,0.0,0.2708333333333333,0.7291666666666666,Gregory W. Meeks,0.7291666666666666
29009,29009,100,0,1,14,15,0.0,0.06666666666666667,0.9333333333333333,Gregory W. Meeks,0.9333333333333333
29010,29010,100,1,6,6,13,0.07692307692307693,0.46153846153846156,0.46153846153846156,Tie,0.46153846153846156
29011,29011,100,1,0,1,2,0.5,0.0,0.5,Tie,0.5
29012,29012,100,1,5,24,30,0.03333333333333333,0.16666666666666666,0.8,Gregory W. Meeks,0.8
29013,29013,100,0,3,7,10,0.0,0.3,0.7,Gregory W. Meeks,0.7
29014,29014,100,2,2,11,15,0.13333333333333333,0.13333333333333333,0.7333333333333333,Gregory W. Meeks,0.7333333333333333
29015,29015,100,1,8,30,39,0.02564102564102564,0.20512820512820512,0.7692307692307693,Gregory W. Meeks,0.7692307692307693
29016,29016,100,0,6,13,19,0.0,0.3157894736842105,0.6842105263157895,Gregory W. Meeks,0.6842105263157895
29017,29017,100,1,9,52,62,0.016129032258064516,0.14516129032258066,0.8387096774193549,Gregory W. Meeks,0.8387096774193549
29018,29018,100,0,2,8,10,0.0,0.2,0.8,Gregory W. Meeks,0.8
29019,29019,100,0,3,8,11,0.0,0.2727272727272727,0.7272727272727273,Gregory W. Meeks,0.7272727272727273
29020,29020,100,0,2,32,34,0.0,0.058823529411764705,0.9411764705882353,Gregory W. Meeks,0.9411764705882353
29021,29021,100,0,3,26,29,0.0,0.10344827586206896,0.896551724137931,Gregory W. Meeks,0.896551724137931
29022,29022,100,0,2,31,33,0.0,0.06060606060606061,0.9393939393939394,Gregory W. Meeks,0.9393939393939394
29023,29023,100,1,2,34,37,0.02702702702702703,0.05405405405405406,0.918918918918919,Gregory W. Meeks,0.918918918918919
29024,29024,100,1,9,68,78,0.01282051282051282,0.11538461538461539,0.8717948717948718,Gregory W. Meeks,0.8717948717948718
29025,29025,100,1,8,52,61,0.01639344262295082,0.13114754098360656,0.8524590163934426,Gregory W. Meeks,0.8524590163934426
29026,29026,100,1,12,64,77,0.012987012987012988,0.15584415584415584,0.8311688311688312,Gregory W. Meeks,0.8311688311688312
29027,29027,100,1,0,35,36,0.027777777777777776,0.0,0.9722222222222222,Gregory W. Meeks,0.9722222222222222
29028,29028,100,0,7,42,49,0.0,0.14285714285714285,0.8571428571428571,Gregory W. Meeks,0.8571428571428571
29029,29029,100,2,10,37,49,0.04081632653061224,0.20408163265306123,0.7551020408163265,Gregory W. Meeks,0.7551020408163265
29030,29030,100,0,1,27,28,0.0,0.03571428571428571,0.9642857142857143,Gregory W. Meeks,0.9642857142857143
29031,29031,100,0,7,48,55,0.0,0.12727272727272726,0.8727272727272727,Gregory W. Meeks,0.8727272727272727
29032,29032,100,1,2,48,51,0.0196078431372549,0.0392156862745098,0.9411764705882353,Gregory W. Meeks,0.9411764705882353
29033,29033,100,0,7,34,41,0.0,0.17073170731707318,0.8292682926829268,Gregory W. Meeks,0.8292682926829268
29034,29034,100,0,5,36,41,0.0,0.12195121951219512,0.8780487804878049,Gregory W. Meeks,0.8780487804878049
29035,29035,100,1,0,23,24,0.041666666666666664,0.0,0.9583333333333334,Gregory W. Meeks,0.9583333333333334
29036,29036,100,0,1,8,9,0.0,0.1111111111111111,0.8888888888888888,Gregory W. Meeks,0.8888888888888888
29037,29037,100,0,4,7,11,0.0,0.36363636363636365,0.6363636363636364,Gregory W. Meeks,0.6363636363636364
29038,29038,100,0,1,13,14,0.0,0.07142857142857142,0.9285714285714286,Gregory W. Meeks,0.9285714285714286
29039,29039,100,0,3,7,10,0.0,0.3,0.7,Gregory W. Meeks,0.7
29040,29040,100,0,2,14,16,0.0,0.125,0.875,Gregory W. Meeks,0.875
29041,29041,100,0,3,26,29,0.0,0.10344827586206896,0.896551724137931,Gregory W. Meeks,0.896551724137931
29042,29042,100,0,1,16,17,0.0,0.058823529411764705,0.9411764705882353,Gregory W. Meeks,0.9411764705882353
29043,29043,100,0,0,17,17,0.0,0.0,1.0,Gregory W. Meeks,1.0
29044,29044,100,0,0,9,9,0.0,0.0,1.0,Gregory W. Meeks,1.0
29045,29045,100,0,5,21,26,0.0,0.19230769230769232,0.8076923076923077,Gregory W. Meeks,0.8076923076923077
29046,29046,100,0,1,14,15,0.0,0.06666666666666667,0.9333333333333333,Gregory W. Meeks,0.9333333333333333
29047,29047,100,0,1,14,15,0.0,0.06666666666666667,0.9333333333333333,Gregory W. Meeks,0.9333333333333333
29048,29048,100,0,2,9,11,0.0,0.18181818181818182,0.8181818181818182,Gregory W. Meeks,0.8181818181818182
29049,29049,100,0,2,14,16,0.0,0.125,0.875,Gregory W. Meeks,0.875
29050,29050,100,0,3,35,38,0.0,0.07894736842105263,0.9210526315789473,Gregory W. Meeks,0.9210526315789473
29051,29051,100,0,8,41,49,0.0,0.16326530612244897,0.8367346938775511,Gregory W. Meeks,0.8367346938775511
29052,29052,100,1,8,46,55,0.01818181818181818,0.14545454545454545,0.8363636363636363,Gregory W. Meeks,0.8363636363636363
29053,29053,100,0,1,24,25,0.0,0.04,0.96,Gregory W. Meeks,0.96
29054,29054,100,0,3,34,37,0.0,0.08108108108108109,0.918918918918919,Gregory W. Meeks,0.918918918918919
29055,29055,100,2,3,43,48,0.041666666666666664,0.0625,0.8958333333333334,Gregory W. Meeks,0.8958333333333334
29056,29056,100,0,3,16,19,0.0,0.15789473684210525,0.8421052631578947,Gregory W. Meeks,0.8421052631578947
29057,29057,100,0,1,18,19,0.0,0.05263157894736842,0.9473684210526315,Gregory W. Meeks,0.9473684210526315
29058,29058,100,0,2,21,23,0.0,0.08695652173913043,0.9130434782608695,Gregory W. Meeks,0.9130434782608695
29059,29059,100,1,7,72,80,0.0125,0.0875,0.9,Gregory W. Meeks,0.9
29060,29060,100,0,3,48,51,0.0,0.058823529411764705,0.9411764705882353,Gregory W. Meeks,0.9411764705882353
29061,29061,100,1,7,55,63,0.015873015873015872,0.1111111111111111,0.873015873015873,Gregory W. Meeks,0.873015873015873
29062,29062,100,0,6,51,57,0.0,0.10526315789473684,0.8947368421052632,Gregory W. Meeks,0.8947368421052632
29063,29063,100,0,6,30,36,0.0,0.16666666666666666,0.8333333333333334,Gregory W. Meeks,0.8333333333333334
29064,29064,100,1,0,29,30,0.03333333333333333,0.0,0.9666666666666667,Gregory W. Meeks,0.9666666666666667
29065,29065,100,1,4,35,40,0.025,0.1,0.875,Gregory W. Meeks,0.875
29066,29066,100,0,2,20,22,0.0,0.09090909090909091,0.9090909090909091,Gregory W. Meeks,0.9090909090909091
29067,29067,100,0,3,21,24,0.0,0.125,0.875,Gregory W. Meeks,0.875
29068,29068,100,0,5,10,15,0.0,0.3333333333333333,0.6666666666666666,Gregory W. Meeks,0.6666666666666666
29069,29069,100,0,3,6,9,0.0,0.3333333333333333,0.6666666666666666,Gregory W. Meeks,0.6666666666666666
29070,29070,100,6,0,30,36,0.16666666666666666,0.0,0.8333333333333334,Gregory W. Meeks,0.8333333333333334
