ED,Reported As,Reporting,Stephen A. Labate,Scattered,Grant M. Lally,Total Votes,p_Stephen A. Labate,p_Scattered,p_Grant M. Lally,winner,winner_p
24001,24001,100,8,0,4,12,0.6666666666666666,0.0,0.3333333333333333,Stephen A. Labate,0.6666666666666666
24002,24002,100,5,0,6,11,0.45454545454545453,0.0,0.5454545454545454,Grant M. Lally,0.5454545454545454
24003,24003,100,6,0,3,9,0.6666666666666666,0.0,0.3333333333333333,Stephen A. Labate,0.6666666666666666
24004,24001,100,0,0,0,0,0,0,0,n/a,0
24005,24005,100,7,0,1,8,0.875,0.0,0.125,Stephen A. Labate,0.875
24006,24006,100,4,0,7,11,0.36363636363636365,0.0,0.6363636363636364,Grant M. Lally,0.6363636363636364
24007,24005,100,0,0,0,0,0,0,0,n/a,0
24008,24008,100,2,0,1,3,0.6666666666666666,0.0,0.3333333333333333,Stephen A. Labate,0.6666666666666666
24009,24008,100,0,0,0,0,0,0,0,n/a,0
24061,24061,100,12,0,8,20,0.6,0.0,0.4,Stephen A. Labate,0.6
24010,24061,100,0,0,0,0,0,0,0,n/a,0
24011,24061,100,0,0,0,0,0,0,0,n/a,0
24012,24061,100,0,0,0,0,0,0,0,n/a,0
24013,24061,100,0,0,0,0,0,0,0,n/a,0
24014,24061,100,0,0,0,0,0,0,0,n/a,0
24015,24001,100,0,0,0,0,0,0,0,n/a,0
25025,25025,100,4,0,3,7,0.5714285714285714,0.0,0.42857142857142855,Stephen A. Labate,0.5714285714285714
25058,25058,100,1,0,2,3,0.3333333333333333,0.0,0.6666666666666666,Grant M. Lally,0.6666666666666666
26003,26003,100,10,0,4,14,0.7142857142857143,0.0,0.2857142857142857,Stephen A. Labate,0.7142857142857143
26004,26004,100,6,0,12,18,0.3333333333333333,0.0,0.6666666666666666,Grant M. Lally,0.6666666666666666
26005,26005,100,7,1,4,12,0.5833333333333334,0.08333333333333333,0.3333333333333333,Stephen A. Labate,0.5833333333333334
26006,26006,100,2,0,2,4,0.5,0.0,0.5,Tie,0.5
26007,26007,100,6,0,3,9,0.6666666666666666,0.0,0.3333333333333333,Stephen A. Labate,0.6666666666666666
26008,26008,100,11,0,3,14,0.7857142857142857,0.0,0.21428571428571427,Stephen A. Labate,0.7857142857142857
26009,26009,100,14,0,3,17,0.8235294117647058,0.0,0.17647058823529413,Stephen A. Labate,0.8235294117647058
26010,26010,100,11,0,7,18,0.6111111111111112,0.0,0.3888888888888889,Stephen A. Labate,0.6111111111111112
26011,26011,100,15,0,0,15,1.0,0.0,0.0,Stephen A. Labate,1.0
26012,26012,100,6,0,6,12,0.5,0.0,0.5,Tie,0.5
26013,26013,100,14,0,3,17,0.8235294117647058,0.0,0.17647058823529413,Stephen A. Labate,0.8235294117647058
26014,26014,100,11,0,10,21,0.5238095238095238,0.0,0.47619047619047616,Stephen A. Labate,0.5238095238095238
26015,26015,100,6,0,6,12,0.5,0.0,0.5,Tie,0.5
26016,26016,100,10,0,6,16,0.625,0.0,0.375,Stephen A. Labate,0.625
