ED,Reported As,Reporting,Mary Washington,Alex Mallory,Ngande S. Ambroise,Jason J. Gamble,Tamika Mallory,Barbara J. Holmes,Shirley Richardson,Blanca Hernandez,Ernestine Davis,Scattered,Nancy Lamot,Sylvia Johnson,Total Votes,p_Mary Washington,p_Alex Mallory,p_Ngande S. Ambroise,p_Jason J. Gamble,p_Tamika Mallory,p_Barbara J. Holmes,p_Shirley Richardson,p_Blanca Hernandez,p_Ernestine Davis,p_Scattered,p_Nancy Lamot,p_Sylvia Johnson,winner,winner_p
79001,79001,100,4,3,4,9,3,9,6,19,5,0,5,7,74,0.05405405405405406,0.04054054054054054,0.05405405405405406,0.12162162162162163,0.04054054054054054,0.12162162162162163,0.08108108108108109,0.25675675675675674,0.06756756756756757,0.0,0.06756756756756757,0.0945945945945946,Blanca Hernandez,0.25675675675675674
79002,79002,100,12,19,9,19,12,25,14,27,13,1,10,22,183,0.06557377049180328,0.10382513661202186,0.04918032786885246,0.10382513661202186,0.06557377049180328,0.1366120218579235,0.07650273224043716,0.14754098360655737,0.07103825136612021,0.00546448087431694,0.0546448087431694,0.12021857923497267,Blanca Hernandez,0.14754098360655737
79003,79003,100,17,17,4,26,29,20,22,24,18,0,9,27,213,0.07981220657276995,0.07981220657276995,0.018779342723004695,0.12206572769953052,0.13615023474178403,0.09389671361502347,0.10328638497652583,0.11267605633802817,0.08450704225352113,0.0,0.04225352112676056,0.1267605633802817,Tamika Mallory,0.13615023474178403
79004,79004,100,5,8,3,11,12,13,7,17,8,0,3,12,99,0.050505050505050504,0.08080808080808081,0.030303030303030304,0.1111111111111111,0.12121212121212122,0.13131313131313133,0.0707070707070707,0.1717171717171717,0.08080808080808081,0.0,0.030303030303030304,0.12121212121212122,Blanca Hernandez,0.1717171717171717
79005,79005,100,23,12,4,12,16,28,19,17,17,0,7,19,174,0.13218390804597702,0.06896551724137931,0.022988505747126436,0.06896551724137931,0.09195402298850575,0.16091954022988506,0.10919540229885058,0.09770114942528736,0.09770114942528736,0.0,0.040229885057471264,0.10919540229885058,Barbara J. Holmes,0.16091954022988506
79006,79006,100,7,5,2,7,5,6,3,12,7,1,4,4,63,0.1111111111111111,0.07936507936507936,0.031746031746031744,0.1111111111111111,0.07936507936507936,0.09523809523809523,0.047619047619047616,0.19047619047619047,0.1111111111111111,0.015873015873015872,0.06349206349206349,0.06349206349206349,Blanca Hernandez,0.19047619047619047
79007,79007,100,6,5,3,7,8,17,9,22,4,0,7,14,102,0.058823529411764705,0.049019607843137254,0.029411764705882353,0.06862745098039216,0.0784313725490196,0.16666666666666666,0.08823529411764706,0.21568627450980393,0.0392156862745098,0.0,0.06862745098039216,0.13725490196078433,Blanca Hernandez,0.21568627450980393
79008,79008,100,8,9,4,7,10,14,8,19,12,0,7,12,110,0.07272727272727272,0.08181818181818182,0.03636363636363636,0.06363636363636363,0.09090909090909091,0.12727272727272726,0.07272727272727272,0.17272727272727273,0.10909090909090909,0.0,0.06363636363636363,0.10909090909090909,Blanca Hernandez,0.17272727272727273
79009,79009,100,6,10,6,10,10,7,10,13,9,0,9,11,101,0.0594059405940594,0.09900990099009901,0.0594059405940594,0.09900990099009901,0.09900990099009901,0.06930693069306931,0.09900990099009901,0.12871287128712872,0.0891089108910891,0.0,0.0891089108910891,0.10891089108910891,Blanca Hernandez,0.12871287128712872
79010,79010,100,11,13,3,15,15,26,10,21,8,0,4,16,142,0.07746478873239436,0.09154929577464789,0.02112676056338028,0.1056338028169014,0.1056338028169014,0.18309859154929578,0.07042253521126761,0.14788732394366197,0.056338028169014086,0.0,0.028169014084507043,0.11267605633802817,Barbara J. Holmes,0.18309859154929578
79011,79011,100,4,8,1,3,6,5,7,5,2,0,3,4,48,0.08333333333333333,0.16666666666666666,0.020833333333333332,0.0625,0.125,0.10416666666666667,0.14583333333333334,0.10416666666666667,0.041666666666666664,0.0,0.0625,0.08333333333333333,Alex Mallory,0.16666666666666666
79012,79012,100,3,1,2,1,1,3,0,4,2,0,1,1,19,0.15789473684210525,0.05263157894736842,0.10526315789473684,0.05263157894736842,0.05263157894736842,0.15789473684210525,0.0,0.21052631578947367,0.10526315789473684,0.0,0.05263157894736842,0.05263157894736842,Blanca Hernandez,0.21052631578947367
79013,79013,100,21,24,6,28,21,32,21,42,21,0,13,23,252,0.08333333333333333,0.09523809523809523,0.023809523809523808,0.1111111111111111,0.08333333333333333,0.12698412698412698,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.0,0.051587301587301584,0.09126984126984126,Blanca Hernandez,0.16666666666666666
79014,79014,100,3,3,0,2,6,3,3,4,3,0,1,4,32,0.09375,0.09375,0.0,0.0625,0.1875,0.09375,0.09375,0.125,0.09375,0.0,0.03125,0.125,Tamika Mallory,0.1875
79015,79015,100,4,11,5,14,12,16,8,11,12,1,2,12,108,0.037037037037037035,0.10185185185185185,0.046296296296296294,0.12962962962962962,0.1111111111111111,0.14814814814814814,0.07407407407407407,0.10185185185185185,0.1111111111111111,0.009259259259259259,0.018518518518518517,0.1111111111111111,Barbara J. Holmes,0.14814814814814814
79016,79016,100,13,13,5,13,14,10,9,14,13,1,11,19,135,0.0962962962962963,0.0962962962962963,0.037037037037037035,0.0962962962962963,0.1037037037037037,0.07407407407407407,0.06666666666666667,0.1037037037037037,0.0962962962962963,0.007407407407407408,0.08148148148148149,0.14074074074074075,Sylvia Johnson,0.14074074074074075
79017,79017,100,11,10,8,16,11,14,16,16,14,0,10,17,143,0.07692307692307693,0.06993006993006994,0.055944055944055944,0.11188811188811189,0.07692307692307693,0.0979020979020979,0.11188811188811189,0.11188811188811189,0.0979020979020979,0.0,0.06993006993006994,0.11888111888111888,Sylvia Johnson,0.11888111888111888
