ED,Reported As,Reporting,Yianna Isabel Munoz Justo,Bernandine Harding,Didionilda Vega,Matthew Shuffler,Dashawn Williams,Carolyn D. Parker,David R. Shuffler Jr.,Nilda Morales,Scattered,Iris Burgos,Karen Montanez,Total Votes,p_Yianna Isabel Munoz Justo,p_Bernandine Harding,p_Didionilda Vega,p_Matthew Shuffler,p_Dashawn Williams,p_Carolyn D. Parker,p_David R. Shuffler Jr.,p_Nilda Morales,p_Scattered,p_Iris Burgos,p_Karen Montanez,winner,winner_p
85001,85001,100,26,29,22,28,31,30,23,30,0,32,34,285,0.0912280701754386,0.10175438596491228,0.07719298245614035,0.09824561403508772,0.10877192982456141,0.10526315789473684,0.08070175438596491,0.10526315789473684,0.0,0.11228070175438597,0.11929824561403508,Karen Montanez,0.11929824561403508
85002,85002,100,17,7,18,21,19,9,21,16,0,15,12,155,0.10967741935483871,0.04516129032258064,0.11612903225806452,0.13548387096774195,0.12258064516129032,0.05806451612903226,0.13548387096774195,0.1032258064516129,0.0,0.0967741935483871,0.07741935483870968,Tie,0.13548387096774195
85003,85003,100,30,16,38,37,40,19,34,23,0,25,26,288,0.10416666666666667,0.05555555555555555,0.13194444444444445,0.1284722222222222,0.1388888888888889,0.06597222222222222,0.11805555555555555,0.0798611111111111,0.0,0.08680555555555555,0.09027777777777778,Dashawn Williams,0.1388888888888889
85004,85004,100,9,7,16,12,11,7,7,10,0,6,7,92,0.09782608695652174,0.07608695652173914,0.17391304347826086,0.13043478260869565,0.11956521739130435,0.07608695652173914,0.07608695652173914,0.10869565217391304,0.0,0.06521739130434782,0.07608695652173914,Didionilda Vega,0.17391304347826086
85005,85005,100,19,15,18,24,22,9,14,14,0,11,15,161,0.11801242236024845,0.09316770186335403,0.11180124223602485,0.14906832298136646,0.13664596273291926,0.055900621118012424,0.08695652173913043,0.08695652173913043,0.0,0.06832298136645963,0.09316770186335403,Matthew Shuffler,0.14906832298136646
85006,85006,100,11,3,13,11,13,3,11,3,0,4,6,78,0.14102564102564102,0.038461538461538464,0.16666666666666666,0.14102564102564102,0.16666666666666666,0.038461538461538464,0.14102564102564102,0.038461538461538464,0.0,0.05128205128205128,0.07692307692307693,Tie,0.16666666666666666
85007,85007,100,26,8,37,34,30,6,24,13,0,18,9,205,0.12682926829268293,0.03902439024390244,0.18048780487804877,0.16585365853658537,0.14634146341463414,0.02926829268292683,0.11707317073170732,0.06341463414634146,0.0,0.08780487804878048,0.04390243902439024,Didionilda Vega,0.18048780487804877
85008,85008,100,23,12,27,32,34,17,28,24,2,18,24,241,0.0954356846473029,0.04979253112033195,0.11203319502074689,0.13278008298755187,0.14107883817427386,0.07053941908713693,0.11618257261410789,0.0995850622406639,0.008298755186721992,0.07468879668049792,0.0995850622406639,Dashawn Williams,0.14107883817427386
85009,85009,100,14,9,15,19,19,9,19,6,0,8,7,125,0.112,0.072,0.12,0.152,0.152,0.072,0.152,0.048,0.0,0.064,0.056,Tie,0.152
85010,85010,100,14,9,20,24,22,14,19,12,0,12,18,164,0.08536585365853659,0.054878048780487805,0.12195121951219512,0.14634146341463414,0.13414634146341464,0.08536585365853659,0.11585365853658537,0.07317073170731707,0.0,0.07317073170731707,0.10975609756097561,Matthew Shuffler,0.14634146341463414
85011,85011,100,32,13,35,40,42,14,40,24,1,24,24,289,0.11072664359861592,0.04498269896193772,0.12110726643598616,0.1384083044982699,0.1453287197231834,0.04844290657439446,0.1384083044982699,0.08304498269896193,0.0034602076124567475,0.08304498269896193,0.08304498269896193,Dashawn Williams,0.1453287197231834
85012,85012,100,24,7,32,24,29,20,20,19,0,19,18,212,0.11320754716981132,0.0330188679245283,0.1509433962264151,0.11320754716981132,0.13679245283018868,0.09433962264150944,0.09433962264150944,0.08962264150943396,0.0,0.08962264150943396,0.08490566037735849,Didionilda Vega,0.1509433962264151
85013,85013,100,16,65,18,21,37,58,16,41,0,44,46,362,0.04419889502762431,0.17955801104972377,0.049723756906077346,0.058011049723756904,0.10220994475138122,0.16022099447513813,0.04419889502762431,0.1132596685082873,0.0,0.12154696132596685,0.1270718232044199,Bernandine Harding,0.17955801104972377
85014,85014,100,11,1,12,8,11,4,8,10,0,6,5,76,0.14473684210526316,0.013157894736842105,0.15789473684210525,0.10526315789473684,0.14473684210526316,0.05263157894736842,0.10526315789473684,0.13157894736842105,0.0,0.07894736842105263,0.06578947368421052,Didionilda Vega,0.15789473684210525
85015,85015,100,19,7,18,23,21,8,17,12,0,11,15,151,0.12582781456953643,0.046357615894039736,0.11920529801324503,0.152317880794702,0.1390728476821192,0.052980132450331126,0.11258278145695365,0.07947019867549669,0.0,0.0728476821192053,0.09933774834437085,Matthew Shuffler,0.152317880794702
85016,85016,100,11,8,12,15,17,10,11,11,1,14,14,124,0.08870967741935484,0.06451612903225806,0.0967741935483871,0.12096774193548387,0.13709677419354838,0.08064516129032258,0.08870967741935484,0.08870967741935484,0.008064516129032258,0.11290322580645161,0.11290322580645161,Dashawn Williams,0.13709677419354838
85017,85017,100,23,5,22,26,22,7,17,11,0,12,11,156,0.14743589743589744,0.03205128205128205,0.14102564102564102,0.16666666666666666,0.14102564102564102,0.04487179487179487,0.10897435897435898,0.07051282051282051,0.0,0.07692307692307693,0.07051282051282051,Matthew Shuffler,0.16666666666666666
85018,85018,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
85019,85019,100,51,47,51,67,75,50,54,34,1,36,34,500,0.102,0.094,0.102,0.134,0.15,0.1,0.108,0.068,0.002,0.072,0.068,Dashawn Williams,0.15
85020,85020,100,21,32,27,45,42,42,31,28,1,24,33,326,0.06441717791411043,0.09815950920245399,0.08282208588957055,0.13803680981595093,0.12883435582822086,0.12883435582822086,0.0950920245398773,0.08588957055214724,0.003067484662576687,0.0736196319018405,0.10122699386503067,Matthew Shuffler,0.13803680981595093
