ED,Reported As,Reporting,Maria L. Pichardo,Denis Liriano,Ashaki Sealey,Leticia Harper,Altagracia Manzanillo,Scattered,Johnny Malave,Stevenson Nurse,Jennifer Condell,Toya Grant,Total Votes,p_Maria L. Pichardo,p_Denis Liriano,p_Ashaki Sealey,p_Leticia Harper,p_Altagracia Manzanillo,p_Scattered,p_Johnny Malave,p_Stevenson Nurse,p_Jennifer Condell,p_Toya Grant,winner,winner_p
86001,86001,100,20,14,7,14,7,2,7,8,7,8,94,0.2127659574468085,0.14893617021276595,0.07446808510638298,0.14893617021276595,0.07446808510638298,0.02127659574468085,0.07446808510638298,0.0851063829787234,0.07446808510638298,0.0851063829787234,Maria L. Pichardo,0.2127659574468085
86002,86002,100,24,11,3,7,2,2,3,5,3,4,64,0.375,0.171875,0.046875,0.109375,0.03125,0.03125,0.046875,0.078125,0.046875,0.0625,Maria L. Pichardo,0.375
86003,86003,100,14,12,7,13,6,0,7,9,6,11,85,0.16470588235294117,0.1411764705882353,0.08235294117647059,0.15294117647058825,0.07058823529411765,0.0,0.08235294117647059,0.10588235294117647,0.07058823529411765,0.12941176470588237,Maria L. Pichardo,0.16470588235294117
86004,86004,100,6,4,0,5,1,7,1,1,5,3,33,0.18181818181818182,0.12121212121212122,0.0,0.15151515151515152,0.030303030303030304,0.21212121212121213,0.030303030303030304,0.030303030303030304,0.15151515151515152,0.09090909090909091,Scattered,0.21212121212121213
86005,86005,100,17,12,5,8,6,2,5,6,3,4,68,0.25,0.17647058823529413,0.07352941176470588,0.11764705882352941,0.08823529411764706,0.029411764705882353,0.07352941176470588,0.08823529411764706,0.04411764705882353,0.058823529411764705,Maria L. Pichardo,0.25
86006,86006,100,11,6,3,10,3,0,5,6,7,8,59,0.1864406779661017,0.1016949152542373,0.05084745762711865,0.1694915254237288,0.05084745762711865,0.0,0.0847457627118644,0.1016949152542373,0.11864406779661017,0.13559322033898305,Maria L. Pichardo,0.1864406779661017
86007,86007,100,36,22,1,16,17,3,12,2,18,10,137,0.26277372262773724,0.16058394160583941,0.0072992700729927005,0.11678832116788321,0.12408759124087591,0.021897810218978103,0.08759124087591241,0.014598540145985401,0.13138686131386862,0.072992700729927,Maria L. Pichardo,0.26277372262773724
86008,86008,100,58,27,10,28,29,0,22,17,31,28,250,0.232,0.108,0.04,0.112,0.116,0.0,0.088,0.068,0.124,0.112,Maria L. Pichardo,0.232
86009,86009,100,28,20,9,16,17,0,9,12,11,13,135,0.2074074074074074,0.14814814814814814,0.06666666666666667,0.11851851851851852,0.1259259259259259,0.0,0.06666666666666667,0.08888888888888889,0.08148148148148149,0.0962962962962963,Maria L. Pichardo,0.2074074074074074
86010,86010,100,14,7,8,14,4,0,4,9,11,11,82,0.17073170731707318,0.08536585365853659,0.0975609756097561,0.17073170731707318,0.04878048780487805,0.0,0.04878048780487805,0.10975609756097561,0.13414634146341464,0.13414634146341464,Tie,0.17073170731707318
86011,86011,100,59,47,25,53,43,0,35,26,44,40,372,0.1586021505376344,0.12634408602150538,0.06720430107526881,0.1424731182795699,0.11559139784946236,0.0,0.09408602150537634,0.06989247311827956,0.11827956989247312,0.10752688172043011,Maria L. Pichardo,0.1586021505376344
86012,86012,100,46,33,9,24,17,6,16,8,16,13,188,0.24468085106382978,0.17553191489361702,0.047872340425531915,0.1276595744680851,0.09042553191489362,0.031914893617021274,0.0851063829787234,0.0425531914893617,0.0851063829787234,0.06914893617021277,Maria L. Pichardo,0.24468085106382978
86013,86013,100,29,16,11,18,15,0,18,9,16,13,145,0.2,0.1103448275862069,0.07586206896551724,0.12413793103448276,0.10344827586206896,0.0,0.12413793103448276,0.06206896551724138,0.1103448275862069,0.0896551724137931,Maria L. Pichardo,0.2
86014,86014,100,55,34,18,42,21,2,15,19,27,20,253,0.21739130434782608,0.13438735177865613,0.07114624505928854,0.16600790513833993,0.08300395256916997,0.007905138339920948,0.05928853754940711,0.07509881422924901,0.1067193675889328,0.07905138339920949,Maria L. Pichardo,0.21739130434782608
86015,86015,100,29,18,11,21,15,2,14,11,17,17,155,0.1870967741935484,0.11612903225806452,0.07096774193548387,0.13548387096774195,0.0967741935483871,0.012903225806451613,0.09032258064516129,0.07096774193548387,0.10967741935483871,0.10967741935483871,Maria L. Pichardo,0.1870967741935484
86016,86016,100,40,29,7,19,18,1,9,9,12,13,157,0.25477707006369427,0.18471337579617833,0.044585987261146494,0.12101910828025478,0.11464968152866242,0.006369426751592357,0.05732484076433121,0.05732484076433121,0.07643312101910828,0.08280254777070063,Maria L. Pichardo,0.25477707006369427
