ED,Reported As,Reporting,Dorothy E. Desuzia,Kathy Johnson,Henry A. Gomez,Leroy R. Archible,Inez Harvey,Bernice King,Barbara Harrison Gray,Daniel Barber,Awilda Brito,Naomi N. Perkins,Juanita Martinez,Scattered,Linda Stern,Auilda Acosta,Maria Rosenda,Marcella Brown,Total Votes,p_Dorothy E. Desuzia,p_Kathy Johnson,p_Henry A. Gomez,p_Leroy R. Archible,p_Inez Harvey,p_Bernice King,p_Barbara Harrison Gray,p_Daniel Barber,p_Awilda Brito,p_Naomi N. Perkins,p_Juanita Martinez,p_Scattered,p_Linda Stern,p_Auilda Acosta,p_Maria Rosenda,p_Marcella Brown,winner,winner_p
79001,79001,100,1,6,7,3,3,5,6,6,9,3,19,0,10,14,4,11,107,0.009345794392523364,0.056074766355140186,0.06542056074766354,0.028037383177570093,0.028037383177570093,0.04672897196261682,0.056074766355140186,0.056074766355140186,0.08411214953271028,0.028037383177570093,0.17757009345794392,0.0,0.09345794392523364,0.1308411214953271,0.037383177570093455,0.102803738317757,Juanita Martinez,0.17757009345794392
79002,79002,100,12,15,15,9,10,10,10,13,17,13,29,0,18,15,14,15,215,0.05581395348837209,0.06976744186046512,0.06976744186046512,0.04186046511627907,0.046511627906976744,0.046511627906976744,0.046511627906976744,0.06046511627906977,0.07906976744186046,0.06046511627906977,0.13488372093023257,0.0,0.08372093023255814,0.06976744186046512,0.06511627906976744,0.06976744186046512,Juanita Martinez,0.13488372093023257
79003,79003,100,12,23,21,13,13,14,13,17,21,17,35,0,12,19,17,23,270,0.044444444444444446,0.08518518518518518,0.07777777777777778,0.04814814814814815,0.04814814814814815,0.05185185185185185,0.04814814814814815,0.06296296296296296,0.07777777777777778,0.06296296296296296,0.12962962962962962,0.0,0.044444444444444446,0.07037037037037037,0.06296296296296296,0.08518518518518518,Juanita Martinez,0.12962962962962962
79004,79004,100,7,7,12,5,5,7,9,9,10,6,23,0,7,13,9,6,135,0.05185185185185185,0.05185185185185185,0.08888888888888889,0.037037037037037035,0.037037037037037035,0.05185185185185185,0.06666666666666667,0.06666666666666667,0.07407407407407407,0.044444444444444446,0.17037037037037037,0.0,0.05185185185185185,0.0962962962962963,0.06666666666666667,0.044444444444444446,Juanita Martinez,0.17037037037037037
79005,79005,100,10,18,16,8,10,16,15,14,9,11,26,0,8,12,11,20,204,0.049019607843137254,0.08823529411764706,0.0784313725490196,0.0392156862745098,0.049019607843137254,0.0784313725490196,0.07352941176470588,0.06862745098039216,0.04411764705882353,0.05392156862745098,0.12745098039215685,0.0,0.0392156862745098,0.058823529411764705,0.05392156862745098,0.09803921568627451,Juanita Martinez,0.12745098039215685
79006,79006,100,3,7,10,3,2,9,8,5,4,4,12,0,7,6,6,5,91,0.03296703296703297,0.07692307692307693,0.10989010989010989,0.03296703296703297,0.02197802197802198,0.0989010989010989,0.08791208791208792,0.054945054945054944,0.04395604395604396,0.04395604395604396,0.13186813186813187,0.0,0.07692307692307693,0.06593406593406594,0.06593406593406594,0.054945054945054944,Juanita Martinez,0.13186813186813187
79007,79007,100,9,9,11,6,5,10,12,8,13,3,21,0,7,16,8,10,148,0.060810810810810814,0.060810810810810814,0.07432432432432433,0.04054054054054054,0.033783783783783786,0.06756756756756757,0.08108108108108109,0.05405405405405406,0.08783783783783784,0.02027027027027027,0.14189189189189189,0.0,0.0472972972972973,0.10810810810810811,0.05405405405405406,0.06756756756756757,Juanita Martinez,0.14189189189189189
79008,79008,100,8,6,14,6,4,7,9,10,8,4,19,0,8,13,10,13,139,0.05755395683453238,0.04316546762589928,0.10071942446043165,0.04316546762589928,0.02877697841726619,0.050359712230215826,0.06474820143884892,0.07194244604316546,0.05755395683453238,0.02877697841726619,0.1366906474820144,0.0,0.05755395683453238,0.09352517985611511,0.07194244604316546,0.09352517985611511,Juanita Martinez,0.1366906474820144
79009,79009,100,4,8,10,6,3,10,8,9,8,6,21,0,9,5,4,9,120,0.03333333333333333,0.06666666666666667,0.08333333333333333,0.05,0.025,0.08333333333333333,0.06666666666666667,0.075,0.06666666666666667,0.05,0.175,0.0,0.075,0.041666666666666664,0.03333333333333333,0.075,Juanita Martinez,0.175
79010,79010,100,10,16,18,5,7,12,8,11,10,10,23,0,11,23,7,13,184,0.05434782608695652,0.08695652173913043,0.09782608695652174,0.02717391304347826,0.03804347826086957,0.06521739130434782,0.043478260869565216,0.059782608695652176,0.05434782608695652,0.05434782608695652,0.125,0.0,0.059782608695652176,0.125,0.03804347826086957,0.07065217391304347,Tie,0.125
79011,79011,100,1,4,6,3,3,5,5,4,2,2,8,0,3,4,4,5,59,0.01694915254237288,0.06779661016949153,0.1016949152542373,0.05084745762711865,0.05084745762711865,0.0847457627118644,0.0847457627118644,0.06779661016949153,0.03389830508474576,0.03389830508474576,0.13559322033898305,0.0,0.05084745762711865,0.06779661016949153,0.06779661016949153,0.0847457627118644,Juanita Martinez,0.13559322033898305
79012,79012,100,2,2,1,2,1,2,1,2,2,2,2,0,1,1,1,1,23,0.08695652173913043,0.08695652173913043,0.043478260869565216,0.08695652173913043,0.043478260869565216,0.08695652173913043,0.043478260869565216,0.08695652173913043,0.08695652173913043,0.08695652173913043,0.08695652173913043,0.0,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,Tie,0.08695652173913043
79013,79013,100,13,17,33,9,13,17,20,20,24,14,47,1,11,31,25,23,318,0.040880503144654086,0.05345911949685535,0.10377358490566038,0.02830188679245283,0.040880503144654086,0.05345911949685535,0.06289308176100629,0.06289308176100629,0.07547169811320754,0.0440251572327044,0.14779874213836477,0.0031446540880503146,0.03459119496855346,0.09748427672955975,0.07861635220125786,0.07232704402515723,Juanita Martinez,0.14779874213836477
79014,79014,100,0,2,2,4,3,4,2,4,1,2,5,0,5,2,3,3,42,0.0,0.047619047619047616,0.047619047619047616,0.09523809523809523,0.07142857142857142,0.09523809523809523,0.047619047619047616,0.09523809523809523,0.023809523809523808,0.047619047619047616,0.11904761904761904,0.0,0.11904761904761904,0.047619047619047616,0.07142857142857142,0.07142857142857142,Tie,0.11904761904761904
