ED,Reported As,Reporting,Roslyn Willis,Nelly Medina,Tanya Ann Lingard,Frances Ceballo,Monica Hankins,Cristin Guerrero,Scattered,Helen Reyes Jacome,Michael Robles,Sarah B. Wynn,Genise Guerrero,Total Votes,p_Roslyn Willis,p_Nelly Medina,p_Tanya Ann Lingard,p_Frances Ceballo,p_Monica Hankins,p_Cristin Guerrero,p_Scattered,p_Helen Reyes Jacome,p_Michael Robles,p_Sarah B. Wynn,p_Genise Guerrero,winner,winner_p
85001,85001,100,29,45,18,31,35,21,1,34,36,32,15,297,0.09764309764309764,0.15151515151515152,0.06060606060606061,0.10437710437710437,0.11784511784511785,0.0707070707070707,0.003367003367003367,0.11447811447811448,0.12121212121212122,0.10774410774410774,0.050505050505050504,Nelly Medina,0.15151515151515152
85002,85002,100,14,46,10,19,23,14,0,19,20,16,12,193,0.07253886010362694,0.23834196891191708,0.05181347150259067,0.09844559585492228,0.11917098445595854,0.07253886010362694,0.0,0.09844559585492228,0.10362694300518134,0.08290155440414508,0.06217616580310881,Nelly Medina,0.23834196891191708
85003,85003,100,19,60,15,39,40,17,0,40,39,29,13,311,0.06109324758842444,0.19292604501607716,0.04823151125401929,0.12540192926045016,0.12861736334405144,0.05466237942122187,0.0,0.12861736334405144,0.12540192926045016,0.0932475884244373,0.04180064308681672,Nelly Medina,0.19292604501607716
85004,85004,100,9,20,4,9,13,6,0,10,10,11,8,100,0.09,0.2,0.04,0.09,0.13,0.06,0.0,0.1,0.1,0.11,0.08,Nelly Medina,0.2
85005,85005,100,9,37,6,18,20,6,0,21,30,20,8,175,0.05142857142857143,0.21142857142857144,0.03428571428571429,0.10285714285714286,0.11428571428571428,0.03428571428571429,0.0,0.12,0.17142857142857143,0.11428571428571428,0.045714285714285714,Nelly Medina,0.21142857142857144
85006,85006,100,3,16,4,12,13,1,0,12,13,12,1,87,0.034482758620689655,0.1839080459770115,0.04597701149425287,0.13793103448275862,0.14942528735632185,0.011494252873563218,0.0,0.13793103448275862,0.14942528735632185,0.13793103448275862,0.011494252873563218,Nelly Medina,0.1839080459770115
85007,85007,100,6,50,3,33,28,15,0,28,33,27,11,234,0.02564102564102564,0.21367521367521367,0.01282051282051282,0.14102564102564102,0.11965811965811966,0.0641025641025641,0.0,0.11965811965811966,0.14102564102564102,0.11538461538461539,0.04700854700854701,Nelly Medina,0.21367521367521367
85008,85008,100,17,46,16,29,29,16,2,25,32,31,21,264,0.06439393939393939,0.17424242424242425,0.06060606060606061,0.10984848484848485,0.10984848484848485,0.06060606060606061,0.007575757575757576,0.0946969696969697,0.12121212121212122,0.11742424242424243,0.07954545454545454,Nelly Medina,0.17424242424242425
85009,85009,100,9,29,5,17,19,5,0,17,18,14,10,143,0.06293706293706294,0.20279720279720279,0.03496503496503497,0.11888111888111888,0.13286713286713286,0.03496503496503497,0.0,0.11888111888111888,0.1258741258741259,0.0979020979020979,0.06993006993006994,Nelly Medina,0.20279720279720279
85010,85010,100,18,33,8,15,23,9,1,20,26,17,11,181,0.09944751381215469,0.18232044198895028,0.04419889502762431,0.08287292817679558,0.1270718232044199,0.049723756906077346,0.0055248618784530384,0.11049723756906077,0.143646408839779,0.09392265193370165,0.06077348066298342,Nelly Medina,0.18232044198895028
