ED,Reported As,Reporting,Ismael Feliciano Sr.,Daisy Rojas,James Duarte,Milady Leonardo,Ruby James,Maria Minaya,Bernice Johnson,Scattered,Patricia Jones,Nero Graham Jr.,Maria Vargas,Total Votes,p_Ismael Feliciano Sr.,p_Daisy Rojas,p_James Duarte,p_Milady Leonardo,p_Ruby James,p_Maria Minaya,p_Bernice Johnson,p_Scattered,p_Patricia Jones,p_Nero Graham Jr.,p_Maria Vargas,winner,winner_p
86001,86001,100,14,10,13,10,8,7,14,2,15,4,12,109,0.12844036697247707,0.09174311926605505,0.11926605504587157,0.09174311926605505,0.07339449541284404,0.06422018348623854,0.12844036697247707,0.01834862385321101,0.13761467889908258,0.03669724770642202,0.11009174311926606,Patricia Jones,0.13761467889908258
86002,86002,100,10,6,4,10,3,1,9,2,0,4,12,61,0.16393442622950818,0.09836065573770492,0.06557377049180328,0.16393442622950818,0.04918032786885246,0.01639344262295082,0.14754098360655737,0.03278688524590164,0.0,0.06557377049180328,0.19672131147540983,Maria Vargas,0.19672131147540983
86003,86003,100,12,10,8,8,6,10,12,1,10,5,10,92,0.13043478260869565,0.10869565217391304,0.08695652173913043,0.08695652173913043,0.06521739130434782,0.10869565217391304,0.13043478260869565,0.010869565217391304,0.10869565217391304,0.05434782608695652,0.10869565217391304,Tie,0.13043478260869565
86004,86004,100,3,1,1,1,3,2,7,7,5,1,4,35,0.08571428571428572,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.08571428571428572,0.05714285714285714,0.2,0.2,0.14285714285714285,0.02857142857142857,0.11428571428571428,Tie,0.2
86005,86005,100,11,7,6,5,2,8,8,3,6,0,12,68,0.16176470588235295,0.10294117647058823,0.08823529411764706,0.07352941176470588,0.029411764705882353,0.11764705882352941,0.11764705882352941,0.04411764705882353,0.08823529411764706,0.0,0.17647058823529413,Maria Vargas,0.17647058823529413
86006,86006,100,7,8,4,6,6,4,10,2,9,3,7,66,0.10606060606060606,0.12121212121212122,0.06060606060606061,0.09090909090909091,0.09090909090909091,0.06060606060606061,0.15151515151515152,0.030303030303030304,0.13636363636363635,0.045454545454545456,0.10606060606060606,Bernice Johnson,0.15151515151515152
86007,86007,100,19,22,10,19,4,16,14,3,8,10,24,149,0.12751677852348994,0.1476510067114094,0.06711409395973154,0.12751677852348994,0.026845637583892617,0.10738255033557047,0.09395973154362416,0.020134228187919462,0.053691275167785234,0.06711409395973154,0.1610738255033557,Maria Vargas,0.1610738255033557
86008,86008,100,39,28,23,25,20,29,31,1,22,15,40,273,0.14285714285714285,0.10256410256410256,0.08424908424908426,0.09157509157509157,0.07326007326007326,0.10622710622710622,0.11355311355311355,0.003663003663003663,0.08058608058608059,0.054945054945054944,0.14652014652014653,Maria Vargas,0.14652014652014653
86009,86009,100,23,21,7,15,10,9,22,1,14,12,18,152,0.1513157894736842,0.13815789473684212,0.046052631578947366,0.09868421052631579,0.06578947368421052,0.05921052631578947,0.14473684210526316,0.006578947368421052,0.09210526315789473,0.07894736842105263,0.11842105263157894,Ismael Feliciano Sr.,0.1513157894736842
86010,86010,100,7,12,9,7,5,3,20,0,9,9,5,86,0.08139534883720931,0.13953488372093023,0.10465116279069768,0.08139534883720931,0.05813953488372093,0.03488372093023256,0.23255813953488372,0.0,0.10465116279069768,0.10465116279069768,0.05813953488372093,Bernice Johnson,0.23255813953488372
