ED,Reported As,Reporting,Flynn Halsey,Ruby Gilliam,Diana Diaz,Scattered,Carolina Encarnacion,Lucidania Rodriguez,Total Votes,p_Flynn Halsey,p_Ruby Gilliam,p_Diana Diaz,p_Scattered,p_Carolina Encarnacion,p_Lucidania Rodriguez,winner,winner_p
79001,79001,100,6,4,21,0,11,7,49,0.12244897959183673,0.08163265306122448,0.42857142857142855,0.0,0.22448979591836735,0.14285714285714285,Diana Diaz,0.42857142857142855
79002,79002,100,10,12,15,0,7,9,53,0.18867924528301888,0.22641509433962265,0.2830188679245283,0.0,0.1320754716981132,0.16981132075471697,Diana Diaz,0.2830188679245283
79003,79003,100,9,14,26,0,9,13,71,0.1267605633802817,0.19718309859154928,0.36619718309859156,0.0,0.1267605633802817,0.18309859154929578,Diana Diaz,0.36619718309859156
79004,79004,100,4,3,20,0,4,8,39,0.10256410256410256,0.07692307692307693,0.5128205128205128,0.0,0.10256410256410256,0.20512820512820512,Diana Diaz,0.5128205128205128
79005,79005,100,4,17,27,0,5,9,62,0.06451612903225806,0.27419354838709675,0.43548387096774194,0.0,0.08064516129032258,0.14516129032258066,Diana Diaz,0.43548387096774194
79006,79006,100,4,5,12,0,3,4,28,0.14285714285714285,0.17857142857142858,0.42857142857142855,0.0,0.10714285714285714,0.14285714285714285,Diana Diaz,0.42857142857142855
79007,79007,100,4,4,21,0,2,12,43,0.09302325581395349,0.09302325581395349,0.4883720930232558,0.0,0.046511627906976744,0.27906976744186046,Diana Diaz,0.4883720930232558
79008,79008,100,4,8,6,0,3,12,33,0.12121212121212122,0.24242424242424243,0.18181818181818182,0.0,0.09090909090909091,0.36363636363636365,Lucidania Rodriguez,0.36363636363636365
79009,79009,100,1,8,12,0,4,7,32,0.03125,0.25,0.375,0.0,0.125,0.21875,Diana Diaz,0.375
79010,79010,100,1,15,24,1,8,8,57,0.017543859649122806,0.2631578947368421,0.42105263157894735,0.017543859649122806,0.14035087719298245,0.14035087719298245,Diana Diaz,0.42105263157894735
79011,79011,100,1,2,5,0,1,7,16,0.0625,0.125,0.3125,0.0,0.0625,0.4375,Lucidania Rodriguez,0.4375
79012,79012,100,0,1,3,0,1,2,7,0.0,0.14285714285714285,0.42857142857142855,0.0,0.14285714285714285,0.2857142857142857,Diana Diaz,0.42857142857142855
79013,79013,100,7,15,17,0,8,29,76,0.09210526315789473,0.19736842105263158,0.2236842105263158,0.0,0.10526315789473684,0.3815789473684211,Lucidania Rodriguez,0.3815789473684211
79014,79014,100,2,2,3,0,0,1,8,0.25,0.25,0.375,0.0,0.0,0.125,Diana Diaz,0.375
79015,79015,100,3,4,15,0,3,10,35,0.08571428571428572,0.11428571428571428,0.42857142857142855,0.0,0.08571428571428572,0.2857142857142857,Diana Diaz,0.42857142857142855
79016,79016,100,5,6,11,1,6,10,39,0.1282051282051282,0.15384615384615385,0.28205128205128205,0.02564102564102564,0.15384615384615385,0.2564102564102564,Diana Diaz,0.28205128205128205
79017,79017,100,6,11,10,0,5,6,38,0.15789473684210525,0.2894736842105263,0.2631578947368421,0.0,0.13157894736842105,0.15789473684210525,Ruby Gilliam,0.2894736842105263
79018,79018,100,1,2,0,0,1,2,6,0.16666666666666666,0.3333333333333333,0.0,0.0,0.16666666666666666,0.3333333333333333,Tie,0.3333333333333333
79019,79019,100,11,14,9,0,2,5,41,0.2682926829268293,0.34146341463414637,0.21951219512195122,0.0,0.04878048780487805,0.12195121951219512,Ruby Gilliam,0.34146341463414637
79020,79020,100,2,8,11,0,2,3,26,0.07692307692307693,0.3076923076923077,0.4230769230769231,0.0,0.07692307692307693,0.11538461538461539,Diana Diaz,0.4230769230769231
79021,79021,100,3,6,6,0,3,1,19,0.15789473684210525,0.3157894736842105,0.3157894736842105,0.0,0.15789473684210525,0.05263157894736842,Tie,0.3157894736842105
79022,79022,100,3,9,5,0,4,5,26,0.11538461538461539,0.34615384615384615,0.19230769230769232,0.0,0.15384615384615385,0.19230769230769232,Ruby Gilliam,0.34615384615384615
79023,79023,100,5,9,9,0,4,4,31,0.16129032258064516,0.2903225806451613,0.2903225806451613,0.0,0.12903225806451613,0.12903225806451613,Tie,0.2903225806451613
79024,79024,100,4,17,9,0,7,7,44,0.09090909090909091,0.38636363636363635,0.20454545454545456,0.0,0.1590909090909091,0.1590909090909091,Ruby Gilliam,0.38636363636363635
79025,79025,100,7,7,12,0,6,7,39,0.1794871794871795,0.1794871794871795,0.3076923076923077,0.0,0.15384615384615385,0.1794871794871795,Diana Diaz,0.3076923076923077
79026,79026,100,5,7,12,0,6,9,39,0.1282051282051282,0.1794871794871795,0.3076923076923077,0.0,0.15384615384615385,0.23076923076923078,Diana Diaz,0.3076923076923077
79027,79027,100,8,13,28,0,11,15,75,0.10666666666666667,0.17333333333333334,0.37333333333333335,0.0,0.14666666666666667,0.2,Diana Diaz,0.37333333333333335
79028,79028,100,7,6,15,0,6,9,43,0.16279069767441862,0.13953488372093023,0.3488372093023256,0.0,0.13953488372093023,0.20930232558139536,Diana Diaz,0.3488372093023256
79077,79077,100,1,8,10,0,4,9,32,0.03125,0.25,0.3125,0.0,0.125,0.28125,Diana Diaz,0.3125
79029,79077,100,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
79030,79030,100,14,21,41,0,14,8,98,0.14285714285714285,0.21428571428571427,0.41836734693877553,0.0,0.14285714285714285,0.08163265306122448,Diana Diaz,0.41836734693877553
79031,79031,100,8,13,27,0,10,13,71,0.11267605633802817,0.18309859154929578,0.38028169014084506,0.0,0.14084507042253522,0.18309859154929578,Diana Diaz,0.38028169014084506
79032,79032,100,13,7,19,0,5,4,48,0.2708333333333333,0.14583333333333334,0.3958333333333333,0.0,0.10416666666666667,0.08333333333333333,Diana Diaz,0.3958333333333333
79033,79033,100,2,10,19,0,7,12,50,0.04,0.2,0.38,0.0,0.14,0.24,Diana Diaz,0.38
79034,79034,100,7,17,42,0,10,11,87,0.08045977011494253,0.19540229885057472,0.4827586206896552,0.0,0.11494252873563218,0.12643678160919541,Diana Diaz,0.4827586206896552
79035,79035,100,6,13,18,0,8,8,53,0.11320754716981132,0.24528301886792453,0.33962264150943394,0.0,0.1509433962264151,0.1509433962264151,Diana Diaz,0.33962264150943394
79036,79036,100,8,10,28,0,5,5,56,0.14285714285714285,0.17857142857142858,0.5,0.0,0.08928571428571429,0.08928571428571429,Diana Diaz,0.5
79037,79037,100,8,16,34,0,10,14,82,0.0975609756097561,0.1951219512195122,0.4146341463414634,0.0,0.12195121951219512,0.17073170731707318,Diana Diaz,0.4146341463414634
79038,79038,100,8,6,23,0,5,11,53,0.1509433962264151,0.11320754716981132,0.4339622641509434,0.0,0.09433962264150944,0.20754716981132076,Diana Diaz,0.4339622641509434
79039,79039,100,5,15,30,1,9,5,65,0.07692307692307693,0.23076923076923078,0.46153846153846156,0.015384615384615385,0.13846153846153847,0.07692307692307693,Diana Diaz,0.46153846153846156
79040,79040,100,10,12,26,0,8,12,68,0.14705882352941177,0.17647058823529413,0.38235294117647056,0.0,0.11764705882352941,0.17647058823529413,Diana Diaz,0.38235294117647056
79041,79041,100,6,13,19,0,6,3,47,0.1276595744680851,0.2765957446808511,0.40425531914893614,0.0,0.1276595744680851,0.06382978723404255,Diana Diaz,0.40425531914893614
79042,79042,100,4,16,11,0,8,4,43,0.09302325581395349,0.37209302325581395,0.2558139534883721,0.0,0.18604651162790697,0.09302325581395349,Ruby Gilliam,0.37209302325581395
79043,79043,100,7,18,12,0,5,0,42,0.16666666666666666,0.42857142857142855,0.2857142857142857,0.0,0.11904761904761904,0.0,Ruby Gilliam,0.42857142857142855
79044,79044,100,8,7,14,0,4,5,38,0.21052631578947367,0.18421052631578946,0.3684210526315789,0.0,0.10526315789473684,0.13157894736842105,Diana Diaz,0.3684210526315789
79045,79045,100,6,17,9,0,2,7,41,0.14634146341463414,0.4146341463414634,0.21951219512195122,0.0,0.04878048780487805,0.17073170731707318,Ruby Gilliam,0.4146341463414634
79046,79046,100,6,15,26,0,3,13,63,0.09523809523809523,0.23809523809523808,0.4126984126984127,0.0,0.047619047619047616,0.20634920634920634,Diana Diaz,0.4126984126984127
