ED,Reported As,Reporting,Nelly Medina,Raven M. Robinson,Scattered,Total Votes,p_Nelly Medina,p_Raven M. Robinson,p_Scattered,winner,winner_p
85001,85001,100,41,27,0,68,0.6029411764705882,0.39705882352941174,0.0,Nelly Medina,0.6029411764705882
85002,85002,100,47,15,0,62,0.7580645161290323,0.24193548387096775,0.0,Nelly Medina,0.7580645161290323
85003,85003,100,56,23,0,79,0.7088607594936709,0.2911392405063291,0.0,Nelly Medina,0.7088607594936709
85004,85004,100,27,6,0,33,0.8181818181818182,0.18181818181818182,0.0,Nelly Medina,0.8181818181818182
85005,85005,100,34,11,0,45,0.7555555555555555,0.24444444444444444,0.0,Nelly Medina,0.7555555555555555
85006,85006,100,16,4,0,20,0.8,0.2,0.0,Nelly Medina,0.8
85007,85007,100,49,9,0,58,0.8448275862068966,0.15517241379310345,0.0,Nelly Medina,0.8448275862068966
85008,85008,100,42,14,1,57,0.7368421052631579,0.24561403508771928,0.017543859649122806,Nelly Medina,0.7368421052631579
85009,85009,100,28,8,0,36,0.7777777777777778,0.2222222222222222,0.0,Nelly Medina,0.7777777777777778
85010,85010,100,28,24,0,52,0.5384615384615384,0.46153846153846156,0.0,Nelly Medina,0.5384615384615384
85011,85011,100,63,20,0,83,0.7590361445783133,0.24096385542168675,0.0,Nelly Medina,0.7590361445783133
85012,85012,100,42,22,0,64,0.65625,0.34375,0.0,Nelly Medina,0.65625
85013,85013,100,33,76,0,109,0.30275229357798167,0.6972477064220184,0.0,Raven M. Robinson,0.6972477064220184
85014,85014,100,21,4,0,25,0.84,0.16,0.0,Nelly Medina,0.84
85015,85015,100,30,15,0,45,0.6666666666666666,0.3333333333333333,0.0,Nelly Medina,0.6666666666666666
85016,85016,100,22,15,0,37,0.5945945945945946,0.40540540540540543,0.0,Nelly Medina,0.5945945945945946
85017,85017,100,46,7,1,54,0.8518518518518519,0.12962962962962962,0.018518518518518517,Nelly Medina,0.8518518518518519
85018,85018,100,0,0,0,0,0,0,0,n/a,0
85019,85019,100,62,65,0,127,0.4881889763779528,0.5118110236220472,0.0,Raven M. Robinson,0.5118110236220472
85020,85020,100,50,51,0,101,0.49504950495049505,0.504950495049505,0.0,Raven M. Robinson,0.504950495049505
85021,85021,100,23,48,0,71,0.323943661971831,0.676056338028169,0.0,Raven M. Robinson,0.676056338028169
85022,85022,100,23,10,0,33,0.696969696969697,0.30303030303030304,0.0,Nelly Medina,0.696969696969697
85023,85023,100,24,6,0,30,0.8,0.2,0.0,Nelly Medina,0.8
85024,85024,100,30,45,0,75,0.4,0.6,0.0,Raven M. Robinson,0.6
85025,85025,100,29,40,0,69,0.42028985507246375,0.5797101449275363,0.0,Raven M. Robinson,0.5797101449275363
85026,85026,100,19,15,0,34,0.5588235294117647,0.4411764705882353,0.0,Nelly Medina,0.5588235294117647
85027,85027,100,13,8,0,21,0.6190476190476191,0.38095238095238093,0.0,Nelly Medina,0.6190476190476191
85028,85028,100,3,2,0,5,0.6,0.4,0.0,Nelly Medina,0.6
85029,85029,100,29,7,0,36,0.8055555555555556,0.19444444444444445,0.0,Nelly Medina,0.8055555555555556
85030,85030,100,35,14,0,49,0.7142857142857143,0.2857142857142857,0.0,Nelly Medina,0.7142857142857143
85031,85031,100,30,19,0,49,0.6122448979591837,0.3877551020408163,0.0,Nelly Medina,0.6122448979591837
85032,85032,100,23,16,0,39,0.5897435897435898,0.41025641025641024,0.0,Nelly Medina,0.5897435897435898
85033,85033,100,26,27,0,53,0.49056603773584906,0.5094339622641509,0.0,Raven M. Robinson,0.5094339622641509
85034,85034,100,30,10,0,40,0.75,0.25,0.0,Nelly Medina,0.75
85035,85035,100,0,0,0,0,0,0,0,n/a,0
85036,85036,100,0,4,0,4,0.0,1.0,0.0,Raven M. Robinson,1.0
85037,85037,100,37,29,0,66,0.5606060606060606,0.4393939393939394,0.0,Nelly Medina,0.5606060606060606
85038,85038,100,20,1,0,21,0.9523809523809523,0.047619047619047616,0.0,Nelly Medina,0.9523809523809523
85039,85039,100,27,9,0,36,0.75,0.25,0.0,Nelly Medina,0.75
85040,85040,100,14,3,0,17,0.8235294117647058,0.17647058823529413,0.0,Nelly Medina,0.8235294117647058
85041,85041,100,41,14,0,55,0.7454545454545455,0.2545454545454545,0.0,Nelly Medina,0.7454545454545455
85042,85042,100,19,15,0,34,0.5588235294117647,0.4411764705882353,0.0,Nelly Medina,0.5588235294117647
85043,85043,100,20,5,0,25,0.8,0.2,0.0,Nelly Medina,0.8
85044,85044,100,29,9,0,38,0.7631578947368421,0.23684210526315788,0.0,Nelly Medina,0.7631578947368421
85045,85045,100,46,8,0,54,0.8518518518518519,0.14814814814814814,0.0,Nelly Medina,0.8518518518518519
85046,85046,100,37,20,0,57,0.6491228070175439,0.3508771929824561,0.0,Nelly Medina,0.6491228070175439
