ED,Reported As,Reporting,Louella Hatch,Scattered,Bernice Williams,Total Votes,p_Louella Hatch,p_Scattered,p_Bernice Williams,winner,winner_p
86001,86001,100,6,0,32,38,0.15789473684210525,0.0,0.8421052631578947,Bernice Williams,0.8421052631578947
86002,86002,100,5,0,19,24,0.20833333333333334,0.0,0.7916666666666666,Bernice Williams,0.7916666666666666
86003,86003,100,5,0,27,32,0.15625,0.0,0.84375,Bernice Williams,0.84375
86004,86004,100,3,0,10,13,0.23076923076923078,0.0,0.7692307692307693,Bernice Williams,0.7692307692307693
86005,86005,100,4,1,17,22,0.18181818181818182,0.045454545454545456,0.7727272727272727,Bernice Williams,0.7727272727272727
86006,86006,100,3,0,22,25,0.12,0.0,0.88,Bernice Williams,0.88
86007,86007,100,10,0,33,43,0.23255813953488372,0.0,0.7674418604651163,Bernice Williams,0.7674418604651163
86008,86008,100,20,0,56,76,0.2631578947368421,0.0,0.7368421052631579,Bernice Williams,0.7368421052631579
86009,86009,100,8,0,41,49,0.16326530612244897,0.0,0.8367346938775511,Bernice Williams,0.8367346938775511
86010,86010,100,7,0,23,30,0.23333333333333334,0.0,0.7666666666666667,Bernice Williams,0.7666666666666667
86011,86011,100,19,0,74,93,0.20430107526881722,0.0,0.7956989247311828,Bernice Williams,0.7956989247311828
86012,86012,100,13,0,59,72,0.18055555555555555,0.0,0.8194444444444444,Bernice Williams,0.8194444444444444
86013,86013,100,9,0,37,46,0.1956521739130435,0.0,0.8043478260869565,Bernice Williams,0.8043478260869565
86014,86014,100,13,1,76,90,0.14444444444444443,0.011111111111111112,0.8444444444444444,Bernice Williams,0.8444444444444444
86015,86015,100,13,1,45,59,0.22033898305084745,0.01694915254237288,0.7627118644067796,Bernice Williams,0.7627118644067796
86016,86016,100,18,1,45,64,0.28125,0.015625,0.703125,Bernice Williams,0.703125
86017,86017,100,9,0,54,63,0.14285714285714285,0.0,0.8571428571428571,Bernice Williams,0.8571428571428571
86018,86018,100,11,0,36,47,0.23404255319148937,0.0,0.7659574468085106,Bernice Williams,0.7659574468085106
86019,86019,100,22,0,59,81,0.2716049382716049,0.0,0.7283950617283951,Bernice Williams,0.7283950617283951
86020,86020,100,12,3,59,74,0.16216216216216217,0.04054054054054054,0.7972972972972973,Bernice Williams,0.7972972972972973
86021,86021,100,0,0,2,2,0.0,0.0,1.0,Bernice Williams,1.0
86022,86022,100,15,1,47,63,0.23809523809523808,0.015873015873015872,0.746031746031746,Bernice Williams,0.746031746031746
86023,86023,100,18,0,49,67,0.26865671641791045,0.0,0.7313432835820896,Bernice Williams,0.7313432835820896
86024,86024,100,9,0,38,47,0.19148936170212766,0.0,0.8085106382978723,Bernice Williams,0.8085106382978723
86025,86025,100,19,1,51,71,0.2676056338028169,0.014084507042253521,0.7183098591549296,Bernice Williams,0.7183098591549296
86026,86026,100,21,1,37,59,0.3559322033898305,0.01694915254237288,0.6271186440677966,Bernice Williams,0.6271186440677966
86027,86027,100,36,0,61,97,0.3711340206185567,0.0,0.6288659793814433,Bernice Williams,0.6288659793814433
