ED,Reported As,Reporting,Kenny G. Agosto,Mohammad Jan,Scattered,Total Votes,p_Kenny G. Agosto,p_Mohammad Jan,p_Scattered,winner,winner_p
78001,78001,100,35,11,1,47,0.7446808510638298,0.23404255319148937,0.02127659574468085,Kenny G. Agosto,0.7446808510638298
78002,78002,100,50,28,0,78,0.6410256410256411,0.358974358974359,0.0,Kenny G. Agosto,0.6410256410256411
78003,78003,100,25,8,0,33,0.7575757575757576,0.24242424242424243,0.0,Kenny G. Agosto,0.7575757575757576
78004,78004,100,50,10,0,60,0.8333333333333334,0.16666666666666666,0.0,Kenny G. Agosto,0.8333333333333334
78005,78005,100,51,7,0,58,0.8793103448275862,0.1206896551724138,0.0,Kenny G. Agosto,0.8793103448275862
78006,78006,100,68,19,0,87,0.7816091954022989,0.21839080459770116,0.0,Kenny G. Agosto,0.7816091954022989
78007,78007,100,18,3,0,21,0.8571428571428571,0.14285714285714285,0.0,Kenny G. Agosto,0.8571428571428571
78008,78008,100,17,2,0,19,0.8947368421052632,0.10526315789473684,0.0,Kenny G. Agosto,0.8947368421052632
78009,78009,100,39,20,0,59,0.6610169491525424,0.3389830508474576,0.0,Kenny G. Agosto,0.6610169491525424
78010,78010,100,36,17,0,53,0.6792452830188679,0.32075471698113206,0.0,Kenny G. Agosto,0.6792452830188679
78011,78011,100,26,11,0,37,0.7027027027027027,0.2972972972972973,0.0,Kenny G. Agosto,0.7027027027027027
78012,78012,100,64,12,0,76,0.8421052631578947,0.15789473684210525,0.0,Kenny G. Agosto,0.8421052631578947
78013,78013,100,30,23,4,57,0.5263157894736842,0.40350877192982454,0.07017543859649122,Kenny G. Agosto,0.5263157894736842
78014,78014,100,30,13,0,43,0.6976744186046512,0.3023255813953488,0.0,Kenny G. Agosto,0.6976744186046512
78015,78015,100,15,7,0,22,0.6818181818181818,0.3181818181818182,0.0,Kenny G. Agosto,0.6818181818181818
78016,78016,100,35,11,3,49,0.7142857142857143,0.22448979591836735,0.061224489795918366,Kenny G. Agosto,0.7142857142857143
78017,78017,100,20,3,0,23,0.8695652173913043,0.13043478260869565,0.0,Kenny G. Agosto,0.8695652173913043
78018,78018,100,34,8,0,42,0.8095238095238095,0.19047619047619047,0.0,Kenny G. Agosto,0.8095238095238095
78019,78019,100,29,8,0,37,0.7837837837837838,0.21621621621621623,0.0,Kenny G. Agosto,0.7837837837837838
78020,78020,100,38,8,1,47,0.8085106382978723,0.1702127659574468,0.02127659574468085,Kenny G. Agosto,0.8085106382978723
78021,78021,100,37,13,1,51,0.7254901960784313,0.2549019607843137,0.0196078431372549,Kenny G. Agosto,0.7254901960784313
78022,78022,100,33,12,1,46,0.717391304347826,0.2608695652173913,0.021739130434782608,Kenny G. Agosto,0.717391304347826
78023,78023,100,49,12,0,61,0.8032786885245902,0.19672131147540983,0.0,Kenny G. Agosto,0.8032786885245902
78024,78024,100,60,11,0,71,0.8450704225352113,0.15492957746478872,0.0,Kenny G. Agosto,0.8450704225352113
78025,78025,100,20,2,0,22,0.9090909090909091,0.09090909090909091,0.0,Kenny G. Agosto,0.9090909090909091
78026,78026,100,18,11,0,29,0.6206896551724138,0.3793103448275862,0.0,Kenny G. Agosto,0.6206896551724138
78027,78027,100,19,5,0,24,0.7916666666666666,0.20833333333333334,0.0,Kenny G. Agosto,0.7916666666666666
78028,78028,100,43,16,0,59,0.7288135593220338,0.2711864406779661,0.0,Kenny G. Agosto,0.7288135593220338
78029,78029,100,28,12,0,40,0.7,0.3,0.0,Kenny G. Agosto,0.7
78030,78030,100,39,13,0,52,0.75,0.25,0.0,Kenny G. Agosto,0.75
78031,78031,100,25,13,0,38,0.6578947368421053,0.34210526315789475,0.0,Kenny G. Agosto,0.6578947368421053
78032,78032,100,36,25,1,62,0.5806451612903226,0.4032258064516129,0.016129032258064516,Kenny G. Agosto,0.5806451612903226
78033,78033,100,30,13,0,43,0.6976744186046512,0.3023255813953488,0.0,Kenny G. Agosto,0.6976744186046512
78034,78034,100,22,14,0,36,0.6111111111111112,0.3888888888888889,0.0,Kenny G. Agosto,0.6111111111111112
78035,78035,100,6,4,0,10,0.6,0.4,0.0,Kenny G. Agosto,0.6
78036,78036,100,22,12,1,35,0.6285714285714286,0.34285714285714286,0.02857142857142857,Kenny G. Agosto,0.6285714285714286
78037,78007,100,0,0,0,0,0,0,0,n/a,0
78038,78038,100,44,28,1,73,0.6027397260273972,0.3835616438356164,0.0136986301369863,Kenny G. Agosto,0.6027397260273972
78039,78039,100,9,6,0,15,0.6,0.4,0.0,Kenny G. Agosto,0.6
78040,78040,100,72,23,0,95,0.7578947368421053,0.24210526315789474,0.0,Kenny G. Agosto,0.7578947368421053
78041,78041,100,59,14,2,75,0.7866666666666666,0.18666666666666668,0.02666666666666667,Kenny G. Agosto,0.7866666666666666
78042,78042,100,0,0,0,0,0,0,0,n/a,0
78043,78043,100,12,3,0,15,0.8,0.2,0.0,Kenny G. Agosto,0.8
78044,78044,100,35,11,0,46,0.7608695652173914,0.2391304347826087,0.0,Kenny G. Agosto,0.7608695652173914
78045,78045,100,72,17,0,89,0.8089887640449438,0.19101123595505617,0.0,Kenny G. Agosto,0.8089887640449438
78046,78046,100,48,9,0,57,0.8421052631578947,0.15789473684210525,0.0,Kenny G. Agosto,0.8421052631578947
78047,78047,100,27,7,0,34,0.7941176470588235,0.20588235294117646,0.0,Kenny G. Agosto,0.7941176470588235
78048,78048,100,61,37,0,98,0.6224489795918368,0.37755102040816324,0.0,Kenny G. Agosto,0.6224489795918368
78049,78049,100,39,27,0,66,0.5909090909090909,0.4090909090909091,0.0,Kenny G. Agosto,0.5909090909090909
78050,78050,100,53,20,0,73,0.726027397260274,0.273972602739726,0.0,Kenny G. Agosto,0.726027397260274
78051,78051,100,53,10,1,64,0.828125,0.15625,0.015625,Kenny G. Agosto,0.828125
78052,78052,100,33,13,1,47,0.7021276595744681,0.2765957446808511,0.02127659574468085,Kenny G. Agosto,0.7021276595744681
78053,78053,100,27,8,0,35,0.7714285714285715,0.22857142857142856,0.0,Kenny G. Agosto,0.7714285714285715
78054,78054,100,14,10,0,24,0.5833333333333334,0.4166666666666667,0.0,Kenny G. Agosto,0.5833333333333334
78055,78042,100,0,0,0,0,0,0,0,n/a,0
78056,78056,100,0,0,0,0,0,0,0,n/a,0
78057,78003,100,0,0,0,0,0,0,0,n/a,0
78058,78007,100,0,0,0,0,0,0,0,n/a,0
