ED,Reported As,Reporting,Erik A. Farmer,Scattered,Gene A. Edwards Jr.,Mark A. Haynes,Total Votes,p_Erik A. Farmer,p_Scattered,p_Gene A. Edwards Jr.,p_Mark A. Haynes,winner,winner_p
79001,79001,100,3,0,18,22,43,0.06976744186046512,0.0,0.4186046511627907,0.5116279069767442,Mark A. Haynes,0.5116279069767442
79002,79002,100,10,0,13,28,51,0.19607843137254902,0.0,0.2549019607843137,0.5490196078431373,Mark A. Haynes,0.5490196078431373
79003,79003,100,11,0,25,32,68,0.16176470588235295,0.0,0.36764705882352944,0.47058823529411764,Mark A. Haynes,0.47058823529411764
79004,79004,100,7,0,13,18,38,0.18421052631578946,0.0,0.34210526315789475,0.47368421052631576,Mark A. Haynes,0.47368421052631576
79005,79005,100,6,0,21,32,59,0.1016949152542373,0.0,0.3559322033898305,0.5423728813559322,Mark A. Haynes,0.5423728813559322
79006,79006,100,3,0,8,14,25,0.12,0.0,0.32,0.56,Mark A. Haynes,0.56
79007,79007,100,10,0,12,20,42,0.23809523809523808,0.0,0.2857142857142857,0.47619047619047616,Mark A. Haynes,0.47619047619047616
79008,79008,100,5,0,9,13,27,0.18518518518518517,0.0,0.3333333333333333,0.48148148148148145,Mark A. Haynes,0.48148148148148145
79009,79009,100,3,0,13,14,30,0.1,0.0,0.43333333333333335,0.4666666666666667,Mark A. Haynes,0.4666666666666667
79010,79010,100,9,0,17,24,50,0.18,0.0,0.34,0.48,Mark A. Haynes,0.48
79011,79011,100,3,0,6,7,16,0.1875,0.0,0.375,0.4375,Mark A. Haynes,0.4375
79012,79012,100,1,0,2,3,6,0.16666666666666666,0.0,0.3333333333333333,0.5,Mark A. Haynes,0.5
79013,79013,100,19,0,22,27,68,0.27941176470588236,0.0,0.3235294117647059,0.39705882352941174,Mark A. Haynes,0.39705882352941174
79014,79014,100,1,0,4,4,9,0.1111111111111111,0.0,0.4444444444444444,0.4444444444444444,Tie,0.4444444444444444
79015,79015,100,5,0,14,13,32,0.15625,0.0,0.4375,0.40625,Gene A. Edwards Jr.,0.4375
79016,79016,100,10,0,16,13,39,0.2564102564102564,0.0,0.41025641025641024,0.3333333333333333,Gene A. Edwards Jr.,0.41025641025641024
79017,79017,100,4,0,17,17,38,0.10526315789473684,0.0,0.4473684210526316,0.4473684210526316,Tie,0.4473684210526316
79018,79018,100,1,0,0,4,5,0.2,0.0,0.0,0.8,Mark A. Haynes,0.8
79019,79019,100,12,0,11,13,36,0.3333333333333333,0.0,0.3055555555555556,0.3611111111111111,Mark A. Haynes,0.3611111111111111
79020,79020,100,7,0,7,11,25,0.28,0.0,0.28,0.44,Mark A. Haynes,0.44
79021,79021,100,2,0,6,11,19,0.10526315789473684,0.0,0.3157894736842105,0.5789473684210527,Mark A. Haynes,0.5789473684210527
79022,79022,100,6,0,6,12,24,0.25,0.0,0.25,0.5,Mark A. Haynes,0.5
79023,79023,100,7,0,5,19,31,0.22580645161290322,0.0,0.16129032258064516,0.6129032258064516,Mark A. Haynes,0.6129032258064516
79024,79024,100,6,0,13,17,36,0.16666666666666666,0.0,0.3611111111111111,0.4722222222222222,Mark A. Haynes,0.4722222222222222
79025,79025,100,14,0,15,12,41,0.34146341463414637,0.0,0.36585365853658536,0.2926829268292683,Gene A. Edwards Jr.,0.36585365853658536
79026,79026,100,7,0,13,20,40,0.175,0.0,0.325,0.5,Mark A. Haynes,0.5
79027,79027,100,24,0,30,29,83,0.2891566265060241,0.0,0.3614457831325301,0.3493975903614458,Gene A. Edwards Jr.,0.3614457831325301
79028,79028,100,8,0,13,20,41,0.1951219512195122,0.0,0.3170731707317073,0.4878048780487805,Mark A. Haynes,0.4878048780487805
79077,79077,100,7,0,13,14,34,0.20588235294117646,0.0,0.38235294117647056,0.4117647058823529,Mark A. Haynes,0.4117647058823529
79029,79077,100,0,0,0,0,0,0,0,0,0,n/a,0
79030,79030,100,20,0,26,53,99,0.20202020202020202,0.0,0.26262626262626265,0.5353535353535354,Mark A. Haynes,0.5353535353535354
79031,79031,100,15,0,23,27,65,0.23076923076923078,0.0,0.35384615384615387,0.4153846153846154,Mark A. Haynes,0.4153846153846154
79032,79032,100,10,0,14,20,44,0.22727272727272727,0.0,0.3181818181818182,0.45454545454545453,Mark A. Haynes,0.45454545454545453
79033,79033,100,11,0,15,24,50,0.22,0.0,0.3,0.48,Mark A. Haynes,0.48
79034,79034,100,22,0,23,37,82,0.2682926829268293,0.0,0.2804878048780488,0.45121951219512196,Mark A. Haynes,0.45121951219512196
