ED,Reported As,Reporting,James Duarte,Scattered,Winfred Turner,Total Votes,p_James Duarte,p_Scattered,p_Winfred Turner,winner,winner_p
86001,86001,100,30,1,12,43,0.6976744186046512,0.023255813953488372,0.27906976744186046,James Duarte,0.6976744186046512
86002,86002,100,15,1,8,24,0.625,0.041666666666666664,0.3333333333333333,James Duarte,0.625
86003,86003,100,15,2,16,33,0.45454545454545453,0.06060606060606061,0.48484848484848486,Winfred Turner,0.48484848484848486
86004,86004,100,5,1,7,13,0.38461538461538464,0.07692307692307693,0.5384615384615384,Winfred Turner,0.5384615384615384
86005,86005,100,16,0,8,24,0.6666666666666666,0.0,0.3333333333333333,James Duarte,0.6666666666666666
86006,86006,100,15,0,12,27,0.5555555555555556,0.0,0.4444444444444444,James Duarte,0.5555555555555556
86007,86007,100,32,1,20,53,0.6037735849056604,0.018867924528301886,0.37735849056603776,James Duarte,0.6037735849056604
86008,86008,100,51,0,25,76,0.6710526315789473,0.0,0.32894736842105265,James Duarte,0.6710526315789473
86009,86009,100,30,0,20,50,0.6,0.0,0.4,James Duarte,0.6
86010,86010,100,14,0,14,28,0.5,0.0,0.5,Tie,0.5
86011,86011,100,57,0,35,92,0.6195652173913043,0.0,0.3804347826086957,James Duarte,0.6195652173913043
86012,86012,100,46,1,22,69,0.6666666666666666,0.014492753623188406,0.3188405797101449,James Duarte,0.6666666666666666
86013,86013,100,28,0,13,41,0.6829268292682927,0.0,0.3170731707317073,James Duarte,0.6829268292682927
86014,86014,100,60,1,30,91,0.6593406593406593,0.01098901098901099,0.32967032967032966,James Duarte,0.6593406593406593
86015,86015,100,38,0,23,61,0.6229508196721312,0.0,0.3770491803278688,James Duarte,0.6229508196721312
86016,86016,100,36,0,27,63,0.5714285714285714,0.0,0.42857142857142855,James Duarte,0.5714285714285714
86017,86017,100,42,0,23,65,0.6461538461538462,0.0,0.35384615384615387,James Duarte,0.6461538461538462
86018,86018,100,32,2,16,50,0.64,0.04,0.32,James Duarte,0.64
86019,86019,100,44,0,32,76,0.5789473684210527,0.0,0.42105263157894735,James Duarte,0.5789473684210527
86020,86020,100,46,1,26,73,0.6301369863013698,0.0136986301369863,0.3561643835616438,James Duarte,0.6301369863013698
86021,86021,100,1,0,1,2,0.5,0.0,0.5,Tie,0.5
86022,86022,100,45,0,19,64,0.703125,0.0,0.296875,James Duarte,0.703125
86023,86023,100,40,0,31,71,0.5633802816901409,0.0,0.43661971830985913,James Duarte,0.5633802816901409
86024,86024,100,28,0,22,50,0.56,0.0,0.44,James Duarte,0.56
86025,86025,100,35,0,36,71,0.49295774647887325,0.0,0.5070422535211268,Winfred Turner,0.5070422535211268
86026,86026,100,34,0,28,62,0.5483870967741935,0.0,0.45161290322580644,James Duarte,0.5483870967741935
86027,86027,100,47,0,41,88,0.5340909090909091,0.0,0.4659090909090909,James Duarte,0.5340909090909091
86028,86028,100,41,1,34,76,0.5394736842105263,0.013157894736842105,0.4473684210526316,James Duarte,0.5394736842105263
86029,86029,100,31,0,13,44,0.7045454545454546,0.0,0.29545454545454547,James Duarte,0.7045454545454546
86030,86030,100,54,0,36,90,0.6,0.0,0.4,James Duarte,0.6
86031,86031,100,30,2,32,64,0.46875,0.03125,0.5,Winfred Turner,0.5
86032,86032,100,42,0,27,69,0.6086956521739131,0.0,0.391304347826087,James Duarte,0.6086956521739131
86033,86033,100,55,1,44,100,0.55,0.01,0.44,James Duarte,0.55
86034,86034,100,32,1,23,56,0.5714285714285714,0.017857142857142856,0.4107142857142857,James Duarte,0.5714285714285714
86035,86035,100,43,0,23,66,0.6515151515151515,0.0,0.3484848484848485,James Duarte,0.6515151515151515
86036,86036,100,38,0,27,65,0.5846153846153846,0.0,0.4153846153846154,James Duarte,0.5846153846153846
86037,86037,100,17,0,10,27,0.6296296296296297,0.0,0.37037037037037035,James Duarte,0.6296296296296297
86038,86038,100,24,0,12,36,0.6666666666666666,0.0,0.3333333333333333,James Duarte,0.6666666666666666
86039,86039,100,23,0,16,39,0.5897435897435898,0.0,0.41025641025641024,James Duarte,0.5897435897435898
86040,86040,100,17,0,18,35,0.4857142857142857,0.0,0.5142857142857142,Winfred Turner,0.5142857142857142
86041,86041,100,12,0,10,22,0.5454545454545454,0.0,0.45454545454545453,James Duarte,0.5454545454545454
86042,86042,100,0,0,0,0,0,0,0,n/a,0
86043,86043,100,3,0,1,4,0.75,0.0,0.25,James Duarte,0.75
86044,86044,100,8,0,9,17,0.47058823529411764,0.0,0.5294117647058824,Winfred Turner,0.5294117647058824
86045,86045,100,14,0,23,37,0.3783783783783784,0.0,0.6216216216216216,Winfred Turner,0.6216216216216216
86046,86046,100,12,0,9,21,0.5714285714285714,0.0,0.42857142857142855,James Duarte,0.5714285714285714
86047,86047,100,22,1,23,46,0.4782608695652174,0.021739130434782608,0.5,Winfred Turner,0.5
86048,86048,100,18,0,8,26,0.6923076923076923,0.0,0.3076923076923077,James Duarte,0.6923076923076923
86049,86049,100,15,0,28,43,0.3488372093023256,0.0,0.6511627906976745,Winfred Turner,0.6511627906976745
86050,86050,100,32,1,36,69,0.463768115942029,0.014492753623188406,0.5217391304347826,Winfred Turner,0.5217391304347826
86051,86051,100,14,0,12,26,0.5384615384615384,0.0,0.46153846153846156,James Duarte,0.5384615384615384
86052,86052,100,32,0,30,62,0.5161290322580645,0.0,0.4838709677419355,James Duarte,0.5161290322580645
86053,86053,100,17,0,14,31,0.5483870967741935,0.0,0.45161290322580644,James Duarte,0.5483870967741935
86054,86054,100,21,0,25,46,0.45652173913043476,0.0,0.5434782608695652,Winfred Turner,0.5434782608695652
86055,86055,100,34,0,18,52,0.6538461538461539,0.0,0.34615384615384615,James Duarte,0.6538461538461539
86056,86056,100,14,0,2,16,0.875,0.0,0.125,James Duarte,0.875
86057,86057,100,18,0,19,37,0.4864864864864865,0.0,0.5135135135135135,Winfred Turner,0.5135135135135135
