ED,Reported As,Reporting,Carlton A. Curry,Sherrise Palomino,Verdell Mack,Scattered,Latoya Joyner,Total Votes,p_Carlton A. Curry,p_Sherrise Palomino,p_Verdell Mack,p_Scattered,p_Latoya Joyner,winner,winner_p
77001,77001,100,2,3,3,0,3,11,0.18181818181818182,0.2727272727272727,0.2727272727272727,0.0,0.2727272727272727,Tie,0.2727272727272727
77002,77002,100,8,2,1,0,15,26,0.3076923076923077,0.07692307692307693,0.038461538461538464,0.0,0.5769230769230769,Latoya Joyner,0.5769230769230769
77003,77003,100,25,5,0,0,89,119,0.21008403361344538,0.04201680672268908,0.0,0.0,0.7478991596638656,Latoya Joyner,0.7478991596638656
77004,77004,100,8,4,3,0,11,26,0.3076923076923077,0.15384615384615385,0.11538461538461539,0.0,0.4230769230769231,Latoya Joyner,0.4230769230769231
77005,77005,100,30,4,1,0,50,85,0.35294117647058826,0.047058823529411764,0.011764705882352941,0.0,0.5882352941176471,Latoya Joyner,0.5882352941176471
77006,77006,100,6,19,7,1,45,78,0.07692307692307693,0.24358974358974358,0.08974358974358974,0.01282051282051282,0.5769230769230769,Latoya Joyner,0.5769230769230769
77007,77007,100,15,13,3,0,76,107,0.14018691588785046,0.12149532710280374,0.028037383177570093,0.0,0.7102803738317757,Latoya Joyner,0.7102803738317757
77008,77008,100,4,13,5,1,47,70,0.05714285714285714,0.18571428571428572,0.07142857142857142,0.014285714285714285,0.6714285714285714,Latoya Joyner,0.6714285714285714
77009,77009,100,2,21,3,0,41,67,0.029850746268656716,0.31343283582089554,0.04477611940298507,0.0,0.6119402985074627,Latoya Joyner,0.6119402985074627
77010,77010,100,11,18,5,0,88,122,0.09016393442622951,0.14754098360655737,0.040983606557377046,0.0,0.7213114754098361,Latoya Joyner,0.7213114754098361
77011,77011,100,1,11,3,3,47,65,0.015384615384615385,0.16923076923076924,0.046153846153846156,0.046153846153846156,0.7230769230769231,Latoya Joyner,0.7230769230769231
77012,77012,100,4,6,2,0,43,55,0.07272727272727272,0.10909090909090909,0.03636363636363636,0.0,0.7818181818181819,Latoya Joyner,0.7818181818181819
77013,77013,100,7,5,1,0,42,55,0.12727272727272726,0.09090909090909091,0.01818181818181818,0.0,0.7636363636363637,Latoya Joyner,0.7636363636363637
77014,77014,100,7,19,2,0,50,78,0.08974358974358974,0.24358974358974358,0.02564102564102564,0.0,0.6410256410256411,Latoya Joyner,0.6410256410256411
77015,77015,100,4,14,3,0,40,61,0.06557377049180328,0.22950819672131148,0.04918032786885246,0.0,0.6557377049180327,Latoya Joyner,0.6557377049180327
77016,77016,100,3,9,1,0,59,72,0.041666666666666664,0.125,0.013888888888888888,0.0,0.8194444444444444,Latoya Joyner,0.8194444444444444
77017,77017,100,0,0,0,0,17,17,0.0,0.0,0.0,0.0,1.0,Latoya Joyner,1.0
77018,77018,100,3,6,4,3,19,35,0.08571428571428572,0.17142857142857143,0.11428571428571428,0.08571428571428572,0.5428571428571428,Latoya Joyner,0.5428571428571428
77019,77019,100,5,7,4,0,33,49,0.10204081632653061,0.14285714285714285,0.08163265306122448,0.0,0.673469387755102,Latoya Joyner,0.673469387755102
77020,77020,100,1,8,0,0,31,40,0.025,0.2,0.0,0.0,0.775,Latoya Joyner,0.775
77021,77021,100,3,7,0,1,43,54,0.05555555555555555,0.12962962962962962,0.0,0.018518518518518517,0.7962962962962963,Latoya Joyner,0.7962962962962963
77022,77022,100,6,16,1,1,30,54,0.1111111111111111,0.2962962962962963,0.018518518518518517,0.018518518518518517,0.5555555555555556,Latoya Joyner,0.5555555555555556
77023,77023,100,9,21,9,0,95,134,0.06716417910447761,0.15671641791044777,0.06716417910447761,0.0,0.7089552238805971,Latoya Joyner,0.7089552238805971
77024,77024,100,3,12,8,0,50,73,0.0410958904109589,0.1643835616438356,0.1095890410958904,0.0,0.684931506849315,Latoya Joyner,0.684931506849315
77025,77025,100,7,9,3,0,85,104,0.0673076923076923,0.08653846153846154,0.028846153846153848,0.0,0.8173076923076923,Latoya Joyner,0.8173076923076923
77026,77026,100,2,1,2,0,35,40,0.05,0.025,0.05,0.0,0.875,Latoya Joyner,0.875
77027,77027,100,4,9,1,0,29,43,0.09302325581395349,0.20930232558139536,0.023255813953488372,0.0,0.6744186046511628,Latoya Joyner,0.6744186046511628
77028,77028,100,5,12,2,2,46,67,0.07462686567164178,0.1791044776119403,0.029850746268656716,0.029850746268656716,0.6865671641791045,Latoya Joyner,0.6865671641791045
77029,77029,100,2,1,1,0,16,20,0.1,0.05,0.05,0.0,0.8,Latoya Joyner,0.8
77030,77030,100,5,3,1,0,40,49,0.10204081632653061,0.061224489795918366,0.02040816326530612,0.0,0.8163265306122449,Latoya Joyner,0.8163265306122449
77031,77031,100,1,4,0,0,6,11,0.09090909090909091,0.36363636363636365,0.0,0.0,0.5454545454545454,Latoya Joyner,0.5454545454545454
77032,77032,100,0,1,1,1,4,7,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.5714285714285714,Latoya Joyner,0.5714285714285714
77033,77033,100,1,3,0,0,9,13,0.07692307692307693,0.23076923076923078,0.0,0.0,0.6923076923076923,Latoya Joyner,0.6923076923076923
77034,77034,100,5,10,7,2,30,54,0.09259259259259259,0.18518518518518517,0.12962962962962962,0.037037037037037035,0.5555555555555556,Latoya Joyner,0.5555555555555556
77035,77035,100,4,8,0,4,27,43,0.09302325581395349,0.18604651162790697,0.0,0.09302325581395349,0.627906976744186,Latoya Joyner,0.627906976744186
77036,77036,100,1,3,0,0,30,34,0.029411764705882353,0.08823529411764706,0.0,0.0,0.8823529411764706,Latoya Joyner,0.8823529411764706
77037,77037,100,6,13,0,1,54,74,0.08108108108108109,0.17567567567567569,0.0,0.013513513513513514,0.7297297297297297,Latoya Joyner,0.7297297297297297
77038,77038,100,0,5,1,0,22,28,0.0,0.17857142857142858,0.03571428571428571,0.0,0.7857142857142857,Latoya Joyner,0.7857142857142857
77039,77039,100,3,8,17,0,61,89,0.033707865168539325,0.0898876404494382,0.19101123595505617,0.0,0.6853932584269663,Latoya Joyner,0.6853932584269663
