ED,Reported As,Reporting,Marsha D. Michael,Lanita Jones,Michael A. Blake,Scattered,George A. Alvarez,Frederick Ricks,Raul Rodriguez,Total Votes,p_Marsha D. Michael,p_Lanita Jones,p_Michael A. Blake,p_Scattered,p_George A. Alvarez,p_Frederick Ricks,p_Raul Rodriguez,winner,winner_p
79001,79001,100,11,2,28,1,14,0,12,68,0.16176470588235295,0.029411764705882353,0.4117647058823529,0.014705882352941176,0.20588235294117646,0.0,0.17647058823529413,Michael A. Blake,0.4117647058823529
79002,79002,100,16,6,32,0,7,1,8,70,0.22857142857142856,0.08571428571428572,0.45714285714285713,0.0,0.1,0.014285714285714285,0.11428571428571428,Michael A. Blake,0.45714285714285713
79003,79003,100,21,5,34,0,29,3,10,102,0.20588235294117646,0.049019607843137254,0.3333333333333333,0.0,0.28431372549019607,0.029411764705882353,0.09803921568627451,Michael A. Blake,0.3333333333333333
79004,79004,100,12,1,8,0,19,0,10,50,0.24,0.02,0.16,0.0,0.38,0.0,0.2,George A. Alvarez,0.38
79005,79005,100,14,9,34,0,10,0,5,72,0.19444444444444445,0.125,0.4722222222222222,0.0,0.1388888888888889,0.0,0.06944444444444445,Michael A. Blake,0.4722222222222222
79006,79006,100,3,2,14,0,3,1,5,28,0.10714285714285714,0.07142857142857142,0.5,0.0,0.10714285714285714,0.03571428571428571,0.17857142857142858,Michael A. Blake,0.5
79007,79007,100,8,2,21,0,12,1,9,53,0.1509433962264151,0.03773584905660377,0.39622641509433965,0.0,0.22641509433962265,0.018867924528301886,0.16981132075471697,Michael A. Blake,0.39622641509433965
79008,79008,100,9,2,13,0,9,0,3,36,0.25,0.05555555555555555,0.3611111111111111,0.0,0.25,0.0,0.08333333333333333,Michael A. Blake,0.3611111111111111
79009,79009,100,7,2,9,0,12,2,6,38,0.18421052631578946,0.05263157894736842,0.23684210526315788,0.0,0.3157894736842105,0.05263157894736842,0.15789473684210525,George A. Alvarez,0.3157894736842105
79010,79010,100,13,2,21,1,15,3,8,63,0.20634920634920634,0.031746031746031744,0.3333333333333333,0.015873015873015872,0.23809523809523808,0.047619047619047616,0.12698412698412698,Michael A. Blake,0.3333333333333333
