ED,Reported As,Reporting,William R. Moore,Scattered,Marcos A. Crespo,Total Votes,p_William R. Moore,p_Scattered,p_Marcos A. Crespo,winner,winner_p
85001,85001,100,26,0,58,84,0.30952380952380953,0.0,0.6904761904761905,Marcos A. Crespo,0.6904761904761905
85002,85002,100,16,0,49,65,0.24615384615384617,0.0,0.7538461538461538,Marcos A. Crespo,0.7538461538461538
85003,85003,100,23,0,68,91,0.25274725274725274,0.0,0.7472527472527473,Marcos A. Crespo,0.7472527472527473
85004,85004,100,8,0,32,40,0.2,0.0,0.8,Marcos A. Crespo,0.8
85005,85005,100,13,0,39,52,0.25,0.0,0.75,Marcos A. Crespo,0.75
85006,85006,100,1,0,25,26,0.038461538461538464,0.0,0.9615384615384616,Marcos A. Crespo,0.9615384615384616
85007,85007,100,3,0,61,64,0.046875,0.0,0.953125,Marcos A. Crespo,0.953125
85008,85008,100,6,1,51,58,0.10344827586206896,0.017241379310344827,0.8793103448275862,Marcos A. Crespo,0.8793103448275862
85009,85009,100,9,0,27,36,0.25,0.0,0.75,Marcos A. Crespo,0.75
85010,85010,100,20,0,41,61,0.32786885245901637,0.0,0.6721311475409836,Marcos A. Crespo,0.6721311475409836
85011,85011,100,21,0,91,112,0.1875,0.0,0.8125,Marcos A. Crespo,0.8125
85012,85012,100,20,0,59,79,0.25316455696202533,0.0,0.7468354430379747,Marcos A. Crespo,0.7468354430379747
85013,85013,100,69,0,60,129,0.5348837209302325,0.0,0.46511627906976744,William R. Moore,0.5348837209302325
85014,85014,100,6,0,28,34,0.17647058823529413,0.0,0.8235294117647058,Marcos A. Crespo,0.8235294117647058
85015,85015,100,16,0,35,51,0.3137254901960784,0.0,0.6862745098039216,Marcos A. Crespo,0.6862745098039216
85016,85016,100,17,0,26,43,0.3953488372093023,0.0,0.6046511627906976,Marcos A. Crespo,0.6046511627906976
85017,85017,100,15,0,51,66,0.22727272727272727,0.0,0.7727272727272727,Marcos A. Crespo,0.7727272727272727
85018,85018,100,0,0,0,0,0,0,0,n/a,0
85019,85019,100,60,0,99,159,0.37735849056603776,0.0,0.6226415094339622,Marcos A. Crespo,0.6226415094339622
85020,85020,100,48,1,68,117,0.41025641025641024,0.008547008547008548,0.5811965811965812,Marcos A. Crespo,0.5811965811965812
85021,85021,100,49,0,42,91,0.5384615384615384,0.0,0.46153846153846156,William R. Moore,0.5384615384615384
85022,85022,100,9,0,32,41,0.21951219512195122,0.0,0.7804878048780488,Marcos A. Crespo,0.7804878048780488
85023,85023,100,6,0,25,31,0.1935483870967742,0.0,0.8064516129032258,Marcos A. Crespo,0.8064516129032258
85024,85024,100,36,0,55,91,0.3956043956043956,0.0,0.6043956043956044,Marcos A. Crespo,0.6043956043956044
85025,85025,100,34,0,49,83,0.40963855421686746,0.0,0.5903614457831325,Marcos A. Crespo,0.5903614457831325
85026,85026,100,15,0,22,37,0.40540540540540543,0.0,0.5945945945945946,Marcos A. Crespo,0.5945945945945946
85027,85027,100,10,1,19,30,0.3333333333333333,0.03333333333333333,0.6333333333333333,Marcos A. Crespo,0.6333333333333333
85028,85028,100,1,0,4,5,0.2,0.0,0.8,Marcos A. Crespo,0.8
85029,85029,100,11,0,29,40,0.275,0.0,0.725,Marcos A. Crespo,0.725
85030,85030,100,10,0,46,56,0.17857142857142858,0.0,0.8214285714285714,Marcos A. Crespo,0.8214285714285714
85031,85031,100,10,0,49,59,0.1694915254237288,0.0,0.8305084745762712,Marcos A. Crespo,0.8305084745762712
85032,85032,100,9,0,39,48,0.1875,0.0,0.8125,Marcos A. Crespo,0.8125
85033,85033,100,11,0,49,60,0.18333333333333332,0.0,0.8166666666666667,Marcos A. Crespo,0.8166666666666667
85034,85034,100,7,0,38,45,0.15555555555555556,0.0,0.8444444444444444,Marcos A. Crespo,0.8444444444444444
85035,85035,100,0,0,0,0,0,0,0,n/a,0
85036,85036,100,0,0,3,3,0.0,0.0,1.0,Marcos A. Crespo,1.0
85037,85037,100,29,0,54,83,0.3493975903614458,0.0,0.6506024096385542,Marcos A. Crespo,0.6506024096385542
85038,85038,100,0,0,21,21,0.0,0.0,1.0,Marcos A. Crespo,1.0
85039,85039,100,12,0,31,43,0.27906976744186046,0.0,0.7209302325581395,Marcos A. Crespo,0.7209302325581395
85040,85040,100,3,0,15,18,0.16666666666666666,0.0,0.8333333333333334,Marcos A. Crespo,0.8333333333333334
85041,85041,100,11,0,47,58,0.1896551724137931,0.0,0.8103448275862069,Marcos A. Crespo,0.8103448275862069
85042,85042,100,7,0,29,36,0.19444444444444445,0.0,0.8055555555555556,Marcos A. Crespo,0.8055555555555556
85043,85043,100,7,0,28,35,0.2,0.0,0.8,Marcos A. Crespo,0.8
85044,85044,100,6,0,42,48,0.125,0.0,0.875,Marcos A. Crespo,0.875
