ED,Reported As,Reporting,Hector R. Ramirez,Victor M. Pichardo,Scattered,Total Votes,p_Hector R. Ramirez,p_Victor M. Pichardo,p_Scattered,winner,winner_p
86001,86001,100,34,23,0,57,0.5964912280701754,0.40350877192982454,0.0,Hector R. Ramirez,0.5964912280701754
86002,86002,100,16,20,2,38,0.42105263157894735,0.5263157894736842,0.05263157894736842,Victor M. Pichardo,0.5263157894736842
86003,86003,100,19,28,0,47,0.40425531914893614,0.5957446808510638,0.0,Victor M. Pichardo,0.5957446808510638
86004,86004,100,19,4,0,23,0.8260869565217391,0.17391304347826086,0.0,Hector R. Ramirez,0.8260869565217391
86005,86005,100,27,12,1,40,0.675,0.3,0.025,Hector R. Ramirez,0.675
86006,86006,100,26,14,1,41,0.6341463414634146,0.34146341463414637,0.024390243902439025,Hector R. Ramirez,0.6341463414634146
86007,86007,100,51,19,0,70,0.7285714285714285,0.2714285714285714,0.0,Hector R. Ramirez,0.7285714285714285
86008,86008,100,57,40,0,97,0.5876288659793815,0.41237113402061853,0.0,Hector R. Ramirez,0.5876288659793815
86009,86009,100,33,26,1,60,0.55,0.43333333333333335,0.016666666666666666,Hector R. Ramirez,0.55
86010,86010,100,17,23,1,41,0.4146341463414634,0.5609756097560976,0.024390243902439025,Victor M. Pichardo,0.5609756097560976
86011,86011,100,49,49,0,98,0.5,0.5,0.0,Tie,0.5
86012,86012,100,39,47,0,86,0.45348837209302323,0.5465116279069767,0.0,Victor M. Pichardo,0.5465116279069767
86013,86013,100,24,30,0,54,0.4444444444444444,0.5555555555555556,0.0,Victor M. Pichardo,0.5555555555555556
86014,86014,100,52,65,1,118,0.4406779661016949,0.5508474576271186,0.00847457627118644,Victor M. Pichardo,0.5508474576271186
86015,86015,100,47,41,0,88,0.5340909090909091,0.4659090909090909,0.0,Hector R. Ramirez,0.5340909090909091
86016,86016,100,38,38,0,76,0.5,0.5,0.0,Tie,0.5
86017,86017,100,39,53,0,92,0.42391304347826086,0.5760869565217391,0.0,Victor M. Pichardo,0.5760869565217391
