ED,Reported As,Reporting,J. Gustavo Rivera,Scattered,Fernando Cabrera,Total Votes,p_J. Gustavo Rivera,p_Scattered,p_Fernando Cabrera,winner,winner_p
77017,77017,100,14,0,7,21,0.6666666666666666,0.0,0.3333333333333333,J. Gustavo Rivera,0.6666666666666666
77029,77029,100,13,0,7,20,0.65,0.0,0.35,J. Gustavo Rivera,0.65
77030,77030,100,29,0,20,49,0.5918367346938775,0.0,0.40816326530612246,J. Gustavo Rivera,0.5918367346938775
77033,77033,100,8,0,8,16,0.5,0.0,0.5,Tie,0.5
77037,77037,100,48,0,29,77,0.6233766233766234,0.0,0.37662337662337664,J. Gustavo Rivera,0.6233766233766234
77038,77038,100,13,0,20,33,0.3939393939393939,0.0,0.6060606060606061,Fernando Cabrera,0.6060606060606061
77039,77039,100,62,1,22,85,0.7294117647058823,0.011764705882352941,0.25882352941176473,J. Gustavo Rivera,0.7294117647058823
77042,77042,100,16,1,19,36,0.4444444444444444,0.027777777777777776,0.5277777777777778,Fernando Cabrera,0.5277777777777778
77043,77043,100,47,0,21,68,0.6911764705882353,0.0,0.3088235294117647,J. Gustavo Rivera,0.6911764705882353
77044,77044,100,34,1,19,54,0.6296296296296297,0.018518518518518517,0.35185185185185186,J. Gustavo Rivera,0.6296296296296297
77045,77045,100,56,0,23,79,0.7088607594936709,0.0,0.2911392405063291,J. Gustavo Rivera,0.7088607594936709
77070,77070,100,0,0,0,0,0,0,0,n/a,0
78001,78001,100,38,1,19,58,0.6551724137931034,0.017241379310344827,0.3275862068965517,J. Gustavo Rivera,0.6551724137931034
78002,78002,100,85,0,16,101,0.8415841584158416,0.0,0.15841584158415842,J. Gustavo Rivera,0.8415841584158416
78003,78003,100,27,6,12,45,0.6,0.13333333333333333,0.26666666666666666,J. Gustavo Rivera,0.6
78004,78004,100,58,0,17,75,0.7733333333333333,0.0,0.22666666666666666,J. Gustavo Rivera,0.7733333333333333
78005,78005,100,51,0,24,75,0.68,0.0,0.32,J. Gustavo Rivera,0.68
78006,78006,100,60,0,42,102,0.5882352941176471,0.0,0.4117647058823529,J. Gustavo Rivera,0.5882352941176471
78008,78008,100,13,1,8,22,0.5909090909090909,0.045454545454545456,0.36363636363636365,J. Gustavo Rivera,0.5909090909090909
78009,78009,100,52,1,18,71,0.7323943661971831,0.014084507042253521,0.2535211267605634,J. Gustavo Rivera,0.7323943661971831
78010,78010,100,45,0,21,66,0.6818181818181818,0.0,0.3181818181818182,J. Gustavo Rivera,0.6818181818181818
78011,78011,100,31,0,13,44,0.7045454545454546,0.0,0.29545454545454547,J. Gustavo Rivera,0.7045454545454546
78012,78012,100,58,0,31,89,0.651685393258427,0.0,0.34831460674157305,J. Gustavo Rivera,0.651685393258427
78013,78013,100,45,0,27,72,0.625,0.0,0.375,J. Gustavo Rivera,0.625
78014,78014,100,39,0,12,51,0.7647058823529411,0.0,0.23529411764705882,J. Gustavo Rivera,0.7647058823529411
78015,78015,100,14,0,7,21,0.6666666666666666,0.0,0.3333333333333333,J. Gustavo Rivera,0.6666666666666666
78017,78017,100,14,0,19,33,0.42424242424242425,0.0,0.5757575757575758,Fernando Cabrera,0.5757575757575758
78018,78018,100,21,0,34,55,0.38181818181818183,0.0,0.6181818181818182,Fernando Cabrera,0.6181818181818182
78019,78019,100,32,0,11,43,0.7441860465116279,0.0,0.2558139534883721,J. Gustavo Rivera,0.7441860465116279
78020,78020,100,36,0,21,57,0.631578947368421,0.0,0.3684210526315789,J. Gustavo Rivera,0.631578947368421
78021,78021,100,44,1,22,67,0.6567164179104478,0.014925373134328358,0.3283582089552239,J. Gustavo Rivera,0.6567164179104478
78022,78022,100,40,0,23,63,0.6349206349206349,0.0,0.36507936507936506,J. Gustavo Rivera,0.6349206349206349
78023,78023,100,44,0,43,87,0.5057471264367817,0.0,0.4942528735632184,J. Gustavo Rivera,0.5057471264367817
78024,78024,100,36,1,45,82,0.43902439024390244,0.012195121951219513,0.5487804878048781,Fernando Cabrera,0.5487804878048781
78025,78025,100,16,0,13,29,0.5517241379310345,0.0,0.4482758620689655,J. Gustavo Rivera,0.5517241379310345
78026,78026,100,25,0,14,39,0.6410256410256411,0.0,0.358974358974359,J. Gustavo Rivera,0.6410256410256411
78027,78027,100,17,0,17,34,0.5,0.0,0.5,Tie,0.5
78028,78028,100,55,0,18,73,0.7534246575342466,0.0,0.2465753424657534,J. Gustavo Rivera,0.7534246575342466
78029,78029,100,21,0,25,46,0.45652173913043476,0.0,0.5434782608695652,Fernando Cabrera,0.5434782608695652
78042,78042,100,0,0,0,0,0,0,0,n/a,0
78043,78043,100,3,1,22,26,0.11538461538461539,0.038461538461538464,0.8461538461538461,Fernando Cabrera,0.8461538461538461
78044,78044,100,34,0,38,72,0.4722222222222222,0.0,0.5277777777777778,Fernando Cabrera,0.5277777777777778
78045,78045,100,54,0,48,102,0.5294117647058824,0.0,0.47058823529411764,J. Gustavo Rivera,0.5294117647058824
78046,78046,100,42,1,43,86,0.4883720930232558,0.011627906976744186,0.5,Fernando Cabrera,0.5
78047,78047,100,21,0,25,46,0.45652173913043476,0.0,0.5434782608695652,Fernando Cabrera,0.5434782608695652
78048,78048,100,80,1,60,141,0.5673758865248227,0.0070921985815602835,0.425531914893617,J. Gustavo Rivera,0.5673758865248227
78049,78049,100,58,0,32,90,0.6444444444444445,0.0,0.35555555555555557,J. Gustavo Rivera,0.6444444444444445
78050,78050,100,54,0,42,96,0.5625,0.0,0.4375,J. Gustavo Rivera,0.5625
78051,78051,100,47,0,39,86,0.5465116279069767,0.0,0.45348837209302323,J. Gustavo Rivera,0.5465116279069767
78052,78052,100,41,0,26,67,0.6119402985074627,0.0,0.3880597014925373,J. Gustavo Rivera,0.6119402985074627
78053,78053,100,18,0,31,49,0.3673469387755102,0.0,0.6326530612244898,Fernando Cabrera,0.6326530612244898
78054,78054,100,21,0,20,41,0.5121951219512195,0.0,0.4878048780487805,J. Gustavo Rivera,0.5121951219512195
78055,78042,100,0,0,0,0,0,0,0,n/a,0
78057,78003,100,0,0,0,0,0,0,0,n/a,0
79001,79001,100,51,0,16,67,0.7611940298507462,0.0,0.23880597014925373,J. Gustavo Rivera,0.7611940298507462
79002,79002,100,57,0,13,70,0.8142857142857143,0.0,0.18571428571428572,J. Gustavo Rivera,0.8142857142857143
79003,79003,100,76,0,22,98,0.7755102040816326,0.0,0.22448979591836735,J. Gustavo Rivera,0.7755102040816326
79004,79004,100,31,0,18,49,0.6326530612244898,0.0,0.3673469387755102,J. Gustavo Rivera,0.6326530612244898
79005,79005,100,61,0,11,72,0.8472222222222222,0.0,0.1527777777777778,J. Gustavo Rivera,0.8472222222222222
79007,79007,100,39,0,16,55,0.7090909090909091,0.0,0.2909090909090909,J. Gustavo Rivera,0.7090909090909091
79008,79008,100,27,0,9,36,0.75,0.0,0.25,J. Gustavo Rivera,0.75
79009,79009,100,24,0,12,36,0.6666666666666666,0.0,0.3333333333333333,J. Gustavo Rivera,0.6666666666666666
79010,79010,100,39,1,21,61,0.639344262295082,0.01639344262295082,0.3442622950819672,J. Gustavo Rivera,0.639344262295082
79013,79013,100,77,0,16,93,0.8279569892473119,0.0,0.17204301075268819,J. Gustavo Rivera,0.8279569892473119
79020,79020,100,21,0,9,30,0.7,0.0,0.3,J. Gustavo Rivera,0.7
79077,79077,100,27,0,17,44,0.6136363636363636,0.0,0.38636363636363635,J. Gustavo Rivera,0.6136363636363636
79029,79077,100,0,0,0,0,0,0,0,n/a,0
79030,79030,100,75,0,35,110,0.6818181818181818,0.0,0.3181818181818182,J. Gustavo Rivera,0.6818181818181818
79031,79031,100,55,1,44,100,0.55,0.01,0.44,J. Gustavo Rivera,0.55
79032,79032,100,31,0,24,55,0.5636363636363636,0.0,0.43636363636363634,J. Gustavo Rivera,0.5636363636363636
79033,79033,100,34,0,28,62,0.5483870967741935,0.0,0.45161290322580644,J. Gustavo Rivera,0.5483870967741935
79034,79034,100,88,0,24,112,0.7857142857142857,0.0,0.21428571428571427,J. Gustavo Rivera,0.7857142857142857
79035,79035,100,45,0,23,68,0.6617647058823529,0.0,0.3382352941176471,J. Gustavo Rivera,0.6617647058823529
79036,79036,100,62,0,24,86,0.7209302325581395,0.0,0.27906976744186046,J. Gustavo Rivera,0.7209302325581395
79037,79037,100,81,0,32,113,0.7168141592920354,0.0,0.2831858407079646,J. Gustavo Rivera,0.7168141592920354
79067,79067,100,25,0,5,30,0.8333333333333334,0.0,0.16666666666666666,J. Gustavo Rivera,0.8333333333333334
79074,79077,100,0,0,0,0,0,0,0,n/a,0
80009,80009,100,15,0,4,19,0.7894736842105263,0.0,0.21052631578947367,J. Gustavo Rivera,0.7894736842105263
80010,80010,100,23,2,6,31,0.7419354838709677,0.06451612903225806,0.1935483870967742,J. Gustavo Rivera,0.7419354838709677
80011,80011,100,6,1,2,9,0.6666666666666666,0.1111111111111111,0.2222222222222222,J. Gustavo Rivera,0.6666666666666666
80012,80012,100,3,1,4,8,0.375,0.125,0.5,Fernando Cabrera,0.5
80013,80013,100,16,2,8,26,0.6153846153846154,0.07692307692307693,0.3076923076923077,J. Gustavo Rivera,0.6153846153846154
80015,80015,100,16,0,2,18,0.8888888888888888,0.0,0.1111111111111111,J. Gustavo Rivera,0.8888888888888888
81001,81001,100,69,0,54,123,0.5609756097560976,0.0,0.43902439024390244,J. Gustavo Rivera,0.5609756097560976
