ED,Reported As,Reporting,Ruth H. Thompson,Crystal Collins,Scattered,Total Votes,p_Ruth H. Thompson,p_Crystal Collins,p_Scattered,winner,winner_p
78032,78032,100,48,19,0,67,0.7164179104477612,0.2835820895522388,0.0,Ruth H. Thompson,0.7164179104477612
78033,78033,100,28,14,2,44,0.6363636363636364,0.3181818181818182,0.045454545454545456,Ruth H. Thompson,0.6363636363636364
78034,78034,100,31,7,0,38,0.8157894736842105,0.18421052631578946,0.0,Ruth H. Thompson,0.8157894736842105
78035,78035,100,6,5,0,11,0.5454545454545454,0.45454545454545453,0.0,Ruth H. Thompson,0.5454545454545454
80014,80014,100,37,9,0,46,0.8043478260869565,0.1956521739130435,0.0,Ruth H. Thompson,0.8043478260869565
80052,80052,100,19,1,1,21,0.9047619047619048,0.047619047619047616,0.047619047619047616,Ruth H. Thompson,0.9047619047619048
80053,80053,100,18,2,0,20,0.9,0.1,0.0,Ruth H. Thompson,0.9
80054,80054,100,7,1,0,8,0.875,0.125,0.0,Ruth H. Thompson,0.875
80055,80055,100,48,7,1,56,0.8571428571428571,0.125,0.017857142857142856,Ruth H. Thompson,0.8571428571428571
80056,80056,100,125,22,1,148,0.8445945945945946,0.14864864864864866,0.006756756756756757,Ruth H. Thompson,0.8445945945945946
80057,80057,100,10,5,0,15,0.6666666666666666,0.3333333333333333,0.0,Ruth H. Thompson,0.6666666666666666
80058,80058,100,19,6,3,28,0.6785714285714286,0.21428571428571427,0.10714285714285714,Ruth H. Thompson,0.6785714285714286
80059,80059,100,8,2,0,10,0.8,0.2,0.0,Ruth H. Thompson,0.8
80060,80060,100,43,11,0,54,0.7962962962962963,0.2037037037037037,0.0,Ruth H. Thompson,0.7962962962962963
80061,80061,100,1,0,0,1,1.0,0.0,0.0,Ruth H. Thompson,1.0
80062,80062,100,29,9,0,38,0.7631578947368421,0.23684210526315788,0.0,Ruth H. Thompson,0.7631578947368421
80063,80063,100,42,12,0,54,0.7777777777777778,0.2222222222222222,0.0,Ruth H. Thompson,0.7777777777777778
80064,80064,100,40,15,1,56,0.7142857142857143,0.26785714285714285,0.017857142857142856,Ruth H. Thompson,0.7142857142857143
80065,80065,100,113,21,1,135,0.837037037037037,0.15555555555555556,0.007407407407407408,Ruth H. Thompson,0.837037037037037
80070,80070,100,14,5,2,21,0.6666666666666666,0.23809523809523808,0.09523809523809523,Ruth H. Thompson,0.6666666666666666
80071,80071,100,32,3,0,35,0.9142857142857143,0.08571428571428572,0.0,Ruth H. Thompson,0.9142857142857143
80072,80071,100,0,0,0,0,0,0,0,n/a,0
80073,80073,100,19,2,0,21,0.9047619047619048,0.09523809523809523,0.0,Ruth H. Thompson,0.9047619047619048
80074,80074,100,92,13,2,107,0.8598130841121495,0.12149532710280374,0.018691588785046728,Ruth H. Thompson,0.8598130841121495
80075,80075,100,0,0,0,0,0,0,0,n/a,0
80076,80076,100,52,27,0,79,0.6582278481012658,0.34177215189873417,0.0,Ruth H. Thompson,0.6582278481012658
80077,80077,100,54,20,0,74,0.7297297297297297,0.2702702702702703,0.0,Ruth H. Thompson,0.7297297297297297
80078,80078,100,32,18,0,50,0.64,0.36,0.0,Ruth H. Thompson,0.64
80079,80079,100,26,13,0,39,0.6666666666666666,0.3333333333333333,0.0,Ruth H. Thompson,0.6666666666666666
80080,80080,100,20,10,1,31,0.6451612903225806,0.3225806451612903,0.03225806451612903,Ruth H. Thompson,0.6451612903225806
80081,80081,100,23,6,2,31,0.7419354838709677,0.1935483870967742,0.06451612903225806,Ruth H. Thompson,0.7419354838709677
80082,80082,100,17,12,0,29,0.5862068965517241,0.41379310344827586,0.0,Ruth H. Thompson,0.5862068965517241
80083,80083,100,34,22,2,58,0.5862068965517241,0.3793103448275862,0.034482758620689655,Ruth H. Thompson,0.5862068965517241
80084,80084,100,12,10,0,22,0.5454545454545454,0.45454545454545453,0.0,Ruth H. Thompson,0.5454545454545454
80085,80085,100,38,19,0,57,0.6666666666666666,0.3333333333333333,0.0,Ruth H. Thompson,0.6666666666666666
80086,80086,100,39,16,0,55,0.7090909090909091,0.2909090909090909,0.0,Ruth H. Thompson,0.7090909090909091
80087,80087,100,14,9,0,23,0.6086956521739131,0.391304347826087,0.0,Ruth H. Thompson,0.6086956521739131
80090,80071,100,0,0,0,0,0,0,0,n/a,0
80091,80075,100,0,0,0,0,0,0,0,n/a,0
80092,80092,100,0,0,0,0,0,0,0,n/a,0
81011,81011,100,0,0,0,0,0,0,0,n/a,0
81017,81017,100,51,13,0,64,0.796875,0.203125,0.0,Ruth H. Thompson,0.796875
81018,81018,100,25,4,0,29,0.8620689655172413,0.13793103448275862,0.0,Ruth H. Thompson,0.8620689655172413
81019,81019,100,18,7,0,25,0.72,0.28,0.0,Ruth H. Thompson,0.72
