ED,Reported As,Reporting,Zephyr R. Teachout,Scattered,Andrew M. Cuomo,Randy A. Credico,Total Votes,p_Zephyr R. Teachout,p_Scattered,p_Andrew M. Cuomo,p_Randy A. Credico,winner,winner_p
65001,65001,100,3,0,2,0,5,0.6,0.0,0.4,0.0,Zephyr R. Teachout,0.6
65002,65002,100,23,1,16,0,40,0.575,0.025,0.4,0.0,Zephyr R. Teachout,0.575
65003,65003,100,6,0,5,0,11,0.5454545454545454,0.0,0.45454545454545453,0.0,Zephyr R. Teachout,0.5454545454545454
65004,65004,100,4,0,2,0,6,0.6666666666666666,0.0,0.3333333333333333,0.0,Zephyr R. Teachout,0.6666666666666666
65005,65005,100,8,0,30,3,41,0.1951219512195122,0.0,0.7317073170731707,0.07317073170731707,Andrew M. Cuomo,0.7317073170731707
65006,65006,100,41,0,43,5,89,0.4606741573033708,0.0,0.48314606741573035,0.056179775280898875,Andrew M. Cuomo,0.48314606741573035
65007,65007,100,32,0,44,2,78,0.41025641025641024,0.0,0.5641025641025641,0.02564102564102564,Andrew M. Cuomo,0.5641025641025641
65008,65008,100,47,0,53,5,105,0.44761904761904764,0.0,0.5047619047619047,0.047619047619047616,Andrew M. Cuomo,0.5047619047619047
65009,65009,100,6,0,6,0,12,0.5,0.0,0.5,0.0,Tie,0.5
65010,65010,100,11,0,10,0,21,0.5238095238095238,0.0,0.47619047619047616,0.0,Zephyr R. Teachout,0.5238095238095238
65011,65011,100,9,1,1,0,11,0.8181818181818182,0.09090909090909091,0.09090909090909091,0.0,Zephyr R. Teachout,0.8181818181818182
65012,65012,100,15,0,14,0,29,0.5172413793103449,0.0,0.4827586206896552,0.0,Zephyr R. Teachout,0.5172413793103449
65013,65013,100,31,0,14,0,45,0.6888888888888889,0.0,0.3111111111111111,0.0,Zephyr R. Teachout,0.6888888888888889
65014,65014,100,30,2,25,0,57,0.5263157894736842,0.03508771929824561,0.43859649122807015,0.0,Zephyr R. Teachout,0.5263157894736842
65015,65015,100,21,0,10,0,31,0.6774193548387096,0.0,0.3225806451612903,0.0,Zephyr R. Teachout,0.6774193548387096
65016,65016,100,34,0,32,0,66,0.5151515151515151,0.0,0.48484848484848486,0.0,Zephyr R. Teachout,0.5151515151515151
65017,65017,100,1,0,0,0,1,1.0,0.0,0.0,0.0,Zephyr R. Teachout,1.0
65018,65018,100,7,0,17,1,25,0.28,0.0,0.68,0.04,Andrew M. Cuomo,0.68
65019,65019,100,5,0,30,2,37,0.13513513513513514,0.0,0.8108108108108109,0.05405405405405406,Andrew M. Cuomo,0.8108108108108109
65020,65020,100,6,1,34,5,46,0.13043478260869565,0.021739130434782608,0.7391304347826086,0.10869565217391304,Andrew M. Cuomo,0.7391304347826086
65021,65021,100,15,1,30,1,47,0.3191489361702128,0.02127659574468085,0.6382978723404256,0.02127659574468085,Andrew M. Cuomo,0.6382978723404256
65022,65022,100,24,0,31,3,58,0.41379310344827586,0.0,0.5344827586206896,0.05172413793103448,Andrew M. Cuomo,0.5344827586206896
65023,65023,100,8,0,20,0,28,0.2857142857142857,0.0,0.7142857142857143,0.0,Andrew M. Cuomo,0.7142857142857143
65024,65024,100,10,0,21,1,32,0.3125,0.0,0.65625,0.03125,Andrew M. Cuomo,0.65625
65025,65025,100,5,0,16,2,23,0.21739130434782608,0.0,0.6956521739130435,0.08695652173913043,Andrew M. Cuomo,0.6956521739130435
65026,65026,100,10,0,12,0,22,0.45454545454545453,0.0,0.5454545454545454,0.0,Andrew M. Cuomo,0.5454545454545454
65027,65027,100,16,0,28,2,46,0.34782608695652173,0.0,0.6086956521739131,0.043478260869565216,Andrew M. Cuomo,0.6086956521739131
65028,65028,100,4,0,8,0,12,0.3333333333333333,0.0,0.6666666666666666,0.0,Andrew M. Cuomo,0.6666666666666666
65029,65029,100,5,0,14,0,19,0.2631578947368421,0.0,0.7368421052631579,0.0,Andrew M. Cuomo,0.7368421052631579
65030,65030,100,20,1,56,2,79,0.25316455696202533,0.012658227848101266,0.7088607594936709,0.02531645569620253,Andrew M. Cuomo,0.7088607594936709
65031,65031,100,24,0,94,6,124,0.1935483870967742,0.0,0.7580645161290323,0.04838709677419355,Andrew M. Cuomo,0.7580645161290323
65032,65032,100,20,0,26,1,47,0.425531914893617,0.0,0.5531914893617021,0.02127659574468085,Andrew M. Cuomo,0.5531914893617021
65033,65033,100,7,0,34,0,41,0.17073170731707318,0.0,0.8292682926829268,0.0,Andrew M. Cuomo,0.8292682926829268
65034,65034,100,4,0,32,0,36,0.1111111111111111,0.0,0.8888888888888888,0.0,Andrew M. Cuomo,0.8888888888888888
65035,65035,100,8,0,28,2,38,0.21052631578947367,0.0,0.7368421052631579,0.05263157894736842,Andrew M. Cuomo,0.7368421052631579
65036,65036,100,6,2,49,1,58,0.10344827586206896,0.034482758620689655,0.8448275862068966,0.017241379310344827,Andrew M. Cuomo,0.8448275862068966
65037,65037,100,8,0,39,0,47,0.1702127659574468,0.0,0.8297872340425532,0.0,Andrew M. Cuomo,0.8297872340425532
65038,65038,100,9,0,49,2,60,0.15,0.0,0.8166666666666667,0.03333333333333333,Andrew M. Cuomo,0.8166666666666667
65039,65039,100,16,0,24,1,41,0.3902439024390244,0.0,0.5853658536585366,0.024390243902439025,Andrew M. Cuomo,0.5853658536585366
65040,65040,100,2,0,29,3,34,0.058823529411764705,0.0,0.8529411764705882,0.08823529411764706,Andrew M. Cuomo,0.8529411764705882
65041,65041,100,8,0,27,1,36,0.2222222222222222,0.0,0.75,0.027777777777777776,Andrew M. Cuomo,0.75
65042,65042,100,13,0,44,2,59,0.22033898305084745,0.0,0.7457627118644068,0.03389830508474576,Andrew M. Cuomo,0.7457627118644068
65043,65043,100,13,0,45,2,60,0.21666666666666667,0.0,0.75,0.03333333333333333,Andrew M. Cuomo,0.75
65044,65044,100,65,1,97,9,172,0.37790697674418605,0.005813953488372093,0.563953488372093,0.05232558139534884,Andrew M. Cuomo,0.563953488372093
65045,65045,100,39,0,112,2,153,0.2549019607843137,0.0,0.7320261437908496,0.013071895424836602,Andrew M. Cuomo,0.7320261437908496
65046,65046,100,49,1,83,2,135,0.362962962962963,0.007407407407407408,0.6148148148148148,0.014814814814814815,Andrew M. Cuomo,0.6148148148148148
