ED,Reported As,Reporting,Timothy Wu,Scattered,Kathy C. Hochul,Total Votes,p_Timothy Wu,p_Scattered,p_Kathy C. Hochul,winner,winner_p
65001,65001,100,3,0,2,5,0.6,0.0,0.4,Timothy Wu,0.6
65002,65002,100,21,0,16,37,0.5675675675675675,0.0,0.43243243243243246,Timothy Wu,0.5675675675675675
65003,65003,100,9,0,2,11,0.8181818181818182,0.0,0.18181818181818182,Timothy Wu,0.8181818181818182
65004,65004,100,5,0,1,6,0.8333333333333334,0.0,0.16666666666666666,Timothy Wu,0.8333333333333334
65005,65005,100,16,0,24,40,0.4,0.0,0.6,Kathy C. Hochul,0.6
65006,65006,100,45,0,41,86,0.5232558139534884,0.0,0.47674418604651164,Timothy Wu,0.5232558139534884
65007,65007,100,41,0,35,76,0.5394736842105263,0.0,0.4605263157894737,Timothy Wu,0.5394736842105263
65008,65008,100,54,0,48,102,0.5294117647058824,0.0,0.47058823529411764,Timothy Wu,0.5294117647058824
65009,65009,100,8,0,4,12,0.6666666666666666,0.0,0.3333333333333333,Timothy Wu,0.6666666666666666
65010,65010,100,15,0,5,20,0.75,0.0,0.25,Timothy Wu,0.75
65011,65011,100,9,0,2,11,0.8181818181818182,0.0,0.18181818181818182,Timothy Wu,0.8181818181818182
65012,65012,100,17,0,12,29,0.5862068965517241,0.0,0.41379310344827586,Timothy Wu,0.5862068965517241
65013,65013,100,26,1,13,40,0.65,0.025,0.325,Timothy Wu,0.65
65014,65014,100,35,0,20,55,0.6363636363636364,0.0,0.36363636363636365,Timothy Wu,0.6363636363636364
65015,65015,100,23,0,7,30,0.7666666666666667,0.0,0.23333333333333334,Timothy Wu,0.7666666666666667
65016,65016,100,40,0,21,61,0.6557377049180327,0.0,0.3442622950819672,Timothy Wu,0.6557377049180327
65017,65017,100,1,0,0,1,1.0,0.0,0.0,Timothy Wu,1.0
65018,65018,100,8,0,16,24,0.3333333333333333,0.0,0.6666666666666666,Kathy C. Hochul,0.6666666666666666
65019,65019,100,11,0,21,32,0.34375,0.0,0.65625,Kathy C. Hochul,0.65625
65020,65020,100,14,1,24,39,0.358974358974359,0.02564102564102564,0.6153846153846154,Kathy C. Hochul,0.6153846153846154
65021,65021,100,21,1,21,43,0.4883720930232558,0.023255813953488372,0.4883720930232558,Tie,0.4883720930232558
65022,65022,100,41,0,17,58,0.7068965517241379,0.0,0.29310344827586204,Timothy Wu,0.7068965517241379
65023,65023,100,22,0,5,27,0.8148148148148148,0.0,0.18518518518518517,Timothy Wu,0.8148148148148148
65024,65024,100,21,0,10,31,0.6774193548387096,0.0,0.3225806451612903,Timothy Wu,0.6774193548387096
65025,65025,100,15,0,8,23,0.6521739130434783,0.0,0.34782608695652173,Timothy Wu,0.6521739130434783
65026,65026,100,14,0,7,21,0.6666666666666666,0.0,0.3333333333333333,Timothy Wu,0.6666666666666666
