ED,Reported As,Reporting,Rosemarie D. Forrest,Lorna L. Cooper,Mary L. McRae,Basil L. Bailey,Janelle Barabash,Norman Gamss,Katherine A. Manwell,Anthonine Pierre,Ernest M. Skinner,Scattered,Tracy R. Neiman,James Hanna,Richard A. Padmore,M. C. Rivan-Hazlewood,Robert Agyemang,Emmanuel Vambran,Wayne Lamont,Total Votes,p_Rosemarie D. Forrest,p_Lorna L. Cooper,p_Mary L. McRae,p_Basil L. Bailey,p_Janelle Barabash,p_Norman Gamss,p_Katherine A. Manwell,p_Anthonine Pierre,p_Ernest M. Skinner,p_Scattered,p_Tracy R. Neiman,p_James Hanna,p_Richard A. Padmore,p_M. C. Rivan-Hazlewood,p_Robert Agyemang,p_Emmanuel Vambran,p_Wayne Lamont,winner,winner_p
42001,42001,100,2,2,2,1,2,1,2,2,1,0,2,1,2,2,2,1,1,26,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.038461538461538464,0.07692307692307693,0.038461538461538464,0.07692307692307693,0.07692307692307693,0.038461538461538464,0.0,0.07692307692307693,0.038461538461538464,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.038461538461538464,0.038461538461538464,Tie,0.07692307692307693
42002,42002,100,11,15,22,15,17,10,11,17,16,0,14,16,14,14,12,11,10,225,0.04888888888888889,0.06666666666666667,0.09777777777777778,0.06666666666666667,0.07555555555555556,0.044444444444444446,0.04888888888888889,0.07555555555555556,0.07111111111111111,0.0,0.06222222222222222,0.07111111111111111,0.06222222222222222,0.06222222222222222,0.05333333333333334,0.04888888888888889,0.044444444444444446,Mary L. McRae,0.09777777777777778
42003,42003,100,21,28,22,27,22,17,17,23,23,0,23,20,13,9,12,19,27,323,0.06501547987616099,0.08668730650154799,0.06811145510835913,0.08359133126934984,0.06811145510835913,0.05263157894736842,0.05263157894736842,0.07120743034055728,0.07120743034055728,0.0,0.07120743034055728,0.06191950464396285,0.04024767801857585,0.02786377708978328,0.03715170278637771,0.058823529411764705,0.08359133126934984,Lorna L. Cooper,0.08668730650154799
42004,42004,100,21,21,18,18,17,10,27,20,12,0,18,15,12,7,7,9,20,252,0.08333333333333333,0.08333333333333333,0.07142857142857142,0.07142857142857142,0.06746031746031746,0.03968253968253968,0.10714285714285714,0.07936507936507936,0.047619047619047616,0.0,0.07142857142857142,0.05952380952380952,0.047619047619047616,0.027777777777777776,0.027777777777777776,0.03571428571428571,0.07936507936507936,Katherine A. Manwell,0.10714285714285714
42005,42005,100,31,30,29,25,19,3,29,17,18,0,27,15,18,16,5,8,13,303,0.10231023102310231,0.09900990099009901,0.09570957095709572,0.08250825082508251,0.0627062706270627,0.009900990099009901,0.09570957095709572,0.056105610561056105,0.0594059405940594,0.0,0.0891089108910891,0.04950495049504951,0.0594059405940594,0.052805280528052806,0.0165016501650165,0.026402640264026403,0.0429042904290429,Rosemarie D. Forrest,0.10231023102310231
42006,42006,100,19,16,17,21,16,7,19,15,8,0,15,5,13,11,8,7,9,206,0.09223300970873786,0.07766990291262135,0.0825242718446602,0.10194174757281553,0.07766990291262135,0.03398058252427184,0.09223300970873786,0.07281553398058252,0.038834951456310676,0.0,0.07281553398058252,0.024271844660194174,0.06310679611650485,0.05339805825242718,0.038834951456310676,0.03398058252427184,0.043689320388349516,Basil L. Bailey,0.10194174757281553
42007,42007,100,33,25,31,25,18,10,28,21,15,0,25,17,22,11,14,23,15,333,0.0990990990990991,0.07507507507507508,0.09309309309309309,0.07507507507507508,0.05405405405405406,0.03003003003003003,0.08408408408408409,0.06306306306306306,0.04504504504504504,0.0,0.07507507507507508,0.05105105105105105,0.06606606606606606,0.03303303303303303,0.042042042042042045,0.06906906906906907,0.04504504504504504,Rosemarie D. Forrest,0.0990990990990991
42008,42008,100,15,22,21,16,18,6,16,19,20,0,21,10,14,6,10,24,13,251,0.05976095617529881,0.08764940239043825,0.08366533864541832,0.06374501992031872,0.07171314741035857,0.02390438247011952,0.06374501992031872,0.07569721115537849,0.0796812749003984,0.0,0.08366533864541832,0.0398406374501992,0.055776892430278883,0.02390438247011952,0.0398406374501992,0.09561752988047809,0.05179282868525897,Emmanuel Vambran,0.09561752988047809
42009,42009,100,31,31,30,23,30,18,32,33,28,0,33,27,20,14,21,22,33,426,0.07276995305164319,0.07276995305164319,0.07042253521126761,0.0539906103286385,0.07042253521126761,0.04225352112676056,0.07511737089201878,0.07746478873239436,0.06572769953051644,0.0,0.07746478873239436,0.06338028169014084,0.046948356807511735,0.03286384976525822,0.04929577464788732,0.051643192488262914,0.07746478873239436,Tie,0.07746478873239436
42010,42010,100,24,37,31,36,24,20,30,37,37,0,35,30,29,15,17,18,37,457,0.0525164113785558,0.08096280087527352,0.06783369803063458,0.0787746170678337,0.0525164113785558,0.0437636761487965,0.06564551422319474,0.08096280087527352,0.08096280087527352,0.0,0.07658643326039387,0.06564551422319474,0.06345733041575492,0.03282275711159737,0.037199124726477024,0.03938730853391685,0.08096280087527352,Tie,0.08096280087527352
