ED,Reported As,Reporting,Daryl George,Menelik Oneal,Neacy Lilly,Debra D. Gray,Sara Ratcliff,Mary Miller,William H. Miles,Kay D. Jackson,Calype L. Bryant,Eddie I. Karim,Rafer G. Leito,Cleopatra R. Brown,Lloyd Jones,Thomas Boston,Scattered,James Yarborough,Latarsha M. Harper,Carolyn D. McQueen,Ennis Johnson,Marguerite Whitehurst,Kenneth E. Alston,Carrie M Goodine,Roosevelt Rose,Martin Lamin,Mamie O. Cooper,Jacqueline Mealy,Total Votes,p_Daryl George,p_Menelik Oneal,p_Neacy Lilly,p_Debra D. Gray,p_Sara Ratcliff,p_Mary Miller,p_William H. Miles,p_Kay D. Jackson,p_Calype L. Bryant,p_Eddie I. Karim,p_Rafer G. Leito,p_Cleopatra R. Brown,p_Lloyd Jones,p_Thomas Boston,p_Scattered,p_James Yarborough,p_Latarsha M. Harper,p_Carolyn D. McQueen,p_Ennis Johnson,p_Marguerite Whitehurst,p_Kenneth E. Alston,p_Carrie M Goodine,p_Roosevelt Rose,p_Martin Lamin,p_Mamie O. Cooper,p_Jacqueline Mealy,winner,winner_p
55003,55003,100,1,0,3,1,1,3,0,0,0,2,0,0,0,0,6,2,2,0,1,0,2,1,0,3,1,1,30,0.03333333333333333,0.0,0.1,0.03333333333333333,0.03333333333333333,0.1,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.2,0.06666666666666667,0.06666666666666667,0.0,0.03333333333333333,0.0,0.06666666666666667,0.03333333333333333,0.0,0.1,0.03333333333333333,0.03333333333333333,Scattered,0.2
55001,55003,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
55002,55002,100,2,3,4,7,2,4,2,6,2,2,1,6,2,1,0,3,5,5,3,2,3,3,1,1,2,7,79,0.02531645569620253,0.0379746835443038,0.05063291139240506,0.08860759493670886,0.02531645569620253,0.05063291139240506,0.02531645569620253,0.0759493670886076,0.02531645569620253,0.02531645569620253,0.012658227848101266,0.0759493670886076,0.02531645569620253,0.012658227848101266,0.0,0.0379746835443038,0.06329113924050633,0.06329113924050633,0.0379746835443038,0.02531645569620253,0.0379746835443038,0.0379746835443038,0.012658227848101266,0.012658227848101266,0.02531645569620253,0.08860759493670886,Tie,0.08860759493670886
55004,55004,100,9,8,15,24,6,6,11,10,8,10,6,17,11,7,0,8,24,20,18,4,19,13,7,11,16,22,310,0.02903225806451613,0.025806451612903226,0.04838709677419355,0.07741935483870968,0.01935483870967742,0.01935483870967742,0.035483870967741936,0.03225806451612903,0.025806451612903226,0.03225806451612903,0.01935483870967742,0.054838709677419356,0.035483870967741936,0.02258064516129032,0.0,0.025806451612903226,0.07741935483870968,0.06451612903225806,0.05806451612903226,0.012903225806451613,0.06129032258064516,0.041935483870967745,0.02258064516129032,0.035483870967741936,0.05161290322580645,0.07096774193548387,Tie,0.07741935483870968
55005,55005,100,2,1,1,3,2,3,0,0,2,1,1,5,1,1,0,2,4,1,3,1,3,3,0,1,4,3,48,0.041666666666666664,0.020833333333333332,0.020833333333333332,0.0625,0.041666666666666664,0.0625,0.0,0.0,0.041666666666666664,0.020833333333333332,0.020833333333333332,0.10416666666666667,0.020833333333333332,0.020833333333333332,0.0,0.041666666666666664,0.08333333333333333,0.020833333333333332,0.0625,0.020833333333333332,0.0625,0.0625,0.0,0.020833333333333332,0.08333333333333333,0.0625,Cleopatra R. Brown,0.10416666666666667
55006,55006,100,8,12,16,22,11,14,15,10,7,9,5,9,9,15,2,13,11,16,11,12,13,6,5,7,17,24,299,0.026755852842809364,0.04013377926421405,0.05351170568561873,0.07357859531772576,0.03678929765886288,0.046822742474916385,0.05016722408026756,0.033444816053511704,0.023411371237458192,0.030100334448160536,0.016722408026755852,0.030100334448160536,0.030100334448160536,0.05016722408026756,0.006688963210702341,0.043478260869565216,0.03678929765886288,0.05351170568561873,0.03678929765886288,0.04013377926421405,0.043478260869565216,0.020066889632107024,0.016722408026755852,0.023411371237458192,0.056856187290969896,0.0802675585284281,Jacqueline Mealy,0.0802675585284281
55007,55007,100,3,6,7,11,6,13,6,9,2,3,0,13,6,7,0,2,12,11,6,6,9,3,2,4,8,15,170,0.01764705882352941,0.03529411764705882,0.041176470588235294,0.06470588235294118,0.03529411764705882,0.07647058823529412,0.03529411764705882,0.052941176470588235,0.011764705882352941,0.01764705882352941,0.0,0.07647058823529412,0.03529411764705882,0.041176470588235294,0.0,0.011764705882352941,0.07058823529411765,0.06470588235294118,0.03529411764705882,0.03529411764705882,0.052941176470588235,0.01764705882352941,0.011764705882352941,0.023529411764705882,0.047058823529411764,0.08823529411764706,Jacqueline Mealy,0.08823529411764706
55008,55008,100,6,0,2,4,3,4,7,1,1,1,0,3,6,5,0,5,1,2,2,1,2,2,1,5,5,2,71,0.08450704225352113,0.0,0.028169014084507043,0.056338028169014086,0.04225352112676056,0.056338028169014086,0.09859154929577464,0.014084507042253521,0.014084507042253521,0.014084507042253521,0.0,0.04225352112676056,0.08450704225352113,0.07042253521126761,0.0,0.07042253521126761,0.014084507042253521,0.028169014084507043,0.028169014084507043,0.014084507042253521,0.028169014084507043,0.028169014084507043,0.014084507042253521,0.07042253521126761,0.07042253521126761,0.028169014084507043,William H. Miles,0.09859154929577464
55009,55009,100,9,5,10,16,14,15,11,7,5,9,4,12,5,5,0,5,11,12,5,7,14,8,6,2,7,21,225,0.04,0.022222222222222223,0.044444444444444446,0.07111111111111111,0.06222222222222222,0.06666666666666667,0.04888888888888889,0.03111111111111111,0.022222222222222223,0.04,0.017777777777777778,0.05333333333333334,0.022222222222222223,0.022222222222222223,0.0,0.022222222222222223,0.04888888888888889,0.05333333333333334,0.022222222222222223,0.03111111111111111,0.06222222222222222,0.035555555555555556,0.02666666666666667,0.008888888888888889,0.03111111111111111,0.09333333333333334,Jacqueline Mealy,0.09333333333333334
55010,55010,100,14,11,6,26,8,14,18,8,4,12,4,21,15,15,0,18,20,11,10,5,12,12,4,14,8,17,307,0.04560260586319218,0.035830618892508145,0.019543973941368076,0.08469055374592833,0.026058631921824105,0.04560260586319218,0.05863192182410423,0.026058631921824105,0.013029315960912053,0.03908794788273615,0.013029315960912053,0.06840390879478828,0.048859934853420196,0.048859934853420196,0.0,0.05863192182410423,0.06514657980456026,0.035830618892508145,0.03257328990228013,0.016286644951140065,0.03908794788273615,0.03908794788273615,0.013029315960912053,0.04560260586319218,0.026058631921824105,0.05537459283387622,Debra D. Gray,0.08469055374592833
55011,55011,100,15,7,11,30,13,21,15,16,12,11,11,24,17,17,0,16,15,19,18,15,21,10,8,8,17,33,400,0.0375,0.0175,0.0275,0.075,0.0325,0.0525,0.0375,0.04,0.03,0.0275,0.0275,0.06,0.0425,0.0425,0.0,0.04,0.0375,0.0475,0.045,0.0375,0.0525,0.025,0.02,0.02,0.0425,0.0825,Jacqueline Mealy,0.0825
55012,55012,100,8,13,16,21,10,13,16,11,5,7,5,19,8,10,0,15,16,13,8,8,19,9,8,7,11,23,299,0.026755852842809364,0.043478260869565216,0.05351170568561873,0.07023411371237458,0.033444816053511704,0.043478260869565216,0.05351170568561873,0.03678929765886288,0.016722408026755852,0.023411371237458192,0.016722408026755852,0.06354515050167224,0.026755852842809364,0.033444816053511704,0.0,0.05016722408026756,0.05351170568561873,0.043478260869565216,0.026755852842809364,0.026755852842809364,0.06354515050167224,0.030100334448160536,0.026755852842809364,0.023411371237458192,0.03678929765886288,0.07692307692307693,Jacqueline Mealy,0.07692307692307693
55013,55013,100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Debra D. Gray,1.0
