ED,Reported As,Reporting,David Morisset,Michael Siem,Donald Day,Jumaane Williams,Jackson Rockingster,Antolin Ramon,Meyer Apfeldorf,Josue Pierre,Melida Mason,Lynette I. Dow,Sam Maslow,Benjamin W. Schaeffer,Scattered,Robert B. Manago,Winifred Aikins,Terrence Whiteman,Annie Williams,Ena S. Ryan,W. Barton-Steele,Vincent Tulloch,Total Votes,p_David Morisset,p_Michael Siem,p_Donald Day,p_Jumaane Williams,p_Jackson Rockingster,p_Antolin Ramon,p_Meyer Apfeldorf,p_Josue Pierre,p_Melida Mason,p_Lynette I. Dow,p_Sam Maslow,p_Benjamin W. Schaeffer,p_Scattered,p_Robert B. Manago,p_Winifred Aikins,p_Terrence Whiteman,p_Annie Williams,p_Ena S. Ryan,p_W. Barton-Steele,p_Vincent Tulloch,winner,winner_p
42001,42001,100,2,1,1,3,1,0,1,1,2,2,2,1,0,1,2,1,3,2,0,1,27,0.07407407407407407,0.037037037037037035,0.037037037037037035,0.1111111111111111,0.037037037037037035,0.0,0.037037037037037035,0.037037037037037035,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.037037037037037035,0.0,0.037037037037037035,0.07407407407407407,0.037037037037037035,0.1111111111111111,0.07407407407407407,0.0,0.037037037037037035,Tie,0.1111111111111111
42002,42002,100,14,10,12,23,12,7,8,15,19,15,10,12,1,13,22,5,25,13,5,23,264,0.05303030303030303,0.03787878787878788,0.045454545454545456,0.08712121212121213,0.045454545454545456,0.026515151515151516,0.030303030303030304,0.056818181818181816,0.07196969696969698,0.056818181818181816,0.03787878787878788,0.045454545454545456,0.003787878787878788,0.04924242424242424,0.08333333333333333,0.01893939393939394,0.0946969696969697,0.04924242424242424,0.01893939393939394,0.08712121212121213,Annie Williams,0.0946969696969697
42003,42003,100,19,11,15,37,11,9,11,23,23,18,14,13,0,19,21,7,28,15,8,18,320,0.059375,0.034375,0.046875,0.115625,0.034375,0.028125,0.034375,0.071875,0.071875,0.05625,0.04375,0.040625,0.0,0.059375,0.065625,0.021875,0.0875,0.046875,0.025,0.05625,Jumaane Williams,0.115625
42004,42004,100,12,9,11,17,12,11,14,11,18,16,11,10,0,17,21,6,23,18,2,22,261,0.04597701149425287,0.034482758620689655,0.0421455938697318,0.06513409961685823,0.04597701149425287,0.0421455938697318,0.05363984674329502,0.0421455938697318,0.06896551724137931,0.06130268199233716,0.0421455938697318,0.038314176245210725,0.0,0.06513409961685823,0.08045977011494253,0.022988505747126436,0.08812260536398467,0.06896551724137931,0.007662835249042145,0.0842911877394636,Annie Williams,0.08812260536398467
42005,42005,100,13,10,12,33,12,5,16,16,21,27,10,22,1,25,24,21,35,24,13,28,368,0.035326086956521736,0.02717391304347826,0.03260869565217391,0.08967391304347826,0.03260869565217391,0.01358695652173913,0.043478260869565216,0.043478260869565216,0.057065217391304345,0.07336956521739131,0.02717391304347826,0.059782608695652176,0.002717391304347826,0.06793478260869565,0.06521739130434782,0.057065217391304345,0.09510869565217392,0.06521739130434782,0.035326086956521736,0.07608695652173914,Annie Williams,0.09510869565217392
42006,42006,100,9,9,9,20,6,13,12,15,14,18,7,10,0,14,17,4,22,17,7,20,243,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.0823045267489712,0.024691358024691357,0.053497942386831275,0.04938271604938271,0.06172839506172839,0.05761316872427984,0.07407407407407407,0.02880658436213992,0.0411522633744856,0.0,0.05761316872427984,0.06995884773662552,0.01646090534979424,0.09053497942386832,0.06995884773662552,0.02880658436213992,0.0823045267489712,Annie Williams,0.09053497942386832
42007,42007,100,22,12,16,40,17,8,10,21,25,22,13,16,0,22,21,14,25,15,5,33,357,0.06162464985994398,0.03361344537815126,0.04481792717086835,0.11204481792717087,0.047619047619047616,0.022408963585434174,0.028011204481792718,0.058823529411764705,0.0700280112044818,0.06162464985994398,0.036414565826330535,0.04481792717086835,0.0,0.06162464985994398,0.058823529411764705,0.0392156862745098,0.0700280112044818,0.04201680672268908,0.014005602240896359,0.09243697478991597,Jumaane Williams,0.11204481792717087
42008,42008,100,22,8,13,35,11,5,4,21,22,19,13,8,0,16,20,14,23,16,5,24,299,0.07357859531772576,0.026755852842809364,0.043478260869565216,0.11705685618729098,0.03678929765886288,0.016722408026755852,0.013377926421404682,0.07023411371237458,0.07357859531772576,0.06354515050167224,0.043478260869565216,0.026755852842809364,0.0,0.05351170568561873,0.06688963210702341,0.046822742474916385,0.07692307692307693,0.05351170568561873,0.016722408026755852,0.0802675585284281,Jumaane Williams,0.11705685618729098
42009,42009,100,26,14,16,34,23,9,19,19,24,25,15,22,1,25,23,10,42,19,8,29,403,0.06451612903225806,0.034739454094292806,0.03970223325062035,0.08436724565756824,0.05707196029776675,0.022332506203473945,0.04714640198511166,0.04714640198511166,0.05955334987593052,0.062034739454094295,0.03722084367245657,0.05459057071960298,0.0024813895781637717,0.062034739454094295,0.05707196029776675,0.02481389578163772,0.10421836228287841,0.04714640198511166,0.019851116625310174,0.07196029776674938,Annie Williams,0.10421836228287841
42010,42010,100,27,18,21,55,22,8,15,21,29,32,19,26,0,25,37,26,29,32,10,48,500,0.054,0.036,0.042,0.11,0.044,0.016,0.03,0.042,0.058,0.064,0.038,0.052,0.0,0.05,0.074,0.052,0.058,0.064,0.02,0.096,Jumaane Williams,0.11
