ED,Reported As,Reporting,Steven Hasty,Michael Berger,James Maleady,Sara Shoener,William H. Smith,Courtney DeDona,Thomas F. Smith,David Niederman,Scattered,Eileen M. Cavaliere,Erin Drinkwater,Ramona Vergara,Total Votes,p_Steven Hasty,p_Michael Berger,p_James Maleady,p_Sara Shoener,p_William H. Smith,p_Courtney DeDona,p_Thomas F. Smith,p_David Niederman,p_Scattered,p_Eileen M. Cavaliere,p_Erin Drinkwater,p_Ramona Vergara,winner,winner_p
50001,50001,100,3,5,5,7,8,12,10,21,0,13,7,14,105,0.02857142857142857,0.047619047619047616,0.047619047619047616,0.06666666666666667,0.0761904761904762,0.11428571428571428,0.09523809523809523,0.2,0.0,0.12380952380952381,0.06666666666666667,0.13333333333333333,David Niederman,0.2
50002,50002,100,8,7,10,14,6,15,3,2,0,14,17,15,111,0.07207207207207207,0.06306306306306306,0.09009009009009009,0.12612612612612611,0.05405405405405406,0.13513513513513514,0.02702702702702703,0.018018018018018018,0.0,0.12612612612612611,0.15315315315315314,0.13513513513513514,Erin Drinkwater,0.15315315315315314
50003,50003,100,13,9,8,16,5,13,4,3,1,13,15,15,115,0.11304347826086956,0.0782608695652174,0.06956521739130435,0.1391304347826087,0.043478260869565216,0.11304347826086956,0.034782608695652174,0.02608695652173913,0.008695652173913044,0.11304347826086956,0.13043478260869565,0.13043478260869565,Sara Shoener,0.1391304347826087
50004,50004,100,2,1,3,6,0,4,0,0,1,4,6,7,34,0.058823529411764705,0.029411764705882353,0.08823529411764706,0.17647058823529413,0.0,0.11764705882352941,0.0,0.0,0.029411764705882353,0.11764705882352941,0.17647058823529413,0.20588235294117646,Ramona Vergara,0.20588235294117646
50005,50005,100,17,18,15,29,7,21,9,13,0,22,30,29,210,0.08095238095238096,0.08571428571428572,0.07142857142857142,0.1380952380952381,0.03333333333333333,0.1,0.04285714285714286,0.06190476190476191,0.0,0.10476190476190476,0.14285714285714285,0.1380952380952381,Erin Drinkwater,0.14285714285714285
50006,50006,100,7,7,7,20,3,14,8,8,0,17,16,15,122,0.05737704918032787,0.05737704918032787,0.05737704918032787,0.16393442622950818,0.02459016393442623,0.11475409836065574,0.06557377049180328,0.06557377049180328,0.0,0.13934426229508196,0.13114754098360656,0.12295081967213115,Sara Shoener,0.16393442622950818
50007,50007,100,16,14,12,23,8,17,7,7,5,17,20,20,166,0.0963855421686747,0.08433734939759036,0.07228915662650602,0.13855421686746988,0.04819277108433735,0.10240963855421686,0.04216867469879518,0.04216867469879518,0.030120481927710843,0.10240963855421686,0.12048192771084337,0.12048192771084337,Sara Shoener,0.13855421686746988
50008,50008,100,11,15,11,27,7,22,8,15,9,25,26,22,198,0.05555555555555555,0.07575757575757576,0.05555555555555555,0.13636363636363635,0.03535353535353535,0.1111111111111111,0.04040404040404041,0.07575757575757576,0.045454545454545456,0.12626262626262627,0.13131313131313133,0.1111111111111111,Sara Shoener,0.13636363636363635
50009,50009,100,8,13,10,21,4,13,9,10,0,17,18,16,139,0.05755395683453238,0.09352517985611511,0.07194244604316546,0.1510791366906475,0.02877697841726619,0.09352517985611511,0.06474820143884892,0.07194244604316546,0.0,0.1223021582733813,0.12949640287769784,0.11510791366906475,Sara Shoener,0.1510791366906475
50010,50010,100,1,2,2,3,0,0,1,2,0,2,4,1,18,0.05555555555555555,0.1111111111111111,0.1111111111111111,0.16666666666666666,0.0,0.0,0.05555555555555555,0.1111111111111111,0.0,0.1111111111111111,0.2222222222222222,0.05555555555555555,Erin Drinkwater,0.2222222222222222
50011,50011,100,8,14,8,15,13,8,10,24,4,12,6,15,137,0.058394160583941604,0.10218978102189781,0.058394160583941604,0.10948905109489052,0.0948905109489051,0.058394160583941604,0.072992700729927,0.17518248175182483,0.029197080291970802,0.08759124087591241,0.043795620437956206,0.10948905109489052,David Niederman,0.17518248175182483
50012,50012,100,18,18,18,23,11,20,12,15,0,28,24,25,212,0.08490566037735849,0.08490566037735849,0.08490566037735849,0.10849056603773585,0.05188679245283019,0.09433962264150944,0.05660377358490566,0.07075471698113207,0.0,0.1320754716981132,0.11320754716981132,0.1179245283018868,Eileen M. Cavaliere,0.1320754716981132
50013,50013,100,2,2,2,3,1,2,2,1,1,2,3,2,23,0.08695652173913043,0.08695652173913043,0.08695652173913043,0.13043478260869565,0.043478260869565216,0.08695652173913043,0.08695652173913043,0.043478260869565216,0.043478260869565216,0.08695652173913043,0.13043478260869565,0.08695652173913043,Tie,0.13043478260869565
50014,50014,100,10,8,7,12,9,10,10,6,1,12,13,10,108,0.09259259259259259,0.07407407407407407,0.06481481481481481,0.1111111111111111,0.08333333333333333,0.09259259259259259,0.09259259259259259,0.05555555555555555,0.009259259259259259,0.1111111111111111,0.12037037037037036,0.09259259259259259,Erin Drinkwater,0.12037037037037036
50015,50015,100,4,8,4,12,5,11,6,7,0,13,11,12,93,0.043010752688172046,0.08602150537634409,0.043010752688172046,0.12903225806451613,0.053763440860215055,0.11827956989247312,0.06451612903225806,0.07526881720430108,0.0,0.13978494623655913,0.11827956989247312,0.12903225806451613,Eileen M. Cavaliere,0.13978494623655913
50016,50016,100,18,19,17,22,19,23,14,16,0,21,14,25,208,0.08653846153846154,0.09134615384615384,0.08173076923076923,0.10576923076923077,0.09134615384615384,0.11057692307692307,0.0673076923076923,0.07692307692307693,0.0,0.10096153846153846,0.0673076923076923,0.1201923076923077,Ramona Vergara,0.1201923076923077
50017,50017,100,13,14,15,25,18,19,14,11,0,17,24,25,195,0.06666666666666667,0.07179487179487179,0.07692307692307693,0.1282051282051282,0.09230769230769231,0.09743589743589744,0.07179487179487179,0.05641025641025641,0.0,0.08717948717948718,0.12307692307692308,0.1282051282051282,Tie,0.1282051282051282
