ED,Reported As,Reporting,Robert Lee Thomas,Yolanda Y. McQueen,Karrie M. Scarboro,Michael T. Hamlet,Karen Miller,Charlie T. Walker,Blanche L. Peltonbusch,Salange M. Winston,Zakkia S. Hallums,Joyce Gillman,Rose Mcnelly,Patricia Watts,Scattered,Anthony T. Jones,David R. Miller IV,Michelle K. Miller,Pamela M. Junior,Nathaniel Strickland,Abena H. Douglas,Daniel R. Miller,Shirley M. Gonsalves,Lisa Williams,Ruby C. Simms,Joseph Mealy,Aleen Davis,Total Votes,p_Robert Lee Thomas,p_Yolanda Y. McQueen,p_Karrie M. Scarboro,p_Michael T. Hamlet,p_Karen Miller,p_Charlie T. Walker,p_Blanche L. Peltonbusch,p_Salange M. Winston,p_Zakkia S. Hallums,p_Joyce Gillman,p_Rose Mcnelly,p_Patricia Watts,p_Scattered,p_Anthony T. Jones,p_David R. Miller IV,p_Michelle K. Miller,p_Pamela M. Junior,p_Nathaniel Strickland,p_Abena H. Douglas,p_Daniel R. Miller,p_Shirley M. Gonsalves,p_Lisa Williams,p_Ruby C. Simms,p_Joseph Mealy,p_Aleen Davis,winner,winner_p
55003,55003,100,2,1,0,1,1,1,1,0,2,0,1,2,0,1,0,1,2,1,0,1,1,3,0,2,1,25,0.08,0.04,0.0,0.04,0.04,0.04,0.04,0.0,0.08,0.0,0.04,0.08,0.0,0.04,0.0,0.04,0.08,0.04,0.0,0.04,0.04,0.12,0.0,0.08,0.04,Lisa Williams,0.12
55001,55003,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
55002,55002,100,4,5,4,4,3,4,0,1,4,2,3,3,0,8,5,1,1,2,5,1,4,3,5,6,2,80,0.05,0.0625,0.05,0.05,0.0375,0.05,0.0,0.0125,0.05,0.025,0.0375,0.0375,0.0,0.1,0.0625,0.0125,0.0125,0.025,0.0625,0.0125,0.05,0.0375,0.0625,0.075,0.025,Anthony T. Jones,0.1
55004,55004,100,14,23,10,4,21,18,3,11,12,6,18,25,0,30,12,9,10,10,10,11,9,29,17,14,19,345,0.04057971014492753,0.06666666666666667,0.028985507246376812,0.011594202898550725,0.06086956521739131,0.05217391304347826,0.008695652173913044,0.03188405797101449,0.034782608695652174,0.017391304347826087,0.05217391304347826,0.07246376811594203,0.0,0.08695652173913043,0.034782608695652174,0.02608695652173913,0.028985507246376812,0.028985507246376812,0.028985507246376812,0.03188405797101449,0.02608695652173913,0.08405797101449275,0.04927536231884058,0.04057971014492753,0.05507246376811594,Anthony T. Jones,0.08695652173913043
55005,55005,100,1,2,0,1,2,3,0,3,2,3,3,3,0,4,2,2,3,2,1,3,1,4,1,5,5,56,0.017857142857142856,0.03571428571428571,0.0,0.017857142857142856,0.03571428571428571,0.05357142857142857,0.0,0.05357142857142857,0.03571428571428571,0.05357142857142857,0.05357142857142857,0.05357142857142857,0.0,0.07142857142857142,0.03571428571428571,0.03571428571428571,0.05357142857142857,0.03571428571428571,0.017857142857142856,0.05357142857142857,0.017857142857142856,0.07142857142857142,0.017857142857142856,0.08928571428571429,0.08928571428571429,Tie,0.08928571428571429
55006,55006,100,13,18,5,4,19,18,6,5,12,12,4,41,0,42,18,15,9,4,6,16,10,25,10,20,6,338,0.038461538461538464,0.05325443786982249,0.014792899408284023,0.011834319526627219,0.05621301775147929,0.05325443786982249,0.01775147928994083,0.014792899408284023,0.03550295857988166,0.03550295857988166,0.011834319526627219,0.12130177514792899,0.0,0.1242603550295858,0.05325443786982249,0.04437869822485207,0.026627218934911243,0.011834319526627219,0.01775147928994083,0.047337278106508875,0.029585798816568046,0.07396449704142012,0.029585798816568046,0.05917159763313609,0.01775147928994083,Anthony T. Jones,0.1242603550295858
55007,55007,100,10,14,1,5,8,11,4,6,6,2,8,13,0,11,6,5,7,5,3,9,6,14,9,9,6,178,0.056179775280898875,0.07865168539325842,0.0056179775280898875,0.028089887640449437,0.0449438202247191,0.06179775280898876,0.02247191011235955,0.033707865168539325,0.033707865168539325,0.011235955056179775,0.0449438202247191,0.07303370786516854,0.0,0.06179775280898876,0.033707865168539325,0.028089887640449437,0.03932584269662921,0.028089887640449437,0.016853932584269662,0.05056179775280899,0.033707865168539325,0.07865168539325842,0.05056179775280899,0.05056179775280899,0.033707865168539325,Tie,0.07865168539325842
55008,55008,100,1,4,1,7,9,4,1,2,0,1,1,3,0,7,9,9,1,7,2,9,1,8,3,3,2,95,0.010526315789473684,0.042105263157894736,0.010526315789473684,0.07368421052631578,0.09473684210526316,0.042105263157894736,0.010526315789473684,0.021052631578947368,0.0,0.010526315789473684,0.010526315789473684,0.031578947368421054,0.0,0.07368421052631578,0.09473684210526316,0.09473684210526316,0.010526315789473684,0.07368421052631578,0.021052631578947368,0.09473684210526316,0.010526315789473684,0.08421052631578947,0.031578947368421054,0.031578947368421054,0.021052631578947368,Tie,0.09473684210526316
55009,55009,100,10,18,6,2,10,12,5,10,10,11,17,9,0,15,5,8,7,11,7,7,8,16,8,19,8,239,0.04184100418410042,0.07531380753138076,0.02510460251046025,0.008368200836820083,0.04184100418410042,0.0502092050209205,0.02092050209205021,0.04184100418410042,0.04184100418410042,0.04602510460251046,0.07112970711297072,0.03765690376569038,0.0,0.06276150627615062,0.02092050209205021,0.03347280334728033,0.029288702928870293,0.04602510460251046,0.029288702928870293,0.029288702928870293,0.03347280334728033,0.06694560669456066,0.03347280334728033,0.0794979079497908,0.03347280334728033,Joseph Mealy,0.0794979079497908
55010,55010,100,10,18,7,14,28,11,5,6,11,14,12,15,1,36,37,28,23,18,5,26,10,31,13,11,9,399,0.02506265664160401,0.045112781954887216,0.017543859649122806,0.03508771929824561,0.07017543859649122,0.02756892230576441,0.012531328320802004,0.015037593984962405,0.02756892230576441,0.03508771929824561,0.03007518796992481,0.03759398496240601,0.002506265664160401,0.09022556390977443,0.09273182957393483,0.07017543859649122,0.05764411027568922,0.045112781954887216,0.012531328320802004,0.06516290726817042,0.02506265664160401,0.07769423558897243,0.03258145363408521,0.02756892230576441,0.022556390977443608,David R. Miller IV,0.09273182957393483
