ED,Reported As,Reporting,Shirley M. Patterson,Scattered,Diana Richardson,Total Votes,p_Shirley M. Patterson,p_Scattered,p_Diana Richardson,winner,winner_p
43001,43001,100,24,1,29,54,0.4444444444444444,0.018518518518518517,0.5370370370370371,Diana Richardson,0.5370370370370371
43002,43002,100,26,0,43,69,0.37681159420289856,0.0,0.6231884057971014,Diana Richardson,0.6231884057971014
43003,43003,100,23,0,51,74,0.3108108108108108,0.0,0.6891891891891891,Diana Richardson,0.6891891891891891
43004,43004,100,14,0,24,38,0.3684210526315789,0.0,0.631578947368421,Diana Richardson,0.631578947368421
43005,43005,100,15,0,13,28,0.5357142857142857,0.0,0.4642857142857143,Shirley M. Patterson,0.5357142857142857
43006,43006,100,29,0,22,51,0.5686274509803921,0.0,0.43137254901960786,Shirley M. Patterson,0.5686274509803921
43007,43007,100,21,1,53,75,0.28,0.013333333333333334,0.7066666666666667,Diana Richardson,0.7066666666666667
43008,43008,100,18,0,17,35,0.5142857142857142,0.0,0.4857142857142857,Shirley M. Patterson,0.5142857142857142
43009,43009,100,52,0,28,80,0.65,0.0,0.35,Shirley M. Patterson,0.65
43010,43010,100,19,0,11,30,0.6333333333333333,0.0,0.36666666666666664,Shirley M. Patterson,0.6333333333333333
43011,43011,100,39,0,31,70,0.5571428571428572,0.0,0.44285714285714284,Shirley M. Patterson,0.5571428571428572
43012,43012,100,47,1,40,88,0.5340909090909091,0.011363636363636364,0.45454545454545453,Shirley M. Patterson,0.5340909090909091
43013,43013,100,36,0,14,50,0.72,0.0,0.28,Shirley M. Patterson,0.72
43014,43014,100,44,2,65,111,0.3963963963963964,0.018018018018018018,0.5855855855855856,Diana Richardson,0.5855855855855856
43015,43015,100,43,0,61,104,0.41346153846153844,0.0,0.5865384615384616,Diana Richardson,0.5865384615384616
43016,43016,100,73,0,88,161,0.453416149068323,0.0,0.546583850931677,Diana Richardson,0.546583850931677
43017,43017,100,27,0,24,51,0.5294117647058824,0.0,0.47058823529411764,Shirley M. Patterson,0.5294117647058824
43018,43018,100,34,0,56,90,0.37777777777777777,0.0,0.6222222222222222,Diana Richardson,0.6222222222222222
43019,43019,100,36,0,50,86,0.4186046511627907,0.0,0.5813953488372093,Diana Richardson,0.5813953488372093
43020,43020,100,64,0,86,150,0.4266666666666667,0.0,0.5733333333333334,Diana Richardson,0.5733333333333334
43021,43021,100,43,0,28,71,0.6056338028169014,0.0,0.39436619718309857,Shirley M. Patterson,0.6056338028169014
43022,43022,100,61,0,48,109,0.5596330275229358,0.0,0.44036697247706424,Shirley M. Patterson,0.5596330275229358
43023,43023,100,75,0,79,154,0.487012987012987,0.0,0.512987012987013,Diana Richardson,0.512987012987013
43024,43024,100,27,0,44,71,0.38028169014084506,0.0,0.6197183098591549,Diana Richardson,0.6197183098591549
43025,43025,100,49,1,81,131,0.37404580152671757,0.007633587786259542,0.6183206106870229,Diana Richardson,0.6183206106870229
43026,43026,100,40,0,54,94,0.425531914893617,0.0,0.574468085106383,Diana Richardson,0.574468085106383
43027,43027,100,47,1,44,92,0.5108695652173914,0.010869565217391304,0.4782608695652174,Shirley M. Patterson,0.5108695652173914
43028,43028,100,43,0,58,101,0.42574257425742573,0.0,0.5742574257425742,Diana Richardson,0.5742574257425742
43029,43029,100,39,1,22,62,0.6290322580645161,0.016129032258064516,0.3548387096774194,Shirley M. Patterson,0.6290322580645161
43030,43030,100,39,1,24,64,0.609375,0.015625,0.375,Shirley M. Patterson,0.609375
43031,43031,100,68,0,48,116,0.5862068965517241,0.0,0.41379310344827586,Shirley M. Patterson,0.5862068965517241
43032,43032,100,37,4,21,62,0.5967741935483871,0.06451612903225806,0.3387096774193548,Shirley M. Patterson,0.5967741935483871
43033,43033,100,75,2,43,120,0.625,0.016666666666666666,0.35833333333333334,Shirley M. Patterson,0.625
43034,43034,100,63,0,62,125,0.504,0.0,0.496,Shirley M. Patterson,0.504
43035,43035,100,56,0,56,112,0.5,0.0,0.5,Tie,0.5
43036,43036,100,55,0,57,112,0.49107142857142855,0.0,0.5089285714285714,Diana Richardson,0.5089285714285714
43037,43037,100,63,0,70,133,0.47368421052631576,0.0,0.5263157894736842,Diana Richardson,0.5263157894736842
43038,43038,100,110,0,127,237,0.4641350210970464,0.0,0.5358649789029536,Diana Richardson,0.5358649789029536
43039,43039,100,73,1,59,133,0.5488721804511278,0.007518796992481203,0.44360902255639095,Shirley M. Patterson,0.5488721804511278
43040,43040,100,27,0,31,58,0.46551724137931033,0.0,0.5344827586206896,Diana Richardson,0.5344827586206896
43041,43041,100,38,0,32,70,0.5428571428571428,0.0,0.45714285714285713,Shirley M. Patterson,0.5428571428571428
43042,43042,100,66,0,48,114,0.5789473684210527,0.0,0.42105263157894735,Shirley M. Patterson,0.5789473684210527
43043,43043,100,35,0,15,50,0.7,0.0,0.3,Shirley M. Patterson,0.7
43044,43044,100,29,0,25,54,0.5370370370370371,0.0,0.46296296296296297,Shirley M. Patterson,0.5370370370370371
43045,43045,100,29,2,15,46,0.6304347826086957,0.043478260869565216,0.32608695652173914,Shirley M. Patterson,0.6304347826086957
43046,43046,100,24,1,9,34,0.7058823529411765,0.029411764705882353,0.2647058823529412,Shirley M. Patterson,0.7058823529411765
43047,43047,100,40,3,27,70,0.5714285714285714,0.04285714285714286,0.38571428571428573,Shirley M. Patterson,0.5714285714285714
43048,43048,100,53,0,29,82,0.6463414634146342,0.0,0.35365853658536583,Shirley M. Patterson,0.6463414634146342
43049,43049,100,36,0,37,73,0.4931506849315068,0.0,0.5068493150684932,Diana Richardson,0.5068493150684932
43050,43050,100,33,0,30,63,0.5238095238095238,0.0,0.47619047619047616,Shirley M. Patterson,0.5238095238095238
43051,43051,100,121,0,39,160,0.75625,0.0,0.24375,Shirley M. Patterson,0.75625
43052,43052,100,68,0,31,99,0.6868686868686869,0.0,0.31313131313131315,Shirley M. Patterson,0.6868686868686869
43053,43053,100,62,0,50,112,0.5535714285714286,0.0,0.44642857142857145,Shirley M. Patterson,0.5535714285714286
43054,43054,100,57,0,39,96,0.59375,0.0,0.40625,Shirley M. Patterson,0.59375
43055,43055,100,33,0,33,66,0.5,0.0,0.5,Tie,0.5
43056,43056,100,46,0,31,77,0.5974025974025974,0.0,0.4025974025974026,Shirley M. Patterson,0.5974025974025974
43057,43057,100,37,1,14,52,0.7115384615384616,0.019230769230769232,0.2692307692307692,Shirley M. Patterson,0.7115384615384616
43058,43058,100,34,0,14,48,0.7083333333333334,0.0,0.2916666666666667,Shirley M. Patterson,0.7083333333333334
43059,43059,100,30,0,14,44,0.6818181818181818,0.0,0.3181818181818182,Shirley M. Patterson,0.6818181818181818
43060,43060,100,48,0,32,80,0.6,0.0,0.4,Shirley M. Patterson,0.6
43061,43061,100,65,0,27,92,0.7065217391304348,0.0,0.29347826086956524,Shirley M. Patterson,0.7065217391304348
43062,43062,100,31,0,15,46,0.6739130434782609,0.0,0.32608695652173914,Shirley M. Patterson,0.6739130434782609
43063,43063,100,26,0,13,39,0.6666666666666666,0.0,0.3333333333333333,Shirley M. Patterson,0.6666666666666666
43064,43064,100,34,0,6,40,0.85,0.0,0.15,Shirley M. Patterson,0.85
43065,43065,100,23,0,25,48,0.4791666666666667,0.0,0.5208333333333334,Diana Richardson,0.5208333333333334
43066,43066,100,51,0,43,94,0.5425531914893617,0.0,0.4574468085106383,Shirley M. Patterson,0.5425531914893617
43067,43067,100,64,0,72,136,0.47058823529411764,0.0,0.5294117647058824,Diana Richardson,0.5294117647058824
43068,43068,100,76,1,73,150,0.5066666666666667,0.006666666666666667,0.4866666666666667,Shirley M. Patterson,0.5066666666666667
43069,43069,100,62,0,45,107,0.5794392523364486,0.0,0.4205607476635514,Shirley M. Patterson,0.5794392523364486
43070,43070,100,21,0,30,51,0.4117647058823529,0.0,0.5882352941176471,Diana Richardson,0.5882352941176471
43071,43071,100,57,0,30,87,0.6551724137931034,0.0,0.3448275862068966,Shirley M. Patterson,0.6551724137931034
43072,43072,100,44,0,22,66,0.6666666666666666,0.0,0.3333333333333333,Shirley M. Patterson,0.6666666666666666
43073,43073,100,61,0,67,128,0.4765625,0.0,0.5234375,Diana Richardson,0.5234375
43074,43074,100,13,0,23,36,0.3611111111111111,0.0,0.6388888888888888,Diana Richardson,0.6388888888888888
