ED,Reported As,Reporting,Sharon Fuchs,Scattered,Total Votes,p_Sharon Fuchs,p_Scattered,winner,winner_p
48002,48002,100,5,0,5,1.0,0.0,Sharon Fuchs,1.0
48001,48002,100,0,0,0,0,0,n/a,0
48003,48003,100,12,0,12,1.0,0.0,Sharon Fuchs,1.0
48004,48004,100,31,1,32,0.96875,0.03125,Sharon Fuchs,0.96875
48005,48005,100,15,2,17,0.8823529411764706,0.11764705882352941,Sharon Fuchs,0.8823529411764706
48006,48006,100,19,1,20,0.95,0.05,Sharon Fuchs,0.95
48007,48007,100,16,0,16,1.0,0.0,Sharon Fuchs,1.0
48008,48008,100,4,0,4,1.0,0.0,Sharon Fuchs,1.0
48009,48009,100,13,1,14,0.9285714285714286,0.07142857142857142,Sharon Fuchs,0.9285714285714286
48010,48010,100,28,2,30,0.9333333333333333,0.06666666666666667,Sharon Fuchs,0.9333333333333333
48011,48011,100,32,0,32,1.0,0.0,Sharon Fuchs,1.0
48012,48012,100,23,1,24,0.9583333333333334,0.041666666666666664,Sharon Fuchs,0.9583333333333334
48013,48013,100,46,0,46,1.0,0.0,Sharon Fuchs,1.0
48014,48014,100,7,1,8,0.875,0.125,Sharon Fuchs,0.875
48015,48015,100,29,2,31,0.9354838709677419,0.06451612903225806,Sharon Fuchs,0.9354838709677419
48016,48016,100,13,1,14,0.9285714285714286,0.07142857142857142,Sharon Fuchs,0.9285714285714286
48017,48017,100,30,0,30,1.0,0.0,Sharon Fuchs,1.0
48018,48018,100,46,2,48,0.9583333333333334,0.041666666666666664,Sharon Fuchs,0.9583333333333334
48019,48019,100,23,1,24,0.9583333333333334,0.041666666666666664,Sharon Fuchs,0.9583333333333334
48020,48020,100,22,3,25,0.88,0.12,Sharon Fuchs,0.88
48021,48021,100,22,2,24,0.9166666666666666,0.08333333333333333,Sharon Fuchs,0.9166666666666666
48022,48022,100,28,2,30,0.9333333333333333,0.06666666666666667,Sharon Fuchs,0.9333333333333333
48023,48023,100,21,0,21,1.0,0.0,Sharon Fuchs,1.0
48024,48024,100,42,1,43,0.9767441860465116,0.023255813953488372,Sharon Fuchs,0.9767441860465116
48025,48025,100,26,3,29,0.896551724137931,0.10344827586206896,Sharon Fuchs,0.896551724137931
48026,48026,100,21,1,22,0.9545454545454546,0.045454545454545456,Sharon Fuchs,0.9545454545454546
48027,48027,100,27,1,28,0.9642857142857143,0.03571428571428571,Sharon Fuchs,0.9642857142857143
48028,48028,100,21,4,25,0.84,0.16,Sharon Fuchs,0.84
48029,48029,100,25,1,26,0.9615384615384616,0.038461538461538464,Sharon Fuchs,0.9615384615384616
