ED,Reported As,Reporting,Darlene Mealy,Kathleen Daniel,Shemene M. Minter,Scattered,Maryam Samad,Total Votes,p_Darlene Mealy,p_Kathleen Daniel,p_Shemene M. Minter,p_Scattered,p_Maryam Samad,winner,winner_p
55003,55003,100,7,1,0,0,2,10,0.7,0.1,0.0,0.0,0.2,Darlene Mealy,0.7
55001,55003,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
55002,55002,100,18,4,1,0,1,24,0.75,0.16666666666666666,0.041666666666666664,0.0,0.041666666666666664,Darlene Mealy,0.75
55004,55004,100,34,31,7,0,5,77,0.44155844155844154,0.4025974025974026,0.09090909090909091,0.0,0.06493506493506493,Darlene Mealy,0.44155844155844154
55005,55005,100,9,1,1,0,1,12,0.75,0.08333333333333333,0.08333333333333333,0.0,0.08333333333333333,Darlene Mealy,0.75
55006,55006,100,62,19,7,0,8,96,0.6458333333333334,0.19791666666666666,0.07291666666666667,0.0,0.08333333333333333,Darlene Mealy,0.6458333333333334
55007,55007,100,23,11,2,0,1,37,0.6216216216216216,0.2972972972972973,0.05405405405405406,0.0,0.02702702702702703,Darlene Mealy,0.6216216216216216
55008,55008,100,13,4,1,0,0,18,0.7222222222222222,0.2222222222222222,0.05555555555555555,0.0,0.0,Darlene Mealy,0.7222222222222222
55009,55009,100,40,10,1,0,2,53,0.7547169811320755,0.18867924528301888,0.018867924528301886,0.0,0.03773584905660377,Darlene Mealy,0.7547169811320755
55010,55010,100,44,23,6,0,9,82,0.5365853658536586,0.2804878048780488,0.07317073170731707,0.0,0.10975609756097561,Darlene Mealy,0.5365853658536586
55011,55011,100,62,15,5,0,5,87,0.7126436781609196,0.1724137931034483,0.05747126436781609,0.0,0.05747126436781609,Darlene Mealy,0.7126436781609196
55012,55012,100,44,12,5,0,8,69,0.6376811594202898,0.17391304347826086,0.07246376811594203,0.0,0.11594202898550725,Darlene Mealy,0.6376811594202898
55013,55013,100,0,0,1,0,0,1,0.0,0.0,1.0,0.0,0.0,Shemene M. Minter,1.0
55014,55014,100,35,23,3,0,2,63,0.5555555555555556,0.36507936507936506,0.047619047619047616,0.0,0.031746031746031744,Darlene Mealy,0.5555555555555556
55015,55015,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
55016,55016,100,30,9,4,0,4,47,0.6382978723404256,0.19148936170212766,0.0851063829787234,0.0,0.0851063829787234,Darlene Mealy,0.6382978723404256
55017,55017,100,12,12,0,0,0,24,0.5,0.5,0.0,0.0,0.0,Tie,0.5
55018,55018,100,50,13,7,0,3,73,0.684931506849315,0.1780821917808219,0.0958904109589041,0.0,0.0410958904109589,Darlene Mealy,0.684931506849315
55019,55019,100,73,15,6,0,2,96,0.7604166666666666,0.15625,0.0625,0.0,0.020833333333333332,Darlene Mealy,0.7604166666666666
55020,55020,100,38,10,1,0,3,52,0.7307692307692307,0.19230769230769232,0.019230769230769232,0.0,0.057692307692307696,Darlene Mealy,0.7307692307692307
55021,55021,100,43,6,3,0,0,52,0.8269230769230769,0.11538461538461539,0.057692307692307696,0.0,0.0,Darlene Mealy,0.8269230769230769
55022,55022,100,43,12,2,0,1,58,0.7413793103448276,0.20689655172413793,0.034482758620689655,0.0,0.017241379310344827,Darlene Mealy,0.7413793103448276
55023,55023,100,44,16,1,0,2,63,0.6984126984126984,0.25396825396825395,0.015873015873015872,0.0,0.031746031746031744,Darlene Mealy,0.6984126984126984
55024,55024,100,23,7,3,0,0,33,0.696969696969697,0.21212121212121213,0.09090909090909091,0.0,0.0,Darlene Mealy,0.696969696969697
55025,55025,100,32,14,3,0,3,52,0.6153846153846154,0.2692307692307692,0.057692307692307696,0.0,0.057692307692307696,Darlene Mealy,0.6153846153846154
55026,55026,100,6,1,0,0,0,7,0.8571428571428571,0.14285714285714285,0.0,0.0,0.0,Darlene Mealy,0.8571428571428571
55027,55027,100,14,9,0,0,1,24,0.5833333333333334,0.375,0.0,0.0,0.041666666666666664,Darlene Mealy,0.5833333333333334
55028,55028,100,13,5,1,0,1,20,0.65,0.25,0.05,0.0,0.05,Darlene Mealy,0.65
55029,55029,100,9,2,1,0,0,12,0.75,0.16666666666666666,0.08333333333333333,0.0,0.0,Darlene Mealy,0.75
55030,55030,100,22,3,1,0,2,28,0.7857142857142857,0.10714285714285714,0.03571428571428571,0.0,0.07142857142857142,Darlene Mealy,0.7857142857142857
55031,55031,100,114,33,1,1,6,155,0.7354838709677419,0.2129032258064516,0.0064516129032258064,0.0064516129032258064,0.03870967741935484,Darlene Mealy,0.7354838709677419
55032,55032,100,21,4,1,0,0,26,0.8076923076923077,0.15384615384615385,0.038461538461538464,0.0,0.0,Darlene Mealy,0.8076923076923077
55033,55033,100,28,5,4,1,3,41,0.6829268292682927,0.12195121951219512,0.0975609756097561,0.024390243902439025,0.07317073170731707,Darlene Mealy,0.6829268292682927
55034,55034,100,52,13,2,1,2,70,0.7428571428571429,0.18571428571428572,0.02857142857142857,0.014285714285714285,0.02857142857142857,Darlene Mealy,0.7428571428571429
55035,55035,100,70,14,1,0,2,87,0.8045977011494253,0.16091954022988506,0.011494252873563218,0.0,0.022988505747126436,Darlene Mealy,0.8045977011494253
55036,55036,100,1,2,0,0,0,3,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,Kathleen Daniel,0.6666666666666666
55037,55037,100,6,2,0,0,1,9,0.6666666666666666,0.2222222222222222,0.0,0.0,0.1111111111111111,Darlene Mealy,0.6666666666666666
55038,55038,100,4,0,0,0,0,4,1.0,0.0,0.0,0.0,0.0,Darlene Mealy,1.0
55040,55040,100,3,4,3,0,1,11,0.2727272727272727,0.36363636363636365,0.2727272727272727,0.0,0.09090909090909091,Kathleen Daniel,0.36363636363636365
55039,55040,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
55041,55041,100,5,4,2,1,2,14,0.35714285714285715,0.2857142857142857,0.14285714285714285,0.07142857142857142,0.14285714285714285,Darlene Mealy,0.35714285714285715
55042,55040,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
55043,55041,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
55044,55044,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
55045,55045,100,10,6,2,0,4,22,0.45454545454545453,0.2727272727272727,0.09090909090909091,0.0,0.18181818181818182,Darlene Mealy,0.45454545454545453
55046,55046,100,30,8,1,0,6,45,0.6666666666666666,0.17777777777777778,0.022222222222222223,0.0,0.13333333333333333,Darlene Mealy,0.6666666666666666
55047,55047,100,10,5,0,0,3,18,0.5555555555555556,0.2777777777777778,0.0,0.0,0.16666666666666666,Darlene Mealy,0.5555555555555556
55048,55048,100,28,10,4,0,4,46,0.6086956521739131,0.21739130434782608,0.08695652173913043,0.0,0.08695652173913043,Darlene Mealy,0.6086956521739131
55049,55049,100,16,19,1,0,1,37,0.43243243243243246,0.5135135135135135,0.02702702702702703,0.0,0.02702702702702703,Kathleen Daniel,0.5135135135135135
55050,55050,100,2,2,1,0,0,5,0.4,0.4,0.2,0.0,0.0,Tie,0.4
