ED,Reported As,Reporting,Diana J. Szochet,Sharon Clarke,Isiris Isela Isaac,Scattered,Total Votes,p_Diana J. Szochet,p_Sharon Clarke,p_Isiris Isela Isaac,p_Scattered,winner,winner_p
41026,41026,100,2,2,1,0,5,0.4,0.4,0.2,0.0,Tie,0.4
41050,41050,100,27,20,7,2,56,0.48214285714285715,0.35714285714285715,0.125,0.03571428571428571,Diana J. Szochet,0.48214285714285715
41051,41051,100,3,8,3,0,14,0.21428571428571427,0.5714285714285714,0.21428571428571427,0.0,Sharon Clarke,0.5714285714285714
41052,41052,100,3,16,5,1,25,0.12,0.64,0.2,0.04,Sharon Clarke,0.64
41053,41053,100,8,37,8,0,53,0.1509433962264151,0.6981132075471698,0.1509433962264151,0.0,Sharon Clarke,0.6981132075471698
41054,41054,100,6,49,11,0,66,0.09090909090909091,0.7424242424242424,0.16666666666666666,0.0,Sharon Clarke,0.7424242424242424
41055,41055,100,12,56,27,0,95,0.12631578947368421,0.5894736842105263,0.28421052631578947,0.0,Sharon Clarke,0.5894736842105263
42001,42001,100,0,3,2,0,5,0.0,0.6,0.4,0.0,Sharon Clarke,0.6
42002,42002,100,4,35,12,0,51,0.0784313725490196,0.6862745098039216,0.23529411764705882,0.0,Sharon Clarke,0.6862745098039216
42003,42003,100,9,48,17,0,74,0.12162162162162163,0.6486486486486487,0.22972972972972974,0.0,Sharon Clarke,0.6486486486486487
42004,42004,100,8,39,10,0,57,0.14035087719298245,0.6842105263157895,0.17543859649122806,0.0,Sharon Clarke,0.6842105263157895
42005,42005,100,14,64,26,0,104,0.1346153846153846,0.6153846153846154,0.25,0.0,Sharon Clarke,0.6153846153846154
42006,42006,100,13,33,11,0,57,0.22807017543859648,0.5789473684210527,0.19298245614035087,0.0,Sharon Clarke,0.5789473684210527
42007,42007,100,10,58,15,0,83,0.12048192771084337,0.6987951807228916,0.18072289156626506,0.0,Sharon Clarke,0.6987951807228916
42008,42008,100,7,55,20,0,82,0.08536585365853659,0.6707317073170732,0.24390243902439024,0.0,Sharon Clarke,0.6707317073170732
42009,42009,100,13,52,23,0,88,0.14772727272727273,0.5909090909090909,0.26136363636363635,0.0,Sharon Clarke,0.5909090909090909
42010,42010,100,15,72,22,0,109,0.13761467889908258,0.6605504587155964,0.2018348623853211,0.0,Sharon Clarke,0.6605504587155964
42011,42011,100,6,56,20,0,82,0.07317073170731707,0.6829268292682927,0.24390243902439024,0.0,Sharon Clarke,0.6829268292682927
42012,42012,100,10,49,17,0,76,0.13157894736842105,0.6447368421052632,0.2236842105263158,0.0,Sharon Clarke,0.6447368421052632
42013,42013,100,5,39,12,0,56,0.08928571428571429,0.6964285714285714,0.21428571428571427,0.0,Sharon Clarke,0.6964285714285714
42014,42014,100,1,21,11,0,33,0.030303030303030304,0.6363636363636364,0.3333333333333333,0.0,Sharon Clarke,0.6363636363636364
42015,42015,100,8,51,26,0,85,0.09411764705882353,0.6,0.3058823529411765,0.0,Sharon Clarke,0.6
42016,42016,100,13,50,23,1,87,0.14942528735632185,0.5747126436781609,0.26436781609195403,0.011494252873563218,Sharon Clarke,0.5747126436781609
42017,42017,100,8,49,25,0,82,0.0975609756097561,0.5975609756097561,0.3048780487804878,0.0,Sharon Clarke,0.5975609756097561
42018,42018,100,2,38,9,0,49,0.04081632653061224,0.7755102040816326,0.1836734693877551,0.0,Sharon Clarke,0.7755102040816326
42019,42019,100,8,23,10,1,42,0.19047619047619047,0.5476190476190477,0.23809523809523808,0.023809523809523808,Sharon Clarke,0.5476190476190477
42020,42020,100,7,49,18,0,74,0.0945945945945946,0.6621621621621622,0.24324324324324326,0.0,Sharon Clarke,0.6621621621621622
42021,42021,100,12,51,12,0,75,0.16,0.68,0.16,0.0,Sharon Clarke,0.68
42022,42022,100,6,37,17,1,61,0.09836065573770492,0.6065573770491803,0.2786885245901639,0.01639344262295082,Sharon Clarke,0.6065573770491803
42023,42023,100,13,54,21,0,88,0.14772727272727273,0.6136363636363636,0.23863636363636365,0.0,Sharon Clarke,0.6136363636363636
42024,42024,100,23,46,18,0,87,0.26436781609195403,0.5287356321839081,0.20689655172413793,0.0,Sharon Clarke,0.5287356321839081
42025,42025,100,11,45,22,0,78,0.14102564102564102,0.5769230769230769,0.28205128205128205,0.0,Sharon Clarke,0.5769230769230769
42026,42026,100,7,44,15,0,66,0.10606060606060606,0.6666666666666666,0.22727272727272727,0.0,Sharon Clarke,0.6666666666666666
42027,42027,100,1,51,16,0,68,0.014705882352941176,0.75,0.23529411764705882,0.0,Sharon Clarke,0.75
