ED,Reported As,Reporting,Edward Powell,Victor A. Jordan,Scattered,Total Votes,p_Edward Powell,p_Victor A. Jordan,p_Scattered,winner,winner_p
42001,42001,100,3,1,0,4,0.75,0.25,0.0,Edward Powell,0.75
42002,42002,100,23,16,0,39,0.5897435897435898,0.41025641025641024,0.0,Edward Powell,0.5897435897435898
42003,42003,100,38,17,0,55,0.6909090909090909,0.3090909090909091,0.0,Edward Powell,0.6909090909090909
42004,42004,100,20,23,0,43,0.46511627906976744,0.5348837209302325,0.0,Victor A. Jordan,0.5348837209302325
42005,42005,100,39,34,1,74,0.527027027027027,0.4594594594594595,0.013513513513513514,Edward Powell,0.527027027027027
42006,42006,100,26,19,1,46,0.5652173913043478,0.41304347826086957,0.021739130434782608,Edward Powell,0.5652173913043478
42007,42007,100,34,26,0,60,0.5666666666666667,0.43333333333333335,0.0,Edward Powell,0.5666666666666667
42008,42008,100,46,16,0,62,0.7419354838709677,0.25806451612903225,0.0,Edward Powell,0.7419354838709677
42009,42009,100,52,21,0,73,0.7123287671232876,0.2876712328767123,0.0,Edward Powell,0.7123287671232876
42010,42010,100,52,26,0,78,0.6666666666666666,0.3333333333333333,0.0,Edward Powell,0.6666666666666666
42011,42011,100,39,20,0,59,0.6610169491525424,0.3389830508474576,0.0,Edward Powell,0.6610169491525424
42012,42012,100,36,22,0,58,0.6206896551724138,0.3793103448275862,0.0,Edward Powell,0.6206896551724138
42013,42013,100,25,18,0,43,0.5813953488372093,0.4186046511627907,0.0,Edward Powell,0.5813953488372093
42014,42014,100,20,4,0,24,0.8333333333333334,0.16666666666666666,0.0,Edward Powell,0.8333333333333334
42015,42015,100,44,21,0,65,0.676923076923077,0.3230769230769231,0.0,Edward Powell,0.676923076923077
42016,42016,100,41,28,0,69,0.5942028985507246,0.4057971014492754,0.0,Edward Powell,0.5942028985507246
42017,42017,100,31,23,0,54,0.5740740740740741,0.42592592592592593,0.0,Edward Powell,0.5740740740740741
42018,42018,100,15,14,0,29,0.5172413793103449,0.4827586206896552,0.0,Edward Powell,0.5172413793103449
42019,42019,100,18,13,0,31,0.5806451612903226,0.41935483870967744,0.0,Edward Powell,0.5806451612903226
42020,42020,100,30,19,1,50,0.6,0.38,0.02,Edward Powell,0.6
42021,42021,100,37,21,0,58,0.6379310344827587,0.3620689655172414,0.0,Edward Powell,0.6379310344827587
42022,42022,100,31,25,0,56,0.5535714285714286,0.44642857142857145,0.0,Edward Powell,0.5535714285714286
42023,42023,100,37,22,0,59,0.6271186440677966,0.3728813559322034,0.0,Edward Powell,0.6271186440677966
42024,42024,100,35,24,0,59,0.5932203389830508,0.4067796610169492,0.0,Edward Powell,0.5932203389830508
42025,42025,100,32,20,0,52,0.6153846153846154,0.38461538461538464,0.0,Edward Powell,0.6153846153846154
42026,42026,100,26,17,1,44,0.5909090909090909,0.38636363636363635,0.022727272727272728,Edward Powell,0.5909090909090909
42027,42027,100,29,23,0,52,0.5576923076923077,0.4423076923076923,0.0,Edward Powell,0.5576923076923077
42028,42028,100,48,36,0,84,0.5714285714285714,0.42857142857142855,0.0,Edward Powell,0.5714285714285714
42029,42029,100,32,25,0,57,0.5614035087719298,0.43859649122807015,0.0,Edward Powell,0.5614035087719298
42030,42030,100,32,30,0,62,0.5161290322580645,0.4838709677419355,0.0,Edward Powell,0.5161290322580645
42031,42031,100,20,11,0,31,0.6451612903225806,0.3548387096774194,0.0,Edward Powell,0.6451612903225806
42032,42032,100,5,6,0,11,0.45454545454545453,0.5454545454545454,0.0,Victor A. Jordan,0.5454545454545454
42033,42001,100,0,0,0,0,0,0,0,n/a,0
42034,42034,100,22,15,3,40,0.55,0.375,0.075,Edward Powell,0.55
42035,42035,100,23,10,0,33,0.696969696969697,0.30303030303030304,0.0,Edward Powell,0.696969696969697
42036,42036,100,58,30,2,90,0.6444444444444445,0.3333333333333333,0.022222222222222223,Edward Powell,0.6444444444444445
42037,42037,100,25,13,1,39,0.6410256410256411,0.3333333333333333,0.02564102564102564,Edward Powell,0.6410256410256411
