ED,Reported As,Reporting,Moses Moore,Scattered,Geoffrey A. Davis,Total Votes,p_Moses Moore,p_Scattered,p_Geoffrey A. Davis,winner,winner_p
43001,43001,100,20,1,27,48,0.4166666666666667,0.020833333333333332,0.5625,Geoffrey A. Davis,0.5625
43002,43002,100,23,0,35,58,0.39655172413793105,0.0,0.603448275862069,Geoffrey A. Davis,0.603448275862069
43003,43003,100,18,0,49,67,0.26865671641791045,0.0,0.7313432835820896,Geoffrey A. Davis,0.7313432835820896
43004,43004,100,7,0,29,36,0.19444444444444445,0.0,0.8055555555555556,Geoffrey A. Davis,0.8055555555555556
43005,43005,100,7,0,22,29,0.2413793103448276,0.0,0.7586206896551724,Geoffrey A. Davis,0.7586206896551724
43006,43006,100,15,0,32,47,0.3191489361702128,0.0,0.6808510638297872,Geoffrey A. Davis,0.6808510638297872
43007,43007,100,22,3,44,69,0.3188405797101449,0.043478260869565216,0.6376811594202898,Geoffrey A. Davis,0.6376811594202898
43008,43008,100,16,1,17,34,0.47058823529411764,0.029411764705882353,0.5,Geoffrey A. Davis,0.5
43009,43009,100,16,0,55,71,0.22535211267605634,0.0,0.7746478873239436,Geoffrey A. Davis,0.7746478873239436
43010,43010,100,10,0,21,31,0.3225806451612903,0.0,0.6774193548387096,Geoffrey A. Davis,0.6774193548387096
43011,43011,100,28,0,41,69,0.4057971014492754,0.0,0.5942028985507246,Geoffrey A. Davis,0.5942028985507246
43012,43012,100,24,1,64,89,0.2696629213483146,0.011235955056179775,0.7191011235955056,Geoffrey A. Davis,0.7191011235955056
43013,43013,100,24,0,23,47,0.5106382978723404,0.0,0.48936170212765956,Moses Moore,0.5106382978723404
43014,43014,100,43,0,61,104,0.41346153846153844,0.0,0.5865384615384616,Geoffrey A. Davis,0.5865384615384616
43015,43015,100,36,0,56,92,0.391304347826087,0.0,0.6086956521739131,Geoffrey A. Davis,0.6086956521739131
43016,43016,100,40,0,116,156,0.2564102564102564,0.0,0.7435897435897436,Geoffrey A. Davis,0.7435897435897436
43017,43017,100,24,1,23,48,0.5,0.020833333333333332,0.4791666666666667,Moses Moore,0.5
43018,43018,100,25,0,59,84,0.2976190476190476,0.0,0.7023809523809523,Geoffrey A. Davis,0.7023809523809523
43019,43019,100,36,0,39,75,0.48,0.0,0.52,Geoffrey A. Davis,0.52
43020,43020,100,56,2,78,136,0.4117647058823529,0.014705882352941176,0.5735294117647058,Geoffrey A. Davis,0.5735294117647058
43021,43021,100,28,0,41,69,0.4057971014492754,0.0,0.5942028985507246,Geoffrey A. Davis,0.5942028985507246
43022,43022,100,46,0,54,100,0.46,0.0,0.54,Geoffrey A. Davis,0.54
43023,43023,100,58,1,89,148,0.3918918918918919,0.006756756756756757,0.6013513513513513,Geoffrey A. Davis,0.6013513513513513
43024,43024,100,20,0,49,69,0.2898550724637681,0.0,0.7101449275362319,Geoffrey A. Davis,0.7101449275362319
43025,43025,100,41,1,77,119,0.3445378151260504,0.008403361344537815,0.6470588235294118,Geoffrey A. Davis,0.6470588235294118
43026,43026,100,32,0,58,90,0.35555555555555557,0.0,0.6444444444444445,Geoffrey A. Davis,0.6444444444444445
43027,43027,100,32,1,52,85,0.3764705882352941,0.011764705882352941,0.611764705882353,Geoffrey A. Davis,0.611764705882353
43028,43028,100,45,0,51,96,0.46875,0.0,0.53125,Geoffrey A. Davis,0.53125
43029,43029,100,30,1,30,61,0.4918032786885246,0.01639344262295082,0.4918032786885246,Tie,0.4918032786885246
43030,43030,100,39,0,26,65,0.6,0.0,0.4,Moses Moore,0.6
43031,43031,100,77,0,38,115,0.6695652173913044,0.0,0.33043478260869563,Moses Moore,0.6695652173913044
43032,43032,100,17,4,39,60,0.2833333333333333,0.06666666666666667,0.65,Geoffrey A. Davis,0.65
43033,43033,100,66,2,48,116,0.5689655172413793,0.017241379310344827,0.41379310344827586,Moses Moore,0.5689655172413793
43034,43034,100,56,0,61,117,0.47863247863247865,0.0,0.5213675213675214,Geoffrey A. Davis,0.5213675213675214
43035,43035,100,47,0,62,109,0.43119266055045874,0.0,0.5688073394495413,Geoffrey A. Davis,0.5688073394495413
43036,43036,100,47,0,57,104,0.4519230769230769,0.0,0.5480769230769231,Geoffrey A. Davis,0.5480769230769231
43037,43037,100,47,0,80,127,0.3700787401574803,0.0,0.6299212598425197,Geoffrey A. Davis,0.6299212598425197
43038,43038,100,82,0,126,208,0.3942307692307692,0.0,0.6057692307692307,Geoffrey A. Davis,0.6057692307692307
