ED,Reported As,Reporting,Dov Hikind,Scattered,Total Votes,p_Dov Hikind,p_Scattered,winner,winner_p
48002,48002,100,3,1,4,0.75,0.25,Dov Hikind,0.75
48001,48002,100,0,0,0,0,0,n/a,0
48003,48003,100,21,0,21,1.0,0.0,Dov Hikind,1.0
48004,48004,100,48,0,48,1.0,0.0,Dov Hikind,1.0
48005,48005,100,29,1,30,0.9666666666666667,0.03333333333333333,Dov Hikind,0.9666666666666667
48006,48006,100,31,1,32,0.96875,0.03125,Dov Hikind,0.96875
48007,48007,100,28,1,29,0.9655172413793104,0.034482758620689655,Dov Hikind,0.9655172413793104
48008,48008,100,5,0,5,1.0,0.0,Dov Hikind,1.0
48009,48009,100,26,1,27,0.9629629629629629,0.037037037037037035,Dov Hikind,0.9629629629629629
48010,48010,100,54,1,55,0.9818181818181818,0.01818181818181818,Dov Hikind,0.9818181818181818
48011,48011,100,52,0,52,1.0,0.0,Dov Hikind,1.0
48012,48012,100,40,1,41,0.975609756097561,0.024390243902439025,Dov Hikind,0.975609756097561
48013,48013,100,61,0,61,1.0,0.0,Dov Hikind,1.0
48014,48014,100,15,0,15,1.0,0.0,Dov Hikind,1.0
48015,48015,100,70,1,71,0.9859154929577465,0.014084507042253521,Dov Hikind,0.9859154929577465
48016,48016,100,31,0,31,1.0,0.0,Dov Hikind,1.0
48017,48017,100,59,0,59,1.0,0.0,Dov Hikind,1.0
48018,48018,100,71,0,71,1.0,0.0,Dov Hikind,1.0
48019,48019,100,39,2,41,0.9512195121951219,0.04878048780487805,Dov Hikind,0.9512195121951219
48020,48020,100,62,1,63,0.9841269841269841,0.015873015873015872,Dov Hikind,0.9841269841269841
48021,48021,100,36,2,38,0.9473684210526315,0.05263157894736842,Dov Hikind,0.9473684210526315
48022,48022,100,49,1,50,0.98,0.02,Dov Hikind,0.98
48023,48023,100,41,0,41,1.0,0.0,Dov Hikind,1.0
48024,48024,100,48,1,49,0.9795918367346939,0.02040816326530612,Dov Hikind,0.9795918367346939
48025,48025,100,66,2,68,0.9705882352941176,0.029411764705882353,Dov Hikind,0.9705882352941176
48026,48026,100,58,1,59,0.9830508474576272,0.01694915254237288,Dov Hikind,0.9830508474576272
48027,48027,100,57,1,58,0.9827586206896551,0.017241379310344827,Dov Hikind,0.9827586206896551
48028,48028,100,48,4,52,0.9230769230769231,0.07692307692307693,Dov Hikind,0.9230769230769231
48029,48029,100,51,0,51,1.0,0.0,Dov Hikind,1.0
48030,48030,100,71,0,71,1.0,0.0,Dov Hikind,1.0
48031,48031,100,32,1,33,0.9696969696969697,0.030303030303030304,Dov Hikind,0.9696969696969697
48032,48032,100,49,2,51,0.9607843137254902,0.0392156862745098,Dov Hikind,0.9607843137254902
48033,48033,100,8,0,8,1.0,0.0,Dov Hikind,1.0
48034,48034,100,2,2,4,0.5,0.5,Tie,0.5
48035,48035,100,5,0,5,1.0,0.0,Dov Hikind,1.0
48036,48036,100,17,0,17,1.0,0.0,Dov Hikind,1.0
48037,48037,100,9,1,10,0.9,0.1,Dov Hikind,0.9
48038,48038,100,2,1,3,0.6666666666666666,0.3333333333333333,Dov Hikind,0.6666666666666666
48039,48039,100,20,0,20,1.0,0.0,Dov Hikind,1.0
48040,48040,100,24,0,24,1.0,0.0,Dov Hikind,1.0
48041,48041,100,6,2,8,0.75,0.25,Dov Hikind,0.75
48042,48042,100,35,1,36,0.9722222222222222,0.027777777777777776,Dov Hikind,0.9722222222222222
48043,48043,100,14,1,15,0.9333333333333333,0.06666666666666667,Dov Hikind,0.9333333333333333
48044,48044,100,10,0,10,1.0,0.0,Dov Hikind,1.0
48045,48045,100,7,0,7,1.0,0.0,Dov Hikind,1.0
48046,48046,100,40,0,40,1.0,0.0,Dov Hikind,1.0
48047,48047,100,41,1,42,0.9761904761904762,0.023809523809523808,Dov Hikind,0.9761904761904762
48048,48048,100,40,2,42,0.9523809523809523,0.047619047619047616,Dov Hikind,0.9523809523809523
48049,48049,100,13,0,13,1.0,0.0,Dov Hikind,1.0
48050,48050,100,38,0,38,1.0,0.0,Dov Hikind,1.0
48051,48051,100,35,0,35,1.0,0.0,Dov Hikind,1.0
48052,48052,100,20,2,22,0.9090909090909091,0.09090909090909091,Dov Hikind,0.9090909090909091
48053,48049,100,0,0,0,0,0,n/a,0
48054,48054,100,19,5,24,0.7916666666666666,0.20833333333333334,Dov Hikind,0.7916666666666666
48055,48055,100,55,0,55,1.0,0.0,Dov Hikind,1.0
48056,48056,100,45,4,49,0.9183673469387755,0.08163265306122448,Dov Hikind,0.9183673469387755
48057,48057,100,13,2,15,0.8666666666666667,0.13333333333333333,Dov Hikind,0.8666666666666667
48058,48058,100,54,2,56,0.9642857142857143,0.03571428571428571,Dov Hikind,0.9642857142857143
48059,48059,100,52,3,55,0.9454545454545454,0.05454545454545454,Dov Hikind,0.9454545454545454
48060,48060,100,62,1,63,0.9841269841269841,0.015873015873015872,Dov Hikind,0.9841269841269841
48061,48061,100,49,2,51,0.9607843137254902,0.0392156862745098,Dov Hikind,0.9607843137254902
48062,48062,100,60,4,64,0.9375,0.0625,Dov Hikind,0.9375
48063,48063,100,19,0,19,1.0,0.0,Dov Hikind,1.0
48064,48064,100,38,5,43,0.8837209302325582,0.11627906976744186,Dov Hikind,0.8837209302325582
48065,48065,100,27,2,29,0.9310344827586207,0.06896551724137931,Dov Hikind,0.9310344827586207
48066,48066,100,20,0,20,1.0,0.0,Dov Hikind,1.0
48067,48067,100,8,0,8,1.0,0.0,Dov Hikind,1.0
48068,48037,100,0,0,0,0,0,n/a,0
48069,48038,100,0,0,0,0,0,n/a,0
48070,48070,100,39,1,40,0.975,0.025,Dov Hikind,0.975
