ED,Reported As,Reporting,Michael Brienza,Scattered,Nick Rizzo,Total Votes,p_Michael Brienza,p_Scattered,p_Nick Rizzo,winner,winner_p
50001,50001,100,14,0,5,19,0.7368421052631579,0.0,0.2631578947368421,Michael Brienza,0.7368421052631579
50002,50002,100,5,2,29,36,0.1388888888888889,0.05555555555555555,0.8055555555555556,Nick Rizzo,0.8055555555555556
50003,50003,100,2,2,23,27,0.07407407407407407,0.07407407407407407,0.8518518518518519,Nick Rizzo,0.8518518518518519
50004,50004,100,1,0,8,9,0.1111111111111111,0.0,0.8888888888888888,Nick Rizzo,0.8888888888888888
50005,50005,100,10,0,51,61,0.16393442622950818,0.0,0.8360655737704918,Nick Rizzo,0.8360655737704918
50006,50006,100,8,0,28,36,0.2222222222222222,0.0,0.7777777777777778,Nick Rizzo,0.7777777777777778
50007,50007,100,4,0,45,49,0.08163265306122448,0.0,0.9183673469387755,Nick Rizzo,0.9183673469387755
50008,50008,100,6,2,47,55,0.10909090909090909,0.03636363636363636,0.8545454545454545,Nick Rizzo,0.8545454545454545
50009,50009,100,5,0,26,31,0.16129032258064516,0.0,0.8387096774193549,Nick Rizzo,0.8387096774193549
50010,50010,100,1,0,2,3,0.3333333333333333,0.0,0.6666666666666666,Nick Rizzo,0.6666666666666666
50011,50011,100,14,0,30,44,0.3181818181818182,0.0,0.6818181818181818,Nick Rizzo,0.6818181818181818
50012,50012,100,17,0,37,54,0.3148148148148148,0.0,0.6851851851851852,Nick Rizzo,0.6851851851851852
50013,50013,100,3,0,1,4,0.75,0.0,0.25,Michael Brienza,0.75
50014,50014,100,7,4,17,28,0.25,0.14285714285714285,0.6071428571428571,Nick Rizzo,0.6071428571428571
50015,50015,100,5,0,14,19,0.2631578947368421,0.0,0.7368421052631579,Nick Rizzo,0.7368421052631579
50016,50016,100,14,2,31,47,0.2978723404255319,0.0425531914893617,0.6595744680851063,Nick Rizzo,0.6595744680851063
50017,50017,100,7,0,38,45,0.15555555555555556,0.0,0.8444444444444444,Nick Rizzo,0.8444444444444444
