ED,Reported As,Reporting,Helal A. Sheikh,Erik Martin Dilan,Scattered,Total Votes,p_Helal A. Sheikh,p_Erik Martin Dilan,p_Scattered,winner,winner_p
54001,54001,100,3,10,0,13,0.23076923076923078,0.7692307692307693,0.0,Erik Martin Dilan,0.7692307692307693
54002,54002,100,28,13,0,41,0.6829268292682927,0.3170731707317073,0.0,Helal A. Sheikh,0.6829268292682927
54003,54003,100,43,9,0,52,0.8269230769230769,0.17307692307692307,0.0,Helal A. Sheikh,0.8269230769230769
54004,54004,100,82,19,0,101,0.8118811881188119,0.18811881188118812,0.0,Helal A. Sheikh,0.8118811881188119
54005,54005,100,1,3,0,4,0.25,0.75,0.0,Erik Martin Dilan,0.75
54006,54006,100,2,5,1,8,0.25,0.625,0.125,Erik Martin Dilan,0.625
54007,54007,100,12,32,0,44,0.2727272727272727,0.7272727272727273,0.0,Erik Martin Dilan,0.7272727272727273
54008,54008,100,8,44,0,52,0.15384615384615385,0.8461538461538461,0.0,Erik Martin Dilan,0.8461538461538461
54009,54009,100,8,19,0,27,0.2962962962962963,0.7037037037037037,0.0,Erik Martin Dilan,0.7037037037037037
54010,54010,100,12,21,0,33,0.36363636363636365,0.6363636363636364,0.0,Erik Martin Dilan,0.6363636363636364
54011,54011,100,13,38,0,51,0.2549019607843137,0.7450980392156863,0.0,Erik Martin Dilan,0.7450980392156863
54012,54012,100,6,21,0,27,0.2222222222222222,0.7777777777777778,0.0,Erik Martin Dilan,0.7777777777777778
54013,54013,100,5,33,0,38,0.13157894736842105,0.868421052631579,0.0,Erik Martin Dilan,0.868421052631579
54014,54014,100,1,1,0,2,0.5,0.5,0.0,Tie,0.5
54015,54015,100,4,17,0,21,0.19047619047619047,0.8095238095238095,0.0,Erik Martin Dilan,0.8095238095238095
54016,54016,100,0,0,0,0,0,0,0,n/a,0
54017,54017,100,2,2,0,4,0.5,0.5,0.0,Tie,0.5
54018,54018,100,0,1,0,1,0.0,1.0,0.0,Erik Martin Dilan,1.0
