ED,Reported As,Reporting,William H. Miles,Gabriel McQueen,Anthony T. Jones,Barry Cooper,Daniel Goodine,Scattered,Lamont Carolina,Total Votes,p_William H. Miles,p_Gabriel McQueen,p_Anthony T. Jones,p_Barry Cooper,p_Daniel Goodine,p_Scattered,p_Lamont Carolina,winner,winner_p
55003,55003,100,0,0,0,2,3,0,1,6,0.0,0.0,0.0,0.3333333333333333,0.5,0.0,0.16666666666666666,Daniel Goodine,0.5
55001,55003,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
55002,55002,100,2,5,4,3,3,0,2,19,0.10526315789473684,0.2631578947368421,0.21052631578947367,0.15789473684210525,0.15789473684210525,0.0,0.10526315789473684,Gabriel McQueen,0.2631578947368421
55004,55004,100,6,12,16,15,11,0,8,68,0.08823529411764706,0.17647058823529413,0.23529411764705882,0.22058823529411764,0.16176470588235295,0.0,0.11764705882352941,Anthony T. Jones,0.23529411764705882
55005,55005,100,1,0,5,4,1,0,1,12,0.08333333333333333,0.0,0.4166666666666667,0.3333333333333333,0.08333333333333333,0.0,0.08333333333333333,Anthony T. Jones,0.4166666666666667
55006,55006,100,3,12,34,16,6,0,13,84,0.03571428571428571,0.14285714285714285,0.40476190476190477,0.19047619047619047,0.07142857142857142,0.0,0.15476190476190477,Anthony T. Jones,0.40476190476190477
55007,55007,100,4,5,11,14,3,0,0,37,0.10810810810810811,0.13513513513513514,0.2972972972972973,0.3783783783783784,0.08108108108108109,0.0,0.0,Barry Cooper,0.3783783783783784
55008,55008,100,2,2,7,3,1,0,1,16,0.125,0.125,0.4375,0.1875,0.0625,0.0,0.0625,Anthony T. Jones,0.4375
55009,55009,100,9,11,14,8,3,0,1,46,0.1956521739130435,0.2391304347826087,0.30434782608695654,0.17391304347826086,0.06521739130434782,0.0,0.021739130434782608,Anthony T. Jones,0.30434782608695654
55010,55010,100,14,8,32,12,8,1,6,81,0.1728395061728395,0.09876543209876543,0.3950617283950617,0.14814814814814814,0.09876543209876543,0.012345679012345678,0.07407407407407407,Anthony T. Jones,0.3950617283950617
55011,55011,100,8,16,28,14,6,0,5,77,0.1038961038961039,0.2077922077922078,0.36363636363636365,0.18181818181818182,0.07792207792207792,0.0,0.06493506493506493,Anthony T. Jones,0.36363636363636365
55012,55012,100,4,11,14,9,12,0,10,60,0.06666666666666667,0.18333333333333332,0.23333333333333334,0.15,0.2,0.0,0.16666666666666666,Anthony T. Jones,0.23333333333333334
55013,55013,100,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Lamont Carolina,1.0
55014,55014,100,4,15,17,7,10,1,8,62,0.06451612903225806,0.24193548387096775,0.27419354838709675,0.11290322580645161,0.16129032258064516,0.016129032258064516,0.12903225806451613,Anthony T. Jones,0.27419354838709675
55015,55015,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
55016,55016,100,3,5,22,4,11,0,7,52,0.057692307692307696,0.09615384615384616,0.4230769230769231,0.07692307692307693,0.21153846153846154,0.0,0.1346153846153846,Anthony T. Jones,0.4230769230769231
55017,55017,100,1,3,7,4,7,0,1,23,0.043478260869565216,0.13043478260869565,0.30434782608695654,0.17391304347826086,0.30434782608695654,0.0,0.043478260869565216,Tie,0.30434782608695654
55018,55018,100,5,6,23,12,11,0,3,60,0.08333333333333333,0.1,0.38333333333333336,0.2,0.18333333333333332,0.0,0.05,Anthony T. Jones,0.38333333333333336
55019,55019,100,6,7,36,13,5,0,16,83,0.07228915662650602,0.08433734939759036,0.43373493975903615,0.1566265060240964,0.060240963855421686,0.0,0.1927710843373494,Anthony T. Jones,0.43373493975903615
55020,55020,100,2,10,10,9,10,0,2,43,0.046511627906976744,0.23255813953488372,0.23255813953488372,0.20930232558139536,0.23255813953488372,0.0,0.046511627906976744,Tie,0.23255813953488372
55021,55021,100,13,3,13,8,4,0,2,43,0.3023255813953488,0.06976744186046512,0.3023255813953488,0.18604651162790697,0.09302325581395349,0.0,0.046511627906976744,Tie,0.3023255813953488
55022,55022,100,15,6,15,9,4,0,3,52,0.28846153846153844,0.11538461538461539,0.28846153846153844,0.17307692307692307,0.07692307692307693,0.0,0.057692307692307696,Tie,0.28846153846153844
55023,55023,100,6,6,21,8,18,0,4,63,0.09523809523809523,0.09523809523809523,0.3333333333333333,0.12698412698412698,0.2857142857142857,0.0,0.06349206349206349,Anthony T. Jones,0.3333333333333333
55024,55024,100,0,5,10,4,8,0,3,30,0.0,0.16666666666666666,0.3333333333333333,0.13333333333333333,0.26666666666666666,0.0,0.1,Anthony T. Jones,0.3333333333333333
55025,55025,100,2,3,20,14,6,0,4,49,0.04081632653061224,0.061224489795918366,0.40816326530612246,0.2857142857142857,0.12244897959183673,0.0,0.08163265306122448,Anthony T. Jones,0.40816326530612246
55026,55026,100,0,1,3,2,0,0,2,8,0.0,0.125,0.375,0.25,0.0,0.0,0.25,Anthony T. Jones,0.375
55027,55027,100,2,1,7,3,7,0,3,23,0.08695652173913043,0.043478260869565216,0.30434782608695654,0.13043478260869565,0.30434782608695654,0.0,0.13043478260869565,Tie,0.30434782608695654
55028,55028,100,0,1,7,5,3,0,3,19,0.0,0.05263157894736842,0.3684210526315789,0.2631578947368421,0.15789473684210525,0.0,0.15789473684210525,Anthony T. Jones,0.3684210526315789
55029,55029,100,0,0,3,3,3,0,2,11,0.0,0.0,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.0,0.18181818181818182,Tie,0.2727272727272727
55030,55030,100,2,3,9,2,6,0,3,25,0.08,0.12,0.36,0.08,0.24,0.0,0.12,Anthony T. Jones,0.36
55031,55031,100,6,14,69,14,30,0,7,140,0.04285714285714286,0.1,0.4928571428571429,0.1,0.21428571428571427,0.0,0.05,Anthony T. Jones,0.4928571428571429
55032,55032,100,2,1,5,10,0,0,4,22,0.09090909090909091,0.045454545454545456,0.22727272727272727,0.45454545454545453,0.0,0.0,0.18181818181818182,Barry Cooper,0.45454545454545453
55033,55033,100,3,7,13,3,2,0,9,37,0.08108108108108109,0.1891891891891892,0.35135135135135137,0.08108108108108109,0.05405405405405406,0.0,0.24324324324324326,Anthony T. Jones,0.35135135135135137
55034,55034,100,2,3,24,17,10,0,8,64,0.03125,0.046875,0.375,0.265625,0.15625,0.0,0.125,Anthony T. Jones,0.375
55035,55035,100,3,9,34,9,11,0,4,70,0.04285714285714286,0.12857142857142856,0.4857142857142857,0.12857142857142856,0.15714285714285714,0.0,0.05714285714285714,Anthony T. Jones,0.4857142857142857
55036,55036,100,1,1,2,0,1,0,0,5,0.2,0.2,0.4,0.0,0.2,0.0,0.0,Anthony T. Jones,0.4
55037,55037,100,0,2,1,1,1,0,0,5,0.0,0.4,0.2,0.2,0.2,0.0,0.0,Gabriel McQueen,0.4
55038,55038,100,0,0,1,1,0,0,0,2,0.0,0.0,0.5,0.5,0.0,0.0,0.0,Tie,0.5
55040,55040,100,0,2,5,1,5,0,2,15,0.0,0.13333333333333333,0.3333333333333333,0.06666666666666667,0.3333333333333333,0.0,0.13333333333333333,Tie,0.3333333333333333
55039,55040,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
55041,55041,100,3,1,4,1,2,0,1,12,0.25,0.08333333333333333,0.3333333333333333,0.08333333333333333,0.16666666666666666,0.0,0.08333333333333333,Anthony T. Jones,0.3333333333333333
55042,55040,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
55043,55041,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
55044,55044,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
