ED,Reported As,Reporting,Charles Barron,David M. Best,Scattered,Total Votes,p_Charles Barron,p_David M. Best,p_Scattered,winner,winner_p
60001,60001,100,41,16,0,57,0.7192982456140351,0.2807017543859649,0.0,Charles Barron,0.7192982456140351
60002,60002,100,47,11,0,58,0.8103448275862069,0.1896551724137931,0.0,Charles Barron,0.8103448275862069
60003,60003,100,49,11,0,60,0.8166666666666667,0.18333333333333332,0.0,Charles Barron,0.8166666666666667
60004,60004,100,57,17,0,74,0.7702702702702703,0.22972972972972974,0.0,Charles Barron,0.7702702702702703
60005,60005,100,71,35,0,106,0.6698113207547169,0.330188679245283,0.0,Charles Barron,0.6698113207547169
60006,60006,100,4,2,0,6,0.6666666666666666,0.3333333333333333,0.0,Charles Barron,0.6666666666666666
60007,60007,100,59,16,0,75,0.7866666666666666,0.21333333333333335,0.0,Charles Barron,0.7866666666666666
60008,60008,100,82,26,0,108,0.7592592592592593,0.24074074074074073,0.0,Charles Barron,0.7592592592592593
60009,60009,100,38,9,0,47,0.8085106382978723,0.19148936170212766,0.0,Charles Barron,0.8085106382978723
60010,60010,100,19,3,1,23,0.8260869565217391,0.13043478260869565,0.043478260869565216,Charles Barron,0.8260869565217391
60011,60011,100,3,0,0,3,1.0,0.0,0.0,Charles Barron,1.0
60012,60012,100,36,7,0,43,0.8372093023255814,0.16279069767441862,0.0,Charles Barron,0.8372093023255814
60013,60013,100,88,26,0,114,0.7719298245614035,0.22807017543859648,0.0,Charles Barron,0.7719298245614035
60014,60014,100,63,18,0,81,0.7777777777777778,0.2222222222222222,0.0,Charles Barron,0.7777777777777778
60015,60015,100,20,4,0,24,0.8333333333333334,0.16666666666666666,0.0,Charles Barron,0.8333333333333334
60016,60016,100,13,5,0,18,0.7222222222222222,0.2777777777777778,0.0,Charles Barron,0.7222222222222222
60017,60017,100,91,20,0,111,0.8198198198198198,0.18018018018018017,0.0,Charles Barron,0.8198198198198198
60018,60018,100,26,7,0,33,0.7878787878787878,0.21212121212121213,0.0,Charles Barron,0.7878787878787878
60019,60019,100,14,6,0,20,0.7,0.3,0.0,Charles Barron,0.7
60020,60020,100,8,1,0,9,0.8888888888888888,0.1111111111111111,0.0,Charles Barron,0.8888888888888888
60021,60021,100,41,7,0,48,0.8541666666666666,0.14583333333333334,0.0,Charles Barron,0.8541666666666666
60022,60022,100,5,0,0,5,1.0,0.0,0.0,Charles Barron,1.0
60023,60023,100,4,6,0,10,0.4,0.6,0.0,David M. Best,0.6
60024,60024,100,43,5,0,48,0.8958333333333334,0.10416666666666667,0.0,Charles Barron,0.8958333333333334
60025,60025,100,42,11,2,55,0.7636363636363637,0.2,0.03636363636363636,Charles Barron,0.7636363636363637
60026,60026,100,109,16,0,125,0.872,0.128,0.0,Charles Barron,0.872
60027,60027,100,54,12,0,66,0.8181818181818182,0.18181818181818182,0.0,Charles Barron,0.8181818181818182
60028,60028,100,122,19,0,141,0.8652482269503546,0.1347517730496454,0.0,Charles Barron,0.8652482269503546
60029,60029,100,51,7,0,58,0.8793103448275862,0.1206896551724138,0.0,Charles Barron,0.8793103448275862
60030,60030,100,31,6,0,37,0.8378378378378378,0.16216216216216217,0.0,Charles Barron,0.8378378378378378
