ED,Reported As,Reporting,Rodneyse Bichotte,Victor A. Jordan,Scattered,Michele N. Adolphe,L Rickie Tulloch,Total Votes,p_Rodneyse Bichotte,p_Victor A. Jordan,p_Scattered,p_Michele N. Adolphe,p_L Rickie Tulloch,winner,winner_p
42001,42001,100,4,1,0,1,0,6,0.6666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,Rodneyse Bichotte,0.6666666666666666
42002,42002,100,30,4,0,16,10,60,0.5,0.06666666666666667,0.0,0.26666666666666666,0.16666666666666666,Rodneyse Bichotte,0.5
42003,42003,100,40,3,0,13,25,81,0.49382716049382713,0.037037037037037035,0.0,0.16049382716049382,0.30864197530864196,Rodneyse Bichotte,0.49382716049382713
42004,42004,100,26,8,0,5,18,57,0.45614035087719296,0.14035087719298245,0.0,0.08771929824561403,0.3157894736842105,Rodneyse Bichotte,0.45614035087719296
42005,42005,100,52,11,0,18,21,102,0.5098039215686274,0.10784313725490197,0.0,0.17647058823529413,0.20588235294117646,Rodneyse Bichotte,0.5098039215686274
42006,42006,100,27,5,0,10,20,62,0.43548387096774194,0.08064516129032258,0.0,0.16129032258064516,0.3225806451612903,Rodneyse Bichotte,0.43548387096774194
42007,42007,100,35,7,0,12,25,79,0.4430379746835443,0.08860759493670886,0.0,0.1518987341772152,0.31645569620253167,Rodneyse Bichotte,0.4430379746835443
42008,42008,100,44,4,0,15,23,86,0.5116279069767442,0.046511627906976744,0.0,0.1744186046511628,0.26744186046511625,Rodneyse Bichotte,0.5116279069767442
42009,42009,100,47,7,0,17,18,89,0.5280898876404494,0.07865168539325842,0.0,0.19101123595505617,0.20224719101123595,Rodneyse Bichotte,0.5280898876404494
42010,42010,100,30,6,0,15,71,122,0.2459016393442623,0.04918032786885246,0.0,0.12295081967213115,0.5819672131147541,L Rickie Tulloch,0.5819672131147541
42011,42011,100,33,4,0,22,22,81,0.4074074074074074,0.04938271604938271,0.0,0.2716049382716049,0.2716049382716049,Rodneyse Bichotte,0.4074074074074074
42012,42012,100,23,12,0,12,31,78,0.2948717948717949,0.15384615384615385,0.0,0.15384615384615385,0.3974358974358974,L Rickie Tulloch,0.3974358974358974
42013,42013,100,28,3,0,12,15,58,0.4827586206896552,0.05172413793103448,0.0,0.20689655172413793,0.25862068965517243,Rodneyse Bichotte,0.4827586206896552
42014,42014,100,17,1,0,6,13,37,0.4594594594594595,0.02702702702702703,0.0,0.16216216216216217,0.35135135135135137,Rodneyse Bichotte,0.4594594594594595
42015,42015,100,57,8,0,11,14,90,0.6333333333333333,0.08888888888888889,0.0,0.12222222222222222,0.15555555555555556,Rodneyse Bichotte,0.6333333333333333
42016,42016,100,50,4,0,13,26,93,0.5376344086021505,0.043010752688172046,0.0,0.13978494623655913,0.27956989247311825,Rodneyse Bichotte,0.5376344086021505
42017,42017,100,43,6,0,17,18,84,0.5119047619047619,0.07142857142857142,0.0,0.20238095238095238,0.21428571428571427,Rodneyse Bichotte,0.5119047619047619
42018,42018,100,32,4,0,5,12,53,0.6037735849056604,0.07547169811320754,0.0,0.09433962264150944,0.22641509433962265,Rodneyse Bichotte,0.6037735849056604
42019,42019,100,20,1,0,7,14,42,0.47619047619047616,0.023809523809523808,0.0,0.16666666666666666,0.3333333333333333,Rodneyse Bichotte,0.47619047619047616
42020,42020,100,41,5,0,12,24,82,0.5,0.06097560975609756,0.0,0.14634146341463414,0.2926829268292683,Rodneyse Bichotte,0.5
42021,42021,100,26,4,0,12,33,75,0.3466666666666667,0.05333333333333334,0.0,0.16,0.44,L Rickie Tulloch,0.44
42022,42022,100,37,2,0,9,23,71,0.5211267605633803,0.028169014084507043,0.0,0.1267605633802817,0.323943661971831,Rodneyse Bichotte,0.5211267605633803
42023,42023,100,54,4,1,19,26,104,0.5192307692307693,0.038461538461538464,0.009615384615384616,0.18269230769230768,0.25,Rodneyse Bichotte,0.5192307692307693
42024,42024,100,41,9,0,16,29,95,0.43157894736842106,0.09473684210526316,0.0,0.16842105263157894,0.30526315789473685,Rodneyse Bichotte,0.43157894736842106
42025,42025,100,61,3,0,7,25,96,0.6354166666666666,0.03125,0.0,0.07291666666666667,0.2604166666666667,Rodneyse Bichotte,0.6354166666666666
42026,42026,100,45,2,0,13,18,78,0.5769230769230769,0.02564102564102564,0.0,0.16666666666666666,0.23076923076923078,Rodneyse Bichotte,0.5769230769230769
