ED,Reported As,Reporting,Ben Akselrod,Steven Cymbrowitz,Scattered,Total Votes,p_Ben Akselrod,p_Steven Cymbrowitz,p_Scattered,winner,winner_p
45001,45001,100,52,43,0,95,0.5473684210526316,0.45263157894736844,0.0,Ben Akselrod,0.5473684210526316
45002,45002,100,60,55,2,117,0.5128205128205128,0.4700854700854701,0.017094017094017096,Ben Akselrod,0.5128205128205128
45003,45003,100,73,41,0,114,0.6403508771929824,0.35964912280701755,0.0,Ben Akselrod,0.6403508771929824
45004,45004,100,31,41,0,72,0.4305555555555556,0.5694444444444444,0.0,Steven Cymbrowitz,0.5694444444444444
45005,45005,100,80,60,0,140,0.5714285714285714,0.42857142857142855,0.0,Ben Akselrod,0.5714285714285714
45006,45006,100,44,61,0,105,0.41904761904761906,0.580952380952381,0.0,Steven Cymbrowitz,0.580952380952381
45007,45007,100,0,3,1,4,0.0,0.75,0.25,Steven Cymbrowitz,0.75
45008,45008,100,12,40,0,52,0.23076923076923078,0.7692307692307693,0.0,Steven Cymbrowitz,0.7692307692307693
45009,45009,100,36,53,0,89,0.4044943820224719,0.5955056179775281,0.0,Steven Cymbrowitz,0.5955056179775281
45010,45010,100,17,24,0,41,0.4146341463414634,0.5853658536585366,0.0,Steven Cymbrowitz,0.5853658536585366
45011,45011,100,21,28,1,50,0.42,0.56,0.02,Steven Cymbrowitz,0.56
45012,45012,100,43,33,0,76,0.5657894736842105,0.4342105263157895,0.0,Ben Akselrod,0.5657894736842105
45013,45013,100,28,42,0,70,0.4,0.6,0.0,Steven Cymbrowitz,0.6
45014,45014,100,31,45,0,76,0.40789473684210525,0.5921052631578947,0.0,Steven Cymbrowitz,0.5921052631578947
45015,45015,100,6,15,0,21,0.2857142857142857,0.7142857142857143,0.0,Steven Cymbrowitz,0.7142857142857143
45016,45016,100,20,62,0,82,0.24390243902439024,0.7560975609756098,0.0,Steven Cymbrowitz,0.7560975609756098
45017,45017,100,4,40,0,44,0.09090909090909091,0.9090909090909091,0.0,Steven Cymbrowitz,0.9090909090909091
45018,45018,100,1,1,0,2,0.5,0.5,0.0,Tie,0.5
45019,45019,100,11,50,0,61,0.18032786885245902,0.819672131147541,0.0,Steven Cymbrowitz,0.819672131147541
45020,45020,100,4,36,0,40,0.1,0.9,0.0,Steven Cymbrowitz,0.9
45021,45021,100,9,32,0,41,0.21951219512195122,0.7804878048780488,0.0,Steven Cymbrowitz,0.7804878048780488
45022,45022,100,5,28,0,33,0.15151515151515152,0.8484848484848485,0.0,Steven Cymbrowitz,0.8484848484848485
45023,45023,100,20,40,0,60,0.3333333333333333,0.6666666666666666,0.0,Steven Cymbrowitz,0.6666666666666666
45024,45024,100,34,49,2,85,0.4,0.5764705882352941,0.023529411764705882,Steven Cymbrowitz,0.5764705882352941
45025,45025,100,8,11,0,19,0.42105263157894735,0.5789473684210527,0.0,Steven Cymbrowitz,0.5789473684210527
45026,45026,100,17,29,0,46,0.3695652173913043,0.6304347826086957,0.0,Steven Cymbrowitz,0.6304347826086957
45027,45027,100,10,22,0,32,0.3125,0.6875,0.0,Steven Cymbrowitz,0.6875
45028,45028,100,9,32,0,41,0.21951219512195122,0.7804878048780488,0.0,Steven Cymbrowitz,0.7804878048780488
45029,45029,100,10,26,0,36,0.2777777777777778,0.7222222222222222,0.0,Steven Cymbrowitz,0.7222222222222222
45030,45030,100,22,40,1,63,0.3492063492063492,0.6349206349206349,0.015873015873015872,Steven Cymbrowitz,0.6349206349206349
45031,45031,100,11,23,0,34,0.3235294117647059,0.6764705882352942,0.0,Steven Cymbrowitz,0.6764705882352942
45032,45032,100,1,27,0,28,0.03571428571428571,0.9642857142857143,0.0,Steven Cymbrowitz,0.9642857142857143
45033,45033,100,10,14,0,24,0.4166666666666667,0.5833333333333334,0.0,Steven Cymbrowitz,0.5833333333333334
45034,45034,100,10,15,0,25,0.4,0.6,0.0,Steven Cymbrowitz,0.6
45035,45035,100,5,24,0,29,0.1724137931034483,0.8275862068965517,0.0,Steven Cymbrowitz,0.8275862068965517
45036,45036,100,3,24,0,27,0.1111111111111111,0.8888888888888888,0.0,Steven Cymbrowitz,0.8888888888888888
45037,45037,100,10,22,0,32,0.3125,0.6875,0.0,Steven Cymbrowitz,0.6875
45038,45038,100,14,12,0,26,0.5384615384615384,0.46153846153846156,0.0,Ben Akselrod,0.5384615384615384
45039,45039,100,0,0,0,0,0,0,0,n/a,0
45040,45040,100,24,36,0,60,0.4,0.6,0.0,Steven Cymbrowitz,0.6
45041,45041,100,3,3,0,6,0.5,0.5,0.0,Tie,0.5
45042,45042,100,22,17,0,39,0.5641025641025641,0.4358974358974359,0.0,Ben Akselrod,0.5641025641025641
45043,45043,100,34,32,0,66,0.5151515151515151,0.48484848484848486,0.0,Ben Akselrod,0.5151515151515151
45044,45044,100,2,4,0,6,0.3333333333333333,0.6666666666666666,0.0,Steven Cymbrowitz,0.6666666666666666
45045,45045,100,18,66,0,84,0.21428571428571427,0.7857142857142857,0.0,Steven Cymbrowitz,0.7857142857142857
45046,45046,100,25,60,0,85,0.29411764705882354,0.7058823529411765,0.0,Steven Cymbrowitz,0.7058823529411765
45047,45047,100,1,2,0,3,0.3333333333333333,0.6666666666666666,0.0,Steven Cymbrowitz,0.6666666666666666
45048,45048,100,29,71,0,100,0.29,0.71,0.0,Steven Cymbrowitz,0.71
