ED,Reported As,Reporting,Ceasar Zuniga,Felix W Ortiz,Scattered,Total Votes,p_Ceasar Zuniga,p_Felix W Ortiz,p_Scattered,winner,winner_p
51001,51001,100,38,61,0,99,0.3838383838383838,0.6161616161616161,0.0,Felix W Ortiz,0.6161616161616161
51002,51002,100,13,42,1,56,0.23214285714285715,0.75,0.017857142857142856,Felix W Ortiz,0.75
51003,51003,100,20,53,1,74,0.2702702702702703,0.7162162162162162,0.013513513513513514,Felix W Ortiz,0.7162162162162162
51004,51004,100,8,52,0,60,0.13333333333333333,0.8666666666666667,0.0,Felix W Ortiz,0.8666666666666667
51005,51005,100,44,45,0,89,0.4943820224719101,0.5056179775280899,0.0,Felix W Ortiz,0.5056179775280899
51006,51006,100,22,36,0,58,0.3793103448275862,0.6206896551724138,0.0,Felix W Ortiz,0.6206896551724138
51007,51007,100,39,51,4,94,0.4148936170212766,0.5425531914893617,0.0425531914893617,Felix W Ortiz,0.5425531914893617
51008,51008,100,9,12,0,21,0.42857142857142855,0.5714285714285714,0.0,Felix W Ortiz,0.5714285714285714
51009,51009,100,6,7,0,13,0.46153846153846156,0.5384615384615384,0.0,Felix W Ortiz,0.5384615384615384
51010,51010,100,2,2,0,4,0.5,0.5,0.0,Tie,0.5
51011,51011,100,51,46,0,97,0.5257731958762887,0.4742268041237113,0.0,Ceasar Zuniga,0.5257731958762887
51012,51012,100,56,40,1,97,0.5773195876288659,0.41237113402061853,0.010309278350515464,Ceasar Zuniga,0.5773195876288659
51013,51013,100,23,26,0,49,0.46938775510204084,0.5306122448979592,0.0,Felix W Ortiz,0.5306122448979592
51014,51014,100,10,56,1,67,0.14925373134328357,0.835820895522388,0.014925373134328358,Felix W Ortiz,0.835820895522388
51015,51015,100,9,55,1,65,0.13846153846153847,0.8461538461538461,0.015384615384615385,Felix W Ortiz,0.8461538461538461
51016,51016,100,9,34,0,43,0.20930232558139536,0.7906976744186046,0.0,Felix W Ortiz,0.7906976744186046
51017,51017,100,15,18,0,33,0.45454545454545453,0.5454545454545454,0.0,Felix W Ortiz,0.5454545454545454
51018,51015,100,0,0,0,0,0,0,0,n/a,0
51019,51019,100,1,1,0,2,0.5,0.5,0.0,Tie,0.5
51020,51020,100,14,28,2,44,0.3181818181818182,0.6363636363636364,0.045454545454545456,Felix W Ortiz,0.6363636363636364
51021,51021,100,14,9,0,23,0.6086956521739131,0.391304347826087,0.0,Ceasar Zuniga,0.6086956521739131
51022,51021,100,0,0,0,0,0,0,0,n/a,0
51023,51023,100,8,16,0,24,0.3333333333333333,0.6666666666666666,0.0,Felix W Ortiz,0.6666666666666666
51024,51024,100,11,52,0,63,0.1746031746031746,0.8253968253968254,0.0,Felix W Ortiz,0.8253968253968254
51057,51057,100,1,12,0,13,0.07692307692307693,0.9230769230769231,0.0,Felix W Ortiz,0.9230769230769231
51025,51057,100,0,0,0,0,0,0,0,n/a,0
51026,51026,100,7,67,0,74,0.0945945945945946,0.9054054054054054,0.0,Felix W Ortiz,0.9054054054054054
51027,51027,100,4,15,0,19,0.21052631578947367,0.7894736842105263,0.0,Felix W Ortiz,0.7894736842105263
51028,51028,100,3,3,0,6,0.5,0.5,0.0,Tie,0.5
51029,51029,100,19,51,0,70,0.2714285714285714,0.7285714285714285,0.0,Felix W Ortiz,0.7285714285714285
51030,51030,100,17,48,0,65,0.26153846153846155,0.7384615384615385,0.0,Felix W Ortiz,0.7384615384615385
51031,51031,100,21,47,0,68,0.3088235294117647,0.6911764705882353,0.0,Felix W Ortiz,0.6911764705882353
51032,51032,100,24,46,0,70,0.34285714285714286,0.6571428571428571,0.0,Felix W Ortiz,0.6571428571428571
51033,51033,100,13,50,0,63,0.20634920634920634,0.7936507936507936,0.0,Felix W Ortiz,0.7936507936507936
51034,51034,100,7,38,0,45,0.15555555555555556,0.8444444444444444,0.0,Felix W Ortiz,0.8444444444444444
51035,51035,100,16,62,0,78,0.20512820512820512,0.7948717948717948,0.0,Felix W Ortiz,0.7948717948717948
51036,51036,100,24,47,0,71,0.3380281690140845,0.6619718309859155,0.0,Felix W Ortiz,0.6619718309859155
51037,51037,100,26,47,0,73,0.3561643835616438,0.6438356164383562,0.0,Felix W Ortiz,0.6438356164383562
51038,51038,100,33,105,1,139,0.23741007194244604,0.7553956834532374,0.007194244604316547,Felix W Ortiz,0.7553956834532374
51039,51039,100,39,70,0,109,0.3577981651376147,0.6422018348623854,0.0,Felix W Ortiz,0.6422018348623854
51040,51040,100,38,67,0,105,0.3619047619047619,0.638095238095238,0.0,Felix W Ortiz,0.638095238095238
51041,51041,100,35,45,0,80,0.4375,0.5625,0.0,Felix W Ortiz,0.5625
51042,51042,100,25,29,3,57,0.43859649122807015,0.5087719298245614,0.05263157894736842,Felix W Ortiz,0.5087719298245614
51043,51043,100,7,17,0,24,0.2916666666666667,0.7083333333333334,0.0,Felix W Ortiz,0.7083333333333334
51044,51044,100,4,2,0,6,0.6666666666666666,0.3333333333333333,0.0,Ceasar Zuniga,0.6666666666666666
51045,51044,100,0,0,0,0,0,0,0,n/a,0
51046,51046,100,1,3,0,4,0.25,0.75,0.0,Felix W Ortiz,0.75
51047,51047,100,3,15,0,18,0.16666666666666666,0.8333333333333334,0.0,Felix W Ortiz,0.8333333333333334
51048,51048,100,0,0,0,0,0,0,0,n/a,0
51049,51049,100,31,37,0,68,0.45588235294117646,0.5441176470588235,0.0,Felix W Ortiz,0.5441176470588235
51050,51050,100,4,13,0,17,0.23529411764705882,0.7647058823529411,0.0,Felix W Ortiz,0.7647058823529411
51051,51051,100,11,70,3,84,0.13095238095238096,0.8333333333333334,0.03571428571428571,Felix W Ortiz,0.8333333333333334
51052,51052,100,13,56,1,70,0.18571428571428572,0.8,0.014285714285714285,Felix W Ortiz,0.8
51053,51053,100,7,28,0,35,0.2,0.8,0.0,Felix W Ortiz,0.8
51054,51054,100,7,23,0,30,0.23333333333333334,0.7666666666666667,0.0,Felix W Ortiz,0.7666666666666667
51055,51055,100,15,30,0,45,0.3333333333333333,0.6666666666666666,0.0,Felix W Ortiz,0.6666666666666666
51056,51050,100,0,0,0,0,0,0,0,n/a,0
51058,51058,100,1,9,0,10,0.1,0.9,0.0,Felix W Ortiz,0.9
51059,51059,100,15,34,0,49,0.30612244897959184,0.6938775510204082,0.0,Felix W Ortiz,0.6938775510204082
51060,51060,100,3,17,0,20,0.15,0.85,0.0,Felix W Ortiz,0.85
51061,51061,100,16,22,0,38,0.42105263157894735,0.5789473684210527,0.0,Felix W Ortiz,0.5789473684210527
51062,51062,100,15,45,0,60,0.25,0.75,0.0,Felix W Ortiz,0.75
51063,51063,100,11,50,0,61,0.18032786885245902,0.819672131147541,0.0,Felix W Ortiz,0.819672131147541
51064,51064,100,16,61,1,78,0.20512820512820512,0.782051282051282,0.01282051282051282,Felix W Ortiz,0.782051282051282
51065,51065,100,6,65,0,71,0.08450704225352113,0.9154929577464789,0.0,Felix W Ortiz,0.9154929577464789
51066,51066,100,6,55,1,62,0.0967741935483871,0.8870967741935484,0.016129032258064516,Felix W Ortiz,0.8870967741935484
51067,51067,100,3,52,1,56,0.05357142857142857,0.9285714285714286,0.017857142857142856,Felix W Ortiz,0.9285714285714286
51068,51068,100,5,7,0,12,0.4166666666666667,0.5833333333333334,0.0,Felix W Ortiz,0.5833333333333334
51069,51069,100,11,49,1,61,0.18032786885245902,0.8032786885245902,0.01639344262295082,Felix W Ortiz,0.8032786885245902
51070,51070,100,7,69,0,76,0.09210526315789473,0.9078947368421053,0.0,Felix W Ortiz,0.9078947368421053
51071,51071,100,11,77,0,88,0.125,0.875,0.0,Felix W Ortiz,0.875
51072,51072,100,15,13,0,28,0.5357142857142857,0.4642857142857143,0.0,Ceasar Zuniga,0.5357142857142857
51073,51073,100,18,58,0,76,0.23684210526315788,0.7631578947368421,0.0,Felix W Ortiz,0.7631578947368421
51074,51074,100,5,80,1,86,0.05813953488372093,0.9302325581395349,0.011627906976744186,Felix W Ortiz,0.9302325581395349
51075,51072,100,0,0,0,0,0,0,0,n/a,0
51076,51058,100,0,0,0,0,0,0,0,n/a,0
51077,51048,100,0,0,0,0,0,0,0,n/a,0
51078,51008,100,0,0,0,0,0,0,0,n/a,0
