ED,Reported As,Reporting,Peter J. Sikora,Doug Biviano,Scattered,Jo Anne Simon,Total Votes,p_Peter J. Sikora,p_Doug Biviano,p_Scattered,p_Jo Anne Simon,winner,winner_p
52001,52001,100,10,2,0,12,24,0.4166666666666667,0.08333333333333333,0.0,0.5,Jo Anne Simon,0.5
52002,52002,100,10,4,0,11,25,0.4,0.16,0.0,0.44,Jo Anne Simon,0.44
52003,52003,100,6,1,0,9,16,0.375,0.0625,0.0,0.5625,Jo Anne Simon,0.5625
52004,52004,100,16,7,0,20,43,0.37209302325581395,0.16279069767441862,0.0,0.46511627906976744,Jo Anne Simon,0.46511627906976744
52005,52005,100,11,6,0,11,28,0.39285714285714285,0.21428571428571427,0.0,0.39285714285714285,Tie,0.39285714285714285
52006,52006,100,3,6,0,22,31,0.0967741935483871,0.1935483870967742,0.0,0.7096774193548387,Jo Anne Simon,0.7096774193548387
52007,52007,100,34,22,0,102,158,0.21518987341772153,0.13924050632911392,0.0,0.6455696202531646,Jo Anne Simon,0.6455696202531646
52008,52008,100,47,29,2,124,202,0.23267326732673269,0.14356435643564355,0.009900990099009901,0.6138613861386139,Jo Anne Simon,0.6138613861386139
52009,52009,100,30,21,0,87,138,0.21739130434782608,0.15217391304347827,0.0,0.6304347826086957,Jo Anne Simon,0.6304347826086957
52010,52010,100,46,27,0,132,205,0.22439024390243903,0.13170731707317074,0.0,0.6439024390243903,Jo Anne Simon,0.6439024390243903
52011,52011,100,29,13,1,92,135,0.21481481481481482,0.0962962962962963,0.007407407407407408,0.6814814814814815,Jo Anne Simon,0.6814814814814815
52012,52012,100,39,28,1,75,143,0.2727272727272727,0.1958041958041958,0.006993006993006993,0.5244755244755245,Jo Anne Simon,0.5244755244755245
52013,52013,100,34,21,0,87,142,0.23943661971830985,0.14788732394366197,0.0,0.6126760563380281,Jo Anne Simon,0.6126760563380281
52014,52014,100,33,20,0,60,113,0.2920353982300885,0.17699115044247787,0.0,0.5309734513274337,Jo Anne Simon,0.5309734513274337
52015,52015,100,45,38,1,102,186,0.24193548387096775,0.20430107526881722,0.005376344086021506,0.5483870967741935,Jo Anne Simon,0.5483870967741935
52016,52016,100,50,30,0,90,170,0.29411764705882354,0.17647058823529413,0.0,0.5294117647058824,Jo Anne Simon,0.5294117647058824
52017,52017,100,29,16,1,45,91,0.31868131868131866,0.17582417582417584,0.01098901098901099,0.4945054945054945,Jo Anne Simon,0.4945054945054945
52018,52018,100,40,23,0,69,132,0.30303030303030304,0.17424242424242425,0.0,0.5227272727272727,Jo Anne Simon,0.5227272727272727
52019,52019,100,30,13,1,61,105,0.2857142857142857,0.12380952380952381,0.009523809523809525,0.580952380952381,Jo Anne Simon,0.580952380952381
52020,52020,100,26,21,0,42,89,0.29213483146067415,0.23595505617977527,0.0,0.47191011235955055,Jo Anne Simon,0.47191011235955055
52021,52021,100,8,0,0,11,19,0.42105263157894735,0.0,0.0,0.5789473684210527,Jo Anne Simon,0.5789473684210527
52022,52022,100,21,18,0,45,84,0.25,0.21428571428571427,0.0,0.5357142857142857,Jo Anne Simon,0.5357142857142857
52023,52023,100,68,22,1,240,331,0.2054380664652568,0.06646525679758308,0.0030211480362537764,0.7250755287009063,Jo Anne Simon,0.7250755287009063
52024,52024,100,7,2,0,3,12,0.5833333333333334,0.16666666666666666,0.0,0.25,Peter J. Sikora,0.5833333333333334
52025,52025,100,10,4,0,17,31,0.3225806451612903,0.12903225806451613,0.0,0.5483870967741935,Jo Anne Simon,0.5483870967741935
52026,52026,100,46,2,1,49,98,0.46938775510204084,0.02040816326530612,0.01020408163265306,0.5,Jo Anne Simon,0.5
52027,52027,100,10,1,0,8,19,0.5263157894736842,0.05263157894736842,0.0,0.42105263157894735,Peter J. Sikora,0.5263157894736842
52028,52028,100,25,1,0,54,80,0.3125,0.0125,0.0,0.675,Jo Anne Simon,0.675
52029,52029,100,30,5,0,81,116,0.25862068965517243,0.04310344827586207,0.0,0.6982758620689655,Jo Anne Simon,0.6982758620689655
52030,52030,100,35,4,0,77,116,0.3017241379310345,0.034482758620689655,0.0,0.6637931034482759,Jo Anne Simon,0.6637931034482759
52031,52031,100,35,6,0,120,161,0.21739130434782608,0.037267080745341616,0.0,0.7453416149068323,Jo Anne Simon,0.7453416149068323
52032,52032,100,35,6,0,59,100,0.35,0.06,0.0,0.59,Jo Anne Simon,0.59
52033,52033,100,45,2,1,82,130,0.34615384615384615,0.015384615384615385,0.007692307692307693,0.6307692307692307,Jo Anne Simon,0.6307692307692307
52034,52034,100,39,4,0,48,91,0.42857142857142855,0.04395604395604396,0.0,0.5274725274725275,Jo Anne Simon,0.5274725274725275
52035,52035,100,57,5,0,68,130,0.43846153846153846,0.038461538461538464,0.0,0.5230769230769231,Jo Anne Simon,0.5230769230769231
52036,52036,100,76,17,0,95,188,0.40425531914893614,0.09042553191489362,0.0,0.5053191489361702,Jo Anne Simon,0.5053191489361702
52037,52037,100,47,19,0,83,149,0.31543624161073824,0.12751677852348994,0.0,0.5570469798657718,Jo Anne Simon,0.5570469798657718
52038,52038,100,78,7,0,90,175,0.44571428571428573,0.04,0.0,0.5142857142857142,Jo Anne Simon,0.5142857142857142
52039,52039,100,73,11,0,47,131,0.5572519083969466,0.08396946564885496,0.0,0.35877862595419846,Peter J. Sikora,0.5572519083969466
52040,52040,100,81,8,0,57,146,0.5547945205479452,0.0547945205479452,0.0,0.3904109589041096,Peter J. Sikora,0.5547945205479452
52041,52041,100,31,1,0,10,42,0.7380952380952381,0.023809523809523808,0.0,0.23809523809523808,Peter J. Sikora,0.7380952380952381
52042,52042,100,41,5,0,33,79,0.5189873417721519,0.06329113924050633,0.0,0.4177215189873418,Peter J. Sikora,0.5189873417721519
52043,52043,100,45,13,0,55,113,0.39823008849557523,0.11504424778761062,0.0,0.48672566371681414,Jo Anne Simon,0.48672566371681414
52044,52044,100,64,16,1,75,156,0.41025641025641024,0.10256410256410256,0.00641025641025641,0.4807692307692308,Jo Anne Simon,0.4807692307692308
52045,52045,100,48,5,0,57,110,0.43636363636363634,0.045454545454545456,0.0,0.5181818181818182,Jo Anne Simon,0.5181818181818182
52046,52046,100,56,6,0,58,120,0.4666666666666667,0.05,0.0,0.48333333333333334,Jo Anne Simon,0.48333333333333334
52047,52047,100,43,4,0,36,83,0.5180722891566265,0.04819277108433735,0.0,0.43373493975903615,Peter J. Sikora,0.5180722891566265
52048,52048,100,39,7,0,66,112,0.3482142857142857,0.0625,0.0,0.5892857142857143,Jo Anne Simon,0.5892857142857143
52049,52049,100,44,5,0,52,101,0.43564356435643564,0.04950495049504951,0.0,0.5148514851485149,Jo Anne Simon,0.5148514851485149
52050,52050,100,13,2,0,22,37,0.35135135135135137,0.05405405405405406,0.0,0.5945945945945946,Jo Anne Simon,0.5945945945945946
52051,52051,100,28,1,2,37,68,0.4117647058823529,0.014705882352941176,0.029411764705882353,0.5441176470588235,Jo Anne Simon,0.5441176470588235
52052,52052,100,23,0,0,22,45,0.5111111111111111,0.0,0.0,0.4888888888888889,Peter J. Sikora,0.5111111111111111
52053,52053,100,50,6,0,104,160,0.3125,0.0375,0.0,0.65,Jo Anne Simon,0.65
52054,52054,100,16,5,0,31,52,0.3076923076923077,0.09615384615384616,0.0,0.5961538461538461,Jo Anne Simon,0.5961538461538461
52055,52055,100,41,8,0,45,94,0.43617021276595747,0.0851063829787234,0.0,0.4787234042553192,Jo Anne Simon,0.4787234042553192
52056,52056,100,11,4,0,23,38,0.2894736842105263,0.10526315789473684,0.0,0.6052631578947368,Jo Anne Simon,0.6052631578947368
52057,52057,100,20,4,0,61,85,0.23529411764705882,0.047058823529411764,0.0,0.7176470588235294,Jo Anne Simon,0.7176470588235294
52058,52058,100,32,3,0,34,69,0.463768115942029,0.043478260869565216,0.0,0.4927536231884058,Jo Anne Simon,0.4927536231884058
52059,52059,100,50,5,0,72,127,0.3937007874015748,0.03937007874015748,0.0,0.5669291338582677,Jo Anne Simon,0.5669291338582677
52060,52060,100,50,6,0,42,98,0.5102040816326531,0.061224489795918366,0.0,0.42857142857142855,Peter J. Sikora,0.5102040816326531
52061,52061,100,55,2,0,48,105,0.5238095238095238,0.01904761904761905,0.0,0.45714285714285713,Peter J. Sikora,0.5238095238095238
52062,52062,100,53,3,0,64,120,0.44166666666666665,0.025,0.0,0.5333333333333333,Jo Anne Simon,0.5333333333333333
52063,52063,100,0,0,0,2,2,0.0,0.0,0.0,1.0,Jo Anne Simon,1.0
52064,52064,100,47,5,0,56,108,0.4351851851851852,0.046296296296296294,0.0,0.5185185185185185,Jo Anne Simon,0.5185185185185185
52065,52065,100,62,3,0,49,114,0.543859649122807,0.02631578947368421,0.0,0.4298245614035088,Peter J. Sikora,0.543859649122807
52066,52066,100,65,5,0,66,136,0.47794117647058826,0.03676470588235294,0.0,0.4852941176470588,Jo Anne Simon,0.4852941176470588
52067,52067,100,55,6,0,35,96,0.5729166666666666,0.0625,0.0,0.3645833333333333,Peter J. Sikora,0.5729166666666666
52068,52068,100,70,11,0,148,229,0.3056768558951965,0.048034934497816595,0.0,0.6462882096069869,Jo Anne Simon,0.6462882096069869
52069,52069,100,64,7,2,80,153,0.41830065359477125,0.0457516339869281,0.013071895424836602,0.5228758169934641,Jo Anne Simon,0.5228758169934641
52070,52070,100,76,8,0,99,183,0.41530054644808745,0.04371584699453552,0.0,0.5409836065573771,Jo Anne Simon,0.5409836065573771
52071,52071,100,59,8,0,79,146,0.4041095890410959,0.0547945205479452,0.0,0.541095890410959,Jo Anne Simon,0.541095890410959
52072,52072,100,42,3,0,44,89,0.47191011235955055,0.033707865168539325,0.0,0.4943820224719101,Jo Anne Simon,0.4943820224719101
52073,52073,100,81,13,0,117,211,0.38388625592417064,0.061611374407582936,0.0,0.5545023696682464,Jo Anne Simon,0.5545023696682464
52074,52074,100,75,3,0,104,182,0.41208791208791207,0.016483516483516484,0.0,0.5714285714285714,Jo Anne Simon,0.5714285714285714
52075,52075,100,67,5,0,95,167,0.40119760479041916,0.029940119760479042,0.0,0.5688622754491018,Jo Anne Simon,0.5688622754491018
52076,52076,100,25,2,0,10,37,0.6756756756756757,0.05405405405405406,0.0,0.2702702702702703,Peter J. Sikora,0.6756756756756757
52077,52077,100,0,0,0,0,0,0,0,0,0,n/a,0
52078,52078,100,34,4,1,17,56,0.6071428571428571,0.07142857142857142,0.017857142857142856,0.30357142857142855,Peter J. Sikora,0.6071428571428571
52079,52079,100,12,0,0,3,15,0.8,0.0,0.0,0.2,Peter J. Sikora,0.8
52080,52080,100,12,1,0,5,18,0.6666666666666666,0.05555555555555555,0.0,0.2777777777777778,Peter J. Sikora,0.6666666666666666
52081,52081,100,88,6,0,49,143,0.6153846153846154,0.04195804195804196,0.0,0.34265734265734266,Peter J. Sikora,0.6153846153846154
52082,52082,100,67,3,0,37,107,0.6261682242990654,0.028037383177570093,0.0,0.34579439252336447,Peter J. Sikora,0.6261682242990654
