ED,Reported As,Reporting,Erik Martin Dilan,Kimberly Council,Scattered,Total Votes,p_Erik Martin Dilan,p_Kimberly Council,p_Scattered,winner,winner_p
54001,54001,100,4,8,1,13,0.3076923076923077,0.6153846153846154,0.07692307692307693,Kimberly Council,0.6153846153846154
54002,54002,100,13,28,0,41,0.3170731707317073,0.6829268292682927,0.0,Kimberly Council,0.6829268292682927
54003,54003,100,18,30,0,48,0.375,0.625,0.0,Kimberly Council,0.625
54004,54004,100,35,60,0,95,0.3684210526315789,0.631578947368421,0.0,Kimberly Council,0.631578947368421
54005,54005,100,2,2,0,4,0.5,0.5,0.0,Tie,0.5
54006,54006,100,5,1,0,6,0.8333333333333334,0.16666666666666666,0.0,Erik Martin Dilan,0.8333333333333334
54007,54007,100,17,29,0,46,0.3695652173913043,0.6304347826086957,0.0,Kimberly Council,0.6304347826086957
54008,54008,100,34,20,1,55,0.6181818181818182,0.36363636363636365,0.01818181818181818,Erik Martin Dilan,0.6181818181818182
54009,54009,100,12,17,0,29,0.41379310344827586,0.5862068965517241,0.0,Kimberly Council,0.5862068965517241
54010,54010,100,15,26,0,41,0.36585365853658536,0.6341463414634146,0.0,Kimberly Council,0.6341463414634146
54011,54011,100,23,31,0,54,0.42592592592592593,0.5740740740740741,0.0,Kimberly Council,0.5740740740740741
54012,54012,100,13,11,1,25,0.52,0.44,0.04,Erik Martin Dilan,0.52
54013,54013,100,32,6,0,38,0.8421052631578947,0.15789473684210525,0.0,Erik Martin Dilan,0.8421052631578947
54014,54014,100,0,3,0,3,0.0,1.0,0.0,Kimberly Council,1.0
54015,54015,100,11,19,0,30,0.36666666666666664,0.6333333333333333,0.0,Kimberly Council,0.6333333333333333
54016,54016,100,0,0,0,0,0,0,0,n/a,0
54017,54017,100,2,3,0,5,0.4,0.6,0.0,Kimberly Council,0.6
54018,54018,100,1,1,0,2,0.5,0.5,0.0,Tie,0.5
54019,54019,100,48,19,0,67,0.7164179104477612,0.2835820895522388,0.0,Erik Martin Dilan,0.7164179104477612
54020,54020,100,39,18,0,57,0.6842105263157895,0.3157894736842105,0.0,Erik Martin Dilan,0.6842105263157895
54021,54021,100,45,27,0,72,0.625,0.375,0.0,Erik Martin Dilan,0.625
54022,54022,100,22,11,0,33,0.6666666666666666,0.3333333333333333,0.0,Erik Martin Dilan,0.6666666666666666
54023,54023,100,33,11,1,45,0.7333333333333333,0.24444444444444444,0.022222222222222223,Erik Martin Dilan,0.7333333333333333
54024,54024,100,17,2,0,19,0.8947368421052632,0.10526315789473684,0.0,Erik Martin Dilan,0.8947368421052632
54025,54025,100,6,4,0,10,0.6,0.4,0.0,Erik Martin Dilan,0.6
54026,54015,100,0,0,0,0,0,0,0,n/a,0
54027,54027,100,13,26,0,39,0.3333333333333333,0.6666666666666666,0.0,Kimberly Council,0.6666666666666666
