ED,Reported As,Reporting,David R. Miller,Ineisha S. Williford,Scattered,Bilal Malik,Anthony T. Jones,Lori A. Boozer,Latrice Monique Walker,Anthony Tony Herbert,Total Votes,p_David R. Miller,p_Ineisha S. Williford,p_Scattered,p_Bilal Malik,p_Anthony T. Jones,p_Lori A. Boozer,p_Latrice Monique Walker,p_Anthony Tony Herbert,winner,winner_p
55003,55003,100,0,2,0,2,0,2,5,0,11,0.0,0.18181818181818182,0.0,0.18181818181818182,0.0,0.18181818181818182,0.45454545454545453,0.0,Latrice Monique Walker,0.45454545454545453
55001,55003,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
55002,55002,100,0,2,0,0,1,8,14,0,25,0.0,0.08,0.0,0.0,0.04,0.32,0.56,0.0,Latrice Monique Walker,0.56
55004,55004,100,6,4,0,3,6,23,34,2,78,0.07692307692307693,0.05128205128205128,0.0,0.038461538461538464,0.07692307692307693,0.2948717948717949,0.4358974358974359,0.02564102564102564,Latrice Monique Walker,0.4358974358974359
55005,55005,100,0,1,0,1,0,3,5,3,13,0.0,0.07692307692307693,0.0,0.07692307692307693,0.0,0.23076923076923078,0.38461538461538464,0.23076923076923078,Latrice Monique Walker,0.38461538461538464
55006,55006,100,8,8,0,1,19,21,35,14,106,0.07547169811320754,0.07547169811320754,0.0,0.009433962264150943,0.1792452830188679,0.19811320754716982,0.330188679245283,0.1320754716981132,Latrice Monique Walker,0.330188679245283
55007,55007,100,2,2,0,0,1,14,20,7,46,0.043478260869565216,0.043478260869565216,0.0,0.0,0.021739130434782608,0.30434782608695654,0.43478260869565216,0.15217391304347827,Latrice Monique Walker,0.43478260869565216
55008,55008,100,7,2,0,0,1,1,6,1,18,0.3888888888888889,0.1111111111111111,0.0,0.0,0.05555555555555555,0.05555555555555555,0.3333333333333333,0.05555555555555555,David R. Miller,0.3888888888888889
55009,55009,100,3,8,0,0,1,12,18,13,55,0.05454545454545454,0.14545454545454545,0.0,0.0,0.01818181818181818,0.21818181818181817,0.32727272727272727,0.23636363636363636,Latrice Monique Walker,0.32727272727272727
55010,55010,100,26,2,0,2,6,22,24,27,109,0.23853211009174313,0.01834862385321101,0.0,0.01834862385321101,0.05504587155963303,0.2018348623853211,0.22018348623853212,0.24770642201834864,Anthony Tony Herbert,0.24770642201834864
55011,55011,100,16,12,0,0,3,28,25,11,95,0.16842105263157894,0.12631578947368421,0.0,0.0,0.031578947368421054,0.29473684210526313,0.2631578947368421,0.11578947368421053,Lori A. Boozer,0.29473684210526313
55012,55012,100,4,3,0,1,7,12,39,11,77,0.05194805194805195,0.03896103896103896,0.0,0.012987012987012988,0.09090909090909091,0.15584415584415584,0.5064935064935064,0.14285714285714285,Latrice Monique Walker,0.5064935064935064
55013,55013,100,0,0,0,0,0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Lori A. Boozer,1.0
55014,55014,100,4,10,1,1,10,16,19,6,67,0.05970149253731343,0.14925373134328357,0.014925373134328358,0.014925373134328358,0.14925373134328357,0.23880597014925373,0.2835820895522388,0.08955223880597014,Latrice Monique Walker,0.2835820895522388
55015,55015,100,0,0,0,0,0,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Latrice Monique Walker,1.0
