ED,Reported As,Reporting,Charles Barron,Christopher W. Banks,Scattered,Total Votes,p_Charles Barron,p_Christopher W. Banks,p_Scattered,winner,winner_p
60001,60001,100,40,28,0,68,0.5882352941176471,0.4117647058823529,0.0,Charles Barron,0.5882352941176471
60002,60002,100,47,26,0,73,0.6438356164383562,0.3561643835616438,0.0,Charles Barron,0.6438356164383562
60003,60003,100,40,29,0,69,0.5797101449275363,0.42028985507246375,0.0,Charles Barron,0.5797101449275363
60004,60004,100,57,26,0,83,0.6867469879518072,0.3132530120481928,0.0,Charles Barron,0.6867469879518072
60005,60005,100,74,41,0,115,0.6434782608695652,0.3565217391304348,0.0,Charles Barron,0.6434782608695652
60006,60006,100,4,3,0,7,0.5714285714285714,0.42857142857142855,0.0,Charles Barron,0.5714285714285714
60007,60007,100,54,32,0,86,0.627906976744186,0.37209302325581395,0.0,Charles Barron,0.627906976744186
60008,60008,100,66,60,0,126,0.5238095238095238,0.47619047619047616,0.0,Charles Barron,0.5238095238095238
60009,60009,100,42,18,0,60,0.7,0.3,0.0,Charles Barron,0.7
60010,60010,100,18,7,0,25,0.72,0.28,0.0,Charles Barron,0.72
60011,60011,100,4,1,0,5,0.8,0.2,0.0,Charles Barron,0.8
60012,60012,100,34,13,0,47,0.723404255319149,0.2765957446808511,0.0,Charles Barron,0.723404255319149
60013,60013,100,85,40,0,125,0.68,0.32,0.0,Charles Barron,0.68
60014,60014,100,56,42,0,98,0.5714285714285714,0.42857142857142855,0.0,Charles Barron,0.5714285714285714
60015,60015,100,20,5,0,25,0.8,0.2,0.0,Charles Barron,0.8
60016,60016,100,15,5,0,20,0.75,0.25,0.0,Charles Barron,0.75
60017,60017,100,95,29,0,124,0.7661290322580645,0.23387096774193547,0.0,Charles Barron,0.7661290322580645
60018,60018,100,21,18,0,39,0.5384615384615384,0.46153846153846156,0.0,Charles Barron,0.5384615384615384
60019,60019,100,11,9,0,20,0.55,0.45,0.0,Charles Barron,0.55
60020,60020,100,7,3,0,10,0.7,0.3,0.0,Charles Barron,0.7
60021,60021,100,43,13,0,56,0.7678571428571429,0.23214285714285715,0.0,Charles Barron,0.7678571428571429
60022,60022,100,5,0,0,5,1.0,0.0,0.0,Charles Barron,1.0
60023,60023,100,8,2,0,10,0.8,0.2,0.0,Charles Barron,0.8
60024,60024,100,41,11,0,52,0.7884615384615384,0.21153846153846154,0.0,Charles Barron,0.7884615384615384
60025,60025,100,27,35,0,62,0.43548387096774194,0.5645161290322581,0.0,Christopher W. Banks,0.5645161290322581
60026,60026,100,97,37,1,135,0.7185185185185186,0.2740740740740741,0.007407407407407408,Charles Barron,0.7185185185185186
60027,60027,100,40,43,1,84,0.47619047619047616,0.5119047619047619,0.011904761904761904,Christopher W. Banks,0.5119047619047619
60028,60028,100,99,46,0,145,0.6827586206896552,0.31724137931034485,0.0,Charles Barron,0.6827586206896552
60029,60029,100,39,23,0,62,0.6290322580645161,0.3709677419354839,0.0,Charles Barron,0.6290322580645161
60030,60030,100,27,13,0,40,0.675,0.325,0.0,Charles Barron,0.675
60031,60031,100,50,26,1,77,0.6493506493506493,0.33766233766233766,0.012987012987012988,Charles Barron,0.6493506493506493
60032,60032,100,40,17,1,58,0.6896551724137931,0.29310344827586204,0.017241379310344827,Charles Barron,0.6896551724137931
60033,60033,100,67,24,0,91,0.7362637362637363,0.26373626373626374,0.0,Charles Barron,0.7362637362637363
60034,60034,100,49,51,0,100,0.49,0.51,0.0,Christopher W. Banks,0.51
60035,60035,100,68,47,1,116,0.5862068965517241,0.4051724137931034,0.008620689655172414,Charles Barron,0.5862068965517241
60036,60036,100,56,53,3,112,0.5,0.4732142857142857,0.026785714285714284,Charles Barron,0.5
60037,60037,100,66,39,0,105,0.6285714285714286,0.37142857142857144,0.0,Charles Barron,0.6285714285714286
60038,60038,100,29,24,0,53,0.5471698113207547,0.4528301886792453,0.0,Charles Barron,0.5471698113207547
60039,60039,100,44,21,0,65,0.676923076923077,0.3230769230769231,0.0,Charles Barron,0.676923076923077
60040,60040,100,64,29,0,93,0.6881720430107527,0.3118279569892473,0.0,Charles Barron,0.6881720430107527
60041,60041,100,61,47,0,108,0.5648148148148148,0.4351851851851852,0.0,Charles Barron,0.5648148148148148
