ED,Reported As,Reporting,Debbie Medina,Martin Malave Dilan,Scattered,Total Votes,p_Debbie Medina,p_Martin Malave Dilan,p_Scattered,winner,winner_p
50003,50003,100,23,8,0,31,0.7419354838709677,0.25806451612903225,0.0,Debbie Medina,0.7419354838709677
50004,50004,100,6,3,0,9,0.6666666666666666,0.3333333333333333,0.0,Debbie Medina,0.6666666666666666
50005,50005,100,37,29,0,66,0.5606060606060606,0.4393939393939394,0.0,Debbie Medina,0.5606060606060606
50006,50006,100,23,12,0,35,0.6571428571428571,0.34285714285714286,0.0,Debbie Medina,0.6571428571428571
50007,50007,100,32,11,0,43,0.7441860465116279,0.2558139534883721,0.0,Debbie Medina,0.7441860465116279
50008,50008,100,38,14,0,52,0.7307692307692307,0.2692307692307692,0.0,Debbie Medina,0.7307692307692307
50009,50009,100,20,16,0,36,0.5555555555555556,0.4444444444444444,0.0,Debbie Medina,0.5555555555555556
50010,50010,100,2,2,0,4,0.5,0.5,0.0,Tie,0.5
50011,50011,100,28,45,1,74,0.3783783783783784,0.6081081081081081,0.013513513513513514,Martin Malave Dilan,0.6081081081081081
50012,50012,100,31,18,0,49,0.6326530612244898,0.3673469387755102,0.0,Debbie Medina,0.6326530612244898
50015,50015,100,16,3,0,19,0.8421052631578947,0.15789473684210525,0.0,Debbie Medina,0.8421052631578947
50016,50016,100,21,35,1,57,0.3684210526315789,0.6140350877192983,0.017543859649122806,Martin Malave Dilan,0.6140350877192983
50017,50017,100,34,20,1,55,0.6181818181818182,0.36363636363636365,0.01818181818181818,Debbie Medina,0.6181818181818182
50018,50018,100,21,16,0,37,0.5675675675675675,0.43243243243243246,0.0,Debbie Medina,0.5675675675675675
50019,50019,100,50,14,0,64,0.78125,0.21875,0.0,Debbie Medina,0.78125
50020,50020,100,17,2,2,21,0.8095238095238095,0.09523809523809523,0.09523809523809523,Debbie Medina,0.8095238095238095
50021,50021,100,34,16,0,50,0.68,0.32,0.0,Debbie Medina,0.68
50022,50022,100,15,6,0,21,0.7142857142857143,0.2857142857142857,0.0,Debbie Medina,0.7142857142857143
50056,50056,100,6,3,0,9,0.6666666666666666,0.3333333333333333,0.0,Debbie Medina,0.6666666666666666
50023,50056,100,0,0,0,0,0,0,0,n/a,0
50025,50025,100,5,1,0,6,0.8333333333333334,0.16666666666666666,0.0,Debbie Medina,0.8333333333333334
50043,50043,100,16,5,0,21,0.7619047619047619,0.23809523809523808,0.0,Debbie Medina,0.7619047619047619
50044,50044,100,30,15,0,45,0.6666666666666666,0.3333333333333333,0.0,Debbie Medina,0.6666666666666666
50045,50045,100,6,4,0,10,0.6,0.4,0.0,Debbie Medina,0.6
50046,50046,100,15,9,0,24,0.625,0.375,0.0,Debbie Medina,0.625
50049,50049,100,29,13,0,42,0.6904761904761905,0.30952380952380953,0.0,Debbie Medina,0.6904761904761905
50050,50050,100,37,15,0,52,0.7115384615384616,0.28846153846153844,0.0,Debbie Medina,0.7115384615384616
50051,50051,100,39,17,0,56,0.6964285714285714,0.30357142857142855,0.0,Debbie Medina,0.6964285714285714
50052,50052,100,84,19,1,104,0.8076923076923077,0.18269230769230768,0.009615384615384616,Debbie Medina,0.8076923076923077
50053,50053,100,22,5,0,27,0.8148148148148148,0.18518518518518517,0.0,Debbie Medina,0.8148148148148148
50054,50054,100,16,12,0,28,0.5714285714285714,0.42857142857142855,0.0,Debbie Medina,0.5714285714285714
50057,50057,100,20,46,0,66,0.30303030303030304,0.696969696969697,0.0,Martin Malave Dilan,0.696969696969697
50058,50058,100,28,66,0,94,0.2978723404255319,0.7021276595744681,0.0,Martin Malave Dilan,0.7021276595744681
50059,50059,100,20,36,0,56,0.35714285714285715,0.6428571428571429,0.0,Martin Malave Dilan,0.6428571428571429
50060,50060,100,38,92,0,130,0.2923076923076923,0.7076923076923077,0.0,Martin Malave Dilan,0.7076923076923077
50061,50061,100,20,65,1,86,0.23255813953488372,0.7558139534883721,0.011627906976744186,Martin Malave Dilan,0.7558139534883721
50062,50062,100,33,45,0,78,0.4230769230769231,0.5769230769230769,0.0,Martin Malave Dilan,0.5769230769230769
50063,50063,100,19,66,0,85,0.2235294117647059,0.7764705882352941,0.0,Martin Malave Dilan,0.7764705882352941
50081,50081,100,1,9,0,10,0.1,0.9,0.0,Martin Malave Dilan,0.9
53001,53001,100,67,8,0,75,0.8933333333333333,0.10666666666666667,0.0,Debbie Medina,0.8933333333333333
53002,53002,100,62,16,0,78,0.7948717948717948,0.20512820512820512,0.0,Debbie Medina,0.7948717948717948
53003,53003,100,94,23,0,117,0.8034188034188035,0.19658119658119658,0.0,Debbie Medina,0.8034188034188035
53004,53004,100,20,9,0,29,0.6896551724137931,0.3103448275862069,0.0,Debbie Medina,0.6896551724137931
53005,53005,100,41,7,1,49,0.8367346938775511,0.14285714285714285,0.02040816326530612,Debbie Medina,0.8367346938775511
53006,53006,100,1,0,0,1,1.0,0.0,0.0,Debbie Medina,1.0
53007,53007,100,66,16,0,82,0.8048780487804879,0.1951219512195122,0.0,Debbie Medina,0.8048780487804879
53008,53008,100,11,3,1,15,0.7333333333333333,0.2,0.06666666666666667,Debbie Medina,0.7333333333333333
53009,53009,100,58,15,0,73,0.7945205479452054,0.2054794520547945,0.0,Debbie Medina,0.7945205479452054
53010,53010,100,63,24,0,87,0.7241379310344828,0.27586206896551724,0.0,Debbie Medina,0.7241379310344828
53011,53011,100,61,17,0,78,0.782051282051282,0.21794871794871795,0.0,Debbie Medina,0.782051282051282
53012,53012,100,73,28,1,102,0.7156862745098039,0.27450980392156865,0.00980392156862745,Debbie Medina,0.7156862745098039
53013,53013,100,41,11,0,52,0.7884615384615384,0.21153846153846154,0.0,Debbie Medina,0.7884615384615384
53015,53015,100,31,64,0,95,0.3263157894736842,0.6736842105263158,0.0,Martin Malave Dilan,0.6736842105263158
53016,53016,100,33,12,0,45,0.7333333333333333,0.26666666666666666,0.0,Debbie Medina,0.7333333333333333
53017,53017,100,29,6,0,35,0.8285714285714286,0.17142857142857143,0.0,Debbie Medina,0.8285714285714286
53018,53018,100,13,6,0,19,0.6842105263157895,0.3157894736842105,0.0,Debbie Medina,0.6842105263157895
53019,53019,100,29,18,0,47,0.6170212765957447,0.3829787234042553,0.0,Debbie Medina,0.6170212765957447
53020,53020,100,34,18,0,52,0.6538461538461539,0.34615384615384615,0.0,Debbie Medina,0.6538461538461539
53021,53021,100,30,56,0,86,0.3488372093023256,0.6511627906976745,0.0,Martin Malave Dilan,0.6511627906976745
53022,53022,100,26,23,1,50,0.52,0.46,0.02,Debbie Medina,0.52
53023,53023,100,21,11,0,32,0.65625,0.34375,0.0,Debbie Medina,0.65625
53024,53024,100,37,117,0,154,0.24025974025974026,0.7597402597402597,0.0,Martin Malave Dilan,0.7597402597402597
53025,53025,100,32,112,1,145,0.2206896551724138,0.7724137931034483,0.006896551724137931,Martin Malave Dilan,0.7724137931034483
53026,53026,100,17,42,0,59,0.288135593220339,0.711864406779661,0.0,Martin Malave Dilan,0.711864406779661
53027,53027,100,17,31,0,48,0.3541666666666667,0.6458333333333334,0.0,Martin Malave Dilan,0.6458333333333334
53028,53028,100,15,35,1,51,0.29411764705882354,0.6862745098039216,0.0196078431372549,Martin Malave Dilan,0.6862745098039216
53029,53029,100,14,4,1,19,0.7368421052631579,0.21052631578947367,0.05263157894736842,Debbie Medina,0.7368421052631579
53030,53030,100,25,13,0,38,0.6578947368421053,0.34210526315789475,0.0,Debbie Medina,0.6578947368421053
53031,53031,100,34,70,2,106,0.32075471698113206,0.660377358490566,0.018867924528301886,Martin Malave Dilan,0.660377358490566
53032,53032,100,25,36,0,61,0.4098360655737705,0.5901639344262295,0.0,Martin Malave Dilan,0.5901639344262295
53033,53033,100,38,13,0,51,0.7450980392156863,0.2549019607843137,0.0,Debbie Medina,0.7450980392156863
53034,53034,100,24,3,2,29,0.8275862068965517,0.10344827586206896,0.06896551724137931,Debbie Medina,0.8275862068965517
53035,53035,100,23,10,1,34,0.6764705882352942,0.29411764705882354,0.029411764705882353,Debbie Medina,0.6764705882352942
53036,53036,100,38,37,1,76,0.5,0.4868421052631579,0.013157894736842105,Debbie Medina,0.5
53037,53037,100,7,14,2,23,0.30434782608695654,0.6086956521739131,0.08695652173913043,Martin Malave Dilan,0.6086956521739131
53038,53038,100,3,3,0,6,0.5,0.5,0.0,Tie,0.5
