ED,Reported As,Reporting,Sean K. Henry,Dell Smitherman,John L. Sampson,Elias J. Weir,Scattered,Total Votes,p_Sean K. Henry,p_Dell Smitherman,p_John L. Sampson,p_Elias J. Weir,p_Scattered,winner,winner_p
41015,41015,100,2,6,1,1,0,10,0.2,0.6,0.1,0.1,0.0,Dell Smitherman,0.6
41013,41015,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
41014,41014,100,4,0,2,1,0,7,0.5714285714285714,0.0,0.2857142857142857,0.14285714285714285,0.0,Sean K. Henry,0.5714285714285714
41025,41025,100,0,5,9,0,0,14,0.0,0.35714285714285715,0.6428571428571429,0.0,0.0,John L. Sampson,0.6428571428571429
41019,41025,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
41020,41020,100,1,11,26,2,0,40,0.025,0.275,0.65,0.05,0.0,John L. Sampson,0.65
41021,41021,100,0,18,12,7,1,38,0.0,0.47368421052631576,0.3157894736842105,0.18421052631578946,0.02631578947368421,Dell Smitherman,0.47368421052631576
41022,41022,100,0,3,6,0,0,9,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,John L. Sampson,0.6666666666666666
41026,41026,100,0,3,3,0,0,6,0.0,0.5,0.5,0.0,0.0,Tie,0.5
41027,41027,100,2,24,29,2,0,57,0.03508771929824561,0.42105263157894735,0.5087719298245614,0.03508771929824561,0.0,John L. Sampson,0.5087719298245614
41028,41028,100,4,17,49,2,1,73,0.0547945205479452,0.2328767123287671,0.6712328767123288,0.0273972602739726,0.0136986301369863,John L. Sampson,0.6712328767123288
41029,41020,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
41035,41035,100,6,11,14,6,0,37,0.16216216216216217,0.2972972972972973,0.3783783783783784,0.16216216216216217,0.0,John L. Sampson,0.3783783783783784
41042,41042,100,2,1,3,3,0,9,0.2222222222222222,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.0,Tie,0.3333333333333333
41057,41057,100,5,9,8,3,0,25,0.2,0.36,0.32,0.12,0.0,Dell Smitherman,0.36
41060,41060,100,1,12,18,3,0,34,0.029411764705882353,0.35294117647058826,0.5294117647058824,0.08823529411764706,0.0,John L. Sampson,0.5294117647058824
41061,41061,100,2,11,8,6,0,27,0.07407407407407407,0.4074074074074074,0.2962962962962963,0.2222222222222222,0.0,Dell Smitherman,0.4074074074074074
41062,41062,100,9,7,14,3,0,33,0.2727272727272727,0.21212121212121213,0.42424242424242425,0.09090909090909091,0.0,John L. Sampson,0.42424242424242425
41063,41063,100,7,9,19,5,0,40,0.175,0.225,0.475,0.125,0.0,John L. Sampson,0.475
41064,41064,100,16,26,20,9,0,71,0.22535211267605634,0.36619718309859156,0.28169014084507044,0.1267605633802817,0.0,Dell Smitherman,0.36619718309859156
41065,41065,100,2,3,4,1,0,10,0.2,0.3,0.4,0.1,0.0,John L. Sampson,0.4
41066,41066,100,6,7,28,7,1,49,0.12244897959183673,0.14285714285714285,0.5714285714285714,0.14285714285714285,0.02040816326530612,John L. Sampson,0.5714285714285714
41067,41067,100,5,10,30,0,0,45,0.1111111111111111,0.2222222222222222,0.6666666666666666,0.0,0.0,John L. Sampson,0.6666666666666666
41068,41068,100,4,9,46,3,0,62,0.06451612903225806,0.14516129032258066,0.7419354838709677,0.04838709677419355,0.0,John L. Sampson,0.7419354838709677
41069,41069,100,4,5,44,2,0,55,0.07272727272727272,0.09090909090909091,0.8,0.03636363636363636,0.0,John L. Sampson,0.8
41070,41070,100,7,10,15,7,0,39,0.1794871794871795,0.2564102564102564,0.38461538461538464,0.1794871794871795,0.0,John L. Sampson,0.38461538461538464
41071,41071,100,5,9,18,11,1,44,0.11363636363636363,0.20454545454545456,0.4090909090909091,0.25,0.022727272727272728,John L. Sampson,0.4090909090909091
41072,41072,100,4,12,22,7,2,47,0.0851063829787234,0.2553191489361702,0.46808510638297873,0.14893617021276595,0.0425531914893617,John L. Sampson,0.46808510638297873
41073,41073,100,6,28,23,7,1,65,0.09230769230769231,0.4307692307692308,0.35384615384615387,0.1076923076923077,0.015384615384615385,Dell Smitherman,0.4307692307692308
41074,41074,100,3,20,27,10,0,60,0.05,0.3333333333333333,0.45,0.16666666666666666,0.0,John L. Sampson,0.45
41075,41075,100,5,9,12,2,1,29,0.1724137931034483,0.3103448275862069,0.41379310344827586,0.06896551724137931,0.034482758620689655,John L. Sampson,0.41379310344827586
41076,41076,100,6,10,16,5,0,37,0.16216216216216217,0.2702702702702703,0.43243243243243246,0.13513513513513514,0.0,John L. Sampson,0.43243243243243246
41077,41077,100,4,11,14,4,0,33,0.12121212121212122,0.3333333333333333,0.42424242424242425,0.12121212121212122,0.0,John L. Sampson,0.42424242424242425
41078,41078,100,2,12,6,5,0,25,0.08,0.48,0.24,0.2,0.0,Dell Smitherman,0.48
41079,41079,100,8,9,16,8,2,43,0.18604651162790697,0.20930232558139536,0.37209302325581395,0.18604651162790697,0.046511627906976744,John L. Sampson,0.37209302325581395
41080,41078,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
42069,42069,100,1,5,4,1,1,12,0.08333333333333333,0.4166666666666667,0.3333333333333333,0.08333333333333333,0.08333333333333333,Dell Smitherman,0.4166666666666667
45025,45025,100,5,6,7,0,0,18,0.2777777777777778,0.3333333333333333,0.3888888888888889,0.0,0.0,John L. Sampson,0.3888888888888889
45026,45026,100,5,17,13,4,0,39,0.1282051282051282,0.4358974358974359,0.3333333333333333,0.10256410256410256,0.0,Dell Smitherman,0.4358974358974359
45027,45027,100,1,8,12,4,0,25,0.04,0.32,0.48,0.16,0.0,John L. Sampson,0.48
45028,45028,100,9,16,11,2,0,38,0.23684210526315788,0.42105263157894735,0.2894736842105263,0.05263157894736842,0.0,Dell Smitherman,0.42105263157894735
45056,45056,100,5,11,11,4,0,31,0.16129032258064516,0.3548387096774194,0.3548387096774194,0.12903225806451613,0.0,Tie,0.3548387096774194
54002,54002,100,5,19,12,2,1,39,0.1282051282051282,0.48717948717948717,0.3076923076923077,0.05128205128205128,0.02564102564102564,Dell Smitherman,0.48717948717948717
54003,54003,100,8,21,10,5,1,45,0.17777777777777778,0.4666666666666667,0.2222222222222222,0.1111111111111111,0.022222222222222223,Dell Smitherman,0.4666666666666667
54004,54004,100,20,33,17,14,4,88,0.22727272727272727,0.375,0.19318181818181818,0.1590909090909091,0.045454545454545456,Dell Smitherman,0.375
54005,54005,100,1,1,2,0,0,4,0.25,0.25,0.5,0.0,0.0,John L. Sampson,0.5
54006,54006,100,2,2,3,0,0,7,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.0,0.0,John L. Sampson,0.42857142857142855
54071,54071,100,2,6,19,1,0,28,0.07142857142857142,0.21428571428571427,0.6785714285714286,0.03571428571428571,0.0,John L. Sampson,0.6785714285714286
54072,54005,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
55005,55005,100,2,5,7,0,0,14,0.14285714285714285,0.35714285714285715,0.5,0.0,0.0,John L. Sampson,0.5
55013,55013,100,0,1,1,0,0,2,0.0,0.5,0.5,0.0,0.0,Tie,0.5
55027,55027,100,9,5,10,3,0,27,0.3333333333333333,0.18518518518518517,0.37037037037037035,0.1111111111111111,0.0,John L. Sampson,0.37037037037037035
55036,55036,100,0,0,3,1,0,4,0.0,0.0,0.75,0.25,0.0,John L. Sampson,0.75
55037,55037,100,1,4,4,2,0,11,0.09090909090909091,0.36363636363636365,0.36363636363636365,0.18181818181818182,0.0,Tie,0.36363636363636365
55038,55038,100,0,1,3,0,0,4,0.0,0.25,0.75,0.0,0.0,John L. Sampson,0.75
55040,55040,100,1,5,5,1,1,13,0.07692307692307693,0.38461538461538464,0.38461538461538464,0.07692307692307693,0.07692307692307693,Tie,0.38461538461538464
55039,55040,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
55042,55040,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
55044,55044,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
55047,55047,100,2,11,8,2,0,23,0.08695652173913043,0.4782608695652174,0.34782608695652173,0.08695652173913043,0.0,Dell Smitherman,0.4782608695652174
55048,55048,100,11,22,28,2,0,63,0.1746031746031746,0.3492063492063492,0.4444444444444444,0.031746031746031744,0.0,John L. Sampson,0.4444444444444444
55049,55049,100,10,14,13,4,0,41,0.24390243902439024,0.34146341463414637,0.3170731707317073,0.0975609756097561,0.0,Dell Smitherman,0.34146341463414637
55052,55052,100,4,5,10,0,0,19,0.21052631578947367,0.2631578947368421,0.5263157894736842,0.0,0.0,John L. Sampson,0.5263157894736842
55053,55053,100,1,3,16,2,0,22,0.045454545454545456,0.13636363636363635,0.7272727272727273,0.09090909090909091,0.0,John L. Sampson,0.7272727272727273
55054,55052,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
55055,55055,100,3,13,43,7,0,66,0.045454545454545456,0.19696969696969696,0.6515151515151515,0.10606060606060606,0.0,John L. Sampson,0.6515151515151515
55056,55005,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
55060,55060,100,3,10,11,0,0,24,0.125,0.4166666666666667,0.4583333333333333,0.0,0.0,John L. Sampson,0.4583333333333333
55062,55062,100,7,25,69,1,0,102,0.06862745098039216,0.24509803921568626,0.6764705882352942,0.00980392156862745,0.0,John L. Sampson,0.6764705882352942
55063,55063,100,5,10,17,1,0,33,0.15151515151515152,0.30303030303030304,0.5151515151515151,0.030303030303030304,0.0,John L. Sampson,0.5151515151515151
55064,55064,100,6,14,70,4,0,94,0.06382978723404255,0.14893617021276595,0.7446808510638298,0.0425531914893617,0.0,John L. Sampson,0.7446808510638298
55074,55074,100,5,10,45,3,0,63,0.07936507936507936,0.15873015873015872,0.7142857142857143,0.047619047619047616,0.0,John L. Sampson,0.7142857142857143
55075,55075,100,8,18,28,4,4,62,0.12903225806451613,0.2903225806451613,0.45161290322580644,0.06451612903225806,0.06451612903225806,John L. Sampson,0.45161290322580644
55077,55077,100,2,5,7,0,0,14,0.14285714285714285,0.35714285714285715,0.5,0.0,0.0,John L. Sampson,0.5
55099,55099,100,10,23,49,5,1,88,0.11363636363636363,0.26136363636363635,0.5568181818181818,0.056818181818181816,0.011363636363636364,John L. Sampson,0.5568181818181818
55105,55105,100,2,3,3,0,0,8,0.25,0.375,0.375,0.0,0.0,Tie,0.375
55107,55049,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
58057,58057,100,7,16,31,0,0,54,0.12962962962962962,0.2962962962962963,0.5740740740740741,0.0,0.0,John L. Sampson,0.5740740740740741
58058,58058,100,2,14,14,4,0,34,0.058823529411764705,0.4117647058823529,0.4117647058823529,0.11764705882352941,0.0,Tie,0.4117647058823529
58059,58059,100,14,26,54,20,0,114,0.12280701754385964,0.22807017543859648,0.47368421052631576,0.17543859649122806,0.0,John L. Sampson,0.47368421052631576
58060,58060,100,6,28,71,4,0,109,0.05504587155963303,0.25688073394495414,0.6513761467889908,0.03669724770642202,0.0,John L. Sampson,0.6513761467889908
58065,58065,100,8,18,27,1,0,54,0.14814814814814814,0.3333333333333333,0.5,0.018518518518518517,0.0,John L. Sampson,0.5
58066,58066,100,6,21,29,3,0,59,0.1016949152542373,0.3559322033898305,0.4915254237288136,0.05084745762711865,0.0,John L. Sampson,0.4915254237288136
58067,58067,100,20,49,137,0,0,206,0.0970873786407767,0.23786407766990292,0.6650485436893204,0.0,0.0,John L. Sampson,0.6650485436893204
58068,58068,100,15,40,107,5,1,168,0.08928571428571429,0.23809523809523808,0.6369047619047619,0.02976190476190476,0.005952380952380952,John L. Sampson,0.6369047619047619
58069,58069,100,3,6,26,0,0,35,0.08571428571428572,0.17142857142857143,0.7428571428571429,0.0,0.0,John L. Sampson,0.7428571428571429
58070,58070,100,9,16,44,1,1,71,0.1267605633802817,0.22535211267605634,0.6197183098591549,0.014084507042253521,0.014084507042253521,John L. Sampson,0.6197183098591549
58071,58071,100,6,26,39,1,0,72,0.08333333333333333,0.3611111111111111,0.5416666666666666,0.013888888888888888,0.0,John L. Sampson,0.5416666666666666
58072,58072,100,11,19,32,5,0,67,0.16417910447761194,0.2835820895522388,0.47761194029850745,0.07462686567164178,0.0,John L. Sampson,0.47761194029850745
58073,58073,100,5,8,39,1,0,53,0.09433962264150944,0.1509433962264151,0.7358490566037735,0.018867924528301886,0.0,John L. Sampson,0.7358490566037735
58074,58074,100,7,29,78,2,0,116,0.0603448275862069,0.25,0.6724137931034483,0.017241379310344827,0.0,John L. Sampson,0.6724137931034483
58075,58075,100,12,46,68,1,1,128,0.09375,0.359375,0.53125,0.0078125,0.0078125,John L. Sampson,0.53125
58076,58076,100,6,33,54,2,0,95,0.06315789473684211,0.3473684210526316,0.5684210526315789,0.021052631578947368,0.0,John L. Sampson,0.5684210526315789
58077,58077,100,8,41,56,1,0,106,0.07547169811320754,0.3867924528301887,0.5283018867924528,0.009433962264150943,0.0,John L. Sampson,0.5283018867924528
58078,58078,100,8,30,45,3,0,86,0.09302325581395349,0.3488372093023256,0.5232558139534884,0.03488372093023256,0.0,John L. Sampson,0.5232558139534884
58079,58079,100,6,15,49,1,0,71,0.08450704225352113,0.2112676056338028,0.6901408450704225,0.014084507042253521,0.0,John L. Sampson,0.6901408450704225
59005,59005,100,10,22,44,2,0,78,0.1282051282051282,0.28205128205128205,0.5641025641025641,0.02564102564102564,0.0,John L. Sampson,0.5641025641025641
59006,59006,100,8,32,53,3,0,96,0.08333333333333333,0.3333333333333333,0.5520833333333334,0.03125,0.0,John L. Sampson,0.5520833333333334
59007,59007,100,5,34,27,2,0,68,0.07352941176470588,0.5,0.39705882352941174,0.029411764705882353,0.0,Dell Smitherman,0.5
59008,59008,100,4,23,45,0,0,72,0.05555555555555555,0.3194444444444444,0.625,0.0,0.0,John L. Sampson,0.625
59010,59010,100,2,6,26,0,0,34,0.058823529411764705,0.17647058823529413,0.7647058823529411,0.0,0.0,John L. Sampson,0.7647058823529411
59009,59010,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
59011,59011,100,5,16,51,0,1,73,0.0684931506849315,0.2191780821917808,0.6986301369863014,0.0,0.0136986301369863,John L. Sampson,0.6986301369863014
59012,59012,100,2,25,47,1,0,75,0.02666666666666667,0.3333333333333333,0.6266666666666667,0.013333333333333334,0.0,John L. Sampson,0.6266666666666667
59013,59013,100,1,20,50,1,0,72,0.013888888888888888,0.2777777777777778,0.6944444444444444,0.013888888888888888,0.0,John L. Sampson,0.6944444444444444
59014,59014,100,7,49,55,0,0,111,0.06306306306306306,0.44144144144144143,0.4954954954954955,0.0,0.0,John L. Sampson,0.4954954954954955
59015,59015,100,4,18,46,4,0,72,0.05555555555555555,0.25,0.6388888888888888,0.05555555555555555,0.0,John L. Sampson,0.6388888888888888
59016,59016,100,6,35,77,1,0,119,0.05042016806722689,0.29411764705882354,0.6470588235294118,0.008403361344537815,0.0,John L. Sampson,0.6470588235294118
