ED,Reported As,Reporting,Guillermo E. Philpotts,Rubain J. Dorancy,Scattered,Jesse E. Hamilton,Total Votes,p_Guillermo E. Philpotts,p_Rubain J. Dorancy,p_Scattered,p_Jesse E. Hamilton,winner,winner_p
42068,42068,100,3,9,2,33,47,0.06382978723404255,0.19148936170212766,0.0425531914893617,0.7021276595744681,Jesse E. Hamilton,0.7021276595744681
43011,43011,100,4,23,0,52,79,0.05063291139240506,0.2911392405063291,0.0,0.6582278481012658,Jesse E. Hamilton,0.6582278481012658
43013,43013,100,1,15,0,42,58,0.017241379310344827,0.25862068965517243,0.0,0.7241379310344828,Jesse E. Hamilton,0.7241379310344828
43014,43014,100,3,50,0,66,119,0.025210084033613446,0.42016806722689076,0.0,0.5546218487394958,Jesse E. Hamilton,0.5546218487394958
43015,43015,100,3,48,1,62,114,0.02631578947368421,0.42105263157894735,0.008771929824561403,0.543859649122807,Jesse E. Hamilton,0.543859649122807
43016,43016,100,5,45,0,119,169,0.029585798816568046,0.26627218934911245,0.0,0.7041420118343196,Jesse E. Hamilton,0.7041420118343196
43017,43017,100,0,9,0,45,54,0.0,0.16666666666666666,0.0,0.8333333333333334,Jesse E. Hamilton,0.8333333333333334
43018,43018,100,2,31,1,66,100,0.02,0.31,0.01,0.66,Jesse E. Hamilton,0.66
43019,43019,100,8,22,0,65,95,0.08421052631578947,0.23157894736842105,0.0,0.6842105263157895,Jesse E. Hamilton,0.6842105263157895
43020,43020,100,2,55,0,122,179,0.0111731843575419,0.30726256983240224,0.0,0.6815642458100558,Jesse E. Hamilton,0.6815642458100558
43021,43021,100,3,20,0,61,84,0.03571428571428571,0.23809523809523808,0.0,0.7261904761904762,Jesse E. Hamilton,0.7261904761904762
43022,43022,100,3,27,0,88,118,0.025423728813559324,0.2288135593220339,0.0,0.7457627118644068,Jesse E. Hamilton,0.7457627118644068
43023,43023,100,5,44,0,114,163,0.03067484662576687,0.26993865030674846,0.0,0.6993865030674846,Jesse E. Hamilton,0.6993865030674846
43024,43024,100,1,33,0,47,81,0.012345679012345678,0.4074074074074074,0.0,0.5802469135802469,Jesse E. Hamilton,0.5802469135802469
43025,43025,100,7,49,1,87,144,0.04861111111111111,0.3402777777777778,0.006944444444444444,0.6041666666666666,Jesse E. Hamilton,0.6041666666666666
43026,43026,100,6,30,0,65,101,0.0594059405940594,0.297029702970297,0.0,0.6435643564356436,Jesse E. Hamilton,0.6435643564356436
43027,43027,100,1,30,0,66,97,0.010309278350515464,0.30927835051546393,0.0,0.6804123711340206,Jesse E. Hamilton,0.6804123711340206
43028,43028,100,3,31,0,72,106,0.02830188679245283,0.29245283018867924,0.0,0.6792452830188679,Jesse E. Hamilton,0.6792452830188679
43029,43029,100,4,18,0,49,71,0.056338028169014086,0.2535211267605634,0.0,0.6901408450704225,Jesse E. Hamilton,0.6901408450704225
43030,43030,100,2,15,0,50,67,0.029850746268656716,0.22388059701492538,0.0,0.746268656716418,Jesse E. Hamilton,0.746268656716418
43031,43031,100,7,28,0,97,132,0.05303030303030303,0.21212121212121213,0.0,0.7348484848484849,Jesse E. Hamilton,0.7348484848484849
43032,43032,100,5,16,2,46,69,0.07246376811594203,0.2318840579710145,0.028985507246376812,0.6666666666666666,Jesse E. Hamilton,0.6666666666666666
43033,43033,100,8,34,0,93,135,0.05925925925925926,0.2518518518518518,0.0,0.6888888888888889,Jesse E. Hamilton,0.6888888888888889
43034,43034,100,9,41,0,81,131,0.06870229007633588,0.31297709923664124,0.0,0.6183206106870229,Jesse E. Hamilton,0.6183206106870229
43035,43035,100,7,30,0,92,129,0.05426356589147287,0.23255813953488372,0.0,0.7131782945736435,Jesse E. Hamilton,0.7131782945736435
43036,43036,100,1,43,0,83,127,0.007874015748031496,0.33858267716535434,0.0,0.6535433070866141,Jesse E. Hamilton,0.6535433070866141
43037,43037,100,7,63,1,74,145,0.04827586206896552,0.43448275862068964,0.006896551724137931,0.5103448275862069,Jesse E. Hamilton,0.5103448275862069
