ED,Reported As,Reporting,Scattered,Alec Brook-Krasny,Total Votes,p_Scattered,p_Alec Brook-Krasny,winner,winner_p
46001,46001,100,2,0,2,1.0,0.0,Scattered,1.0
46002,46002,100,1,0,1,1.0,0.0,Scattered,1.0
46003,46003,100,0,0,0,0,0,n/a,0
46004,46004,100,0,0,0,0,0,n/a,0
46005,46005,100,0,1,1,0.0,1.0,Alec Brook-Krasny,1.0
46006,46006,100,0,0,0,0,0,n/a,0
46007,46007,100,0,2,2,0.0,1.0,Alec Brook-Krasny,1.0
46008,46008,100,0,0,0,0,0,n/a,0
46009,46009,100,0,1,1,0.0,1.0,Alec Brook-Krasny,1.0
46010,46010,100,0,1,1,0.0,1.0,Alec Brook-Krasny,1.0
46011,46011,100,0,4,4,0.0,1.0,Alec Brook-Krasny,1.0
46012,46012,100,0,0,0,0,0,n/a,0
46013,46013,100,0,1,1,0.0,1.0,Alec Brook-Krasny,1.0
46014,46014,100,0,0,0,0,0,n/a,0
46015,46015,100,0,0,0,0,0,n/a,0
46016,46016,100,0,0,0,0,0,n/a,0
46017,46017,100,0,0,0,0,0,n/a,0
46018,46018,100,0,1,1,0.0,1.0,Alec Brook-Krasny,1.0
46019,46019,100,0,0,0,0,0,n/a,0
46020,46020,100,0,1,1,0.0,1.0,Alec Brook-Krasny,1.0
46021,46021,100,1,1,2,0.5,0.5,Tie,0.5
46022,46022,100,0,2,2,0.0,1.0,Alec Brook-Krasny,1.0
46023,46023,100,2,1,3,0.6666666666666666,0.3333333333333333,Scattered,0.6666666666666666
46024,46024,100,0,1,1,0.0,1.0,Alec Brook-Krasny,1.0
46025,46025,100,0,0,0,0,0,n/a,0
46026,46026,100,0,2,2,0.0,1.0,Alec Brook-Krasny,1.0
46027,46027,100,0,0,0,0,0,n/a,0
46028,46028,100,0,0,0,0,0,n/a,0
46029,46029,100,0,1,1,0.0,1.0,Alec Brook-Krasny,1.0
46030,46030,100,0,0,0,0,0,n/a,0
46031,46031,100,0,0,0,0,0,n/a,0
46032,46032,100,0,0,0,0,0,n/a,0
46033,46033,100,2,0,2,1.0,0.0,Scattered,1.0
46034,46034,100,0,0,0,0,0,n/a,0
46035,46035,100,1,0,1,1.0,0.0,Scattered,1.0
46036,46036,100,0,0,0,0,0,n/a,0
46037,46037,100,0,0,0,0,0,n/a,0
46038,46038,100,2,2,4,0.5,0.5,Tie,0.5
46039,46039,100,0,0,0,0,0,n/a,0
46040,46040,100,0,0,0,0,0,n/a,0
46041,46041,100,0,1,1,0.0,1.0,Alec Brook-Krasny,1.0
46042,46042,100,0,0,0,0,0,n/a,0
46043,46043,100,0,2,2,0.0,1.0,Alec Brook-Krasny,1.0
46044,46044,100,0,2,2,0.0,1.0,Alec Brook-Krasny,1.0
46045,46045,100,1,0,1,1.0,0.0,Scattered,1.0
46046,46046,100,1,2,3,0.3333333333333333,0.6666666666666666,Alec Brook-Krasny,0.6666666666666666
46047,46047,100,0,0,0,0,0,n/a,0
46048,46048,100,0,0,0,0,0,n/a,0
46049,46049,100,0,1,1,0.0,1.0,Alec Brook-Krasny,1.0
46050,46050,100,4,0,4,1.0,0.0,Scattered,1.0
46051,46051,100,1,0,1,1.0,0.0,Scattered,1.0
46052,46052,100,0,3,3,0.0,1.0,Alec Brook-Krasny,1.0
46053,46053,100,0,0,0,0,0,n/a,0
46054,46054,100,0,1,1,0.0,1.0,Alec Brook-Krasny,1.0
46055,46055,100,0,2,2,0.0,1.0,Alec Brook-Krasny,1.0
46056,46056,100,0,1,1,0.0,1.0,Alec Brook-Krasny,1.0
46057,46057,100,0,2,2,0.0,1.0,Alec Brook-Krasny,1.0
46058,46058,100,0,0,0,0,0,n/a,0
46059,46059,100,1,0,1,1.0,0.0,Scattered,1.0
46060,46060,100,0,0,0,0,0,n/a,0
46061,46061,100,0,1,1,0.0,1.0,Alec Brook-Krasny,1.0
46062,46062,100,0,1,1,0.0,1.0,Alec Brook-Krasny,1.0
46063,46063,100,0,2,2,0.0,1.0,Alec Brook-Krasny,1.0
46064,46064,100,3,0,3,1.0,0.0,Scattered,1.0
46065,46065,100,1,0,1,1.0,0.0,Scattered,1.0
46066,46066,100,2,0,2,1.0,0.0,Scattered,1.0
46067,46067,100,1,0,1,1.0,0.0,Scattered,1.0
46068,46068,100,2,0,2,1.0,0.0,Scattered,1.0
46069,46069,100,0,0,0,0,0,n/a,0
46070,46070,100,0,0,0,0,0,n/a,0
46071,46071,100,1,0,1,1.0,0.0,Scattered,1.0
46072,46072,100,0,0,0,0,0,n/a,0
46073,46073,100,0,1,1,0.0,1.0,Alec Brook-Krasny,1.0
46074,46074,100,0,0,0,0,0,n/a,0
46075,46075,100,0,0,0,0,0,n/a,0
46076,46075,100,0,0,0,0,0,n/a,0
46077,46077,100,0,0,0,0,0,n/a,0
