ED,Reported As,Reporting,Scattered,Total Votes,p_Scattered,winner,winner_p
45001,45001,100,1,1,1.0,Scattered,1.0
45002,45002,100,0,0,0,n/a,0
45003,45003,100,3,3,1.0,Scattered,1.0
45004,45004,100,0,0,0,n/a,0
45005,45005,100,13,13,1.0,Scattered,1.0
45006,45006,100,1,1,1.0,Scattered,1.0
45007,45007,100,0,0,0,n/a,0
45008,45008,100,0,0,0,n/a,0
45009,45009,100,0,0,0,n/a,0
45010,45010,100,1,1,1.0,Scattered,1.0
45011,45011,100,2,2,1.0,Scattered,1.0
45012,45012,100,2,2,1.0,Scattered,1.0
45013,45013,100,6,6,1.0,Scattered,1.0
45014,45014,100,5,5,1.0,Scattered,1.0
45015,45015,100,4,4,1.0,Scattered,1.0
45016,45016,100,3,3,1.0,Scattered,1.0
45017,45017,100,0,0,0,n/a,0
45018,45018,100,0,0,0,n/a,0
45019,45019,100,8,8,1.0,Scattered,1.0
45020,45020,100,4,4,1.0,Scattered,1.0
45021,45021,100,0,0,0,n/a,0
45022,45022,100,0,0,0,n/a,0
45023,45023,100,1,1,1.0,Scattered,1.0
45024,45024,100,3,3,1.0,Scattered,1.0
45025,45025,100,0,0,0,n/a,0
45026,45026,100,0,0,0,n/a,0
45027,45027,100,0,0,0,n/a,0
45028,45028,100,0,0,0,n/a,0
45029,45029,100,0,0,0,n/a,0
45030,45030,100,0,0,0,n/a,0
45031,45031,100,0,0,0,n/a,0
45032,45032,100,0,0,0,n/a,0
45033,45033,100,0,0,0,n/a,0
45034,45034,100,2,2,1.0,Scattered,1.0
45035,45035,100,0,0,0,n/a,0
45036,45036,100,2,2,1.0,Scattered,1.0
45037,45037,100,0,0,0,n/a,0
45038,45038,100,0,0,0,n/a,0
45039,45039,100,0,0,0,n/a,0
45040,45040,100,6,6,1.0,Scattered,1.0
45041,45041,100,0,0,0,n/a,0
45042,45042,100,5,5,1.0,Scattered,1.0
45043,45043,100,1,1,1.0,Scattered,1.0
45044,45044,100,0,0,0,n/a,0
45045,45045,100,0,0,0,n/a,0
45046,45046,100,0,0,0,n/a,0
45047,45047,100,0,0,0,n/a,0
45048,45048,100,0,0,0,n/a,0
45049,45049,100,0,0,0,n/a,0
45050,45050,100,0,0,0,n/a,0
45051,45051,100,0,0,0,n/a,0
45052,45052,100,0,0,0,n/a,0
45053,45053,100,1,1,1.0,Scattered,1.0
45054,45054,100,1,1,1.0,Scattered,1.0
45055,45035,100,0,0,0,n/a,0
45056,45056,100,0,0,0,n/a,0
45057,45057,100,2,2,1.0,Scattered,1.0
45058,45058,100,1,1,1.0,Scattered,1.0
45059,45059,100,2,2,1.0,Scattered,1.0
45060,45060,100,0,0,0,n/a,0
45061,45061,100,1,1,1.0,Scattered,1.0
45062,45062,100,0,0,0,n/a,0
45063,45063,100,1,1,1.0,Scattered,1.0
45064,45064,100,1,1,1.0,Scattered,1.0
45065,45065,100,4,4,1.0,Scattered,1.0
45066,45066,100,10,10,1.0,Scattered,1.0
45067,45067,100,0,0,0,n/a,0
45068,45068,100,0,0,0,n/a,0
45069,45069,100,1,1,1.0,Scattered,1.0
45070,45070,100,3,3,1.0,Scattered,1.0
45071,45071,100,0,0,0,n/a,0
45072,45072,100,0,0,0,n/a,0
45073,45073,100,0,0,0,n/a,0
45074,45074,100,8,8,1.0,Scattered,1.0
45075,45075,100,8,8,1.0,Scattered,1.0
45076,45063,100,0,0,0,n/a,0
45077,45072,100,0,0,0,n/a,0
