ED,Reported As,Reporting,Lucretia Regina-Potter,Scattered,Stamatis Lilikakis,Total Votes,p_Lucretia Regina-Potter,p_Scattered,p_Stamatis Lilikakis,winner,winner_p
46001,46001,100,5,0,3,8,0.625,0.0,0.375,Lucretia Regina-Potter,0.625
46002,46002,100,3,2,2,7,0.42857142857142855,0.2857142857142857,0.2857142857142857,Lucretia Regina-Potter,0.42857142857142855
46003,46003,100,0,1,0,1,0.0,1.0,0.0,Scattered,1.0
46004,46004,100,1,0,3,4,0.25,0.0,0.75,Stamatis Lilikakis,0.75
46005,46005,100,0,0,0,0,0,0,0,n/a,0
46006,46006,100,1,0,1,2,0.5,0.0,0.5,Tie,0.5
46007,46007,100,8,0,8,16,0.5,0.0,0.5,Tie,0.5
46008,46008,100,2,0,5,7,0.2857142857142857,0.0,0.7142857142857143,Stamatis Lilikakis,0.7142857142857143
46009,46009,100,1,0,2,3,0.3333333333333333,0.0,0.6666666666666666,Stamatis Lilikakis,0.6666666666666666
46010,46010,100,0,2,0,2,0.0,1.0,0.0,Scattered,1.0
46011,46011,100,13,0,4,17,0.7647058823529411,0.0,0.23529411764705882,Lucretia Regina-Potter,0.7647058823529411
46012,46012,100,0,0,0,0,0,0,0,n/a,0
46013,46013,100,0,0,0,0,0,0,0,n/a,0
46014,46014,100,0,0,1,1,0.0,0.0,1.0,Stamatis Lilikakis,1.0
46015,46015,100,1,0,0,1,1.0,0.0,0.0,Lucretia Regina-Potter,1.0
46016,46016,100,0,0,1,1,0.0,0.0,1.0,Stamatis Lilikakis,1.0
46017,46017,100,11,1,4,16,0.6875,0.0625,0.25,Lucretia Regina-Potter,0.6875
46018,46018,100,27,0,2,29,0.9310344827586207,0.0,0.06896551724137931,Lucretia Regina-Potter,0.9310344827586207
46019,46019,100,10,0,7,17,0.5882352941176471,0.0,0.4117647058823529,Lucretia Regina-Potter,0.5882352941176471
46020,46020,100,6,0,9,15,0.4,0.0,0.6,Stamatis Lilikakis,0.6
46021,46021,100,21,0,18,39,0.5384615384615384,0.0,0.46153846153846156,Lucretia Regina-Potter,0.5384615384615384
46022,46022,100,9,0,15,24,0.375,0.0,0.625,Stamatis Lilikakis,0.625
46023,46023,100,8,0,3,11,0.7272727272727273,0.0,0.2727272727272727,Lucretia Regina-Potter,0.7272727272727273
46024,46024,100,17,0,19,36,0.4722222222222222,0.0,0.5277777777777778,Stamatis Lilikakis,0.5277777777777778
46025,46025,100,18,0,19,37,0.4864864864864865,0.0,0.5135135135135135,Stamatis Lilikakis,0.5135135135135135
46026,46026,100,5,0,13,18,0.2777777777777778,0.0,0.7222222222222222,Stamatis Lilikakis,0.7222222222222222
46027,46027,100,13,0,10,23,0.5652173913043478,0.0,0.43478260869565216,Lucretia Regina-Potter,0.5652173913043478
46028,46028,100,8,0,4,12,0.6666666666666666,0.0,0.3333333333333333,Lucretia Regina-Potter,0.6666666666666666
46029,46029,100,21,1,10,32,0.65625,0.03125,0.3125,Lucretia Regina-Potter,0.65625
46030,46030,100,9,1,16,26,0.34615384615384615,0.038461538461538464,0.6153846153846154,Stamatis Lilikakis,0.6153846153846154
46031,46031,100,2,0,3,5,0.4,0.0,0.6,Stamatis Lilikakis,0.6
46032,46032,100,1,0,2,3,0.3333333333333333,0.0,0.6666666666666666,Stamatis Lilikakis,0.6666666666666666
46033,46033,100,0,0,0,0,0,0,0,n/a,0
46034,46034,100,4,0,1,5,0.8,0.0,0.2,Lucretia Regina-Potter,0.8
46035,46035,100,1,0,4,5,0.2,0.0,0.8,Stamatis Lilikakis,0.8
46036,46036,100,19,0,4,23,0.8260869565217391,0.0,0.17391304347826086,Lucretia Regina-Potter,0.8260869565217391
46037,46037,100,0,0,0,0,0,0,0,n/a,0
46038,46038,100,3,0,11,14,0.21428571428571427,0.0,0.7857142857142857,Stamatis Lilikakis,0.7857142857142857
46039,46039,100,10,1,6,17,0.5882352941176471,0.058823529411764705,0.35294117647058826,Lucretia Regina-Potter,0.5882352941176471
46040,46040,100,2,0,0,2,1.0,0.0,0.0,Lucretia Regina-Potter,1.0
46041,46041,100,6,0,9,15,0.4,0.0,0.6,Stamatis Lilikakis,0.6
46042,46042,100,13,0,2,15,0.8666666666666667,0.0,0.13333333333333333,Lucretia Regina-Potter,0.8666666666666667
46043,46043,100,5,1,8,14,0.35714285714285715,0.07142857142857142,0.5714285714285714,Stamatis Lilikakis,0.5714285714285714
46044,46044,100,6,0,15,21,0.2857142857142857,0.0,0.7142857142857143,Stamatis Lilikakis,0.7142857142857143
46045,46045,100,2,0,6,8,0.25,0.0,0.75,Stamatis Lilikakis,0.75
46046,46046,100,4,5,10,19,0.21052631578947367,0.2631578947368421,0.5263157894736842,Stamatis Lilikakis,0.5263157894736842
46047,46047,100,21,0,3,24,0.875,0.0,0.125,Lucretia Regina-Potter,0.875
46048,46048,100,5,0,6,11,0.45454545454545453,0.0,0.5454545454545454,Stamatis Lilikakis,0.5454545454545454
46049,46049,100,4,0,12,16,0.25,0.0,0.75,Stamatis Lilikakis,0.75
46050,46050,100,3,0,25,28,0.10714285714285714,0.0,0.8928571428571429,Stamatis Lilikakis,0.8928571428571429
46051,46051,100,7,0,13,20,0.35,0.0,0.65,Stamatis Lilikakis,0.65
46052,46052,100,12,1,35,48,0.25,0.020833333333333332,0.7291666666666666,Stamatis Lilikakis,0.7291666666666666
46053,46053,100,2,0,16,18,0.1111111111111111,0.0,0.8888888888888888,Stamatis Lilikakis,0.8888888888888888
46054,46054,100,1,0,4,5,0.2,0.0,0.8,Stamatis Lilikakis,0.8
46055,46055,100,2,0,8,10,0.2,0.0,0.8,Stamatis Lilikakis,0.8
46056,46056,100,2,0,9,11,0.18181818181818182,0.0,0.8181818181818182,Stamatis Lilikakis,0.8181818181818182
46057,46057,100,4,0,24,28,0.14285714285714285,0.0,0.8571428571428571,Stamatis Lilikakis,0.8571428571428571
46058,46058,100,2,0,6,8,0.25,0.0,0.75,Stamatis Lilikakis,0.75
46059,46059,100,6,0,9,15,0.4,0.0,0.6,Stamatis Lilikakis,0.6
46060,46060,100,4,0,24,28,0.14285714285714285,0.0,0.8571428571428571,Stamatis Lilikakis,0.8571428571428571
46061,46061,100,6,0,8,14,0.42857142857142855,0.0,0.5714285714285714,Stamatis Lilikakis,0.5714285714285714
46062,46062,100,3,0,16,19,0.15789473684210525,0.0,0.8421052631578947,Stamatis Lilikakis,0.8421052631578947
46063,46063,100,2,0,5,7,0.2857142857142857,0.0,0.7142857142857143,Stamatis Lilikakis,0.7142857142857143
46064,46064,100,7,0,17,24,0.2916666666666667,0.0,0.7083333333333334,Stamatis Lilikakis,0.7083333333333334
46065,46065,100,5,0,18,23,0.21739130434782608,0.0,0.782608695652174,Stamatis Lilikakis,0.782608695652174
46066,46066,100,1,0,2,3,0.3333333333333333,0.0,0.6666666666666666,Stamatis Lilikakis,0.6666666666666666
46067,46067,100,6,0,14,20,0.3,0.0,0.7,Stamatis Lilikakis,0.7
46068,46068,100,9,0,12,21,0.42857142857142855,0.0,0.5714285714285714,Stamatis Lilikakis,0.5714285714285714
46069,46069,100,3,0,27,30,0.1,0.0,0.9,Stamatis Lilikakis,0.9
46070,46070,100,13,0,23,36,0.3611111111111111,0.0,0.6388888888888888,Stamatis Lilikakis,0.6388888888888888
46071,46071,100,1,0,21,22,0.045454545454545456,0.0,0.9545454545454546,Stamatis Lilikakis,0.9545454545454546
46072,46072,100,1,0,16,17,0.058823529411764705,0.0,0.9411764705882353,Stamatis Lilikakis,0.9411764705882353
46073,46073,100,5,0,2,7,0.7142857142857143,0.0,0.2857142857142857,Lucretia Regina-Potter,0.7142857142857143
46074,46074,100,0,0,1,1,0.0,0.0,1.0,Stamatis Lilikakis,1.0
46075,46075,100,0,0,0,0,0,0,0,n/a,0
46076,46075,100,0,0,0,0,0,0,0,n/a,0
46077,46077,100,0,0,0,0,0,0,0,n/a,0
